BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
HUPA-110,FALSE,FALSE,Major,88415,01d00h33m35,0
HUPA-55,FALSE,FALSE,Minor,78460,00d21h47m40,0
HUPA-57,TRUE,FALSE,Major,4253122,49d05h25m22,0
HUPA-56,TRUE,FALSE,Major,2308,00d00h38m28,0
HUPA-52,FALSE,FALSE,Major,21915,00d06h05m15,0
HUPA-94,FALSE,FALSE,Major,84255,00d23h24m15,0
HUPA-34,FALSE,FALSE,Major,428590,04d23h03m10,0
HUPA-33,FALSE,FALSE,Major,448270,05d04h31m10,0
HUPA-77,TRUE,FALSE,Critical,64411615,745d12h06m55,0
HUPA-76,FALSE,FALSE,Critical,257,00d00h04m17,0
HUPA-75,FALSE,FALSE,Minor,103,00d00h01m43,0
HUPA-38,TRUE,FALSE,Major,85755,00d23h49m15,0
HUPA-84,FALSE,FALSE,Major,184100,02d03h08m20,0
HUPA-83,FALSE,FALSE,Major,1184,00d00h19m44,0
HUPA-81,FALSE,FALSE,Major,9199741,106d11h29m01,0
HUPA-44,TRUE,FALSE,Major,18468,00d05h07m48,0
HUPA-45,FALSE,FALSE,Major,7878,00d02h11m18,0
HUPA-48,FALSE,FALSE,Major,1452,00d00h24m12,0
HUPA-69,FALSE,FALSE,Blocker,58763,00d16h19m23,0
HUPA-27,FALSE,FALSE,Major,1213,00d00h20m13,0
HUPA-60,TRUE,FALSE,Major,77334,00d21h28m54,0
HUPA-63,FALSE,FALSE,Major,84682,00d23h31m22,1
HUPA-64,FALSE,FALSE,Minor,167111,01d22h25m11,0
HUPA-29,FALSE,FALSE,Major,683837,07d21h57m17,0
