BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
IMAP-4,FALSE,FALSE,Minor,52952799,612d21h06m39,0
IMAP-147,TRUE,FALSE,Major,301,00d00h05m01,0
IMAP-144,FALSE,FALSE,Critical,107008,01d05h43m28,0
IMAP-268,FALSE,FALSE,Major,71587,00d19h53m07,0
IMAP-269,FALSE,FALSE,Major,87,00d00h01m27,0
IMAP-266,FALSE,FALSE,Major,1531155,17d17h19m15,1
IMAP-267,FALSE,FALSE,Major,1515749,17d13h02m29,1
IMAP-265,FALSE,FALSE,Major,2648337,30d15h38m57,0
IMAP-301,FALSE,FALSE,Major,104,00d00h01m44,0
IMAP-303,TRUE,FALSE,Major,71097,00d19h44m57,0
IMAP-304,TRUE,FALSE,Major,166383,01d22h13m03,0
IMAP-176,TRUE,FALSE,Major,16780,00d04h39m40,0
IMAP-177,TRUE,FALSE,Major,3802755,44d00h19m15,0
IMAP-174,FALSE,FALSE,Major,111,00d00h01m51,0
IMAP-278,FALSE,FALSE,Major,818,00d00h13m38,0
IMAP-275,TRUE,FALSE,Major,123,00d00h02m03,0
IMAP-274,TRUE,FALSE,Major,1213720,14d01h08m40,0
IMAP-348,FALSE,FALSE,Major,466,00d00h07m46,0
IMAP-162,FALSE,FALSE,Major,1198,00d00h19m58,0
IMAP-168,TRUE,FALSE,Blocker,1752358,20d06h45m58,0
IMAP-280,TRUE,FALSE,Major,643,00d00h10m43,0
IMAP-281,FALSE,FALSE,Major,872,00d00h14m32,0
IMAP-282,FALSE,FALSE,Major,71,00d00h01m11,0
IMAP-283,FALSE,FALSE,Major,2845425,32d22h23m45,0
IMAP-284,FALSE,FALSE,Major,186,00d00h03m06,0
IMAP-286,FALSE,FALSE,Major,148,00d00h02m28,0
IMAP-287,TRUE,FALSE,Major,2054646,23d18h44m06,0
IMAP-288,FALSE,FALSE,Major,71,00d00h01m11,0
IMAP-289,FALSE,FALSE,Major,1828,00d00h30m28,0
IMAP-347,FALSE,FALSE,Major,60,00d00h01m00,0
IMAP-208,TRUE,FALSE,Major,11303798,130d19h56m38,0
IMAP-209,TRUE,FALSE,Major,77243,00d21h27m23,1
IMAP-200,FALSE,FALSE,Major,199,00d00h03m19,0
IMAP-83,TRUE,FALSE,Major,75064,00d20h51m04,0
IMAP-293,FALSE,FALSE,Major,548,00d00h09m08,0
IMAP-292,TRUE,FALSE,Major,11819114,136d19h05m14,1
IMAP-113,FALSE,FALSE,Major,235,00d00h03m55,0
IMAP-297,TRUE,FALSE,Major,18728,00d05h12m08,0
IMAP-115,FALSE,FALSE,Major,2267897,26d05h58m17,1
IMAP-295,FALSE,FALSE,Major,323,00d00h05m23,0
IMAP-294,FALSE,FALSE,Major,104,00d00h01m44,0
IMAP-299,FALSE,FALSE,Major,542,00d00h09m02,0
IMAP-298,TRUE,FALSE,Major,6275,00d01h44m35,0
IMAP-96,FALSE,FALSE,Major,30255,00d08h24m15,0
IMAP-218,FALSE,FALSE,Major,240,00d00h04m00,0
IMAP-212,TRUE,FALSE,Major,16015,00d04h26m55,0
IMAP-216,FALSE,FALSE,Major,3604,00d01h00m04,1
IMAP-214,FALSE,FALSE,Major,5136,00d01h25m36,0
IMAP-290,FALSE,FALSE,Major,235,00d00h03m55,0
IMAP-103,FALSE,FALSE,Major,39632,00d11h00m32,0
MAILBOX-11,TRUE,FALSE,Major,148910862,1723d12h07m42,0
IMAP-106,TRUE,FALSE,Major,96421,01d02h47m01,0
IMAP-104,FALSE,FALSE,Major,4010,00d01h06m50,0
IMAP-345,FALSE,FALSE,Major,8548846,98d22h40m46,1
IMAP-109,FALSE,FALSE,Major,8470576,98d00h56m16,0
IMAP-346,FALSE,FALSE,Major,132,00d00h02m12,0
IMAP-341,FALSE,FALSE,Major,279,00d00h04m39,0
IMAP-342,TRUE,FALSE,Major,5384,00d01h29m44,0
IMAP-189,FALSE,FALSE,Minor,289,00d00h04m49,0
IMAP-188,TRUE,FALSE,Major,1008684,11d16h11m24,0
IMAP-223,TRUE,FALSE,Major,230,00d00h03m50,0
IMAP-69,TRUE,FALSE,Major,88944,01d00h42m24,0
IMAP-68,FALSE,FALSE,Major,3747,00d01h02m27,0
IMAP-67,FALSE,FALSE,Major,24511,00d06h48m31,0
JAMES-1375,FALSE,FALSE,Critical,87002,01d00h10m02,0
IMAP-137,TRUE,FALSE,Blocker,166156,01d22h09m16,1
IMAP-135,FALSE,FALSE,Major,326180,03d18h36m20,0
IMAP-132,TRUE,FALSE,Major,1055,00d00h17m35,0
IMAP-131,TRUE,FALSE,Major,1226302,14d04h38m22,1
IMAP-339,FALSE,FALSE,Minor,203,00d00h03m23,0
IMAP-235,FALSE,FALSE,Major,126,00d00h02m06,0
IMAP-78,TRUE,FALSE,Major,532237,06d03h50m37,0
IMAP-74,FALSE,FALSE,Major,3319,00d00h55m19,0
IMAP-77,FALSE,FALSE,Major,8082,00d02h14m42,0
IMAP-122,FALSE,FALSE,Major,154739,01d18h58m59,0
IMAP-124,FALSE,FALSE,Major,19296,00d05h21m36,0
IMAP-126,FALSE,FALSE,Major,354,00d00h05m54,0
IMAP-245,TRUE,FALSE,Major,925,00d00h15m25,0
IMAP-329,FALSE,FALSE,Major,68,00d00h01m08,0
IMAP-240,TRUE,FALSE,Major,8260,00d02h17m40,0
IMAP-323,TRUE,FALSE,Major,167,00d00h02m47,0
IMAP-321,FALSE,FALSE,Major,170,00d00h02m50,0
IMAP-320,FALSE,FALSE,Major,60,00d00h01m00,0
IMAP-249,FALSE,FALSE,Major,206320,02d09h18m40,0
IMAP-325,FALSE,FALSE,Trivial,1811,00d00h30m11,0
MAILBOX-134,TRUE,FALSE,Major,82,00d00h01m22,0
IMAP-158,FALSE,FALSE,Major,1718,00d00h28m38,0
IMAP-159,FALSE,FALSE,Major,76851,00d21h20m51,0
IMAP-154,FALSE,FALSE,Major,68,00d00h01m08,0
IMAP-150,TRUE,FALSE,Major,413,00d00h06m53,0
IMAP-256,TRUE,FALSE,Major,519479,06d00h17m59,0
IMAP-254,FALSE,FALSE,Major,38146,00d10h35m46,0
IMAP-253,FALSE,FALSE,Major,37235,00d10h20m35,0
IMAP-311,FALSE,FALSE,Major,147,00d00h02m27,0
