BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
JSIEVE-75,FALSE,FALSE,Critical,1374660,15d21h51m00,0
JSIEVE-95,FALSE,FALSE,Major,68,00d00h01m08,0
JSIEVE-57,TRUE,FALSE,Major,2410711,27d21h38m31,1
JSIEVE-6,TRUE,FALSE,Major,108979309,1261d08h01m49,0
JSIEVE-98,FALSE,FALSE,Major,36498,00d10h08m18,0
JSIEVE-108,TRUE,FALSE,Major,2732525,31d15h02m05,0
JSIEVE-74,TRUE,FALSE,Major,44881660,519d11h07m40,0
JSIEVE-82,FALSE,FALSE,Major,171780,01d23h43m00,1
JAMES-1900,FALSE,FALSE,Major,456004,05d06h40m04,0
JSIEVE-19,FALSE,FALSE,Major,162038,01d21h00m38,0
JSIEVE-18,TRUE,FALSE,Major,613012,07d02h16m52,0
JAMES-1831,FALSE,FALSE,Major,21213048,245d12h30m48,0
JSIEVE-22,FALSE,FALSE,Major,783,00d00h13m03,0
JSIEVE-10,FALSE,FALSE,Major,86651359,1002d21h49m19,0
JSIEVE-102,FALSE,FALSE,Major,1349,00d00h22m29,0
JSIEVE-107,TRUE,FALSE,Major,6010503,69d13h35m03,0
