BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
JSPF-99,FALSE,FALSE,Blocker,5719569,66d04h46m09,0
JSPF-64,FALSE,FALSE,Major,4594335,53d04h12m15,0
JSPF-72,TRUE,FALSE,Critical,204314,02d08h45m14,0
JSPF-15,FALSE,FALSE,Major,187072,02d03h57m52,0
JSPF-71,FALSE,FALSE,Critical,4004092,46d08h14m52,0
JSPF-93,FALSE,FALSE,Minor,910,00d00h15m10,0
JSPF-95,TRUE,FALSE,Major,1518,00d00h25m18,0
JSPF-23,TRUE,FALSE,Major,11417,00d03h10m17,0
JSPF-84,FALSE,FALSE,Minor,9312766,107d18h52m46,0
JSPF-59,FALSE,FALSE,Major,60,00d00h01m00,0
JSPF-14,FALSE,FALSE,Major,190317,02d04h51m57,0
JAMES-1831,FALSE,FALSE,Major,21213048,245d12h30m48,0
JSPF-60,TRUE,FALSE,Major,168625,01d22h50m25,0
JSPF-56,FALSE,FALSE,Major,749,00d00h12m29,0
JSPF-57,FALSE,FALSE,Major,4051273,46d21h21m13,0
JSPF-65,FALSE,FALSE,Critical,26280819,304d04h13m39,0
JSPF-3,TRUE,FALSE,Major,1177118,13d14h58m38,0
JSPF-17,FALSE,FALSE,Major,4163,00d01h09m23,0
JSPF-66,FALSE,FALSE,Critical,88023,01d00h27m03,0
