BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
MAILBOX-185,FALSE,FALSE,Major,69,00d00h01m09,0
MAILBOX-92,FALSE,FALSE,Major,1564,00d00h26m04,0
MAILBOX-11,TRUE,FALSE,Major,148910862,1723d12h07m42,0
MAILBOX-96,FALSE,FALSE,Major,49,00d00h00m49,0
IMAP-260,FALSE,FALSE,Major,811,00d00h13m31,0
MAILBOX-32,TRUE,FALSE,Major,48,00d00h00m48,0
MAILBOX-30,TRUE,FALSE,Major,10052,00d02h47m32,0
MAILBOX-31,TRUE,FALSE,Major,23331,00d06h28m51,0
MAILBOX-99,FALSE,FALSE,Major,17787,00d04h56m27,0
MAILBOX-118,FALSE,FALSE,Major,1174800,13d14h20m00,0
MAILBOX-71,FALSE,FALSE,Major,713895,08d06h18m15,0
MAILBOX-178,FALSE,FALSE,Major,667,00d00h11m07,0
MAILBOX-153,FALSE,FALSE,Major,2159716,24d23h55m16,0
MAILBOX-75,TRUE,FALSE,Critical,90332,01d01h05m32,0
MAILBOX-110,FALSE,FALSE,Major,439782,05d02h09m42,0
MAILBOX-58,FALSE,FALSE,Major,19068,00d05h17m48,0
MAILBOX-95,FALSE,FALSE,Major,51940,00d14h25m40,0
MAILBOX-114,FALSE,FALSE,Major,247,00d00h04m07,0
MAILBOX-97,TRUE,FALSE,Major,48117,00d13h21m57,0
MAILBOX-131,TRUE,TRUE,Critical,175,00d00h02m55,0
MAILBOX-134,FALSE,FALSE,Major,82,00d00h01m22,0
MAILBOX-136,FALSE,FALSE,Major,6148,00d01h42m28,0
MAILBOX-137,TRUE,FALSE,Major,2758,00d00h45m58,0
MAILBOX-138,FALSE,FALSE,Major,99,00d00h01m39,0
JAMES-1239,FALSE,FALSE,Major,152812,01d18h26m52,0
JAMES-1274,FALSE,FALSE,Major,3843,00d01h04m03,0
MAILBOX-56,FALSE,FALSE,Major,366,00d00h06m06,0
MAILBOX-49,FALSE,FALSE,Major,148,00d00h02m28,0
MAILBOX-57,FALSE,FALSE,Major,94,00d00h01m34,0
MAILBOX-43,FALSE,FALSE,Major,3027,00d00h50m27,0
MAILBOX-42,FALSE,FALSE,Major,66,00d00h01m06,0
IMAP-350,FALSE,FALSE,Major,330468,03d19h47m48,0
MAILBOX-51,FALSE,FALSE,Major,127,00d00h02m07,0
MAILBOX-141,FALSE,FALSE,Critical,131406,01d12h30m06,0
MAILBOX-143,TRUE,FALSE,Major,3812,00d01h03m32,0
MAILBOX-142,FALSE,FALSE,Major,126,00d00h02m06,0
MAILBOX-65,FALSE,FALSE,Major,494,00d00h08m14,0
MAILBOX-144,FALSE,FALSE,Major,68652,00d19h04m12,0
MAILBOX-169,FALSE,FALSE,Major,76,00d00h01m16,0
MAILBOX-168,FALSE,FALSE,Major,36,00d00h00m36,0
MAILBOX-149,TRUE,FALSE,Minor,2451,00d00h40m51,0
MAILBOX-84,TRUE,FALSE,Minor,75400,00d20h56m40,0
MAILBOX-87,TRUE,FALSE,Major,158,00d00h02m38,0
MAILBOX-107,FALSE,FALSE,Major,195,00d00h03m15,0
MAILBOX-145,FALSE,FALSE,Major,30440,00d08h27m20,0
MAILBOX-129,TRUE,FALSE,Blocker,239754,02d18h35m54,0
JAMES-1304,FALSE,FALSE,Major,3575244,41d09h07m24,0
MAILBOX-109,FALSE,FALSE,Major,215,00d00h03m35,0
MAILBOX-108,FALSE,FALSE,Major,1689,00d00h28m09,0
