BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
MIME4J-5,TRUE,FALSE,Major,44896231,519d15h10m31,0
MIME4J-104,FALSE,FALSE,Major,949757,10d23h49m17,0
MIME4J-205,TRUE,FALSE,Minor,174653,02d00h30m53,0
MIME4J-191,TRUE,FALSE,Major,948,00d00h15m48,0
MIME4J-140,TRUE,FALSE,Major,1428759,16d12h52m39,0
MIME4J-141,TRUE,FALSE,Major,2331337,26d23h35m37,1
MIME4J-7,FALSE,FALSE,Major,6757221,78d05h00m21,0
MIME4J-33,FALSE,FALSE,Major,5501,00d01h31m41,0
MIME4J-32,TRUE,FALSE,Major,363319,04d04h55m19,0
MIME4J-37,TRUE,FALSE,Major,7944677,91d22h51m17,0
MIME4J-79,TRUE,FALSE,Blocker,70988,00d19h43m08,0
MIME4J-34,TRUE,FALSE,Major,32429184,375d08h06m24,0
JAMES-1831,FALSE,FALSE,Major,21213048,245d12h30m48,0
MIME4J-17,FALSE,FALSE,Major,234,00d00h03m54,0
MIME4J-12,FALSE,FALSE,Major,29758,00d08h15m58,0
MIME4J-232,FALSE,FALSE,Major,69839,00d19h23m59,0
MIME4J-74,FALSE,FALSE,Critical,284,00d00h04m44,0
MIME4J-55,FALSE,FALSE,Major,327350,03d18h55m50,0
MIME4J-235,FALSE,FALSE,Major,183309,02d02h55m09,0
MIME4J-218,TRUE,FALSE,Major,62976476,728d21h27m56,1
MIME4J-187,FALSE,FALSE,Major,48371,00d13h26m11,0
MIME4J-59,TRUE,FALSE,Major,148623,01d17h17m03,0
MIME4J-217,FALSE,FALSE,Major,498224,05d18h23m44,0
MIME4J-215,FALSE,FALSE,Trivial,1048,00d00h17m28,0
MIME4J-212,FALSE,FALSE,Major,105993,01d05h26m33,0
MIME4J-210,TRUE,FALSE,Major,19741,00d05h29m01,0
MIME4J-90,TRUE,FALSE,Minor,3196949,37d00h02m29,1
MIME4J-139,FALSE,FALSE,Minor,1075505,12d10h45m05,0
MIME4J-273,FALSE,FALSE,Major,260931,03d00h28m51,0
MIME4J-143,FALSE,FALSE,Major,186258,02d03h44m18,0
MIME4J-67,TRUE,FALSE,Minor,12527760,144d23h56m00,0
MIME4J-236,FALSE,TRUE,Major,75900,00d21h05m00,0
JAMES-2045,TRUE,FALSE,Major,20802833,240d18h33m53,0
MIME4J-177,FALSE,FALSE,Major,23881,00d06h38m01,0
MIME4J-176,FALSE,FALSE,Major,37820,00d10h30m20,0
MIME4J-73,TRUE,FALSE,Major,360555,04d04h09m15,0
MIME4J-57,TRUE,FALSE,Critical,5699973,65d23h19m33,0
MIME4J-153,TRUE,FALSE,Minor,9957142,115d05h52m22,0
MIME4J-138,FALSE,FALSE,Major,1071717,12d09h41m57,0
MIME4J-75,TRUE,FALSE,Minor,349805,04d01h10m05,0
MIME4J-118,TRUE,FALSE,Major,967789,11d04h49m49,0
MIME4J-194,FALSE,FALSE,Major,3219721,37d06h22m01,0
MIME4J-47,FALSE,FALSE,Major,14128,00d03h55m28,0
MIME4J-20,FALSE,FALSE,Major,27342017,316d11h00m17,0
JAMES-1900,TRUE,FALSE,Major,456004,05d06h40m04,0
MIME4J-61,FALSE,FALSE,Major,579,00d00h09m39,0
MIME4J-63,FALSE,FALSE,Major,3347,00d00h55m47,0
MIME4J-28,FALSE,FALSE,Minor,1913878,22d03h37m58,0
MIME4J-65,TRUE,TRUE,Major,674521,07d19h22m01,0
MIME4J-66,TRUE,FALSE,Minor,12528935,145d00h15m35,0
MIME4J-54,FALSE,FALSE,Major,1380692,15d23h31m32,0
MIME4J-226,FALSE,FALSE,Major,959654,11d02h34m14,0
MIME4J-40,TRUE,FALSE,Major,5835037,67d12h50m37,0
MIME4J-41,TRUE,FALSE,Major,5831953,67d11h59m13,0
MIME4J-199,TRUE,FALSE,Major,167707,01d22h35m07,0
MIME4J-208,FALSE,FALSE,Minor,291914,03d09h05m14,0
MIME4J-189,TRUE,FALSE,Blocker,271893,03d03h31m33,0
MIME4J-263,FALSE,FALSE,Minor,24081834,278d17h23m54,0
MIME4J-204,TRUE,FALSE,Major,4384,00d01h13m04,0
MIME4J-207,FALSE,FALSE,Major,297813,03d10h43m33,0
MIME4J-267,FALSE,FALSE,Major,254387,02d22h39m47,0
MIME4J-203,TRUE,FALSE,Major,3058,00d00h50m58,0
MIME4J-202,FALSE,FALSE,Minor,94909,01d02h21m49,0
MIME4J-241,FALSE,FALSE,Major,14664,00d04h04m24,0
MIME4J-209,FALSE,FALSE,Major,1021631,11d19h47m11,0
MIME4J-84,FALSE,FALSE,Major,908130,10d12h15m30,0
MIME4J-245,FALSE,FALSE,Major,3632865,42d01h07m45,0
MIME4J-262,TRUE,FALSE,Major,153366,01d18h36m06,0
MIME4J-48,FALSE,FALSE,Major,8876,00d02h27m56,0
MIME4J-36,TRUE,FALSE,Major,8082927,93d13h15m27,0
