BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
JAMES-1859,FALSE,FALSE,Major,15043772,174d02h49m32,0
JAMES-1856,TRUE,FALSE,Major,12439887,143d23h31m27,0
JAMES-2328,FALSE,FALSE,Major,106194,01d05h29m54,0
JAMES-1916,FALSE,FALSE,Major,702386,08d03h06m26,0
JAMES-1912,FALSE,FALSE,Major,8903949,103d01h19m09,0
JAMES-1913,FALSE,FALSE,Major,962499,11d03h21m39,0
JAMES-1697,TRUE,FALSE,Major,1767928,20d11h05m28,0
JAMES-1919,TRUE,FALSE,Major,5766,00d01h36m06,0
MAILBOX-290,TRUE,FALSE,Major,981141,11d08h32m21,1
MAILBOX-294,TRUE,FALSE,Major,411991,04d18h26m31,0
MAILBOX-297,TRUE,FALSE,Major,542350,06d06h39m10,0
JAMES-1592,TRUE,FALSE,Major,53206884,615d19h41m24,0
JAMES-2523,FALSE,FALSE,Minor,343483,03d23h24m43,0
JAMES-2253,TRUE,FALSE,Major,2397630,27d18h00m30,0
JAMES-1597,FALSE,FALSE,Major,8820639,102d02h10m39,0
JAMES-2524,TRUE,FALSE,Minor,340023,03d22h27m03,0
JAMES-1595,TRUE,FALSE,Major,8820980,102d02h16m20,0
JAMES-2259,TRUE,FALSE,Major,267436,03d02h17m16,0
JAMES-1598,FALSE,FALSE,Major,8820599,102d02h09m59,0
JAMES-1599,FALSE,FALSE,Major,8820092,102d02h01m32,0
MAILBOX-278,TRUE,FALSE,Major,6671200,77d05h06m40,0
JAMES-2743,TRUE,FALSE,Major,1511739,17d11h55m39,0
MAILBOX-378,TRUE,FALSE,Major,250961,02d21h42m41,0
MAILBOX-379,TRUE,FALSE,Major,492785,05d16h53m05,0
JAMES-2746,TRUE,FALSE,Major,707377,08d04h29m37,0
JAMES-2744,TRUE,FALSE,Major,1446213,16d17h43m33,0
JAMES-2801,FALSE,FALSE,Major,324269,03d18h04m29,0
JAMES-2803,TRUE,FALSE,Major,171609,01d23h40m09,0
JAMES-2804,TRUE,FALSE,Major,4735,00d01h18m55,0
JAMES-1823,TRUE,FALSE,Major,19741262,228d11h41m02,0
JAMES-1826,FALSE,FALSE,Major,414851,04d19h14m11,0
JAMES-1827,FALSE,FALSE,Major,22965847,265d19h24m07,0
JAMES-821,FALSE,FALSE,Trivial,43905227,508d03h53m47,0
JAMES-2738,FALSE,FALSE,Major,578125,06d16h35m25,0
JAMES-1696,TRUE,FALSE,Major,192825,02d05h33m45,0
JAMES-1925,TRUE,FALSE,Major,185991,02d03h39m51,0
JAMES-1888,TRUE,FALSE,Major,355094,04d02h38m14,0
JAMES-1999,TRUE,FALSE,Major,3541450,40d23h44m10,1
MAILBOX-321,FALSE,FALSE,Major,201394,02d07h56m34,0
JAMES-1558,FALSE,FALSE,Major,86680098,1003d05h48m18,0
JAMES-2207,FALSE,FALSE,Major,88268,01d00h31m08,0
JAMES-2206,FALSE,FALSE,Major,186251,02d03h44m11,0
JAMES-2118,FALSE,FALSE,Major,1099609,12d17h26m49,0
JAMES-2163,FALSE,FALSE,Major,10631748,123d01h15m48,0
JAMES-2160,TRUE,FALSE,Major,154058,01d18h47m38,0
JAMES-2161,TRUE,FALSE,Major,10775506,124d17h11m46,0
JAMES-2166,TRUE,FALSE,Major,217096,02d12h18m16,0
JAMES-2167,TRUE,FALSE,Major,24871061,287d20h37m41,0
JAMES-1543,TRUE,FALSE,Major,96909829,1121d15h23m49,0
JAMES-1260,FALSE,FALSE,Major,2424208,28d01h23m28,0
JAMES-2018,TRUE,FALSE,Major,2329751,26d23h09m11,0
JAMES-1798,FALSE,FALSE,Major,8544489,98d21h28m09,0
JAMES-1799,TRUE,FALSE,Major,524191,06d01h36m31,0
JAMES-1794,FALSE,FALSE,Major,28935559,334d21h39m19,0
JAMES-1796,TRUE,FALSE,Major,9838,00d02h43m58,0
JAMES-1797,TRUE,FALSE,Major,17898,00d04h58m18,0
JAMES-1791,TRUE,FALSE,Major,336437,03d21h27m17,0
JAMES-2683,TRUE,FALSE,Major,541386,06d06h23m06,0
JAMES-2682,TRUE,FALSE,Major,1211330,14d00h28m50,0
JAMES-1593,FALSE,FALSE,Major,17616669,203d21h31m09,0
JAMES-2117,FALSE,FALSE,Major,186188,02d03h43m08,0
MAILBOX-343,TRUE,FALSE,Major,262210,03d00h50m10,0
JAMES-1591,TRUE,FALSE,Major,29098431,336d18h53m51,0
JAMES-2113,TRUE,FALSE,Major,583136,06d17h58m56,0
JAMES-2444,TRUE,FALSE,Critical,474950,05d11h55m50,0
JAMES-1647,FALSE,FALSE,Major,429777,04d23h22m57,0
JAMES-2255,TRUE,FALSE,Major,2424277,28d01h24m37,0
JAMES-2669,TRUE,FALSE,Minor,7486697,86d15h38m17,0
JAMES-2668,TRUE,FALSE,Major,12621,00d03h30m21,0
JAMES-2849,TRUE,FALSE,Major,5863,00d01h37m43,0
JAMES-1594,TRUE,FALSE,Major,8821316,102d02h21m56,0
JAMES-2845,FALSE,FALSE,Major,460,00d00h07m40,0
JAMES-1865,TRUE,FALSE,Major,451378,05d05h22m58,0
JAMES-1862,TRUE,FALSE,Critical,1616162,18d16h56m02,0
JAMES-1861,FALSE,FALSE,Major,147470,01d16h57m50,0
JAMES-1940,TRUE,FALSE,Major,39208,00d10h53m28,0
JAMES-1942,TRUE,FALSE,Major,4454,00d01h14m14,0
JAMES-1868,TRUE,FALSE,Major,599891,06d22h38m11,0
JAMES-1869,TRUE,FALSE,Major,5387106,62d08h25m06,0
JAMES-2360,TRUE,FALSE,Major,275102,03d04h25m02,0
JAMES-2209,FALSE,FALSE,Major,431167,04d23h46m07,0
JAMES-1898,TRUE,FALSE,Major,7861645,90d23h47m25,0
JAMES-2203,FALSE,FALSE,Major,452138,05d05h35m38,0
JAMES-2201,FALSE,FALSE,Minor,1409667,16d07h34m27,0
JAMES-1897,FALSE,FALSE,Major,64622,00d17h57m02,0
JAMES-1896,TRUE,FALSE,Major,34782157,402d13h42m37,0
MAILBOX-349,TRUE,FALSE,Major,457554,05d07h05m54,0
JAMES-2019,TRUE,FALSE,Major,581750,06d17h35m50,0
JAMES-2012,FALSE,FALSE,Major,73149,00d20h19m09,0
JAMES-2011,FALSE,FALSE,Major,9182,00d02h33m02,0
JAMES-2015,TRUE,FALSE,Major,1095225,12d16h13m45,0
JAMES-2514,TRUE,FALSE,Major,164883,01d21h48m03,0
JAMES-2384,TRUE,FALSE,Minor,905125,10d11h25m25,0
JAMES-1638,FALSE,FALSE,Major,425661,04d22h14m21,0
JAMES-2064,FALSE,FALSE,Major,61637,00d17h07m17,0
JAMES-2063,TRUE,FALSE,Major,98426,01d03h20m26,0
MAILBOX-330,FALSE,FALSE,Major,26257,00d07h17m37,0
JAMES-2107,TRUE,FALSE,Major,2590486,29d23h34m46,0
MIME4J-262,FALSE,FALSE,Major,153366,01d18h36m06,0
JAMES-1828,FALSE,FALSE,Major,342218,03d23h03m38,0
JAMES-2402,TRUE,FALSE,Major,661578,07d15h46m18,0
JAMES-2672,TRUE,FALSE,Major,672756,07d18h52m36,0
JAMES-2496,FALSE,FALSE,Major,130774,01d12h19m34,0
JAMES-1760,TRUE,FALSE,Major,227534,02d15h12m14,0
JAMES-2624,TRUE,FALSE,Major,852941,09d20h55m41,0
JAMES-2230,TRUE,FALSE,Major,709060,08d04h57m40,0
JAMES-2236,FALSE,FALSE,Major,422371,04d21h19m31,0
JAMES-2237,TRUE,FALSE,Major,191858,02d05h17m38,0
JAMES-2235,TRUE,FALSE,Major,523451,06d01h24m11,0
JAMES-2238,TRUE,FALSE,Major,216382,02d12h06m22,0
JAMES-2239,FALSE,FALSE,Major,211451,02d10h44m11,0
JAMES-1907,FALSE,FALSE,Major,12934892,149d17h01m32,0
JAMES-1900,TRUE,FALSE,Major,456004,05d06h40m04,0
JAMES-1903,TRUE,FALSE,Major,447137,05d04h12m17,0
JAMES-1813,FALSE,FALSE,Major,2327717,26d22h35m17,0
MAILBOX-284,TRUE,FALSE,Major,6911374,79d23h49m34,0
MAILBOX-282,TRUE,FALSE,Major,89553,01d00h52m33,0
MAILBOX-283,TRUE,FALSE,Major,7760892,89d19h48m12,0
JAMES-1812,TRUE,FALSE,Major,3996,00d01h06m36,0
MAILBOX-288,FALSE,FALSE,Major,95171,01d02h26m11,0
JAMES-2531,FALSE,FALSE,Major,340132,03d22h28m52,0
JAMES-2533,FALSE,FALSE,Major,339776,03d22h22m56,0
JAMES-2243,FALSE,FALSE,Major,108834,01d06h13m54,0
