BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
JCLOUDS-1006,FALSE,FALSE,Major,306849,03d13h14m09,0
JCLOUDS-1249,FALSE,FALSE,Major,516189,05d23h23m09,0
JCLOUDS-987,TRUE,FALSE,Major,6782565,78d12h02m45,0
JCLOUDS-624,TRUE,FALSE,Major,1466132,16d23h15m32,0
JCLOUDS-625,TRUE,FALSE,Trivial,128783,01d11h46m23,0
JCLOUDS-621,FALSE,FALSE,Major,11603899,134d07h18m19,0
JCLOUDS-351,FALSE,FALSE,Major,40091327,464d00h28m47,0
JCLOUDS-233,TRUE,FALSE,Major,67633,00d18h47m13,0
JCLOUDS-199,TRUE,FALSE,Major,17829,00d04h57m09,0
JCLOUDS-1004,FALSE,FALSE,Major,87043,01d00h10m43,0
JCLOUDS-1246,FALSE,FALSE,Minor,632484,07d07h41m24,0
JCLOUDS-137,TRUE,FALSE,Major,20490594,237d03h49m54,0
JCLOUDS-1327,FALSE,FALSE,Major,59833,00d16h37m13,1
JCLOUDS-1153,FALSE,FALSE,Major,54379,00d15h06m19,0
JCLOUDS-1323,TRUE,FALSE,Major,1635804,18d22h23m24,0
JCLOUDS-1157,TRUE,FALSE,Major,722323,08d08h38m43,0
JCLOUDS-1158,TRUE,FALSE,Major,638230,07d09h17m10,0
JCLOUDS-904,FALSE,FALSE,Critical,2671944,30d22h12m24,0
JCLOUDS-1084,TRUE,FALSE,Major,285933,03d07h25m33,0
JCLOUDS-901,FALSE,FALSE,Minor,62852,00d17h27m32,0
JCLOUDS-792,TRUE,FALSE,Major,2686706,31d02h18m26,0
JCLOUDS-1080,TRUE,FALSE,Minor,54336185,628d21h23m05,0
JCLOUDS-857,FALSE,TRUE,Major,9620570,111d08h22m50,0
JCLOUDS-195,FALSE,FALSE,Major,345127,03d23h52m07,0
JCLOUDS-558,TRUE,FALSE,Major,4417890,51d03h11m30,0
JCLOUDS-80,FALSE,FALSE,Major,66735,00d18h32m15,0
JCLOUDS-105,TRUE,FALSE,Major,78195,00d21h43m15,0
JCLOUDS-107,TRUE,FALSE,Major,235164,02d17h19m24,0
JCLOUDS-100,TRUE,FALSE,Critical,1817549,21d00h52m29,0
JCLOUDS-935,FALSE,TRUE,Major,561950,06d12h05m50,0
JCLOUDS-629,FALSE,FALSE,Major,138,00d00h02m18,0
JCLOUDS-737,TRUE,FALSE,Major,2903913,33d14h38m33,0
JCLOUDS-532,TRUE,TRUE,Major,28846916,333d21h01m56,0
JCLOUDS-1011,FALSE,FALSE,Major,4079,00d01h07m59,0
JCLOUDS-1259,FALSE,FALSE,Major,42885,00d11h54m45,0
JCLOUDS-1012,FALSE,FALSE,Major,481445,05d13h44m05,0
JCLOUDS-440,FALSE,FALSE,Major,27584,00d07h39m44,0
JCLOUDS-486,TRUE,FALSE,Major,858978,09d22h36m18,0
JCLOUDS-417,FALSE,FALSE,Minor,16352726,189d06h25m26,0
JCLOUDS-612,FALSE,FALSE,Major,720024,08d08h00m24,0
JCLOUDS-365,FALSE,FALSE,Minor,563831,06d12h37m11,0
JCLOUDS-945,FALSE,FALSE,Major,41080389,475d11h13m09,0
JCLOUDS-594,TRUE,FALSE,Major,1365008,15d19h10m08,0
JCLOUDS-656,TRUE,FALSE,Major,2066,00d00h34m26,0
JCLOUDS-619,TRUE,FALSE,Major,244544,02d19h55m44,0
JCLOUDS-618,TRUE,FALSE,Major,84634,00d23h30m34,0
JCLOUDS-549,TRUE,FALSE,Minor,205943,02d09h12m23,0
JCLOUDS-362,FALSE,FALSE,Major,353236,04d02h07m16,0
JCLOUDS-1143,FALSE,FALSE,Minor,115308,01d08h01m48,0
JCLOUDS-911,TRUE,FALSE,Minor,1680267,19d10h44m27,0
JCLOUDS-1147,FALSE,FALSE,Major,4432,00d01h13m52,0
JCLOUDS-1008,TRUE,FALSE,Major,1931240,22d08h27m20,0
JCLOUDS-1145,TRUE,FALSE,Major,2210799,25d14h06m39,0
JCLOUDS-1091,FALSE,FALSE,Major,10578,00d02h56m18,0
JCLOUDS-1090,TRUE,FALSE,Blocker,1512177,17d12h02m57,0
JCLOUDS-1318,TRUE,FALSE,Major,865167,10d00h19m27,0
JCLOUDS-1148,TRUE,FALSE,Major,2529415,29d06h36m55,0
JCLOUDS-691,TRUE,FALSE,Major,102283024,1183d19h57m04,0
JCLOUDS-990,TRUE,FALSE,Major,257510,02d23h31m50,0
JCLOUDS-1033,FALSE,FALSE,Major,1250693,14d11h24m53,0
JCLOUDS-692,TRUE,FALSE,Major,2711768,31d09h16m08,0
JCLOUDS-1362,TRUE,FALSE,Major,3362949,38d22h09m09,0
JCLOUDS-991,FALSE,FALSE,Major,4426472,51d05h34m32,0
JCLOUDS-416,TRUE,FALSE,Major,3228101,37d08h41m41,0
JCLOUDS-297,FALSE,FALSE,Minor,3225,00d00h53m45,0
JCLOUDS-75,FALSE,FALSE,Major,134854,01d13h27m34,0
JCLOUDS-1392,FALSE,FALSE,Major,128628,01d11h43m48,0
JCLOUDS-78,TRUE,FALSE,Major,184534,02d03h15m34,0
JCLOUDS-1391,TRUE,FALSE,Major,42373,00d11h46m13,0
JCLOUDS-117,FALSE,FALSE,Major,3096972,35d20h16m12,0
JCLOUDS-218,TRUE,FALSE,Major,10170082,117d17h01m22,0
JCLOUDS-503,FALSE,FALSE,Major,1716009,19d20h40m09,0
JCLOUDS-1419,FALSE,FALSE,Major,10438837,120d19h40m37,0
JCLOUDS-507,FALSE,FALSE,Minor,239999,02d18h39m59,0
JCLOUDS-1118,TRUE,FALSE,Major,171758,01d23h42m38,0
JCLOUDS-439,FALSE,FALSE,Major,16009,00d04h26m49,0
JCLOUDS-753,TRUE,FALSE,Minor,12275338,142d01h48m58,0
JCLOUDS-1410,FALSE,FALSE,Major,3909,00d01h05m09,0
JCLOUDS-217,TRUE,FALSE,Major,67218205,777d23h43m25,0
JCLOUDS-740,FALSE,FALSE,Major,77376,00d21h29m36,0
JCLOUDS-372,FALSE,FALSE,Major,166987,01d22h23m07,0
JCLOUDS-562,FALSE,FALSE,Critical,1505166,17d10h06m06,0
JCLOUDS-1264,TRUE,FALSE,Major,93030,01d01h50m30,0
JCLOUDS-278,TRUE,FALSE,Major,42962173,497d05h56m13,0
JCLOUDS-1262,FALSE,FALSE,Major,1661,00d00h27m41,0
JCLOUDS-1263,FALSE,FALSE,Major,36013079,416d19h37m59,0
JCLOUDS-1261,FALSE,FALSE,Major,9102693,105d08h31m33,1
JCLOUDS-1306,TRUE,FALSE,Major,11695,00d03h14m55,1
JCLOUDS-277,TRUE,FALSE,Major,481640,05d13h47m20,0
JCLOUDS-1300,TRUE,FALSE,Blocker,1289895,14d22h18m15,0
JCLOUDS-1269,TRUE,FALSE,Major,1896888,21d22h54m48,0
JCLOUDS-1064,FALSE,FALSE,Major,30769179,356d02h59m39,0
JCLOUDS-1067,TRUE,FALSE,Minor,259793,03d00h09m53,0
JCLOUDS-686,TRUE,FALSE,Major,1365967,15d19h26m07,0
JCLOUDS-962,TRUE,FALSE,Major,4250257,49d04h37m37,0
JCLOUDS-641,FALSE,FALSE,Major,6218565,71d23h22m45,0
JCLOUDS-394,FALSE,FALSE,Blocker,1469379,17d00h09m39,0
JCLOUDS-781,FALSE,FALSE,Major,190984,02d05h03m04,0
JCLOUDS-302,FALSE,FALSE,Trivial,13304,00d03h41m44,0
JCLOUDS-1381,TRUE,FALSE,Major,150251,01d17h44m11,0
JCLOUDS-281,TRUE,FALSE,Blocker,33669054,389d16h30m54,0
JCLOUDS-1389,TRUE,FALSE,Major,4064486,47d01h01m26,0
JCLOUDS-1368,FALSE,FALSE,Major,475506,05d12h05m06,0
JCLOUDS-160,TRUE,FALSE,Major,560229,06d11h37m09,0
JCLOUDS-517,TRUE,TRUE,Major,5805009,67d04h30m09,0
JCLOUDS-515,FALSE,FALSE,Major,502025,05d19h27m05,0
JCLOUDS-512,TRUE,FALSE,Major,57530781,665d20h46m21,0
JCLOUDS-992,TRUE,FALSE,Major,260864,03d00h27m44,0
JCLOUDS-993,TRUE,FALSE,Major,904019,10d11h06m59,0
JCLOUDS-1462,FALSE,FALSE,Major,6285,00d01h44m45,0
