BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
JS2-203,TRUE,FALSE,Major,1701,00d00h28m21,1
JS2-202,TRUE,FALSE,Critical,21114827,244d09h13m47,0
JS2-200,FALSE,FALSE,Major,5773835,66d19h50m35,0
JS2-205,TRUE,FALSE,Major,20242028,234d06h47m08,0
JS2-562,FALSE,FALSE,Major,280697,03d05h58m17,0
JS2-564,FALSE,FALSE,Major,4326206,50d01h43m26,0
JS2-180,FALSE,FALSE,Blocker,238,00d00h03m58,0
JS2-1039,FALSE,FALSE,Critical,21207802,245d11h03m22,0
JS2-1133,FALSE,FALSE,Major,615674,07d03h01m14,0
JS2-1030,TRUE,FALSE,Major,24896765,288d03h46m05,0
JS2-1031,FALSE,FALSE,Major,24400650,282d09h57m30,0
JS2-1033,FALSE,FALSE,Major,217277,02d12h21m17,1
JS2-1157,TRUE,FALSE,Critical,436412,05d01h13m32,0
JS2-108,FALSE,FALSE,Major,1534549,17d18h15m49,0
JS2-109,TRUE,FALSE,Major,5931,00d01h38m51,0
JS2-519,TRUE,FALSE,Critical,50640,00d14h04m00,0
JS2-103,FALSE,FALSE,Major,38707086,447d23h58m06,0
JS2-513,TRUE,FALSE,Major,98615364,1141d09h09m24,0
JS2-512,FALSE,FALSE,Minor,38814465,449d05h47m45,0
JS2-511,FALSE,FALSE,Blocker,2735262,31d15h47m42,0
JS2-298,FALSE,FALSE,Major,7211,00d02h00m11,0
JS2-297,TRUE,FALSE,Major,7212298,83d11h24m58,1
JS2-1142,FALSE,FALSE,Major,19705,00d05h28m25,0
JS2-1145,FALSE,FALSE,Major,621716,07d04h41m56,0
JS2-194,FALSE,FALSE,Major,8304892,96d02h54m52,0
JS2-1148,FALSE,FALSE,Major,58511,00d16h15m11,0
JS2-745,TRUE,FALSE,Major,2250,00d00h37m30,0
JS2-586,FALSE,FALSE,Major,248573,02d21h02m53,0
JS2-580,FALSE,FALSE,Major,23780057,275d05h34m17,0
JS2-582,TRUE,FALSE,Major,193,00d00h03m13,0
JS2-588,FALSE,FALSE,Major,119394,01d09h09m54,0
JS2-589,TRUE,FALSE,Critical,145723296,1686d14h41m36,0
JS2-81,FALSE,FALSE,Blocker,4117800,47d15h50m00,0
JS2-1249,FALSE,FALSE,Minor,660306,07d15h25m06,0
JS2-338,FALSE,FALSE,Major,1113,00d00h18m33,0
JS2-737,FALSE,FALSE,Major,1135646,13d03h27m26,0
JS2-735,FALSE,FALSE,Major,363390,04d04h56m30,1
JS2-733,FALSE,FALSE,Major,909314,10d12h35m14,0
JS2-731,FALSE,FALSE,Major,365352,04d05h29m12,0
JS2-922,FALSE,FALSE,Minor,18521,00d05h08m41,0
JS2-637,FALSE,FALSE,Major,4474402,51d18h53m22,0
JS2-920,FALSE,FALSE,Major,8657181,100d04h46m21,0
JS2-635,TRUE,FALSE,Major,4261681,49d07h48m01,0
JS2-633,FALSE,FALSE,Major,5012196,58d00h16m36,0
JS2-448,FALSE,FALSE,Major,30906571,357d17h09m31,0
JS2-320,FALSE,FALSE,Major,1505056,17d10h04m16,0
JS2-321,TRUE,FALSE,Major,98905,01d03h28m25,0
JS2-322,FALSE,FALSE,Major,303,00d00h05m03,0
JS2-323,TRUE,FALSE,Major,22693,00d06h18m13,0
JS2-325,TRUE,FALSE,Major,324,00d00h05m24,0
JS2-326,FALSE,FALSE,Major,6572445,76d01h40m45,2
JS2-816,FALSE,FALSE,Major,524,00d00h08m44,0
JS2-814,FALSE,FALSE,Minor,24984,00d06h56m24,0
JS2-815,FALSE,FALSE,Minor,52122,00d14h28m42,0
JS2-810,FALSE,FALSE,Major,14227,00d03h57m07,0
JS2-819,FALSE,FALSE,Major,67665,00d18h47m45,0
JS2-43,FALSE,FALSE,Critical,684675,07d22h11m15,0
JS2-45,TRUE,FALSE,Major,3048968,35d06h56m08,0
JS2-47,FALSE,FALSE,Blocker,1589,00d00h26m29,0
JS2-48,FALSE,FALSE,Blocker,618796,07d03h53m16,0
JS2-49,FALSE,FALSE,Blocker,12449347,144d02h09m07,0
JS2-951,FALSE,FALSE,Major,3010,00d00h50m10,0
JS2-498,FALSE,FALSE,Major,38343,00d10h39m03,0
JS2-1194,FALSE,FALSE,Major,2332596,26d23h56m36,0
JS2-555,FALSE,FALSE,Major,955083,11d01h18m03,0
JS2-1190,FALSE,FALSE,Major,1714,00d00h28m34,0
JS2-496,TRUE,FALSE,Major,1407427,16d06h57m07,0
JS2-497,FALSE,FALSE,Major,65945,00d18h19m05,0
JS2-495,TRUE,FALSE,Critical,13711255,158d16h40m55,0
JS2-1298,FALSE,FALSE,Major,2774794,32d02h46m34,1
JS2-259,FALSE,FALSE,Major,545049,06d07h24m09,0
JS2-393,FALSE,FALSE,Blocker,895616,10d08h46m56,0
JS2-1294,TRUE,FALSE,Major,10089967,116d18h46m07,0
JS2-255,FALSE,FALSE,Major,6831518,79d01h38m38,0
JS2-1296,TRUE,FALSE,Major,5023225,58d03h20m25,0
JS2-1297,FALSE,FALSE,Major,3654516,42d07h08m36,0
JS2-250,FALSE,FALSE,Minor,1895,00d00h31m35,0
JS2-252,TRUE,FALSE,Critical,958,00d00h15m58,0
JS2-253,TRUE,FALSE,Major,2104620,24d08h37m00,0
JS2-1109,TRUE,FALSE,Major,9423,00d02h37m03,0
JS2-1107,FALSE,FALSE,Major,196825,02d06h40m25,0
JS2-1100,FALSE,FALSE,Major,51699425,598d08h57m05,1
JS2-1102,TRUE,FALSE,Major,4317263,49d23h14m23,0
JS2-1063,TRUE,FALSE,Major,605691,07d00h14m51,0
JS2-1064,FALSE,FALSE,Major,4517374,52d06h49m34,0
JS2-1068,TRUE,FALSE,Minor,15113987,174d22h19m47,1
JS2-2,FALSE,FALSE,Major,923094,10d16h24m54,0
JS2-784,TRUE,FALSE,Blocker,1895896,21d22h38m16,0
JS2-7,FALSE,FALSE,Major,310068,03d14h07m48,0
JS2-6,TRUE,FALSE,Major,3495475,40d10h57m55,0
JS2-96,FALSE,FALSE,Major,374928,04d08h08m48,0
JS2-9,TRUE,FALSE,Blocker,25427548,294d07h12m28,0
JS2-176,FALSE,FALSE,Major,133269,01d13h01m09,0
JS2-179,FALSE,FALSE,Minor,28700,00d07h58m20,0
JS2-1202,FALSE,FALSE,Major,68247,00d18h57m27,0
JS2-676,TRUE,TRUE,Major,65453271,757d13h27m51,0
JS2-674,FALSE,FALSE,Major,2079756,24d01h42m36,0
JS2-675,TRUE,FALSE,Major,7471720,86d11h28m40,1
JS2-475,TRUE,FALSE,Major,728451,08d10h20m51,0
JS2-471,FALSE,FALSE,Major,43690893,505d16h21m33,0
JS2-473,TRUE,FALSE,Major,392354,04d12h59m14,0
JS2-478,FALSE,FALSE,Major,6989181,80d21h26m21,0
JS2-1339,FALSE,FALSE,Major,66,00d00h01m06,0
JS2-1334,FALSE,FALSE,Major,22856852,264d13h07m32,0
JS2-981,TRUE,FALSE,Major,65691,00d18h14m51,0
JS2-983,FALSE,FALSE,Minor,20034,00d05h33m54,0
JS2-984,TRUE,FALSE,Major,428504,04d23h01m44,0
JS2-986,FALSE,FALSE,Major,11038,00d03h03m58,0
JS2-987,TRUE,FALSE,Major,30247,00d08h24m07,0
JS2-1181,FALSE,FALSE,Major,194,00d00h03m14,0
JS2-607,TRUE,FALSE,Major,9122879,105d14h07m59,0
JS2-605,TRUE,FALSE,Minor,10018043,115d22h47m23,2
JS2-1182,FALSE,FALSE,Major,60,00d00h01m00,0
JS2-914,FALSE,FALSE,Major,460643,05d07h57m23,0
JS2-854,FALSE,FALSE,Major,9496467,109d21h54m27,0
JS2-106,FALSE,FALSE,Major,219898,02d13h04m58,0
JS2-638,FALSE,FALSE,Major,526149,06d02h09m09,0
JS2-213,TRUE,FALSE,Minor,3459999,40d01h06m39,0
JS2-218,FALSE,FALSE,Major,2712908,31d09h35m08,0
JS2-358,FALSE,FALSE,Major,179,00d00h02m59,0
JS2-10,FALSE,FALSE,Major,114506,01d07h48m26,0
JS2-352,TRUE,FALSE,Major,1207751,13d23h29m11,0
JS2-611,FALSE,FALSE,Major,1780,00d00h29m40,0
JS2-1029,FALSE,FALSE,Major,24562112,284d06h48m32,0
JS2-1027,FALSE,FALSE,Minor,25020810,289d14h13m30,0
JS2-14,FALSE,FALSE,Major,170763,01d23h26m03,0
JS2-1020,FALSE,FALSE,Critical,569,00d00h09m29,0
JS2-829,FALSE,FALSE,Major,789643,09d03h20m43,0
JS2-828,FALSE,FALSE,Critical,17200656,199d01h57m36,1
JS2-827,FALSE,FALSE,Major,1183684,13d16h48m04,0
JS2-826,FALSE,FALSE,Minor,93357,01d01h55m57,0
JS2-824,FALSE,FALSE,Major,1124689,13d00h24m49,0
JS2-820,FALSE,FALSE,Major,1251799,14d11h43m19,0
JS2-131,FALSE,FALSE,Major,72,00d00h01m12,0
JS2-130,FALSE,FALSE,Blocker,25171,00d06h59m31,0
JS2-139,TRUE,FALSE,Major,24216711,280d06h51m51,0
JS2-501,TRUE,FALSE,Blocker,1622,00d00h27m02,0
JS2-502,FALSE,FALSE,Major,40791048,472d02h50m48,0
JS2-503,FALSE,FALSE,Major,4398804,50d21h53m24,0
JS2-1153,FALSE,FALSE,Major,1127942,13d01h19m02,0
JS2-1151,FALSE,FALSE,Minor,87214,01d00h13m34,0
JS2-184,FALSE,FALSE,Major,673820,07d19h10m20,0
JS2-187,FALSE,FALSE,Major,6157073,71d06h17m53,0
JS2-1092,TRUE,FALSE,Major,5286,00d01h28m06,0
JS2-1093,FALSE,FALSE,Major,70581,00d19h36m21,0
JS2-1096,TRUE,FALSE,Major,206,00d00h03m26,0
JS2-1097,FALSE,FALSE,Minor,363199,04d04h53m19,0
JS2-439,FALSE,FALSE,Trivial,8171,00d02h16m11,0
JS2-434,FALSE,FALSE,Major,968,00d00h16m08,0
JS2-759,FALSE,TRUE,Blocker,1343624,15d13h13m44,0
JS2-727,TRUE,FALSE,Major,3026840,35d00h47m20,0
JS2-643,FALSE,FALSE,Major,2054639,23d18h43m59,0
JS2-641,FALSE,FALSE,Major,3424692,39d15h18m12,0
JS2-646,TRUE,FALSE,Major,1866267,21d14h24m27,0
JS2-319,FALSE,FALSE,Major,1045024,12d02h17m04,1
JS2-315,TRUE,FALSE,Major,22989569,266d01h59m29,1
JS2-314,FALSE,FALSE,Major,812,00d00h13m32,0
JS2-310,FALSE,FALSE,Major,6246695,72d07h11m35,0
JS2-222,TRUE,FALSE,Major,2662791,30d19h39m51,0
JS2-863,FALSE,FALSE,Minor,15396033,178d04h40m33,0
JS2-862,FALSE,FALSE,Major,7180084,83d02h28m04,0
JS2-944,TRUE,FALSE,Major,38207,00d10h36m47,0
JS2-942,FALSE,FALSE,Major,82618,00d22h56m58,0
JS2-548,TRUE,FALSE,Minor,118499742,1371d12h35m42,0
JS2-268,TRUE,FALSE,Critical,4543357,52d14h02m37,0
JS2-381,FALSE,FALSE,Major,1551936,17d23h05m36,0
JS2-1288,FALSE,FALSE,Major,4974,00d01h22m54,0
JS2-261,FALSE,FALSE,Major,634311,07d08h11m51,0
JS2-1286,FALSE,FALSE,Major,642,00d00h10m42,0
JS2-1285,FALSE,FALSE,Major,4741,00d01h19m01,0
JS2-1284,FALSE,FALSE,Major,13264,00d03h41m04,0
JS2-1283,TRUE,FALSE,Major,6800,00d01h53m20,0
JS2-266,FALSE,FALSE,Major,2318259,26d19h57m39,0
JS2-1119,FALSE,FALSE,Major,94597,01d02h16m37,0
JS2-1114,FALSE,FALSE,Trivial,397109,04d14h18m29,0
JS2-1056,FALSE,FALSE,Critical,17291423,200d03h10m23,0
JS2-1058,FALSE,FALSE,Major,69597,00d19h19m57,0
JS2-1059,TRUE,FALSE,Major,18239837,211d02h37m17,0
JS2-168,FALSE,FALSE,Minor,30245108,350d01h25m08,0
JS2-160,FALSE,FALSE,Minor,22325008,258d09h23m28,0
JS2-1239,FALSE,FALSE,Major,31754,00d08h49m14,0
JS2-1236,FALSE,FALSE,Major,191,00d00h03m11,0
JS2-147,TRUE,FALSE,Major,257918,02d23h38m38,0
JS2-689,FALSE,FALSE,Major,1745309,20d04h48m29,0
JS2-688,TRUE,FALSE,Blocker,1173923,13d14h05m23,1
JS2-687,FALSE,FALSE,Major,3865509,44d17h45m09,0
JS2-86,TRUE,FALSE,Major,5556021,64d07h20m21,0
JS2-87,FALSE,FALSE,Major,1492128,17d06h28m48,0
JS2-682,FALSE,FALSE,Major,3227070,37d08h24m30,0
JS2-681,FALSE,FALSE,Blocker,5364903,62d02h15m03,1
JS2-768,FALSE,FALSE,Major,1269744,14d16h42m24,0
JS2-769,FALSE,FALSE,Major,535769,06d04h49m29,0
JS2-761,TRUE,FALSE,Major,38801704,449d02h15m04,0
JS2-762,FALSE,FALSE,Trivial,1186739,13d17h38m59,0
JS2-764,FALSE,FALSE,Minor,5429285,62d20h08m05,1
JS2-1308,FALSE,FALSE,Major,289,00d00h04m49,0
JS2-1306,FALSE,FALSE,Major,9578042,110d20h34m02,1
JS2-1300,TRUE,FALSE,Major,16438142,190d06h09m02,0
JS2-900,TRUE,FALSE,Critical,21213655,245d12h40m55,1
JS2-903,TRUE,FALSE,Critical,6477248,74d23h14m08,0
JS2-905,FALSE,FALSE,Minor,773677,08d22h54m37,0
JS2-612,TRUE,FALSE,Critical,33303460,385d10h57m40,0
JS2-613,TRUE,FALSE,Critical,7979287,92d08h28m07,1
JS2-909,FALSE,FALSE,Major,107382,01d05h49m42,0
JS2-18,FALSE,FALSE,Blocker,1193271,13d19h27m51,0
JS2-619,FALSE,FALSE,Minor,367141,04d05h59m01,0
JS2-883,FALSE,FALSE,Major,166,00d00h02m46,0
JS2-882,FALSE,FALSE,Major,114,00d00h01m54,0
