BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
KAFKA-363,FALSE,FALSE,Minor,10111114,117d00h38m34,0
KAFKA-1147,FALSE,FALSE,Major,25218930,291d21h15m30,0
KAFKA-1142,FALSE,FALSE,Major,1663558,19d06h05m58,0
KAFKA-4461,TRUE,FALSE,Major,5977466,69d04h24m26,0
KAFKA-8860,TRUE,FALSE,Major,2147,00d00h35m47,0
KAFKA-4469,FALSE,FALSE,Major,71196,00d19h46m36,0
KAFKA-4468,TRUE,FALSE,Major,66431674,768d21h14m34,0
KAFKA-4263,TRUE,FALSE,Major,38039466,440d06h31m06,1
KAFKA-4265,FALSE,FALSE,Major,111160,01d06h52m40,0
KAFKA-2899,FALSE,FALSE,Major,91327,01d01h22m07,0
KAFKA-4267,FALSE,FALSE,Major,2058,00d00h34m18,0
KAFKA-4269,TRUE,FALSE,Major,1092754,12d15h32m34,0
KAFKA-489,FALSE,FALSE,Major,795358,09d04h55m58,0
KAFKA-2892,FALSE,FALSE,Major,41377,00d11h29m37,0
KAFKA-2893,FALSE,FALSE,Major,1295117,14d23h45m17,0
KAFKA-642,FALSE,FALSE,Blocker,531316,06d03h35m16,0
KAFKA-640,FALSE,FALSE,Major,88039,01d00h27m19,0
KAFKA-3960,TRUE,FALSE,Blocker,858718,09d22h31m58,0
KAFKA-646,FALSE,FALSE,Blocker,1131806,13d02h23m26,0
KAFKA-3965,FALSE,FALSE,Critical,6703936,77d14h12m16,0
KAFKA-469,FALSE,FALSE,Major,568076,06d13h47m56,0
KAFKA-463,FALSE,FALSE,Blocker,2849998,32d23h39m58,0
KAFKA-460,FALSE,FALSE,Major,79047,00d21h57m27,0
KAFKA-461,FALSE,FALSE,Major,560251,06d11h37m31,0
KAFKA-7941,TRUE,FALSE,Minor,15283508,176d21h25m08,0
KAFKA-464,FALSE,FALSE,Major,195373,02d06h16m13,0
KAFKA-1038,FALSE,FALSE,Major,932636,10d19h03m56,0
KAFKA-1030,FALSE,FALSE,Blocker,1787202,20d16h26m42,0
KAFKA-1036,FALSE,FALSE,Critical,4067850,47d01h57m30,0
KAFKA-2766,FALSE,FALSE,Blocker,14768,00d04h06m08,0
KAFKA-2764,TRUE,FALSE,Major,8693,00d02h24m53,0
KAFKA-2760,FALSE,FALSE,Major,54600,00d15h10m00,0
KAFKA-2768,FALSE,FALSE,Major,598590,06d22h16m30,0
KAFKA-2024,FALSE,FALSE,Major,1635131,18d22h12m11,0
KAFKA-4395,FALSE,FALSE,Major,1183742,13d16h49m02,0
KAFKA-7849,FALSE,FALSE,Minor,19492826,225d14h40m26,0
KAFKA-4392,FALSE,FALSE,Major,2568159,29d17h22m39,0
KAFKA-7844,TRUE,FALSE,Major,292303,03d09h11m43,0
KAFKA-4399,FALSE,FALSE,Blocker,1758555,20d08h29m15,0
KAFKA-6739,TRUE,FALSE,Critical,83306,00d23h08m26,0
KAFKA-6731,FALSE,FALSE,Major,60204,00d16h43m24,0
KAFKA-6732,FALSE,FALSE,Major,44662,00d12h24m22,0
KAFKA-2428,TRUE,FALSE,Major,4865543,56d07h32m23,0
KAFKA-2421,FALSE,FALSE,Major,9695252,112d05h07m32,0
KAFKA-5735,TRUE,FALSE,Major,3226067,37d08h07m47,0
KAFKA-5737,FALSE,FALSE,Major,286775,03d07h39m35,0
KAFKA-5730,TRUE,FALSE,Major,515050,05d23h04m10,0
KAFKA-5731,FALSE,FALSE,Major,349990,04d01h13m10,0
KAFKA-5733,TRUE,FALSE,Major,287085,03d07h44m45,0
KAFKA-4488,TRUE,FALSE,Major,95948,01d02h39m08,0
KAFKA-4481,TRUE,FALSE,Major,3445617,39d21h06m57,0
KAFKA-4480,FALSE,FALSE,Major,2520690,29d04h11m30,0
KAFKA-4483,FALSE,FALSE,Blocker,18662,00d05h11m02,0
KAFKA-1148,FALSE,FALSE,Major,72230024,835d23h53m44,0
KAFKA-4485,FALSE,FALSE,Major,1573597,18d05h06m37,0
