BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
KARAF-2707,FALSE,FALSE,Trivial,286059,03d07h27m39,0
KARAF-3656,FALSE,FALSE,Minor,475070,05d11h57m50,0
KARAF-3653,FALSE,FALSE,Critical,413150,04d18h45m50,0
KARAF-3650,TRUE,FALSE,Major,537115,06d05h11m55,0
KARAF-3659,FALSE,FALSE,Major,282773,03d06h32m53,0
FELIX-2054,FALSE,FALSE,Major,100,00d00h01m40,0
FELIX-2053,FALSE,FALSE,Major,12335,00d03h25m35,0
KARAF-295,FALSE,TRUE,Major,5324542,61d15h02m22,1
KARAF-5673,FALSE,FALSE,Major,2452,00d00h40m52,0
KARAF-2673,FALSE,FALSE,Major,7529,00d02h05m29,1
KARAF-2674,FALSE,FALSE,Major,6141188,71d01h53m08,0
KARAF-2679,TRUE,FALSE,Major,348224,04d00h43m44,0
KARAF-2678,FALSE,FALSE,Major,38848902,449d15h21m42,1
KARAF-5850,FALSE,FALSE,Major,432154,05d00h02m34,0
KARAF-5851,FALSE,FALSE,Minor,148931,01d17h22m11,0
KARAF-889,TRUE,FALSE,Major,462362,05d08h26m02,0
KARAF-6387,FALSE,FALSE,Trivial,225083,02d14h31m23,0
KARAF-6382,FALSE,FALSE,Major,373,00d00h06m13,0
KARAF-6417,FALSE,FALSE,Major,25242,00d07h00m42,0
KARAF-3420,FALSE,FALSE,Minor,523081,06d01h18m01,0
KARAF-6143,FALSE,FALSE,Major,10017519,115d22h38m39,0
KARAF-6413,FALSE,FALSE,Major,222,00d00h03m42,0
KARAF-6144,FALSE,FALSE,Major,154704,01d18h58m24,0
KARAF-6410,TRUE,FALSE,Major,561824,06d12h03m44,0
KARAF-3428,TRUE,TRUE,Major,868377,10d01h12m57,0
KARAF-5541,FALSE,FALSE,Major,147,00d00h02m27,0
KARAF-2264,TRUE,FALSE,Major,19812786,229d07h33m06,0
KARAF-5546,FALSE,FALSE,Major,210377,02d10h26m17,0
KARAF-5547,FALSE,FALSE,Major,5369,00d01h29m29,0
KARAF-2269,FALSE,FALSE,Critical,35571515,411d16h58m35,1
KARAF-2067,FALSE,FALSE,Major,879744,10d04h22m24,0
KARAF-4705,FALSE,FALSE,Major,245657,02d20h14m17,0
KARAF-4704,FALSE,FALSE,Major,3562031,41d05h27m11,0
KARAF-4701,FALSE,FALSE,Major,17254756,199d16h59m16,0
KARAF-4700,FALSE,FALSE,Major,61250,00d17h00m50,0
KARAF-4703,FALSE,FALSE,Minor,509484,05d21h31m24,0
KARAF-5496,FALSE,FALSE,Major,178577,02d01h36m17,0
KARAF-5147,FALSE,FALSE,Major,2072,00d00h34m32,0
KARAF-5143,TRUE,FALSE,Major,780237,09d00h43m57,0
KARAF-6361,FALSE,FALSE,Minor,4306906,49d20h21m46,1
KARAF-6362,FALSE,FALSE,Major,594438,06d21h07m18,0
KARAF-5498,TRUE,FALSE,Major,105356,01d05h15m56,0
KARAF-1391,FALSE,FALSE,Major,3162,00d00h52m42,0
KARAF-2849,FALSE,FALSE,Major,4569,00d01h16m09,0
KARAF-1392,FALSE,FALSE,Major,4473063,51d18h31m03,1
KARAF-575,FALSE,FALSE,Major,734,00d00h12m14,0
KARAF-2846,TRUE,FALSE,Major,13640909,157d21h08m29,0
KARAF-2847,FALSE,FALSE,Major,530834,06d03h27m14,0
KARAF-2840,FALSE,FALSE,Major,1335,00d00h22m15,0
KARAF-4630,FALSE,FALSE,Major,158136,01d19h55m36,0
KARAF-4145,FALSE,FALSE,Major,6230,00d01h43m50,0
KARAF-4636,TRUE,FALSE,Critical,2008159,23d05h49m19,0
ARIES-1618,FALSE,FALSE,Critical,19861593,229d21h06m33,0
KARAF-1262,TRUE,FALSE,Major,1530216,17d17h03m36,0
KARAF-1265,FALSE,FALSE,Major,714440,08d06h27m20,0
KARAF-1267,FALSE,FALSE,Major,323807,03d17h56m47,0
KARAF-1269,FALSE,FALSE,Major,6075537,70d07h38m57,0
KARAF-2285,FALSE,FALSE,Major,951941,11d00h25m41,0
