BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
KNOX-298,FALSE,FALSE,Major,507,00d00h08m27,0
KNOX-294,TRUE,FALSE,Major,136563,01d13h56m03,0
KNOX-920,FALSE,FALSE,Major,437859,05d01h37m39,0
KNOX-921,FALSE,FALSE,Major,18393732,212d21h22m12,0
KNOX-489,TRUE,FALSE,Minor,1293241,14d23h14m01,0
KNOX-488,FALSE,FALSE,Minor,567642,06d13h40m42,0
KNOX-845,TRUE,FALSE,Major,4172659,48d07h04m19,0
KNOX-849,TRUE,FALSE,Major,9103354,105d08h42m34,0
KNOX-108,FALSE,FALSE,Blocker,1024960,11d20h42m40,0
KNOX-485,FALSE,FALSE,Major,704451,08d03h40m51,0
KNOX-467,FALSE,FALSE,Major,924470,10d16h47m50,0
KNOX-1375,TRUE,FALSE,Major,10637,00d02h57m17,0
KNOX-464,FALSE,FALSE,Critical,2342,00d00h39m02,0
KNOX-995,FALSE,FALSE,Blocker,233978,02d16h59m38,0
KNOX-994,TRUE,FALSE,Major,123104,01d10h11m44,0
KNOX-1911,FALSE,FALSE,Major,352194,04d01h49m54,0
KNOX-297,FALSE,FALSE,Critical,338255,03d21h57m35,0
KNOX-748,FALSE,FALSE,Major,417703,04d20h01m43,0
KNOX-749,FALSE,FALSE,Major,9594005,111d01h00m05,0
KNOX-206,FALSE,FALSE,Major,4783508,55d08h45m08,0
KNOX-205,FALSE,FALSE,Major,34198,00d09h29m58,0
KNOX-1187,TRUE,TRUE,Major,4770420,55d05h07m00,0
KNOX-1269,FALSE,TRUE,Major,503,00d00h08m23,0
KNOX-1268,TRUE,FALSE,Critical,33138,00d09h12m18,0
KNOX-1182,TRUE,FALSE,Major,4801594,55d13h46m34,1
KNOX-1264,FALSE,FALSE,Critical,1003794,11d14h49m54,0
KNOX-1267,FALSE,FALSE,Critical,37509,00d10h25m09,0
KNOX-576,FALSE,FALSE,Trivial,87370,01d00h16m10,0
KNOX-1261,FALSE,FALSE,Blocker,37617,00d10h26m57,0
KNOX-1263,FALSE,FALSE,Major,1339,00d00h22m19,0
KNOX-1342,FALSE,FALSE,Major,92,00d00h01m32,0
KNOX-1340,FALSE,TRUE,Major,17431,00d04h50m31,0
KNOX-1341,TRUE,FALSE,Major,107194,01d05h46m34,0
KNOX-1346,TRUE,FALSE,Major,317351,03d16h09m11,0
KNOX-1347,FALSE,FALSE,Major,10375,00d02h52m55,0
KNOX-1344,FALSE,FALSE,Major,2275,00d00h37m55,0
KNOX-1348,FALSE,FALSE,Major,1557,00d00h25m57,0
KNOX-1349,FALSE,FALSE,Major,1068261,12d08h44m21,0
KNOX-776,FALSE,TRUE,Major,20339465,235d09h51m05,0
KNOX-1005,FALSE,FALSE,Major,1219976,14d02h52m56,0
KNOX-1004,FALSE,FALSE,Minor,1119666,12d23h01m06,0
KNOX-1168,FALSE,FALSE,Major,90919,01d01h15m19,0
KNOX-1169,TRUE,FALSE,Major,8436,00d02h20m36,0
KNOX-1001,FALSE,FALSE,Major,4968807,57d12h13m27,0
KNOX-1003,FALSE,FALSE,Major,8509,00d02h21m49,0
KNOX-1160,FALSE,FALSE,Minor,10721087,124d02h04m47,0
KNOX-1166,FALSE,FALSE,Major,11249023,130d04h43m43,0
KNOX-1167,TRUE,FALSE,Major,2463877,28d12h24m37,0
KNOX-1866,FALSE,TRUE,Major,405713,04d16h41m53,0
KNOX-1864,FALSE,FALSE,Major,200788,02d07h46m28,0
KNOX-1988,FALSE,FALSE,Minor,33325,00d09h15m25,0
KNOX-1861,FALSE,FALSE,Major,3375,00d00h56m15,0
KNOX-490,FALSE,FALSE,Major,1208395,13d23h39m55,0
KNOX-337,TRUE,FALSE,Major,1431222,16d13h33m42,0
KNOX-501,FALSE,FALSE,Major,20083,00d05h34m43,0
KNOX-505,FALSE,FALSE,Minor,24390,00d06h46m30,0
KNOX-507,FALSE,FALSE,Major,29579063,342d08h24m23,0
KNOX-112,FALSE,FALSE,Major,5063,00d01h24m23,1
KNOX-96,TRUE,FALSE,Major,7983,00d02h13m03,0
KNOX-95,FALSE,FALSE,Minor,86643,01d00h04m03,0
KNOX-805,TRUE,FALSE,Major,2942596,34d01h23m16,0
KNOX-804,FALSE,FALSE,Major,1052078,12d04h14m38,0
KNOX-530,FALSE,FALSE,Major,352,00d00h05m52,0
KNOX-1379,FALSE,FALSE,Major,10510,00d02h55m10,0
KNOX-603,FALSE,FALSE,Minor,416,00d00h06m56,0
KNOX-601,FALSE,FALSE,Critical,81066,00d22h31m06,0
KNOX-600,FALSE,FALSE,Major,3965183,45d21h26m23,0
KNOX-1289,FALSE,FALSE,Critical,83131,00d23h05m31,0
KNOX-604,TRUE,FALSE,Major,1817912,21d00h58m32,0
KNOX-608,TRUE,FALSE,Major,5776603,66d20h36m43,0
KNOX-890,FALSE,FALSE,Major,790,00d00h13m10,0
KNOX-897,FALSE,FALSE,Major,794913,09d04h48m33,1
KNOX-879,FALSE,FALSE,Major,483624,05d14h20m24,0
KNOX-973,FALSE,FALSE,Major,2175142,25d04h12m22,0
KNOX-972,FALSE,FALSE,Major,3790468,43d20h54m28,0
KNOX-975,FALSE,FALSE,Major,2515957,29d02h52m37,0
KNOX-974,FALSE,FALSE,Major,2370340,27d10h25m40,0
KNOX-977,FALSE,FALSE,Major,1244,00d00h20m44,0
KNOX-873,TRUE,FALSE,Major,92261,01d01h37m41,0
KNOX-874,FALSE,FALSE,Major,702513,08d03h08m33,0
KNOX-875,FALSE,FALSE,Minor,604416,06d23h53m36,0
KNOX-877,FALSE,FALSE,Major,9186,00d02h33m06,0
