BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
KYLIN-3801,FALSE,FALSE,Major,1882539,21d18h55m39,0
KYLIN-3800,FALSE,FALSE,Major,2524876,29d05h21m16,0
KYLIN-746,FALSE,FALSE,Major,13296266,153d21h24m26,0
KYLIN-1140,FALSE,FALSE,Major,1027522,11d21h25m22,0
KYLIN-3808,FALSE,FALSE,Minor,1983116,22d22h51m56,0
KYLIN-747,FALSE,FALSE,Major,19154015,221d16h33m35,1
KYLIN-1148,FALSE,FALSE,Major,92098091,1065d22h48m11,1
KYLIN-1026,FALSE,FALSE,Minor,731,00d00h12m11,0
KYLIN-748,TRUE,FALSE,Major,1999398,23d03h23m18,0
KYLIN-1694,FALSE,FALSE,Major,959811,11d02h36m51,0
KYLIN-2605,FALSE,FALSE,Minor,8352,00d02h19m12,0
KYLIN-2600,FALSE,FALSE,Major,13404236,155d03h23m56,0
KYLIN-3738,FALSE,FALSE,Major,1961170,22d16h46m10,0
KYLIN-3734,FALSE,FALSE,Major,220883,02d13h21m23,0
KYLIN-2608,FALSE,FALSE,Major,152,00d00h02m32,0
KYLIN-2609,FALSE,FALSE,Major,5769,00d01h36m09,0
KYLIN-3731,FALSE,FALSE,Critical,530012,06d03h13m32,0
KYLIN-3730,FALSE,FALSE,Minor,579369,06d16h56m09,0
KYLIN-3636,FALSE,FALSE,Major,3432397,39d17h26m37,0
KYLIN-3634,FALSE,FALSE,Major,1276190,14d18h29m50,0
KYLIN-3635,FALSE,FALSE,Major,940956,10d21h22m36,0
KYLIN-3633,TRUE,FALSE,Major,697361,08d01h42m41,0
KYLIN-1020,FALSE,FALSE,Major,3619,00d01h00m19,0
KYLIN-1704,FALSE,FALSE,Major,30212,00d08h23m32,0
KYLIN-1703,TRUE,FALSE,Major,732295,08d11h24m55,0
KYLIN-547,FALSE,FALSE,Major,3733432,43d05h03m52,0
KYLIN-544,FALSE,FALSE,Blocker,26099,00d07h14m59,0
KYLIN-2197,TRUE,FALSE,Major,423461,04d21h37m41,0
KYLIN-2191,TRUE,FALSE,Major,501252,05d19h14m12,0
KYLIN-3935,FALSE,FALSE,Major,1611735,18d15h42m15,0
KYLIN-3934,FALSE,FALSE,Major,3358172,38d20h49m32,0
KYLIN-3936,TRUE,FALSE,Major,3018677,34d22h31m17,0
KYLIN-948,FALSE,FALSE,Major,2427964,28d02h26m04,0
KYLIN-1027,FALSE,FALSE,Major,1362352,15d18h25m52,0
KYLIN-1491,FALSE,FALSE,Major,19915,00d05h31m55,0
