BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
LENS-1446,FALSE,FALSE,Major,181487,02d02h24m47,0
LENS-470,FALSE,FALSE,Critical,15781,00d04h23m01,0
LENS-326,FALSE,FALSE,Major,57824,00d16h03m44,0
LENS-1241,FALSE,FALSE,Major,2178347,25d05h05m47,0
LENS-734,TRUE,FALSE,Major,24964,00d06h56m04,0
LENS-1242,FALSE,FALSE,Major,286029,03d07h27m09,1
LENS-1245,FALSE,FALSE,Major,245597,02d20h13m17,0
LENS-639,FALSE,FALSE,Minor,3071805,35d13h16m45,0
LENS-1246,FALSE,FALSE,Major,240139,02d18h42m19,0
LENS-982,FALSE,FALSE,Major,2152468,24d21h54m28,0
LENS-983,FALSE,FALSE,Critical,395606,04d13h53m26,0
LENS-980,FALSE,FALSE,Blocker,75078,00d20h51m18,0
LENS-637,FALSE,FALSE,Blocker,247317,02d20h41m57,0
LENS-632,FALSE,FALSE,Major,1013096,11d17h24m56,0
LENS-1338,FALSE,FALSE,Major,184794,02d03h19m54,1
LENS-937,TRUE,FALSE,Major,77336,00d21h28m56,0
LENS-1334,FALSE,FALSE,Major,536583,06d05h03m03,0
LENS-62,FALSE,FALSE,Critical,85410,00d23h43m30,0
LENS-1336,FALSE,FALSE,Blocker,326028,03d18h33m48,1
LENS-1331,FALSE,FALSE,Blocker,103538,01d04h45m38,0
LENS-1239,TRUE,FALSE,Major,20517,00d05h41m57,0
LENS-931,TRUE,FALSE,Major,2238882,25d21h54m42,0
LENS-67,FALSE,FALSE,Major,510982,05d21h56m22,2
LENS-847,FALSE,FALSE,Major,82341,00d22h52m21,0
LENS-180,TRUE,FALSE,Major,1377731,15d22h42m11,0
LENS-1149,FALSE,FALSE,Major,181463,02d02h24m23,0
LENS-1418,FALSE,FALSE,Major,100795,01d03h59m55,0
LENS-1419,FALSE,FALSE,Major,5031,00d01h23m51,0
LENS-1414,FALSE,FALSE,Major,79490,00d22h04m50,0
LENS-1143,TRUE,FALSE,Blocker,2436129,28d04h42m09,1
LENS-1416,TRUE,FALSE,Major,16912,00d04h41m52,0
LENS-1417,TRUE,FALSE,Major,161821,01d20h57m01,0
LENS-1411,FALSE,FALSE,Major,521089,06d00h44m49,0
LENS-849,FALSE,FALSE,Major,55107,00d15h18m27,1
LENS-1413,TRUE,FALSE,Major,356132,04d02h55m32,0
LENS-745,TRUE,FALSE,Major,1006957,11d15h42m37,0
LENS-1481,FALSE,FALSE,Minor,970235,11d05h30m35,0
LENS-1480,FALSE,FALSE,Major,10350156,119d19h02m36,2
LENS-1487,FALSE,FALSE,Major,76484,00d21h14m44,0
LENS-1485,FALSE,FALSE,Major,791428,09d03h50m28,0
LENS-1484,FALSE,FALSE,Major,4626775,53d13h12m55,0
LENS-1527,FALSE,FALSE,Major,68549,00d19h02m29,0
LENS-296,FALSE,FALSE,Major,2073866,24d00h04m26,0
LENS-1468,TRUE,FALSE,Major,340499,03d22h34m59,0
LENS-449,FALSE,FALSE,Critical,85010,00d23h36m50,0
LENS-115,FALSE,FALSE,Trivial,62658,00d17h24m18,0
LENS-114,FALSE,FALSE,Major,71266,00d19h47m46,0
LENS-117,FALSE,FALSE,Major,30650,00d08h30m50,0
LENS-1465,FALSE,FALSE,Major,172873,02d00h01m13,0
LENS-1464,FALSE,FALSE,Major,173269,02d00h07m49,0
LENS-1467,TRUE,FALSE,Major,161660,01d20h54m20,0
LENS-1466,TRUE,FALSE,Major,331065,03d19h57m45,0
LENS-599,FALSE,FALSE,Major,157951,01d19h52m31,0
LENS-596,TRUE,FALSE,Critical,249465,02d21h17m45,0
LENS-181,FALSE,TRUE,Major,1019016,11d19h03m36,0
LENS-368,FALSE,FALSE,Major,374877,04d08h07m57,0
LENS-369,TRUE,FALSE,Critical,11548,00d03h12m28,0
LENS-362,TRUE,FALSE,Critical,41215,00d11h26m55,0
LENS-363,TRUE,FALSE,Critical,40058,00d11h07m38,0
LENS-361,TRUE,FALSE,Critical,105534,01d05h18m54,1
LENS-366,FALSE,FALSE,Minor,2224660,25d17h57m40,0
LENS-364,FALSE,FALSE,Major,425097,04d22h04m57,0
LENS-365,FALSE,FALSE,Major,512886,05d22h28m06,0
LENS-168,FALSE,FALSE,Major,5971083,69d02h38m03,0
LENS-1228,TRUE,FALSE,Major,76069,00d21h07m49,0
LENS-203,TRUE,TRUE,Major,622162,07d04h49m22,0
LENS-202,FALSE,FALSE,Major,3189938,36d22h05m38,0
LENS-206,FALSE,FALSE,Blocker,363864,04d05h04m24,0
LENS-161,TRUE,FALSE,Major,413768,04d18h56m08,0
LENS-163,FALSE,FALSE,Major,2412094,27d22h01m34,1
LENS-946,TRUE,FALSE,Major,418710,04d20h18m30,0
LENS-1361,FALSE,FALSE,Major,236417,02d17h40m17,0
LENS-1369,TRUE,TRUE,Major,1315607,15d05h26m47,0
LENS-1510,FALSE,FALSE,Major,13919,00d03h51m59,0
LENS-1513,FALSE,FALSE,Major,765,00d00h12m45,0
LENS-71,FALSE,FALSE,Major,2942687,34d01h24m47,0
LENS-1515,FALSE,FALSE,Major,21410,00d05h56m50,0
LENS-1516,FALSE,FALSE,Major,3906,00d01h05m06,0
LENS-1518,FALSE,FALSE,Major,6423,00d01h47m03,0
LENS-703,FALSE,FALSE,Major,9372,00d02h36m12,0
LENS-210,FALSE,FALSE,Major,17186946,198d22h09m06,1
LENS-211,FALSE,FALSE,Minor,1110051,12d20h20m51,0
LENS-730,FALSE,FALSE,Major,22264981,257d16h43m01,0
LENS-70,FALSE,FALSE,Major,174716,02d00h31m56,0
LENS-1199,FALSE,FALSE,Major,2871991,33d05h46m31,0
LENS-1197,FALSE,FALSE,Major,6805564,78d18h26m04,0
LENS-1208,FALSE,FALSE,Critical,82388,00d22h53m08,0
LENS-1205,FALSE,FALSE,Major,137395,01d14h09m55,0
LENS-1200,FALSE,FALSE,Major,1228791,14d05h19m51,1
LENS-838,FALSE,FALSE,Major,396642,04d14h10m42,0
LENS-1033,FALSE,FALSE,Major,327568,03d18h59m28,0
LENS-1030,TRUE,FALSE,Minor,6656126,77d00h55m26,0
LENS-832,TRUE,FALSE,Major,515602,05d23h13m22,0
LENS-1034,FALSE,FALSE,Major,332417,03d20h20m17,0
LENS-406,FALSE,FALSE,Critical,94756,01d02h19m16,0
LENS-1427,FALSE,FALSE,Major,423519,04d21h38m39,0
LENS-1420,FALSE,FALSE,Major,256185,02d23h09m45,0
LENS-1429,FALSE,FALSE,Major,422480,04d21h21m20,0
LENS-1428,FALSE,FALSE,Major,421892,04d21h11m32,0
LENS-421,FALSE,FALSE,Major,85951,00d23h52m31,0
LENS-795,FALSE,FALSE,Major,494256,05d17h17m36,0
LENS-792,FALSE,FALSE,Major,617023,07d03h23m43,0
LENS-791,TRUE,TRUE,Major,11153416,129d02h10m16,0
LENS-881,FALSE,FALSE,Major,68781,00d19h06m21,0
LENS-887,TRUE,FALSE,Major,1568604,18d03h43m24,0
LENS-538,TRUE,FALSE,Critical,4281,00d01h11m21,0
LENS-244,FALSE,FALSE,Major,7716033,89d07h20m33,0
LENS-537,FALSE,FALSE,Major,11710,00d03h15m10,0
LENS-534,FALSE,FALSE,Blocker,74252,00d20h37m32,0
LENS-125,FALSE,FALSE,Major,168563,01d22h49m23,1
LENS-126,FALSE,FALSE,Major,241633,02d19h07m13,0
LENS-121,FALSE,FALSE,Critical,3023,00d00h50m23,0
LENS-14,TRUE,FALSE,Major,968034,11d04h53m54,0
LENS-331,FALSE,FALSE,Major,2763543,31d23h39m03,0
LENS-330,FALSE,FALSE,Major,805185,09d07h39m45,0
LENS-335,FALSE,FALSE,Blocker,6359,00d01h45m59,0
LENS-339,FALSE,FALSE,Major,7709693,89d05h34m53,0
LENS-234,FALSE,FALSE,Major,507526,05d20h58m46,0
LENS-1478,FALSE,FALSE,Major,4128,00d01h08m48,0
LENS-236,TRUE,TRUE,Major,860267,09d22h57m47,0
LENS-1250,FALSE,FALSE,Major,68110,00d18h55m10,0
LENS-1398,FALSE,FALSE,Major,2164315,25d01h11m55,1
LENS-1254,FALSE,FALSE,Major,67152,00d18h39m12,0
LENS-1390,FALSE,FALSE,Major,38458,00d10h40m58,0
LENS-991,FALSE,FALSE,Major,9158573,106d00h02m53,0
LENS-1396,TRUE,FALSE,Major,3721299,43d01h41m39,0
LENS-993,FALSE,FALSE,Major,364428,04d05h13m48,0
LENS-51,FALSE,FALSE,Minor,362028,04d04h33m48,0
LENS-1476,FALSE,FALSE,Major,88434,01d00h33m54,0
LENS-907,FALSE,FALSE,Major,526086,06d02h08m06,0
LENS-905,FALSE,FALSE,Major,67487,00d18h44m47,0
LENS-1326,FALSE,FALSE,Major,1292713,14d23h05m13,0
LENS-1475,FALSE,FALSE,Major,242849,02d19h27m29,0
LENS-1323,FALSE,FALSE,Major,72829,00d20h13m49,0
LENS-1321,FALSE,FALSE,Major,425374,04d22h09m34,0
LENS-196,FALSE,FALSE,Critical,82582,00d22h56m22,0
LENS-191,FALSE,FALSE,Major,519759,06d00h22m39,0
LENS-190,TRUE,FALSE,Major,1899486,21d23h38m06,0
LENS-1174,FALSE,TRUE,Major,95360,01d02h29m20,0
LENS-1170,FALSE,TRUE,Major,116801,01d08h26m41,0
LENS-698,FALSE,FALSE,Minor,45637,00d12h40m37,0
LENS-756,FALSE,FALSE,Major,1833730,21d05h22m10,0
LENS-61,FALSE,FALSE,Critical,78680,00d21h51m20,0
LENS-63,FALSE,FALSE,Critical,77806,00d21h36m46,0
LENS-1495,TRUE,FALSE,Major,107516,01d05h51m56,0
LENS-1497,FALSE,FALSE,Major,2822533,32d16h02m13,0
LENS-1491,FALSE,FALSE,Major,74530,00d20h42m10,0
LENS-1492,FALSE,FALSE,Major,28577,00d07h56m17,0
LENS-1493,TRUE,FALSE,Major,1043085,12d01h44m45,0
LENS-287,FALSE,FALSE,Blocker,213507,02d11h18m27,0
LENS-576,TRUE,FALSE,Critical,10888856,126d00h40m56,0
LENS-575,FALSE,FALSE,Major,1828959,21d04h02m39,0
LENS-574,FALSE,FALSE,Major,3887284,44d23h48m04,0
LENS-1472,FALSE,FALSE,Major,102917,01d04h35m17,0
LENS-1473,FALSE,FALSE,Major,10341,00d02h52m21,0
LENS-1471,FALSE,FALSE,Major,84098,00d23h21m38,0
LENS-472,FALSE,FALSE,Major,607194,07d00h39m54,0
LENS-1477,FALSE,FALSE,Major,7570,00d02h06m10,0
LENS-1474,FALSE,FALSE,Major,176715,02d01h05m15,0
LENS-471,FALSE,FALSE,Critical,15825,00d04h23m45,0
LENS-870,FALSE,FALSE,Major,71738,00d19h55m38,0
LENS-871,TRUE,FALSE,Major,163420,01d21h23m40,0
LENS-379,FALSE,FALSE,Critical,5235,00d01h27m15,0
LENS-375,FALSE,FALSE,Major,281484,03d06h11m24,0
LENS-370,TRUE,FALSE,Major,23585,00d06h33m05,0
LENS-275,FALSE,FALSE,Critical,93989,01d02h06m29,0
LENS-276,TRUE,FALSE,Major,393698,04d13h21m38,0
LENS-277,FALSE,FALSE,Major,94804,01d02h20m04,0
LENS-272,FALSE,FALSE,Major,187626,02d04h07m06,0
LENS-273,TRUE,FALSE,Critical,183231,02d02h53m51,0
LENS-173,FALSE,TRUE,Major,974070,11d06h34m30,0
LENS-172,FALSE,FALSE,Major,2080474,24d01h54m34,0
LENS-278,FALSE,FALSE,Blocker,220995,02d13h23m15,0
LENS-1357,FALSE,FALSE,Major,1805168,20d21h26m08,0
LENS-1355,FALSE,FALSE,Major,237521,02d17h58m41,0
LENS-1358,FALSE,FALSE,Major,341975,03d22h59m35,0
LENS-308,TRUE,FALSE,Critical,1748285,20d05h38m05,0
LENS-309,TRUE,FALSE,Major,412201,04d18h30m01,0
LENS-91,FALSE,FALSE,Major,1372546,15d21h15m46,0
LENS-92,FALSE,FALSE,Major,691742,08d00h09m02,0
LENS-94,FALSE,FALSE,Major,537464,06d05h17m44,0
LENS-306,FALSE,FALSE,Major,418522,04d20h15m22,0
LENS-1502,FALSE,FALSE,Major,12619057,146d01h17m37,0
LENS-1500,FALSE,TRUE,Major,1722352,19d22h25m52,0
LENS-1501,FALSE,FALSE,Major,124,00d00h02m04,0
LENS-1507,FALSE,FALSE,Major,74533,00d20h42m13,0
LENS-717,FALSE,FALSE,Major,344626,03d23h43m46,0
LENS-715,FALSE,FALSE,Major,433903,05d00h31m43,0
LENS-712,FALSE,FALSE,Major,184675,02d03h17m55,0
LENS-776,FALSE,FALSE,Major,435076,05d00h51m16,0
LENS-1182,FALSE,FALSE,Major,596992,06d21h49m52,0
LENS-951,FALSE,FALSE,Major,603205,06d23h33m25,0
LENS-953,FALSE,FALSE,Minor,2950934,34d03h42m14,0
LENS-1215,FALSE,FALSE,Major,429133,04d23h12m13,0
LENS-955,FALSE,FALSE,Major,14276240,165d05h37m20,0
LENS-954,FALSE,FALSE,Minor,1579631,18d06h47m11,0
LENS-1211,FALSE,FALSE,Major,602896,06d23h28m16,0
LENS-821,FALSE,FALSE,Major,172145,01d23h49m05,1
LENS-439,FALSE,FALSE,Critical,2073,00d00h34m33,0
LENS-825,TRUE,FALSE,Major,16783900,194d06h11m40,0
LENS-826,FALSE,FALSE,Minor,2944288,34d01h51m28,0
LENS-433,FALSE,TRUE,Major,3023571,34d23h52m51,0
LENS-430,FALSE,FALSE,Minor,206454,02d09h20m54,0
LENS-431,FALSE,FALSE,Critical,9773,00d02h42m53,0
LENS-436,TRUE,FALSE,Major,1969390,22d19h03m10,0
LENS-435,TRUE,FALSE,Major,1126,00d00h18m46,0
LENS-1434,TRUE,FALSE,Major,6854,00d01h54m14,0
LENS-1435,FALSE,FALSE,Major,1442,00d00h24m02,0
LENS-1432,TRUE,FALSE,Major,88921,01d00h42m01,0
LENS-1433,FALSE,FALSE,Major,696537,08d01h28m57,0
LENS-1430,FALSE,FALSE,Major,425402,04d22h10m02,0
LENS-1431,TRUE,FALSE,Major,108804,01d06h13m24,0
LENS-1438,TRUE,FALSE,Major,258776,02d23h52m56,0
LENS-1439,FALSE,FALSE,Major,6988341,80d21h12m21,1
LENS-484,TRUE,TRUE,Major,5165704,59d18h55m04,0
LENS-480,TRUE,FALSE,Major,659527,07d15h12m07,1
LENS-179,TRUE,FALSE,Major,1930960,22d08h22m40,0
LENS-507,FALSE,FALSE,Critical,84352,00d23h25m52,0
LENS-500,FALSE,FALSE,Critical,73059,00d20h17m39,0
LENS-131,FALSE,FALSE,Major,3138125,36d07h42m05,0
LENS-130,FALSE,FALSE,Critical,23638,00d06h33m58,1
LENS-611,FALSE,FALSE,Major,95542,01d02h32m22,1
LENS-964,TRUE,TRUE,Major,1025518,11d20h51m58,0
LENS-342,FALSE,FALSE,Major,3087132,35d17h32m12,0
LENS-343,FALSE,FALSE,Critical,7139,00d01h58m59,0
LENS-223,TRUE,FALSE,Critical,81345,00d22h35m45,0
LENS-241,FALSE,FALSE,Major,209250,02d10h07m30,0
LENS-227,TRUE,FALSE,Critical,86190,00d23h56m30,0
LENS-226,TRUE,FALSE,Major,87171,01d00h12m51,0
LENS-225,FALSE,FALSE,Critical,934699,10d19h38m19,1
LENS-224,TRUE,FALSE,Major,21529589,249d04h26m29,0
LENS-613,FALSE,FALSE,Minor,17464,00d04h51m04,0
LENS-963,FALSE,FALSE,Major,60811,00d16h53m31,0
LENS-616,FALSE,FALSE,Critical,13242,00d03h40m42,0
LENS-617,FALSE,FALSE,Major,9916,00d02h45m16,0
LENS-1264,TRUE,FALSE,Major,300133,03d11h22m13,0
LENS-1269,FALSE,FALSE,Major,1213154,14d00h59m14,0
LENS-1268,FALSE,FALSE,Major,76393,00d21h13m13,0
LENS-46,FALSE,FALSE,Critical,258137,02d23h42m17,0
LENS-47,FALSE,FALSE,Minor,511286,05d22h01m26,0
LENS-917,TRUE,FALSE,Major,89667,01d00h54m27,0
LENS-916,FALSE,FALSE,Minor,1301747,15d01h35m47,0
LENS-913,TRUE,FALSE,Minor,262298,03d00h51m38,0
LENS-1319,TRUE,FALSE,Major,525806,06d02h03m26,0
LENS-918,FALSE,FALSE,Minor,7872490,91d02h48m10,0
LENS-1160,TRUE,FALSE,Major,1059666,12d06h21m06,0
LENS-1164,TRUE,FALSE,Major,1046962,12d02h49m22,0
LENS-1167,FALSE,TRUE,Major,158471,01d20h01m11,0
LENS-1169,TRUE,TRUE,Major,102634,01d04h30m34,0
LENS-348,FALSE,FALSE,Major,221257,02d13h27m37,0
