BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
LOG4J2-946,FALSE,FALSE,Major,4215,00d01h10m15,0
LOG4J2-1180,TRUE,FALSE,Major,18936414,219d04h06m54,1
LOG4J2-855,FALSE,FALSE,Major,5881,00d01h38m01,0
LOG4J2-1058,TRUE,FALSE,Minor,66951,00d18h35m51,0
LOG4J2-1506,FALSE,FALSE,Major,4316916,49d23h08m36,1
LOG4J2-1504,TRUE,FALSE,Major,1085765,12d13h36m05,0
LOG4J2-1502,TRUE,TRUE,Major,1851977,21d10h26m17,0
LOG4J2-1051,FALSE,FALSE,Major,39865334,461d09h42m14,1
LOG4J2-1500,FALSE,FALSE,Major,19725,00d05h28m45,0
LOG4J2-1501,FALSE,FALSE,Major,155178,01d19h06m18,0
LOG4J2-1117,FALSE,FALSE,Minor,139024,01d14h37m04,0
LOG4J2-1110,FALSE,FALSE,Major,609,00d00h10m09,0
LOG4J2-1294,TRUE,FALSE,Major,180,00d00h03m00,0
LOG4J2-622,TRUE,FALSE,Major,4540635,52d13h17m15,0
LOG4J2-704,FALSE,FALSE,Minor,1806290,20d21h44m50,0
LOG4J2-705,TRUE,FALSE,Major,269612,03d02h53m32,0
LOG4J2-707,FALSE,FALSE,Major,133,00d00h02m13,0
LOG4J2-702,FALSE,FALSE,Critical,40003427,463d00h03m47,1
LOG4J2-703,FALSE,FALSE,Blocker,623973,07d05h19m33,1
LOG4J2-335,FALSE,FALSE,Major,3990,00d01h06m30,0
LOG4J2-336,TRUE,FALSE,Major,618457,07d03h47m37,0
LOG4J2-331,FALSE,FALSE,Major,90388,01d01h06m28,0
LOG4J2-709,FALSE,FALSE,Major,677,00d00h11m17,0
LOG4J2-2457,FALSE,FALSE,Major,1966139,22d18h08m59,0
LOG4J2-1372,FALSE,FALSE,Minor,13039,00d03h37m19,0
LOG4J2-631,FALSE,FALSE,Major,5724274,66d06h04m34,0
LOG4J2-634,TRUE,FALSE,Major,53721,00d14h55m21,0
LOG4J2-1474,TRUE,FALSE,Major,11636034,134d16h13m54,0
LOG4J2-637,TRUE,FALSE,Major,2674518,30d22h55m18,0
LOG4J2-1573,FALSE,FALSE,Minor,546546,06d07h49m06,0
LOG4J2-639,TRUE,FALSE,Major,168563,01d22h49m23,0
LOG4J2-1570,TRUE,FALSE,Minor,74380672,860d21h17m52,0
LOG4J2-430,FALSE,FALSE,Major,6947868,80d09h57m48,0
LOG4J2-149,TRUE,FALSE,Major,104776,01d05h06m16,0
LOG4J2-410,TRUE,FALSE,Major,13585366,157d05h42m46,0
LOG4J2-147,FALSE,FALSE,Major,456655,05d06h50m55,0
LOG4J2-144,FALSE,FALSE,Major,498,00d00h08m18,0
LOG4J2-145,FALSE,FALSE,Major,84,00d00h01m24,0
LOG4J2-1872,FALSE,FALSE,Major,14947,00d04h09m07,0
LOG4J2-143,TRUE,FALSE,Major,236,00d00h03m56,0
LOG4J2-140,FALSE,FALSE,Trivial,21497,00d05h58m17,0
LOG4J2-141,FALSE,FALSE,Minor,45841651,530d13h47m31,0
LOG4J2-793,TRUE,FALSE,Minor,389495,04d12h11m35,0
LOG4J2-1971,TRUE,FALSE,Major,483484,05d14h18m04,1
LOG4J2-380,TRUE,FALSE,Major,154561,01d18h56m01,0
LOG4J2-381,TRUE,FALSE,Major,70014398,810d08h26m38,0
LOG4J2-799,FALSE,FALSE,Critical,36188483,418d20h21m23,0
LOG4J2-798,FALSE,FALSE,Major,2628326,30d10h05m26,0
LOG4J2-385,TRUE,FALSE,Major,12880115,149d01h48m35,0
LOG4J2-2271,FALSE,FALSE,Major,16592,00d04h36m32,0
LOG4J2-2270,FALSE,FALSE,Minor,11349,00d03h09m09,0
LOG4J2-71,TRUE,FALSE,Major,755,00d00h12m35,0
LOG4J2-77,FALSE,FALSE,Major,290,00d00h04m50,0
