BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
LUCENE-6076,FALSE,FALSE,Minor,96463,01d02h47m43,0
LUCENE-6075,FALSE,FALSE,Major,599624,06d22h33m44,1
SOLR-11929,FALSE,FALSE,Major,5527180,63d23h19m40,0
SOLR-2934,FALSE,FALSE,Major,71218801,824d07h00m01,1
LUCENE-6070,FALSE,FALSE,Major,105241,01d05h14m01,0
SOLR-5317,TRUE,FALSE,Critical,215184,02d11h46m24,0
LUCENE-3356,FALSE,FALSE,Major,479290,05d13h08m10,0
SOLR-8095,FALSE,FALSE,Major,750111,08d16h21m51,0
SOLR-8094,FALSE,FALSE,Major,845794,09d18h56m34,0
LUCENE-6421,TRUE,FALSE,Major,126801,01d11h13m21,1
SOLR-3819,FALSE,FALSE,Major,16738397,193d17h33m17,0
SOLR-9917,FALSE,FALSE,Major,156855,01d19h34m15,0
SOLR-10130,FALSE,FALSE,Blocker,180037,02d02h00m37,0
SOLR-5090,FALSE,FALSE,Major,24129502,279d06h38m22,0
LUCENE-1905,TRUE,FALSE,Blocker,10024,00d02h47m04,0
SOLR-10134,TRUE,FALSE,Major,1298376,15d00h39m36,0
LUCENE-2168,FALSE,FALSE,Minor,567,00d00h09m27,0
SOLR-3281,FALSE,FALSE,Major,44324,00d12h18m44,0
SOLR-10137,FALSE,FALSE,Major,9170857,106d03h27m37,0
SOLR-10138,TRUE,FALSE,Major,44549,00d12h22m29,0
LUCENE-2166,FALSE,FALSE,Trivial,625,00d00h10m25,0
LUCENE-4705,TRUE,FALSE,Major,2824,00d00h47m04,0
LUCENE-3057,FALSE,FALSE,Minor,72296,00d20h04m56,0
SOLR-3737,TRUE,FALSE,Major,2363,00d00h39m23,0
SOLR-3734,FALSE,FALSE,Major,4004142,46d08h15m42,0
SOLR-3730,TRUE,FALSE,Minor,1339902,15d12h11m42,0
SOLR-7452,TRUE,FALSE,Major,67762238,784d06h50m38,0
LUCENE-6677,TRUE,FALSE,Major,12834,00d03h33m54,0
SOLR-1624,FALSE,FALSE,Major,250365,02d21h32m45,0
LUCENE-6673,FALSE,FALSE,Minor,70369454,814d11h04m14,0
SOLR-2135,FALSE,FALSE,Minor,268050,03d02h27m30,0
SOLR-898,TRUE,FALSE,Minor,4416,00d01h13m36,0
LUCENE-4596,TRUE,FALSE,Blocker,160553,01d20h35m53,0
SOLR-1469,TRUE,FALSE,Major,26668489,308d15h54m49,0
SOLR-1468,FALSE,FALSE,Major,496,00d00h08m16,0
LUCENE-3619,FALSE,FALSE,Major,70213,00d19h30m13,0
SOLR-3518,FALSE,FALSE,Minor,7988320,92d10h58m40,0
SOLR-10480,FALSE,FALSE,Major,1172163,13d13h36m03,0
SOLR-8276,FALSE,FALSE,Major,4124952,47d17h49m12,0
SOLR-3515,FALSE,FALSE,Major,58072,00d16h07m52,0
SOLR-1466,FALSE,FALSE,Major,34169,00d09h29m29,1
SOLR-1736,FALSE,FALSE,Minor,799436,09d06h03m56,0
SOLR-10169,FALSE,FALSE,Major,36391969,421d04h52m49,0
LUCENE-6105,TRUE,FALSE,Blocker,6653050,77d00h04m10,1
SOLR-7856,FALSE,FALSE,Minor,3460793,40d01h19m53,0
LUCENE-4660,FALSE,FALSE,Major,6701,00d01h51m41,0
SOLR-7855,TRUE,FALSE,Major,792481,09d04h08m01,0
SOLR-7852,FALSE,FALSE,Minor,1393,00d00h23m13,0
SOLR-7851,FALSE,FALSE,Minor,14707,00d04h05m07,0
SOLR-1744,FALSE,FALSE,Major,182886,02d02h48m06,0
LUCENE-6078,TRUE,FALSE,Major,8496,00d02h21m36,0
LUCENE-5131,FALSE,FALSE,Major,63969,00d17h46m09,0
SOLR-7858,FALSE,FALSE,Minor,19190840,222d02h47m20,0
SOLR-1745,FALSE,FALSE,Major,182837,02d02h47m17,0
LUCENE-3768,TRUE,FALSE,Major,450170,05d05h02m50,0
SOLR-11426,TRUE,FALSE,Major,8341340,96d13h02m20,0
SOLR-1746,FALSE,FALSE,Major,182506,02d02h41m46,0
SOLR-5099,TRUE,FALSE,Critical,1948651,22d13h17m31,1
SOLR-3628,FALSE,FALSE,Major,4923152,56d23h32m32,0
LUCENE-4664,TRUE,FALSE,Minor,60167,00d16h42m47,0
LUCENE-2504,TRUE,FALSE,Major,71017436,821d23h03m56,1
LUCENE-5931,TRUE,FALSE,Critical,55454441,641d20h00m41,0
LUCENE-3765,TRUE,FALSE,Major,24772,00d06h52m52,0
SOLR-7614,FALSE,FALSE,Major,210229,02d10h23m49,0
LUCENE-8892,FALSE,FALSE,Trivial,2391322,27d16h15m22,0
SOLR-10004,FALSE,FALSE,Major,13809929,159d20h05m29,0
SOLR-9873,FALSE,FALSE,Minor,21591,00d05h59m51,0
SOLR-9707,FALSE,FALSE,Major,3658143,42d08h09m03,0
SOLR-10001,TRUE,FALSE,Major,26571,00d07h22m51,0
SOLR-4555,FALSE,FALSE,Minor,61502,00d17h05m02,0
SOLR-8655,FALSE,FALSE,Major,6107,00d01h41m47,0
SOLR-8870,FALSE,FALSE,Minor,5382389,62d07h06m29,1
SOLR-8657,TRUE,FALSE,Major,12273798,142d01h23m18,0
SOLR-8656,FALSE,FALSE,Minor,6323939,73d04h38m59,1
SOLR-8875,FALSE,FALSE,Major,7841797,90d18h16m37,1
SOLR-10269,TRUE,FALSE,Major,17851,00d04h57m31,0
LUCENE-478,FALSE,FALSE,Minor,21418192,247d21h29m52,0
LUCENE-479,FALSE,FALSE,Minor,67294,00d18h41m34,0
SOLR-10264,TRUE,FALSE,Minor,2426299,28d01h58m19,0
SOLR-4373,FALSE,FALSE,Major,3615009,41d20h10m09,0
SOLR-10266,FALSE,FALSE,Major,339199,03d22h13m19,0
SOLR-4371,FALSE,FALSE,Minor,3873166,44d19h52m46,0
SOLR-4376,FALSE,FALSE,Minor,25621739,296d13h08m59,0
SOLR-10261,TRUE,FALSE,Major,29167358,337d14h02m38,0
SOLR-5442,TRUE,FALSE,Major,79726,00d22h08m46,0
LUCENE-1040,TRUE,FALSE,Major,27735936,321d00h25m36,0
LUCENE-4894,FALSE,FALSE,Minor,9464340,109d12h59m00,0
LUCENE-7079,FALSE,FALSE,Major,99112,01d03h31m52,0
LUCENE-7077,FALSE,FALSE,Major,34515,00d09h35m15,0
LUCENE-7070,TRUE,FALSE,Major,5485,00d01h31m25,0
LUCENE-7073,TRUE,FALSE,Major,31650,00d08h47m30,0
SOLR-4088,FALSE,FALSE,Major,3503567,40d13h12m47,1
LUCENE-25,FALSE,FALSE,Major,201963861,2337d13h04m21,0
LUCENE-1092,TRUE,FALSE,Major,413,00d00h06m53,0
LUCENE-2796,TRUE,FALSE,Major,12075055,139d18h10m55,0
LUCENE-2820,TRUE,FALSE,Major,134788,01d13h26m28,1
LUCENE-2822,TRUE,FALSE,Major,28413510,328d20h38m30,0
LUCENE-7303,TRUE,FALSE,Minor,1454,00d00h24m14,0
SOLR-4776,FALSE,FALSE,Minor,59896,00d16h38m16,0
SOLR-13116,FALSE,TRUE,Major,1175579,13d14h32m59,0
SOLR-4773,FALSE,FALSE,Major,27816388,321d22h46m28,1
LUCENE-2216,FALSE,FALSE,Minor,26874039,311d01h00m39,1
SOLR-13449,FALSE,TRUE,Major,92684,01d01h44m44,1
SOLR-4096,FALSE,FALSE,Minor,1708,00d00h28m28,0
SOLR-10316,FALSE,FALSE,Major,3939143,45d14h12m23,0
LUCENE-7090,TRUE,FALSE,Major,27864,00d07h44m24,0
SOLR-3287,FALSE,FALSE,Blocker,13293,00d03h41m33,0
SOLR-9290,FALSE,FALSE,Critical,703721,08d03h28m41,1
SOLR-12247,FALSE,FALSE,Major,3304833,38d06h00m33,0
LUCENE-696,TRUE,FALSE,Major,28461,00d07h54m21,0
LUCENE-2875,FALSE,TRUE,Major,8838,00d02h27m18,0
SOLR-12243,TRUE,FALSE,Major,17279465,199d23h51m05,0
SOLR-331,TRUE,FALSE,Major,91626,01d01h27m06,0
LUCENE-698,FALSE,FALSE,Minor,18816563,217d18h49m23,0
SOLR-12248,TRUE,FALSE,Minor,32279944,373d14h39m04,0
SOLR-12249,TRUE,FALSE,Minor,35474101,410d13h55m01,0
SOLR-4814,TRUE,FALSE,Major,897925,10d09h25m25,0
SOLR-333,FALSE,FALSE,Major,453803,05d06h03m23,0
LUCENE-504,TRUE,FALSE,Minor,116281357,1345d20h22m37,0
LUCENE-3378,TRUE,FALSE,Major,20383,00d05h39m43,0
SOLR-9058,FALSE,FALSE,Minor,1509546,17d11h19m06,1
SOLR-9059,FALSE,FALSE,Major,1489055,17d05h37m35,1
LUCENE-4415,FALSE,FALSE,Blocker,68699,00d19h04m59,0
LUCENE-2359,TRUE,TRUE,Minor,20833519,241d03h05m19,1
SOLR-12187,TRUE,FALSE,Major,1245176,14d09h52m56,0
LUCENE-3372,FALSE,FALSE,Major,10832,00d03h00m32,0
SOLR-10868,FALSE,FALSE,Major,71889,00d19h58m09,0
LUCENE-7676,TRUE,FALSE,Minor,189009,02d04h30m09,0
SOLR-7635,FALSE,FALSE,Minor,818571,09d11h22m51,0
LUCENE-1143,FALSE,FALSE,Major,2125,00d00h35m25,0
SOLR-1601,TRUE,FALSE,Trivial,32833,00d09h07m13,0
SOLR-1600,FALSE,FALSE,Minor,14497,00d04h01m37,0
LUCENE-7670,FALSE,TRUE,Major,26809,00d07h26m49,0
SOLR-12648,TRUE,FALSE,Major,4759741,55d02h09m01,1
SOLR-12649,TRUE,TRUE,Major,4627933,53d13h32m13,0
LUCENE-1928,FALSE,FALSE,Major,483257,05d14h14m17,0
LUCENE-1929,TRUE,FALSE,Major,1912038,22d03h07m18,0
LUCENE-7679,TRUE,FALSE,Major,175734,02d00h48m54,0
SOLR-4426,FALSE,FALSE,Major,50008,00d13h53m28,0
LUCENE-7472,TRUE,FALSE,Major,329645,03d19h34m05,0
LUCENE-2953,FALSE,TRUE,Major,115368,01d08h02m48,0
SOLR-4178,TRUE,FALSE,Minor,867,00d00h14m27,0
LUCENE-7476,TRUE,FALSE,Trivial,369406,04d06h36m46,0
SOLR-9903,FALSE,FALSE,Major,3772643,43d15h57m23,0
SOLR-9900,TRUE,FALSE,Minor,133394,01d13h03m14,0
SOLR-4170,TRUE,FALSE,Major,2291685,26d12h34m45,0
SOLR-13206,TRUE,FALSE,Minor,14486003,167d15h53m23,0
LUCENE-4948,FALSE,FALSE,Major,3280,00d00h54m40,0
LUCENE-8192,FALSE,FALSE,Major,1936719,22d09h58m39,0
LUCENE-8191,TRUE,FALSE,Major,3461,00d00h57m41,0
LUCENE-8624,FALSE,FALSE,Minor,49253,00d13h40m53,0
LUCENE-8625,TRUE,FALSE,Minor,52668,00d14h37m48,0
LUCENE-8627,FALSE,FALSE,Major,148548,01d17h15m48,0
LUCENE-7690,TRUE,FALSE,Major,12889,00d03h34m49,0
SOLR-721,TRUE,FALSE,Major,3976085,46d00h28m05,0
LUCENE-7695,TRUE,FALSE,Major,1820037,21d01h33m57,0
LUCENE-5103,FALSE,FALSE,Major,197873,02d06h57m53,0
SOLR-5426,TRUE,FALSE,Minor,18898655,218d17h37m35,0
SOLR-3649,TRUE,FALSE,Minor,2120546,24d13h02m26,0
SOLR-1584,FALSE,FALSE,Minor,187985,02d04h13m05,0
LUCENE-1357,FALSE,FALSE,Minor,2201533,25d11h32m13,0
LUCENE-3971,TRUE,FALSE,Major,235698,02d17h28m18,0
LUCENE-4250,TRUE,FALSE,Major,178459,02d01h34m19,0
LUCENE-4521,TRUE,FALSE,Major,667,00d00h11m07,0
SOLR-5174,FALSE,FALSE,Minor,2635,00d00h43m55,0
SOLR-5173,FALSE,FALSE,Blocker,196732,02d06h38m52,0
SOLR-5171,FALSE,FALSE,Minor,192120,02d05h22m00,0
LUCENE-8281,FALSE,FALSE,Major,2848649,32d23h17m29,1
LUCENE-4529,TRUE,FALSE,Blocker,84587,00d23h29m47,0
LUCENE-3208,TRUE,TRUE,Major,49394,00d13h43m14,0
SOLR-1117,FALSE,FALSE,Trivial,198,00d00h03m18,0
LUCENE-7214,TRUE,FALSE,Major,2208,00d00h36m48,0
LUCENE-7213,TRUE,FALSE,Major,16911,00d04h41m51,0
LUCENE-8534,FALSE,FALSE,Blocker,1365334,15d19h15m34,0
SOLR-11406,TRUE,FALSE,Blocker,189808,02d04h43m28,0
LUCENE-8537,FALSE,FALSE,Minor,1916286,22d04h18m06,0
LUCENE-7218,FALSE,FALSE,Trivial,26886,00d07h28m06,0
LUCENE-7219,FALSE,FALSE,Minor,5392979,62d10h02m59,1
SOLR-13060,TRUE,FALSE,Major,6531386,75d14h16m26,0
LUCENE-8444,FALSE,FALSE,Major,235783,02d17h29m43,0
LUCENE-8445,FALSE,FALSE,Major,222033,02d13h40m33,0
SOLR-501,FALSE,FALSE,Major,10971282,126d23h34m42,0
LUCENE-8441,TRUE,FALSE,Minor,58854,00d16h20m54,0
SOLR-5899,FALSE,FALSE,Major,1422,00d00h23m42,0
LUCENE-3992,TRUE,FALSE,Major,4303,00d01h11m43,0
SOLR-509,TRUE,FALSE,Major,3601224,41d16h20m24,1
SOLR-12330,TRUE,TRUE,Major,24101999,278d22h59m59,0
SOLR-2528,FALSE,FALSE,Trivial,36728,00d10h12m08,0
LUCENE-6675,TRUE,FALSE,Major,99288,01d03h34m48,0
SOLR-6360,FALSE,FALSE,Minor,21649,00d06h00m49,0
SOLR-1270,FALSE,FALSE,Minor,2243884,25d23h18m04,0
SOLR-6551,FALSE,FALSE,Major,4250331,49d04h38m51,0
SOLR-5281,FALSE,FALSE,Minor,18431,00d05h07m11,0
SOLR-7450,FALSE,FALSE,Minor,1211,00d00h20m11,0
SOLR-1072,TRUE,TRUE,Major,142994,01d15h43m14,0
