BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
MAHOUT-276,FALSE,FALSE,Major,104305,01d04h58m25,0
MAHOUT-581,FALSE,FALSE,Major,29,00d00h00m29,0
MAHOUT-272,FALSE,FALSE,Major,242193,02d19h16m33,0
MAHOUT-273,FALSE,FALSE,Major,24851,00d06h54m11,0
MAHOUT-1793,FALSE,FALSE,Trivial,6997,00d01h56m37,0
MAHOUT-1797,FALSE,FALSE,Trivial,14327,00d03h58m47,0
MAHOUT-587,TRUE,FALSE,Minor,263904,03d01h18m24,0
MAHOUT-937,FALSE,FALSE,Minor,75095,00d20h51m35,0
MAHOUT-936,FALSE,FALSE,Minor,27505,00d07h38m25,0
MAHOUT-2039,FALSE,FALSE,Major,1300000,15d01h06m40,0
MAHOUT-839,FALSE,FALSE,Trivial,1097610,12d16h53m30,0
MAHOUT-834,TRUE,FALSE,Minor,18232743,211d00h39m03,0
MAHOUT-585,TRUE,FALSE,Major,6326,00d01h45m26,0
MAHOUT-939,TRUE,FALSE,Major,13596960,157d08h56m00,1
MAHOUT-1926,FALSE,FALSE,Major,2251487,26d01h24m47,0
MAHOUT-1920,FALSE,FALSE,Minor,86467,01d00h01m07,0
MAHOUT-1259,FALSE,FALSE,Trivial,5648,00d01h34m08,0
MAHOUT-269,TRUE,FALSE,Minor,49331,00d13h42m11,0
MAHOUT-1315,FALSE,FALSE,Trivial,4435,00d01h13m55,0
MAHOUT-1313,FALSE,FALSE,Minor,8053,00d02h14m13,0
MAHOUT-1312,FALSE,FALSE,Minor,9492604,109d20h50m04,0
MAHOUT-1319,TRUE,FALSE,Major,10018265,115d22h51m05,0
MAHOUT-576,TRUE,FALSE,Major,884470,10d05h41m10,0
MAHOUT-1428,FALSE,FALSE,Major,5559261,64d08h14m21,1
MAHOUT-477,TRUE,FALSE,Minor,22640,00d06h17m20,0
MAHOUT-1427,TRUE,FALSE,Minor,11809017,136d16h16m57,0
MAHOUT-472,FALSE,FALSE,Minor,76539,00d21h15m39,0
MAHOUT-470,FALSE,FALSE,Major,9248,00d02h34m08,0
MAHOUT-775,FALSE,FALSE,Major,58472371,676d18h19m31,0
MAHOUT-774,FALSE,FALSE,Trivial,2134,00d00h35m34,0
MAHOUT-864,FALSE,FALSE,Minor,530,00d00h08m50,0
MAHOUT-2042,TRUE,FALSE,Major,1987948,23d00h12m28,0
MAHOUT-2043,FALSE,FALSE,Major,1986555,22d23h49m15,0
MAHOUT-2040,FALSE,FALSE,Major,1381626,15d23h47m06,0
MAHOUT-2041,FALSE,FALSE,Major,1212581,14d00h49m41,0
MAHOUT-946,FALSE,FALSE,Major,2054238,23d18h37m18,0
MAHOUT-2045,TRUE,FALSE,Major,1987827,23d00h10m27,0
MAHOUT-1491,FALSE,FALSE,Minor,10704,00d02h58m24,0
MAHOUT-1229,FALSE,FALSE,Major,21120,00d05h52m00,0
MAHOUT-379,TRUE,FALSE,Minor,13904104,160d22h15m04,1
MAHOUT-378,FALSE,FALSE,Minor,14183235,164d03h47m15,0
MAHOUT-1496,FALSE,FALSE,Major,1974344,22d20h25m44,0
MAHOUT-1497,TRUE,FALSE,Major,1785216,20d15h53m36,0
MAHOUT-1498,TRUE,FALSE,Major,4242797,49d02h33m17,0
MAHOUT-1222,FALSE,FALSE,Major,62599,00d17h23m19,0
MAHOUT-1221,FALSE,FALSE,Minor,7188,00d01h59m48,0
MAHOUT-1555,FALSE,FALSE,Minor,441309,05d02h35m09,0
MAHOUT-370,FALSE,FALSE,Major,625,00d00h10m25,0
MAHOUT-1225,TRUE,FALSE,Major,963727,11d03h42m07,0
MAHOUT-691,FALSE,FALSE,Major,544065,06d07h07m45,0
MAHOUT-694,FALSE,FALSE,Major,949438,10d23h43m58,0
MAHOUT-114,FALSE,FALSE,Minor,16925851,195d21h37m31,0
MAHOUT-501,FALSE,FALSE,Trivial,749638,08d16h13m58,0
MAHOUT-504,TRUE,FALSE,Major,845056,09d18h44m16,1
MAHOUT-112,FALSE,FALSE,Major,648878,07d12h14m38,0
MAHOUT-508,FALSE,FALSE,Trivial,7079545,81d22h32m25,1
MAHOUT-509,FALSE,FALSE,Minor,365645,04d05h34m05,0
MAHOUT-118,FALSE,FALSE,Major,269739,03d02h55m39,0
MAHOUT-230,FALSE,FALSE,Major,408658,04d17h30m58,0
MAHOUT-186,TRUE,FALSE,Major,992032,11d11h33m52,0
MAHOUT-1379,TRUE,FALSE,Minor,5516,00d01h31m56,0
MAHOUT-183,FALSE,FALSE,Major,343305,03d23h21m45,0
MAHOUT-235,TRUE,FALSE,Major,497436,05d18h10m36,0
MAHOUT-1593,FALSE,FALSE,Minor,23201512,268d12h51m52,0
