BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
CONNECTORS-1138,FALSE,FALSE,Critical,397116,04d14h18m36,0
CONNECTORS-1135,FALSE,FALSE,Major,28710,00d07h58m30,0
CONNECTORS-1137,FALSE,FALSE,Minor,262900,03d01h01m40,0
CONNECTORS-1579,FALSE,FALSE,Major,2951,00d00h49m11,0
CONNECTORS-643,FALSE,FALSE,Major,1002,00d00h16m42,0
CONNECTORS-134,FALSE,FALSE,Blocker,13932,00d03h52m12,0
CONNECTORS-1520,FALSE,FALSE,Major,177,00d00h02m57,0
CONNECTORS-136,FALSE,FALSE,Blocker,6831,00d01h53m51,0
CONNECTORS-131,FALSE,FALSE,Blocker,7919,00d02h11m59,0
CONNECTORS-130,FALSE,FALSE,Trivial,261,00d00h04m21,0
CONNECTORS-645,FALSE,FALSE,Blocker,632,00d00h10m32,0
CONNECTORS-644,FALSE,FALSE,Major,9012,00d02h30m12,0
CONNECTORS-522,FALSE,FALSE,Critical,11807,00d03h16m47,0
CONNECTORS-1528,FALSE,FALSE,Major,57752,00d16h02m32,0
CONNECTORS-648,FALSE,FALSE,Major,130444,01d12h14m04,0
CONNECTORS-526,FALSE,FALSE,Major,111946,01d07h05m46,0
CONNECTORS-527,FALSE,FALSE,Major,1133,00d00h18m53,0
CONNECTORS-1355,FALSE,FALSE,Major,180,00d00h03m00,0
CONNECTORS-1357,FALSE,FALSE,Minor,403,00d00h06m43,0
CONNECTORS-1054,FALSE,FALSE,Major,20287,00d05h38m07,0
CONNECTORS-1055,FALSE,FALSE,Major,363,00d00h06m03,0
CONNECTORS-1051,FALSE,FALSE,Major,36696,00d10h11m36,0
CONNECTORS-244,FALSE,FALSE,Major,3034,00d00h50m34,0
CONNECTORS-310,FALSE,TRUE,Blocker,471124,05d10h52m04,0
CONNECTORS-1419,FALSE,FALSE,Major,6492,00d01h48m12,0
CONNECTORS-1417,FALSE,FALSE,Major,1903,00d00h31m43,0
CONNECTORS-734,FALSE,FALSE,Major,1592,00d00h26m32,0
CONNECTORS-1412,FALSE,FALSE,Major,10212086,118d04h41m26,0
CONNECTORS-1413,FALSE,FALSE,Trivial,3083,00d00h51m23,0
CONNECTORS-1411,FALSE,FALSE,Major,2482,00d00h41m22,0
CONNECTORS-636,FALSE,FALSE,Major,620097,07d04h14m57,1
CONNECTORS-1556,FALSE,FALSE,Major,123,00d00h02m03,0
CONNECTORS-223,TRUE,FALSE,Major,1131457,13d02h17m37,1
CONNECTORS-635,FALSE,FALSE,Major,11204390,129d16h19m50,0
CONNECTORS-632,FALSE,FALSE,Major,711412,08d05h36m52,1
CONNECTORS-1551,FALSE,FALSE,Major,1030,00d00h17m10,0
CONNECTORS-226,FALSE,FALSE,Major,1480221,17d03h10m21,0
CONNECTORS-182,FALSE,FALSE,Major,2733,00d00h45m33,0
CONNECTORS-185,FALSE,FALSE,Major,2434,00d00h40m34,0
CONNECTORS-638,TRUE,FALSE,Critical,348678,04d00h51m18,0
CONNECTORS-639,FALSE,FALSE,Major,583772,06d18h09m32,1
CONNECTORS-1220,FALSE,FALSE,Critical,5983,00d01h39m43,0
CONNECTORS-1222,FALSE,FALSE,Major,643,00d00h10m43,0
CONNECTORS-1226,FALSE,FALSE,Blocker,29841,00d08h17m21,0
CONNECTORS-1229,FALSE,FALSE,Major,3136,00d00h52m16,0
CONNECTORS-742,FALSE,FALSE,Major,369161,04d06h32m41,0
CONNECTORS-452,FALSE,FALSE,Blocker,2111,00d00h35m11,0
CONNECTORS-453,TRUE,FALSE,Critical,3159027,36d13h30m27,1
CONNECTORS-450,FALSE,FALSE,Major,578,00d00h09m38,0
CONNECTORS-451,FALSE,FALSE,Major,4108,00d01h08m28,0
CONNECTORS-456,FALSE,FALSE,Minor,244556,02d19h55m56,0
CONNECTORS-985,TRUE,FALSE,Major,10593,00d02h56m33,0
CONNECTORS-454,FALSE,FALSE,Blocker,754,00d00h12m34,0
CONNECTORS-455,FALSE,FALSE,Minor,25431,00d07h03m51,0
CONNECTORS-822,FALSE,FALSE,Major,1296802,15d00h13m22,0
CONNECTORS-351,FALSE,FALSE,Major,3197229,37d00h07m09,0
CONNECTORS-352,FALSE,FALSE,Minor,854,00d00h14m14,0
CONNECTORS-624,FALSE,FALSE,Major,10503,00d02h55m03,0
CONNECTORS-1518,FALSE,FALSE,Major,23484,00d06h31m24,0
CONNECTORS-192,FALSE,FALSE,Major,242,00d00h04m02,0
CONNECTORS-1309,FALSE,FALSE,Major,1136038,13d03h33m58,0
CONNECTORS-191,FALSE,FALSE,Minor,532,00d00h08m52,0
CONNECTORS-1453,FALSE,FALSE,Major,1693104,19d14h18m24,0
CONNECTORS-622,FALSE,FALSE,Major,9749,00d02h42m29,0
CONNECTORS-1519,FALSE,FALSE,Major,28665053,331d18h30m53,0
CONNECTORS-584,FALSE,FALSE,Major,316384,03d15h53m04,0
CONNECTORS-1451,FALSE,FALSE,Major,488,00d00h08m08,0
CONNECTORS-1179,FALSE,FALSE,Major,1191,00d00h19m51,0
CONNECTORS-1178,TRUE,FALSE,Major,40056,00d11h07m36,0
CONNECTORS-1175,FALSE,FALSE,Major,25090,00d06h58m10,0
CONNECTORS-1174,FALSE,FALSE,Major,577358,06d16h22m38,0
CONNECTORS-1171,FALSE,FALSE,Major,970,00d00h16m10,0
CONNECTORS-1172,FALSE,FALSE,Major,1721,00d00h28m41,0
CONNECTORS-913,FALSE,FALSE,Major,1780,00d00h29m40,0
CONNECTORS-858,FALSE,FALSE,Major,67313,00d18h41m53,1
CONNECTORS-910,FALSE,FALSE,Major,18572,00d05h09m32,0
CONNECTORS-629,TRUE,FALSE,Major,785149,09d02h05m49,1
CONNECTORS-559,FALSE,FALSE,Minor,52837,00d14h40m37,0
CONNECTORS-855,FALSE,FALSE,Major,1106,00d00h18m26,0
CONNECTORS-919,FALSE,FALSE,Major,1196,00d00h19m56,0
CONNECTORS-851,FALSE,FALSE,Minor,645,00d00h10m45,0
CONNECTORS-198,FALSE,FALSE,Major,333,00d00h05m33,0
CONNECTORS-212,FALSE,FALSE,Major,4960,00d01h22m40,0
CONNECTORS-1510,FALSE,FALSE,Major,202,00d00h03m22,0
