BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
MNG-5314,FALSE,FALSE,Minor,57556,00d15h59m16,1
MNG-5312,FALSE,TRUE,Major,58394,00d16h13m14,1
MNG-5313,FALSE,FALSE,Trivial,57803,00d16h03m23,1
MNG-1658,FALSE,FALSE,Trivial,9277156,107d08h59m16,0
MNG-5096,FALSE,FALSE,Major,5928553,68d14h49m13,0
MNG-1499,FALSE,TRUE,Major,616477,07d03h14m37,0
MNG-874,FALSE,FALSE,Major,156458,01d19h27m38,0
MNG-4433,FALSE,FALSE,Major,8493,00d02h21m33,0
MNG-4651,TRUE,FALSE,Major,5177,00d01h26m17,0
MNG-508,FALSE,TRUE,Major,3528780,40d20h13m00,0
MNG-5796,FALSE,FALSE,Minor,2702094,31d06h34m54,0
MNG-5797,FALSE,FALSE,Major,2075766,24d00h36m06,0
MNG-5795,TRUE,FALSE,Major,239167,02d18h26m07,0
MNG-500,FALSE,FALSE,Major,3052,00d00h50m52,0
MNG-579,FALSE,FALSE,Minor,868793,10d01h19m53,0
MNG-5550,FALSE,FALSE,Major,110554,01d06h42m34,0
MNG-5003,TRUE,FALSE,Major,239999,02d18h39m59,0
MNG-3846,FALSE,FALSE,Minor,31097,00d08h38m17,0
MNG-5553,FALSE,FALSE,Major,3484107,40d07h48m27,1
MNG-5006,FALSE,FALSE,Major,1377826,15d22h43m46,0
MNG-1394,FALSE,FALSE,Major,1244914,14d09h48m34,0
MNG-5557,TRUE,FALSE,Major,65350,00d18h09m10,0
MNG-1011,TRUE,FALSE,Major,485696,05d14h54m56,0
MNG-5559,FALSE,FALSE,Major,1811,00d00h30m11,0
MNG-3921,FALSE,FALSE,Major,4883,00d01h21m23,0
MNG-5009,FALSE,FALSE,Major,45507,00d12h38m27,0
MNG-3927,FALSE,TRUE,Major,4114383,47d14h53m03,0
MNG-3925,FALSE,FALSE,Major,8143497,94d06h04m57,0
MNG-4536,FALSE,FALSE,Major,869853,10d01h37m33,0
MNG-5895,TRUE,TRUE,Major,46148151,534d02h55m51,0
MNG-5779,FALSE,FALSE,Critical,126033,01d11h00m33,0
MNG-5958,FALSE,FALSE,Minor,33931157,392d17h19m17,1
MNG-294,TRUE,FALSE,Major,5704866,66d00h41m06,1
MNG-5677,FALSE,FALSE,Major,366,00d00h06m06,0
MNG-5676,FALSE,FALSE,Major,3349404,38d18h23m24,0
MNG-2603,FALSE,FALSE,Major,163908,01d21h31m48,0
MNG-2276,FALSE,FALSE,Major,123200922,1425d22h28m42,0
MNG-2277,FALSE,TRUE,Major,46777685,541d09h48m05,0
MNG-5898,FALSE,FALSE,Major,2244981,25d23h36m21,1
MNG-1349,FALSE,FALSE,Trivial,100382042,1161d19h54m02,0
MNG-2829,FALSE,FALSE,Major,1055461,12d05h11m01,0
MNG-2174,FALSE,FALSE,Major,91076842,1054d03h07m22,0
MNG-5389,FALSE,FALSE,Major,36051324,417d06h15m24,0
MNG-2820,TRUE,FALSE,Major,1737,00d00h28m57,0
MNG-2988,TRUE,FALSE,Major,1798875,20d19h41m15,0
MNG-2178,FALSE,FALSE,Major,59115047,684d04h50m47,0
MNG-2827,FALSE,FALSE,Major,1137225,13d03h53m45,0
MNG-4350,FALSE,FALSE,Major,16981,00d04h43m01,0
MNG-614,TRUE,FALSE,Major,5876205,68d00h16m45,0
MNG-619,TRUE,FALSE,Major,11799,00d03h16m39,0
MNG-2408,TRUE,FALSE,Blocker,5732347,66d08h19m07,1
MNG-229,FALSE,FALSE,Major,11483510,132d21h51m50,1
MNG-598,TRUE,FALSE,Blocker,890581,10d07h23m01,0
MNG-5258,FALSE,FALSE,Major,206636,02d09h23m56,1
MNG-225,TRUE,FALSE,Major,1716142,19d20h42m22,0
MNG-5707,TRUE,FALSE,Minor,170510,01d23h21m50,0
MNG-592,TRUE,FALSE,Critical,2179415,25d05h23m35,0
MNG-5700,FALSE,FALSE,Major,266,00d00h04m26,0
MNG-5702,FALSE,FALSE,Minor,6196946,71d17h22m26,0
MNG-3621,FALSE,FALSE,Major,22449778,259d20h02m58,0
MNG-3622,FALSE,TRUE,Major,4289484,49d15h31m24,1
MNG-916,TRUE,FALSE,Major,57744734,668d08h12m14,1
MNG-914,FALSE,FALSE,Trivial,1695436,19d14h57m16,0
MNG-915,FALSE,FALSE,Major,896281,10d08h58m01,0
MNG-2098,FALSE,FALSE,Major,113331014,1311d16h50m14,0
MNG-6370,TRUE,FALSE,Trivial,178800,02d01h40m00,0
MNG-918,FALSE,FALSE,Trivial,152444,01d18h20m44,0
MNG-6372,FALSE,FALSE,Major,5908302,68d09h11m42,0
MNG-4106,TRUE,FALSE,Major,4500,00d01h15m00,0
MNG-2330,TRUE,FALSE,Major,23670649,273d23h10m49,0
MNG-2302,FALSE,FALSE,Major,6119625,70d19h53m45,0
MNG-3498,TRUE,FALSE,Major,5209168,60d06h59m28,0
MNG-2712,FALSE,FALSE,Major,2074090,24d00h08m10,1
MNG-6117,FALSE,FALSE,Major,5544127,64d04h02m07,1
MNG-2309,FALSE,TRUE,Major,535,00d00h08m55,0
MNG-2919,TRUE,FALSE,Critical,5632462,65d04h34m22,1
MNG-1979,FALSE,FALSE,Major,9303067,107d16h11m07,0
MNG-2871,FALSE,FALSE,Major,15051921,174d05h05m21,0
MNG-761,FALSE,FALSE,Major,363804,04d05h03m24,0
MNG-3654,FALSE,FALSE,Major,183111,02d02h51m51,0
MNG-825,TRUE,FALSE,Major,3395,00d00h56m35,0
MNG-3651,FALSE,FALSE,Major,520867,06d00h41m07,0
MNG-3719,FALSE,FALSE,Critical,25826587,298d22h03m07,1
MNG-3653,TRUE,FALSE,Major,7709367,89d05h29m27,0
MNG-766,TRUE,FALSE,Critical,154869,01d19h01m09,0
MNG-985,FALSE,FALSE,Major,485861,05d14h57m41,0
MNG-2780,FALSE,FALSE,Major,748,00d00h12m28,0
MNG-4773,FALSE,FALSE,Minor,1723,00d00h28m43,0
MNG-4772,FALSE,FALSE,Minor,2370,00d00h39m30,0
MNG-4771,FALSE,FALSE,Minor,11501,00d03h11m41,0
MNG-2088,FALSE,FALSE,Blocker,11769005,136d05h10m05,0
MNG-4776,TRUE,FALSE,Major,31021,00d08h37m01,0
MNG-4775,FALSE,FALSE,Minor,6896,00d01h54m56,0
MNG-5793,FALSE,FALSE,Major,3840,00d01h04m00,0
MNG-4779,FALSE,FALSE,Major,372189,04d07h23m09,0
MNG-967,FALSE,FALSE,Trivial,42043876,486d14h51m16,0
MNG-3027,TRUE,FALSE,Blocker,18953,00d05h15m53,0
MNG-2006,TRUE,FALSE,Blocker,2439292,28d05h34m52,1
MNG-6386,FALSE,TRUE,Major,3352512,38d19h15m12,0
MNG-490,FALSE,FALSE,Major,5881116,68d01h38m36,0
MNG-6382,FALSE,FALSE,Major,4728163,54d17h22m43,1
MNG-5877,TRUE,FALSE,Major,3132307,36d06h05m07,0
MNG-4274,TRUE,FALSE,Major,57939,00d16h05m39,0
MNG-4275,FALSE,FALSE,Minor,304039,03d12h27m19,0
MNG-4273,FALSE,FALSE,Major,531932,06d03h45m32,0
MNG-4385,FALSE,FALSE,Major,1576,00d00h26m16,0
MNG-2961,FALSE,FALSE,Minor,9656707,111d18h25m07,0
MNG-1443,FALSE,FALSE,Major,2594811,30d00h46m51,0
MNG-4500,FALSE,FALSE,Major,182998,02d02h49m58,0
MNG-4116,FALSE,FALSE,Minor,2509,00d00h41m49,0
MNG-1022,FALSE,FALSE,Major,16698,00d04h38m18,0
MNG-1751,FALSE,FALSE,Major,137062112,1586d08h48m32,0
MNG-406,TRUE,FALSE,Major,150620,01d17h50m20,0
MNG-1007,FALSE,FALSE,Major,280623,03d05h57m03,0
MNG-4509,FALSE,FALSE,Major,43236,00d12h00m36,0
MNG-4973,FALSE,FALSE,Major,161855,01d20h57m35,0
MNG-4055,FALSE,FALSE,Major,17807841,206d02h37m21,0
MNG-4975,FALSE,FALSE,Major,132052,01d12h40m52,0
MNG-4053,TRUE,FALSE,Major,2232044,25d20h00m44,0
MNG-4050,FALSE,FALSE,Major,6900655,79d20h50m55,0
MNG-467,TRUE,FALSE,Major,793688,09d04h28m08,0
MNG-4874,FALSE,FALSE,Major,691508,08d00h05m08,0
MNG-4877,FALSE,FALSE,Major,470225,05d10h37m05,1
MNG-6653,FALSE,FALSE,Minor,6937044,80d06h57m24,0
MNG-546,FALSE,FALSE,Major,582400,06d17h46m40,0
MNG-541,FALSE,FALSE,Major,339,00d00h05m39,0
MNG-6127,FALSE,FALSE,Major,22892115,264d22h55m15,1
MNG-5456,TRUE,FALSE,Critical,102222,01d04h23m42,0
MNG-3885,TRUE,FALSE,Major,4588289,53d02h31m29,0
MNG-3886,FALSE,FALSE,Minor,4703263,54d10h27m43,0
MNG-3887,FALSE,FALSE,Major,4699999,54d09h33m19,0
MNG-6559,FALSE,FALSE,Minor,264388,03d01h26m28,0
MNG-6558,TRUE,FALSE,Major,1489999,17d05h53m19,0
MNG-5459,TRUE,FALSE,Major,12398049,143d11h54m09,0
MNG-5000,FALSE,FALSE,Major,1722595,19d22h29m55,1
MNG-5513,FALSE,FALSE,Major,1306446,15d02h54m06,0
MNG-1055,TRUE,FALSE,Major,409599,04d17h46m39,0
MNG-4574,FALSE,FALSE,Major,1109648,12d20h14m08,1
MNG-3965,FALSE,FALSE,Major,1367529,15d19h52m09,0
MNG-1056,FALSE,FALSE,Major,408124,04d17h22m04,0
MNG-4571,TRUE,FALSE,Major,200738,02d07h45m38,1
MNG-4570,TRUE,FALSE,Major,343816,03d23h30m16,0
MNG-3961,FALSE,FALSE,Major,298350,03d10h52m30,0
MNG-3960,FALSE,FALSE,Major,541976,06d06h32m56,0
MNG-4474,FALSE,FALSE,Major,61615,00d17h06m55,0
MNG-4475,FALSE,FALSE,Major,25464,00d07h04m24,0
MNG-4470,FALSE,FALSE,Major,7679,00d02h07m59,0
MNG-4472,FALSE,FALSE,Minor,48365,00d13h26m05,0
MNG-5224,TRUE,FALSE,Major,106171,01d05h29m31,0
MNG-5225,FALSE,FALSE,Major,1087,00d00h18m07,0
MNG-2503,FALSE,FALSE,Minor,25062300,290d01h45m00,0
MNG-478,FALSE,FALSE,Major,6127544,70d22h05m44,0
MNG-2136,FALSE,FALSE,Blocker,184685,02d03h18m05,0
MNG-3843,FALSE,FALSE,Major,693620,08d00h40m20,0
MNG-1233,TRUE,FALSE,Major,22517,00d06h15m17,0
MNG-2341,FALSE,FALSE,Major,13224583,153d01h29m43,0
MNG-790,FALSE,FALSE,Major,63554,00d17h39m14,0
MNG-1335,TRUE,FALSE,Major,486353,05d15h05m53,0
MNG-6233,FALSE,FALSE,Major,781329,09d01h02m09,0
MNG-2860,TRUE,FALSE,Minor,7559214,87d11h46m54,0
MNG-1620,FALSE,FALSE,Minor,70517,00d19h35m17,0
MNG-1333,FALSE,FALSE,Major,20349479,235d12h37m59,0
MNG-4592,FALSE,FALSE,Major,15330530,177d10h28m50,0
MNG-4590,FALSE,FALSE,Major,40542,00d11h15m42,1
MNG-6149,FALSE,FALSE,Major,9333473,108d00h37m53,0
MNG-260,FALSE,FALSE,Major,407501,04d17h11m41,0
MNG-261,FALSE,FALSE,Trivial,5826737,67d10h32m17,0
MNG-1122,TRUE,FALSE,Major,348050,04d00h40m50,0
MNG-4987,FALSE,FALSE,Major,2950176,34d03h29m36,0
MNG-689,FALSE,FALSE,Major,659561,07d15h12m41,1
MNG-4982,FALSE,FALSE,Major,3323544,38d11h12m24,0
MNG-1249,TRUE,FALSE,Minor,307132,03d13h18m52,0
MNG-6723,FALSE,FALSE,Major,187105,02d03h58m25,0
MNG-6720,FALSE,FALSE,Major,597049,06d21h50m49,0
MNG-3819,FALSE,FALSE,Major,30105059,348d10h30m59,1
MNG-4695,FALSE,FALSE,Major,5595,00d01h33m15,0
MNG-4696,TRUE,FALSE,Major,11016,00d03h03m36,0
MNG-1041,FALSE,TRUE,Major,379342,04d09h22m22,0
MNG-493,FALSE,FALSE,Major,97480,01d03h04m40,0
MNG-3811,FALSE,FALSE,Minor,10176192,117d18h43m12,0
MNG-3924,FALSE,FALSE,Blocker,44379,00d12h19m39,0
MNG-496,TRUE,FALSE,Major,64242,00d17h50m42,0
MNG-835,TRUE,FALSE,Major,672635,07d18h50m35,1
MNG-3814,TRUE,FALSE,Major,23216745,268d17h05m45,0
MNG-5648,FALSE,FALSE,Major,656,00d00h10m56,0
MNG-6205,FALSE,TRUE,Major,3043499,35d05h24m59,0
MNG-2619,FALSE,FALSE,Major,19470577,225d08h29m37,0
MNG-6330,FALSE,FALSE,Critical,238233,02d18h10m33,0
MNG-5053,FALSE,FALSE,Minor,51924669,600d23h31m09,0
MNG-818,TRUE,FALSE,Major,2848311,32d23h11m51,0
MNG-817,TRUE,FALSE,Major,2335488,27d00h44m48,1
MNG-816,TRUE,FALSE,Major,2867709,33d04h35m09,0
MNG-815,FALSE,FALSE,Major,1100046,12d17h34m06,0
MNG-2347,FALSE,FALSE,Major,30968834,358d10h27m14,0
MNG-5645,FALSE,FALSE,Trivial,196500,02d06h35m00,0
MNG-811,FALSE,FALSE,Major,252989,02d22h16m29,0
MNG-5647,FALSE,FALSE,Minor,9517,00d02h38m37,0
MNG-2591,FALSE,FALSE,Blocker,21191730,245d06h35m30,0
MNG-2222,TRUE,FALSE,Major,124865396,1445d04h49m56,0
MNG-2221,FALSE,FALSE,Critical,7960789,92d03h19m49,0
MNG-5907,TRUE,FALSE,Major,227883,02d15h18m03,0
MNG-1529,FALSE,FALSE,Major,2809502,32d12h25m02,0
MNG-5891,FALSE,FALSE,Major,17492,00d04h51m32,0
MNG-2228,TRUE,FALSE,Blocker,22750846,263d07h40m46,1
MNG-2186,FALSE,FALSE,Critical,101541,01d04h12m21,0
MNG-1245,FALSE,TRUE,Major,22406823,259d08h07m03,0
MNG-1246,FALSE,FALSE,Major,387980,04d11h46m20,0
MNG-2813,FALSE,FALSE,Critical,9837451,113d20h37m31,0
MNG-297,FALSE,FALSE,Major,57047,00d15h50m47,0
MNG-722,FALSE,FALSE,Major,479852,05d13h17m32,0
MNG-2819,FALSE,FALSE,Major,57,00d00h00m57,0
MNG-729,TRUE,FALSE,Major,741641,08d14h00m41,1
MNG-4526,TRUE,FALSE,Major,1564169,18d02h29m29,0
MNG-869,FALSE,FALSE,Minor,787129,09d02h38m49,0
MNG-5638,TRUE,FALSE,Major,1688407,19d13h00m07,0
MNG-316,FALSE,FALSE,Major,425952,04d22h19m12,0
MNG-861,FALSE,FALSE,Major,98588,01d03h23m08,0
MNG-4565,FALSE,FALSE,Major,135959957,1573d14h39m17,0
MNG-3106,TRUE,FALSE,Major,26564852,307d11h07m32,0
MNG-3260,TRUE,TRUE,Major,57754364,668d10h52m44,0
MNG-885,FALSE,FALSE,Major,1089409,12d14h36m49,0
MNG-929,FALSE,FALSE,Major,37316,00d10h21m56,0
MNG-3265,FALSE,FALSE,Major,53615400,620d13h10m00,1
MNG-3266,FALSE,FALSE,Minor,68600181,793d23h36m21,0
MNG-5836,FALSE,FALSE,Major,51748253,598d22h30m53,1
MNG-4231,TRUE,FALSE,Major,1966797,22d18h19m57,0
MNG-5670,TRUE,FALSE,Major,78616075,909d21h47m55,1
MNG-6176,TRUE,FALSE,Minor,1978794,22d21h39m54,0
MNG-772,FALSE,FALSE,Major,61495,00d17h04m55,0
MNG-4238,FALSE,FALSE,Major,465,00d00h07m45,0
MNG-4239,FALSE,FALSE,Major,3417,00d00h56m57,0
MNG-3585,FALSE,FALSE,Major,6963256,80d14h14m16,0
MNG-2925,FALSE,FALSE,Major,24071289,278d14h28m09,0
MNG-2926,FALSE,FALSE,Major,322945,03d17h42m25,0
MNG-3586,FALSE,FALSE,Major,20250307,234d09h05m07,1
MNG-2921,FALSE,FALSE,Blocker,5048484,58d10h21m24,0
MNG-2923,FALSE,FALSE,None,5378736,62d06h05m36,1
MNG-3664,FALSE,FALSE,Minor,11594861,134d04h47m41,0
MNG-2880,FALSE,FALSE,Major,1889565,21d20h52m45,0
MNG-3194,TRUE,FALSE,Blocker,2922956,33d19h55m56,0
MNG-1415,FALSE,FALSE,Critical,10262460,118d18h41m00,0
MNG-5965,TRUE,TRUE,Major,92438578,1069d21h22m58,0
MNG-4788,TRUE,FALSE,Major,613064,07d02h17m44,0
MNG-4789,FALSE,FALSE,Major,993291,11d11h54m51,0
MNG-4427,TRUE,FALSE,Minor,43620,00d12h07m00,0
MNG-4426,FALSE,FALSE,Major,123635,01d10h20m35,1
MNG-4933,FALSE,FALSE,Major,1822262,21d02h11m02,0
MNG-4396,FALSE,FALSE,Major,221767,02d13h36m07,0
MNG-4834,TRUE,FALSE,Minor,180868,02d02h14m28,1
MNG-4836,FALSE,FALSE,Major,13916,00d03h51m56,0
MNG-4837,FALSE,FALSE,Minor,143,00d00h02m23,0
MNG-4786,FALSE,FALSE,Major,28764,00d07h59m24,0
MNG-4832,FALSE,FALSE,Blocker,177382,02d01h16m22,0
MNG-4785,FALSE,FALSE,Major,853769,09d21h09m29,0
MNG-6166,FALSE,FALSE,Major,258856,02d23h54m16,0
MNG-3400,TRUE,FALSE,Major,3012,00d00h50m12,0
MNG-3401,FALSE,FALSE,Major,41524311,480d14h31m51,0
MNG-5961,FALSE,FALSE,Major,33630824,389d05h53m44,1
MNG-420,TRUE,FALSE,Major,9677481,112d00h11m21,1
MNG-6168,FALSE,FALSE,Major,3576375,41d09h26m15,0
MNG-1372,FALSE,FALSE,Major,190807,02d05h00m07,0
MNG-424,FALSE,FALSE,Minor,11675,00d03h14m35,0
MNG-1999,FALSE,FALSE,Major,86359540,999d12h45m40,1
MNG-2254,FALSE,TRUE,Major,46308462,535d23h27m42,0
MNG-3813,FALSE,TRUE,Major,956076,11d01h34m36,0
MNG-5747,FALSE,FALSE,Minor,410,00d00h06m50,0
MNG-4321,FALSE,FALSE,Major,5219,00d01h26m59,0
MNG-5962,FALSE,TRUE,Minor,33081610,382d21h20m10,1
MNG-6198,FALSE,FALSE,Major,397492,04d14h24m52,0
MNG-4304,TRUE,FALSE,Major,2514,00d00h41m54,0
MNG-4305,TRUE,FALSE,Major,1659,00d00h27m39,0
MNG-4738,TRUE,TRUE,Minor,325466,03d18h24m26,0
MNG-6190,FALSE,FALSE,Major,66765,00d18h32m45,0
MNG-6192,FALSE,FALSE,Major,11516,00d03h11m56,0
MNG-6195,FALSE,FALSE,Major,597773,06d22h02m53,0
MNG-2560,TRUE,FALSE,Major,1737732,20d02h42m12,0
MNG-5064,FALSE,TRUE,Critical,9082483,105d02h54m43,0
