BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
METAMODEL-1145,TRUE,FALSE,Major,68631,00d19h03m51,0
METAMODEL-1141,TRUE,FALSE,Major,1260108,14d14h01m48,0
METAMODEL-125,FALSE,FALSE,Major,334251,03d20h50m51,0
METAMODEL-124,FALSE,FALSE,Major,442638,05d02h57m18,0
METAMODEL-123,FALSE,FALSE,Major,85530,00d23h45m30,0
METAMODEL-128,TRUE,FALSE,Major,482009,05d13h53m29,0
METAMODEL-1093,TRUE,FALSE,Major,1648052,19d01h47m32,0
METAMODEL-85,FALSE,FALSE,Major,2335666,27d00h47m46,0
METAMODEL-252,FALSE,FALSE,Major,124597,01d10h36m37,0
METAMODEL-1132,TRUE,FALSE,Major,1247045,14d10h24m05,0
METAMODEL-1133,FALSE,FALSE,Major,3390919,39d05h55m19,0
METAMODEL-131,TRUE,FALSE,Major,325688,03d18h28m08,0
METAMODEL-136,FALSE,FALSE,Major,96379,01d02h46m19,0
METAMODEL-138,FALSE,FALSE,Minor,154281,01d18h51m21,0
METAMODEL-242,FALSE,FALSE,Major,275510,03d04h31m50,0
METAMODEL-39,FALSE,FALSE,Major,246,00d00h04m06,0
METAMODEL-35,FALSE,FALSE,Major,97442,01d03h04m02,0
METAMODEL-32,FALSE,FALSE,Major,642,00d00h10m42,0
METAMODEL-30,FALSE,FALSE,Major,522806,06d01h13m26,0
METAMODEL-1123,FALSE,FALSE,Major,225,00d00h03m45,0
METAMODEL-58,TRUE,FALSE,Major,269062,03d02h44m22,0
METAMODEL-1124,FALSE,FALSE,Major,168,00d00h02m48,0
METAMODEL-1127,TRUE,FALSE,Major,356131,04d02h55m31,0
METAMODEL-54,FALSE,FALSE,Major,502,00d00h08m22,0
METAMODEL-1128,FALSE,FALSE,Major,1002739,11d14h32m19,0
METAMODEL-140,TRUE,FALSE,Major,529550,06d03h05m50,0
METAMODEL-142,TRUE,FALSE,Major,97838,01d03h10m38,0
METAMODEL-149,FALSE,FALSE,Major,490011,05d16h06m51,0
METAMODEL-29,TRUE,FALSE,Minor,1075522,12d10h45m22,0
METAMODEL-211,FALSE,FALSE,Major,205037,02d08h57m17,0
METAMODEL-47,TRUE,FALSE,Critical,328998,03d19h23m18,0
METAMODEL-43,FALSE,FALSE,Major,442352,05d02h52m32,0
METAMODEL-156,FALSE,FALSE,Major,113680862,1315d18h01m02,0
METAMODEL-157,FALSE,FALSE,Major,7981316,92d09h01m56,0
METAMODEL-152,TRUE,FALSE,Critical,332878,03d20h27m58,0
METAMODEL-151,TRUE,FALSE,Major,457981,05d07h13m01,0
METAMODEL-1206,TRUE,FALSE,Major,92208,01d01h36m48,0
METAMODEL-1207,TRUE,FALSE,Major,6950593,80d10h43m13,0
METAMODEL-1208,FALSE,FALSE,Major,5627263,65d03h07m43,0
METAMODEL-78,TRUE,FALSE,Major,10049730,116d07h35m30,0
METAMODEL-70,TRUE,FALSE,Major,39986,00d11h06m26,0
METAMODEL-76,TRUE,FALSE,Major,2384357,27d14h19m17,0
METAMODEL-74,TRUE,FALSE,Major,509781,05d21h36m21,1
METAMODEL-59,TRUE,FALSE,Major,187036,02d03h57m16,0
METAMODEL-1194,FALSE,FALSE,Minor,381928,04d10h05m28,0
METAMODEL-164,FALSE,FALSE,Major,2090072,24d04h34m32,0
METAMODEL-1217,TRUE,FALSE,Minor,3524128,40d18h55m28,0
METAMODEL-1213,FALSE,FALSE,Major,698231,08d01h57m11,0
METAMODEL-1118,FALSE,FALSE,Major,289,00d00h04m49,0
METAMODEL-1119,FALSE,FALSE,Major,728246,08d10h17m26,0
METAMODEL-1111,TRUE,FALSE,Major,110825,01d06h47m05,0
METAMODEL-1113,TRUE,FALSE,Major,1791493,20d17h38m13,0
METAMODEL-60,TRUE,FALSE,Critical,89665,01d00h54m25,0
METAMODEL-62,TRUE,FALSE,Minor,297877,03d10h44m37,0
METAMODEL-1176,FALSE,FALSE,Major,134,00d00h02m14,0
METAMODEL-1177,TRUE,FALSE,Major,1546496,17d21h34m56,0
METAMODEL-69,TRUE,FALSE,Major,40729,00d11h18m49,0
METAMODEL-68,FALSE,FALSE,Major,119,00d00h01m59,0
METAMODEL-1171,FALSE,FALSE,Major,1083416,12d12h56m56,0
METAMODEL-179,TRUE,FALSE,Critical,331958,03d20h12m38,0
METAMODEL-176,TRUE,FALSE,Minor,123483,01d10h18m03,0
METAMODEL-177,FALSE,FALSE,Major,673847,07d19h10m47,0
METAMODEL-171,FALSE,FALSE,Major,449216,05d04h46m56,0
METAMODEL-172,TRUE,FALSE,Critical,1360651,15d17h57m31,0
METAMODEL-173,TRUE,FALSE,Major,266522,03d02h02m02,0
METAMODEL-200,FALSE,FALSE,Major,195798,02d06h23m18,0
METAMODEL-207,TRUE,FALSE,Major,16337814,189d02h16m54,0
METAMODEL-204,FALSE,FALSE,Critical,58020,00d16h07m00,0
METAMODEL-1109,FALSE,FALSE,Major,583746,06d18h09m06,0
METAMODEL-1103,FALSE,FALSE,Critical,291727,03d09h02m07,0
METAMODEL-1107,TRUE,FALSE,Major,143,00d00h02m23,0
METAMODEL-1106,FALSE,FALSE,Blocker,1306176,15d02h49m36,0
METAMODEL-1104,FALSE,FALSE,Major,1381418,15d23h43m38,0
METAMODEL-1169,FALSE,FALSE,Major,5172190,59d20h43m10,0
METAMODEL-1168,FALSE,FALSE,Major,631891,07d07h31m31,0
METAMODEL-1160,TRUE,FALSE,Minor,1465911,16d23h11m51,0
METAMODEL-1163,TRUE,FALSE,Major,1290938,14d22h35m38,0
METAMODEL-109,FALSE,FALSE,Major,256883,02d23h21m23,0
METAMODEL-239,FALSE,FALSE,Major,6666,00d01h51m06,0
METAMODEL-9,TRUE,FALSE,Major,287333,03d07h48m53,0
METAMODEL-100,TRUE,FALSE,Major,1033276,11d23h01m16,0
METAMODEL-235,TRUE,FALSE,Major,5731157,66d07h59m17,0
METAMODEL-104,FALSE,FALSE,Minor,20463849,236d20h24m09,0
METAMODEL-231,FALSE,FALSE,Major,262217,03d00h50m17,0
METAMODEL-106,FALSE,FALSE,Major,371547,04d07h12m27,0
METAMODEL-3,FALSE,FALSE,Minor,25263775,292d09h42m55,0
METAMODEL-182,FALSE,FALSE,Major,3576354,41d09h25m54,0
METAMODEL-184,FALSE,FALSE,Major,448392,05d04h33m12,0
METAMODEL-187,TRUE,FALSE,Minor,2425997,28d01h53m17,0
METAMODEL-1173,TRUE,FALSE,Major,869372,10d01h29m32,0
METAMODEL-228,TRUE,FALSE,Major,11008238,127d09h50m38,0
METAMODEL-225,FALSE,FALSE,Major,10009964,115d20h32m44,0
METAMODEL-227,TRUE,FALSE,Minor,28,00d00h00m28,0
METAMODEL-90,FALSE,FALSE,Minor,7451,00d02h04m11,0
METAMODEL-1086,FALSE,FALSE,Major,1695057,19d14h50m57,0
METAMODEL-95,TRUE,FALSE,Major,3603,00d01h00m03,0
METAMODEL-194,TRUE,FALSE,Major,87973,01d00h26m13,0
METAMODEL-198,TRUE,FALSE,Major,219596,02d12h59m56,0
METAMODEL-199,FALSE,FALSE,Major,262498,03d00h54m58,0
