BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
DIRMINA-755,TRUE,FALSE,Major,369630,04d06h40m30,0
DIRMINA-943,FALSE,FALSE,Major,41540848,480d19h07m28,0
DIRMINA-750,FALSE,FALSE,Minor,797,00d00h13m17,0
DIRMINA-946,FALSE,FALSE,Major,361,00d00h06m01,0
DIRMINA-949,FALSE,FALSE,Major,35837364,414d18h49m24,0
DIRMINA-610,FALSE,FALSE,Minor,355975,04d02h52m55,0
DIRMINA-613,FALSE,FALSE,Major,479,00d00h07m59,0
DIRMINA-199,FALSE,FALSE,Minor,14010307,162d03h45m07,0
DIRMINA-209,TRUE,FALSE,Major,62055,00d17h14m15,0
DIRMINA-580,FALSE,FALSE,Blocker,687882,07d23h04m42,0
DIRMINA-583,FALSE,FALSE,Minor,109,00d00h01m49,0
DIRMINA-584,FALSE,FALSE,Major,2015425,23d07h50m25,1
DIRMINA-225,FALSE,FALSE,Major,154,00d00h02m34,0
DIRMINA-226,FALSE,FALSE,Major,900,00d00h15m00,0
DIRMINA-421,FALSE,FALSE,Minor,171,00d00h02m51,0
DIRMINA-222,TRUE,FALSE,Major,301,00d00h05m01,0
DIRMINA-343,FALSE,FALSE,Major,339,00d00h05m39,0
DIRMINA-366,TRUE,FALSE,Major,3521729,40d18h15m29,1
DIRMINA-347,FALSE,FALSE,Minor,467266,05d09h47m46,0
DIRMINA-345,FALSE,FALSE,Major,2644,00d00h44m04,0
DIRMINA-503,TRUE,FALSE,Critical,1235181,14d07h06m21,1
DIRMINA-502,FALSE,FALSE,Trivial,2013252,23d07h14m12,0
DIRMINA-506,FALSE,FALSE,Major,516,00d00h08m36,0
DIRMINA-603,FALSE,FALSE,Major,33997,00d09h26m37,0
DIRMINA-559,TRUE,FALSE,Minor,145,00d00h02m25,0
DIRMINA-406,FALSE,FALSE,Major,1641,00d00h27m21,0
DIRMINA-563,FALSE,FALSE,Minor,103,00d00h01m43,0
DIRMINA-562,TRUE,FALSE,Minor,466,00d00h07m46,0
DIRMINA-561,TRUE,FALSE,Major,1001714,11d14h15m14,0
DIRMINA-560,FALSE,FALSE,Minor,1165250,13d11h40m50,0
DIRMINA-567,FALSE,FALSE,Major,71731,00d19h55m31,0
