BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
MYFACES-2236,FALSE,FALSE,Major,955,00d00h15m55,0
MYFACES-2169,FALSE,FALSE,Major,117,00d00h01m57,0
TRINIDAD-907,FALSE,FALSE,Major,11906,00d03h18m26,0
MYFACES-2025,FALSE,FALSE,Major,42085,00d11h41m25,0
MYFACES-2987,FALSE,FALSE,Trivial,472,00d00h07m52,0
MYFACES-3059,FALSE,FALSE,Minor,73,00d00h01m13,0
MYFACES-2082,FALSE,FALSE,Major,12924,00d03h35m24,0
MYFACES-3282,TRUE,FALSE,Major,185,00d00h03m05,0
MYFACES-2158,TRUE,FALSE,Major,960697,11d02h51m37,0
MYFACES-2170,FALSE,FALSE,Major,93,00d00h01m33,0
MYFACES-2956,TRUE,FALSE,Major,45,00d00h00m45,0
MYFACES-2308,FALSE,FALSE,Major,52,00d00h00m52,0
TRINIDAD-895,FALSE,FALSE,Minor,58046,00d16h07m26,0
MYFACES-1811,FALSE,FALSE,Critical,1252279,14d11h51m19,0
TOMAHAWK-1560,FALSE,FALSE,Critical,2345898,27d03h38m18,0
MYFACES-2202,FALSE,FALSE,Major,685455,07d22h24m15,0
MYFACES-2756,FALSE,FALSE,Major,55,00d00h00m55,0
MYFACES-2782,FALSE,FALSE,Major,55,00d00h00m55,0
MYFACES-2157,FALSE,FALSE,Major,61,00d00h01m01,0
