BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
EXTCDI-286,FALSE,FALSE,Minor,20822,00d05h47m02,0
EXTCDI-22,TRUE,FALSE,Major,487,00d00h08m07,0
EXTCDI-289,FALSE,FALSE,Major,230,00d00h03m50,0
EXTCDI-69,TRUE,FALSE,Major,210402,02d10h26m42,0
EXTCDI-24,TRUE,FALSE,Major,718,00d00h11m58,0
EXTCDI-213,FALSE,FALSE,Minor,6609,00d01h50m09,0
EXTCDI-49,TRUE,FALSE,Minor,10481651,121d07h34m11,0
EXTCDI-48,TRUE,FALSE,Major,22197,00d06h09m57,0
EXTCDI-47,TRUE,FALSE,Major,33800,00d09h23m20,0
EXTCDI-184,FALSE,FALSE,Minor,4390577,50d19h36m17,2
EXTCDI-29,FALSE,FALSE,Major,1592,00d00h26m32,0
EXTCDI-28,TRUE,FALSE,Major,15838409,183d07h33m29,0
EXTCDI-311,FALSE,FALSE,Minor,398,00d00h06m38,0
EXTCDI-279,FALSE,FALSE,Minor,242574,02d19h22m54,0
EXTCDI-234,FALSE,FALSE,Major,1027,00d00h17m07,0
EXTCDI-83,FALSE,FALSE,Major,608428,07d01h00m28,0
EXTCDI-273,FALSE,FALSE,Minor,2309375,26d17h29m35,0
EXTCDI-277,FALSE,FALSE,Minor,4154,00d01h09m14,0
EXTCDI-96,TRUE,FALSE,Trivial,477,00d00h07m57,0
EXTCDI-239,TRUE,FALSE,Minor,2061947,23d20h45m47,0
EXTCDI-42,TRUE,FALSE,Minor,2302,00d00h38m22,0
EXTCDI-148,FALSE,FALSE,Minor,547,00d00h09m07,0
EXTCDI-253,TRUE,FALSE,Minor,9206,00d02h33m26,0
EXTCDI-252,TRUE,FALSE,Major,294,00d00h04m54,0
EXTCDI-167,TRUE,FALSE,Major,393,00d00h06m33,0
EXTCDI-166,FALSE,FALSE,Minor,41941,00d11h39m01,0
EXTCDI-92,TRUE,FALSE,Major,1493350,17d06h49m10,0
EXTCDI-259,FALSE,FALSE,Minor,416,00d00h06m56,0
EXTCDI-87,TRUE,FALSE,Major,3890,00d01h04m50,0
EXTCDI-143,FALSE,FALSE,Minor,8912,00d02h28m32,0
EXTCDI-98,TRUE,FALSE,Major,5792724,67d01h05m24,0
EXTCDI-144,FALSE,FALSE,Minor,89737,01d00h55m37,0
EXTCDI-19,TRUE,FALSE,Major,9251,00d02h34m11,0
EXTCDI-50,TRUE,FALSE,Major,170143,01d23h15m43,0
EXTCDI-78,TRUE,FALSE,Critical,24579,00d06h49m39,0
EXTCDI-30,TRUE,FALSE,Major,1287,00d00h21m27,0
EXTCDI-220,TRUE,FALSE,Minor,13630,00d03h47m10,1
EXTCDI-221,TRUE,FALSE,Minor,9734,00d02h42m14,0
EXTCDI-305,TRUE,FALSE,Major,134287,01d13h18m07,0
EXTCDI-302,FALSE,FALSE,Major,215,00d00h03m35,0
EXTCDI-227,FALSE,FALSE,Minor,80403,00d22h20m03,0
EXTCDI-228,TRUE,FALSE,Major,245911,02d20h18m31,0
EXTCDI-131,TRUE,TRUE,Major,592754,06d20h39m14,0
EXTCDI-34,FALSE,FALSE,Major,2081,00d00h34m41,0
EXTCDI-108,FALSE,FALSE,Minor,153,00d00h02m33,0
EXTCDI-242,TRUE,FALSE,Major,1310445,15d04h00m45,0
EXTCDI-127,TRUE,FALSE,Minor,2100842,24d07h34m02,0
EXTCDI-266,FALSE,FALSE,Minor,5272,00d01h27m52,0
EXTCDI-80,TRUE,FALSE,Minor,3312,00d00h55m12,0
EXTCDI-246,FALSE,FALSE,Minor,2959182,34d05h59m42,0
EXTCDI-247,FALSE,FALSE,Major,192,00d00h03m12,0
EXTCDI-85,FALSE,FALSE,Major,486764,05d15h12m44,0
EXTCDI-25,FALSE,FALSE,Major,70,00d00h01m10,0
EXTCDI-154,TRUE,FALSE,Trivial,20291,00d05h38m11,0
