BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
EXTVAL-77,FALSE,FALSE,Minor,19957231,230d23h40m31,0
EXTVAL-76,FALSE,FALSE,Trivial,13162293,152d08h11m33,0
EXTVAL-105,FALSE,FALSE,Minor,44611,00d12h23m31,0
EXTVAL-147,FALSE,FALSE,Major,286215,03d07h30m15,0
EXTVAL-78,FALSE,FALSE,Minor,224071,02d14h14m31,0
EXTVAL-128,TRUE,FALSE,Minor,800901,09d06h28m21,0
EXTVAL-97,FALSE,FALSE,Major,2869,00d00h47m49,0
EXTVAL-93,TRUE,FALSE,Trivial,2399,00d00h39m59,0
EXTVAL-137,FALSE,FALSE,Minor,378,00d00h06m18,0
EXTVAL-135,FALSE,FALSE,Major,772,00d00h12m52,0
EXTVAL-124,TRUE,FALSE,Minor,433412,05d00h23m32,0
EXTVAL-98,FALSE,FALSE,Minor,1408,00d00h23m28,0
