BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
PORTLETBRIDGE-17,FALSE,FALSE,Major,1693,00d00h28m13,0
PORTLETBRIDGE-16,FALSE,FALSE,Major,1510,00d00h25m10,0
PORTLETBRIDGE-14,FALSE,FALSE,Critical,456326,05d06h45m26,0
PORTLETBRIDGE-12,TRUE,FALSE,Critical,521117,06d00h45m17,0
PORTLETBRIDGE-2,FALSE,FALSE,Major,3552006,41d02h40m06,0
PORTLETBRIDGE-20,FALSE,FALSE,Major,832600,09d15h16m40,0
PORTLETBRIDGE-21,TRUE,FALSE,Major,1296145,15d00h02m25,0
PORTLETBRIDGE-3,FALSE,FALSE,Major,6771893,78d09h04m53,0
PORTLETBRIDGE-19,FALSE,FALSE,Major,5084712,58d20h25m12,1
PORTLETBRIDGE-18,FALSE,FALSE,Major,629,00d00h10m29,0
PORTLETBRIDGE-9,TRUE,FALSE,Blocker,1756,00d00h29m16,0
