BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
EXTSCRIPT-41,FALSE,FALSE,Major,6366134,73d16h22m14,0
EXTSCRIPT-40,FALSE,FALSE,Major,5444661,63d00h24m21,0
EXTSCRIPT-68,TRUE,FALSE,Major,878,00d00h14m38,0
EXTSCRIPT-44,TRUE,FALSE,Major,87606199,1013d23h03m19,0
EXTSCRIPT-47,TRUE,FALSE,Major,152888,01d18h28m08,0
EXTSCRIPT-63,TRUE,FALSE,Minor,710081,08d05h14m41,0
EXTSCRIPT-62,TRUE,FALSE,Major,1182230,13d16h23m50,0
EXTSCRIPT-61,FALSE,FALSE,Minor,1384880,16d00h41m20,0
EXTSCRIPT-66,TRUE,FALSE,Minor,96413,01d02h46m53,0
EXTSCRIPT-64,FALSE,FALSE,Minor,608756,07d01h05m56,0
EXTSCRIPT-27,TRUE,FALSE,Major,884476,10d05h41m16,0
EXTSCRIPT-109,TRUE,FALSE,Minor,7849897,90d20h31m37,0
EXTSCRIPT-21,TRUE,FALSE,Major,7865104,91d00h45m04,0
EXTSCRIPT-95,FALSE,FALSE,Minor,701608,08d02h53m28,0
EXTSCRIPT-29,TRUE,FALSE,Major,5001999,57d21h26m39,0
EXTSCRIPT-28,TRUE,FALSE,Major,396457,04d14h07m37,0
EXTSCRIPT-128,FALSE,FALSE,Major,177,00d00h02m57,0
EXTSCRIPT-87,FALSE,FALSE,Minor,796,00d00h13m16,0
EXTSCRIPT-104,TRUE,FALSE,Minor,4093,00d01h08m13,0
EXTSCRIPT-103,FALSE,FALSE,Critical,15678,00d04h21m18,0
EXTSCRIPT-101,TRUE,FALSE,Major,120273,01d09h24m33,0
EXTSCRIPT-100,TRUE,FALSE,Major,80105,00d22h15m05,0
EXTSCRIPT-121,TRUE,FALSE,Major,2733,00d00h45m33,0
EXTSCRIPT-120,FALSE,FALSE,Major,1995,00d00h33m15,0
EXTSCRIPT-123,FALSE,FALSE,Major,46896,00d13h01m36,0
EXTSCRIPT-122,FALSE,FALSE,Minor,4318,00d01h11m58,0
EXTSCRIPT-124,FALSE,FALSE,Major,80268,00d22h17m48,0
EXTSCRIPT-127,FALSE,FALSE,Major,672,00d00h11m12,0
EXTSCRIPT-108,TRUE,FALSE,Minor,9156,00d02h32m36,0
EXTSCRIPT-165,TRUE,FALSE,Blocker,225610,02d14h40m10,0
EXTSCRIPT-49,FALSE,FALSE,Minor,590064,06d19h54m24,0
EXTSCRIPT-167,FALSE,FALSE,Major,17402,00d04h50m02,0
EXTSCRIPT-161,FALSE,FALSE,Minor,254418,02d22h40m18,0
EXTSCRIPT-146,FALSE,FALSE,Minor,2860,00d00h47m40,0
EXTSCRIPT-145,FALSE,FALSE,Major,12161,00d03h22m41,0
EXTSCRIPT-162,FALSE,FALSE,Blocker,4455045,51d13h30m45,0
EXTSCRIPT-184,FALSE,FALSE,Major,70927,00d19h42m07,0
EXTSCRIPT-183,FALSE,FALSE,Minor,5435,00d01h30m35,0
EXTSCRIPT-168,FALSE,FALSE,Major,486,00d00h08m06,0
EXTSCRIPT-53,FALSE,FALSE,Minor,436608,05d01h16m48,0
EXTSCRIPT-70,TRUE,FALSE,Major,863094,09d23h44m54,0
EXTSCRIPT-188,TRUE,FALSE,Major,19946737,230d20h45m37,0
EXTSCRIPT-164,TRUE,FALSE,Major,11547,00d03h12m27,0
EXTSCRIPT-12,TRUE,FALSE,Major,190225,02d04h50m25,0
EXTSCRIPT-36,FALSE,FALSE,Major,138591,01d14h29m51,0
EXTSCRIPT-37,FALSE,FALSE,Major,4442801,51d10h06m41,0
EXTSCRIPT-31,TRUE,FALSE,Major,396071,04d14h01m11,0
EXTSCRIPT-114,TRUE,FALSE,Major,79149,00d21h59m09,0
EXTSCRIPT-38,TRUE,FALSE,Major,53170,00d14h46m10,0
EXTSCRIPT-111,TRUE,FALSE,Major,88208,01d00h30m08,0
EXTSCRIPT-98,TRUE,FALSE,Minor,6626,00d01h50m26,0
EXTSCRIPT-158,TRUE,FALSE,Major,14604,00d04h03m24,0
EXTSCRIPT-115,FALSE,FALSE,Major,75726,00d21h02m06,0
EXTSCRIPT-116,FALSE,FALSE,Major,64334,00d17h52m14,0
EXTSCRIPT-117,FALSE,FALSE,Minor,211558,02d10h45m58,0
EXTSCRIPT-92,FALSE,FALSE,Major,2449,00d00h40m49,0
EXTSCRIPT-133,FALSE,FALSE,Major,2565,00d00h42m45,0
EXTSCRIPT-130,FALSE,FALSE,Major,3090,00d00h51m30,0
EXTSCRIPT-97,FALSE,FALSE,Minor,87640,01d00h20m40,0
EXTSCRIPT-134,TRUE,FALSE,Major,1220201,14d02h56m41,0
EXTSCRIPT-135,TRUE,FALSE,Major,3511,00d00h58m31,0
EXTSCRIPT-174,FALSE,FALSE,Major,17068,00d04h44m28,0
EXTSCRIPT-173,FALSE,FALSE,Major,69106,00d19h11m46,0
EXTSCRIPT-155,TRUE,FALSE,Major,14600,00d04h03m20,0
EXTSCRIPT-156,TRUE,FALSE,Major,102272,01d04h24m32,0
