BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
TOBAGO-1769,TRUE,FALSE,Major,510822,05d21h53m42,0
TOBAGO-1645,TRUE,FALSE,Minor,38620730,446d23h58m50,0
TOBAGO-1647,FALSE,FALSE,Minor,3475036,40d05h17m16,0
TOBAGO-1649,FALSE,FALSE,Minor,3472861,40d04h41m01,0
TOBAGO-1763,FALSE,FALSE,Minor,741557,08d13h59m17,0
TOBAGO-1761,FALSE,FALSE,Major,599768,06d22h36m08,0
TOBAGO-1764,FALSE,FALSE,Minor,8703,00d02h25m03,0
TOBAGO-1765,FALSE,FALSE,Minor,1617,00d00h26m57,0
TOBAGO-1642,TRUE,FALSE,Major,271969,03d03h32m49,0
TOBAGO-1058,FALSE,FALSE,Minor,503466,05d19h51m06,0
TOBAGO-1059,TRUE,FALSE,Major,242483,02d19h21m23,0
TOBAGO-1054,FALSE,FALSE,Trivial,337992,03d21h53m12,0
TOBAGO-1055,TRUE,FALSE,Major,859432,09d22h43m52,0
TOBAGO-1056,FALSE,FALSE,Major,232454,02d16h34m14,0
TOBAGO-758,FALSE,TRUE,Major,22666,00d06h17m46,0
TOBAGO-964,FALSE,FALSE,Minor,2376822,27d12h13m42,0
TOBAGO-965,FALSE,FALSE,Minor,1944445,22d12h07m25,0
TOBAGO-1052,FALSE,FALSE,Major,166412,01d22h13m32,0
TOBAGO-1053,TRUE,FALSE,Major,1126,00d00h18m46,0
TOBAGO-803,FALSE,FALSE,Minor,1243,00d00h20m43,0
TOBAGO-1114,FALSE,FALSE,Minor,49,00d00h00m49,0
TOBAGO-1116,FALSE,FALSE,Major,2359,00d00h39m19,0
TOBAGO-1110,FALSE,FALSE,Minor,3094,00d00h51m34,0
TOBAGO-1299,FALSE,FALSE,Major,3027,00d00h50m27,0
TOBAGO-1296,TRUE,FALSE,Minor,107234,01d05h47m14,0
TOBAGO-1996,FALSE,FALSE,Major,936787,10d20h13m07,0
TOBAGO-1294,FALSE,FALSE,Major,435,00d00h07m15,0
TOBAGO-1295,TRUE,FALSE,Major,3374515,39d01h21m55,0
TOBAGO-1293,FALSE,FALSE,Major,150160,01d17h42m40,0
TOBAGO-1291,FALSE,FALSE,Major,414,00d00h06m54,0
TOBAGO-1648,FALSE,FALSE,Minor,6320573,73d03h42m53,0
TOBAGO-697,TRUE,FALSE,Major,281857,03d06h17m37,1
TOBAGO-694,FALSE,FALSE,Critical,645772,07d11h22m52,0
TOBAGO-347,FALSE,FALSE,Major,119,00d00h01m59,0
TOBAGO-1499,TRUE,FALSE,Minor,598363,06d22h12m43,0
TOBAGO-690,TRUE,FALSE,Major,1736606,20d02h23m26,0
TOBAGO-1459,TRUE,FALSE,Major,13690,00d03h48m10,0
TOBAGO-349,FALSE,FALSE,Major,171360,01d23h36m00,0
TOBAGO-936,FALSE,FALSE,Minor,2872,00d00h47m52,0
TOBAGO-1797,FALSE,FALSE,Minor,575790,06d15h56m30,0
TOBAGO-741,TRUE,FALSE,Major,484807,05d14h40m07,0
TOBAGO-668,FALSE,FALSE,Major,9171,00d02h32m51,0
TOBAGO-748,FALSE,FALSE,Major,8774193,101d13h16m33,0
TOBAGO-749,FALSE,FALSE,Major,5400897,62d12h14m57,0
TOBAGO-620,FALSE,FALSE,Minor,57885716,669d23h21m56,0
TOBAGO-666,FALSE,FALSE,Major,64015,00d17h46m55,0
TOBAGO-1798,FALSE,FALSE,Major,87272,01d00h14m32,0
TOBAGO-1186,FALSE,FALSE,Major,3144,00d00h52m24,0
TOBAGO-442,FALSE,FALSE,Minor,270,00d00h04m30,0
TOBAGO-1975,FALSE,FALSE,Minor,2350110,27d04h48m30,0
TOBAGO-1974,TRUE,FALSE,Minor,5177378,59d22h09m38,0
TOBAGO-1973,FALSE,FALSE,Major,2912341,33d16h59m01,0
TOBAGO-1972,TRUE,FALSE,Minor,182423,02d02h40m23,0
TOBAGO-117,FALSE,FALSE,Minor,3166,00d00h52m46,0
TOBAGO-1381,TRUE,FALSE,Major,15731,00d04h22m11,0
TOBAGO-1385,FALSE,FALSE,Major,1631,00d00h27m11,0
TOBAGO-1387,FALSE,FALSE,Trivial,167228,01d22h27m08,0
TOBAGO-1388,FALSE,FALSE,Major,146477,01d16h41m17,0
TOBAGO-1423,FALSE,FALSE,Major,3572836,41d08h27m16,2
TOBAGO-1422,TRUE,FALSE,Minor,3969320,45d22h35m20,1
TOBAGO-1425,FALSE,FALSE,Major,252522,02d22h08m42,0
TOBAGO-1424,FALSE,FALSE,Minor,123543,01d10h19m03,0
TOBAGO-1427,FALSE,FALSE,Trivial,506107,05d20h35m07,0
TOBAGO-1426,FALSE,FALSE,Major,600,00d00h10m00,0
TOBAGO-1988,TRUE,FALSE,Major,672639,07d18h50m39,0
TOBAGO-598,FALSE,FALSE,Major,1630,00d00h27m10,0
TOBAGO-1891,FALSE,FALSE,Major,166476,01d22h14m36,0
TOBAGO-1548,FALSE,FALSE,Minor,807,00d00h13m27,0
TOBAGO-596,FALSE,TRUE,Major,342420,03d23h07m00,0
TOBAGO-238,FALSE,FALSE,Minor,151459,01d18h04m19,0
TOBAGO-234,FALSE,FALSE,Critical,708581,08d04h49m41,1
TOBAGO-235,TRUE,FALSE,Trivial,139,00d00h02m19,0
TOBAGO-1801,TRUE,FALSE,Major,49802,00d13h50m02,0
TOBAGO-230,FALSE,FALSE,Critical,2038,00d00h33m58,0
TOBAGO-231,TRUE,FALSE,Minor,151557,01d18h05m57,0
TOBAGO-232,TRUE,FALSE,Minor,26500,00d07h21m40,0
TOBAGO-800,TRUE,FALSE,Major,6136944,71d00h42m24,0
TOBAGO-132,FALSE,FALSE,Major,352,00d00h05m52,0
TOBAGO-1339,FALSE,FALSE,Minor,4570,00d01h16m10,0
TOBAGO-1112,TRUE,FALSE,Trivial,10698,00d02h58m18,0
TOBAGO-528,FALSE,FALSE,Major,801,00d00h13m21,0
TOBAGO-282,FALSE,FALSE,Major,1211789,14d00h36m29,1
TOBAGO-284,FALSE,FALSE,Trivial,7448083,86d04h54m43,1
TOBAGO-1878,TRUE,FALSE,Minor,1133287,13d02h48m07,0
TOBAGO-520,FALSE,FALSE,Major,703933,08d03h32m13,0
TOBAGO-995,FALSE,FALSE,Minor,168830,01d22h53m50,0
TOBAGO-522,FALSE,FALSE,Major,3972534,45d23h28m54,0
TOBAGO-524,TRUE,FALSE,Major,8887890,102d20h51m30,0
TOBAGO-1873,FALSE,FALSE,Major,3148,00d00h52m28,0
TOBAGO-1870,TRUE,FALSE,Major,6140783,71d01h46m23,0
TOBAGO-1871,FALSE,FALSE,Minor,7155,00d01h59m15,0
TOBAGO-1726,TRUE,FALSE,Minor,21483,00d05h58m03,0
TOBAGO-1727,FALSE,FALSE,Trivial,3408,00d00h56m48,0
TOBAGO-1724,FALSE,FALSE,Minor,21997,00d06h06m37,0
TOBAGO-1723,FALSE,FALSE,Minor,15630025,180d21h40m25,0
TOBAGO-1721,TRUE,FALSE,Major,19799037,229d03h43m57,0
TOBAGO-1728,TRUE,FALSE,Minor,1030933,11d22h22m13,0
TOBAGO-1729,TRUE,FALSE,Minor,687056,07d22h50m56,0
TOBAGO-1151,FALSE,FALSE,Minor,150746,01d17h52m26,0
TOBAGO-1150,TRUE,FALSE,Minor,160633,01d20h37m13,0
TOBAGO-1258,TRUE,TRUE,Major,253540,02d22h25m40,0
TOBAGO-1152,TRUE,FALSE,Major,911,00d00h15m11,0
TOBAGO-1157,FALSE,FALSE,Minor,1067,00d00h17m47,0
TOBAGO-1250,FALSE,FALSE,Minor,258509,02d23h48m29,1
TOBAGO-1251,TRUE,FALSE,Minor,526890,06d02h21m30,0
