BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
TOMAHAWK-1539,FALSE,FALSE,Major,281,00d00h04m41,0
TOMAHAWK-1531,FALSE,FALSE,Major,55,00d00h00m55,0
TOMAHAWK-1439,FALSE,FALSE,Major,59,00d00h00m59,0
MYFACES-1273,FALSE,FALSE,Major,885647,10d06h00m47,0
TOMAHAWK-1535,TRUE,FALSE,Major,531,00d00h08m51,0
TOMAHAWK-1534,FALSE,FALSE,Major,291,00d00h04m51,0
TOMAHAWK-1537,FALSE,FALSE,Major,300,00d00h05m00,0
TOMAHAWK-1536,TRUE,FALSE,Major,88,00d00h01m28,0
TOMAHAWK-726,FALSE,FALSE,Major,27142099,314d03h28m19,0
TOMAHAWK-1287,FALSE,FALSE,Major,531404,06d03h36m44,0
MYFACES-907,FALSE,FALSE,Blocker,1159761,13d10h09m21,0
TOMAHAWK-1329,FALSE,FALSE,Minor,1758387,20d08h26m27,0
TOMAHAWK-1325,FALSE,FALSE,Minor,2348,00d00h39m08,0
TOMAHAWK-1326,FALSE,FALSE,Major,85971,00d23h52m51,0
TOMAHAWK-1320,FALSE,FALSE,Minor,24574997,284d10h23m17,0
TOMAHAWK-1321,FALSE,FALSE,Major,4538,00d01h15m38,0
TOMAHAWK-1289,TRUE,FALSE,Major,3049,00d00h50m49,0
TOMAHAWK-1447,FALSE,FALSE,Major,16479405,190d17h36m45,0
TOMAHAWK-262,FALSE,FALSE,Minor,291646,03d09h00m46,0
TOMAHAWK-1443,TRUE,FALSE,Major,29559462,342d02h57m42,0
MYFACES-308,FALSE,FALSE,Major,1589913,18d09h38m33,0
MYFACES-305,TRUE,FALSE,Major,1848371,21d09h26m11,0
TOMAHAWK-462,TRUE,FALSE,Major,108999,01d06h16m39,0
TOMAHAWK-468,FALSE,FALSE,Major,5446982,63d01h03m02,0
TOMAHAWK-1240,FALSE,FALSE,Major,3437,00d00h57m17,0
TOMAHAWK-942,FALSE,FALSE,Minor,179724,02d01h55m24,0
TOMAHAWK-1218,TRUE,FALSE,Major,1954,00d00h32m34,0
TOMAHAWK-1219,FALSE,FALSE,Major,6930598,80d05h09m58,0
TOMAHAWK-1210,FALSE,FALSE,Major,71,00d00h01m11,0
TOMAHAWK-1211,FALSE,FALSE,Major,772,00d00h12m52,0
TOMAHAWK-1290,FALSE,FALSE,Major,131,00d00h02m11,0
TOMAHAWK-1198,FALSE,FALSE,Major,10163132,117d15h05m32,0
MYFACES-413,FALSE,FALSE,Critical,7457,00d02h04m17,0
TOMAHAWK-215,TRUE,FALSE,Major,58757,00d16h19m17,0
MYFACES-417,FALSE,FALSE,Minor,5961,00d01h39m21,0
MYFACES-416,FALSE,FALSE,Major,11610,00d03h13m30,0
MYFACES-415,FALSE,FALSE,Major,2197,00d00h36m37,0
TOMAHAWK-592,FALSE,FALSE,Major,3490438,40d09h33m58,0
TOMAHAWK-590,FALSE,FALSE,Major,448993,05d04h43m13,0
TOMAHAWK-596,FALSE,FALSE,Major,89172226,1032d02h03m46,0
TOMAHAWK-17,FALSE,FALSE,Major,36717773,424d23h22m53,0
TOMAHAWK-15,FALSE,FALSE,Major,94551881,1094d08h24m41,0
TOMAHAWK-955,TRUE,FALSE,Critical,11254205,130d06h10m05,0
TOMAHAWK-1064,FALSE,FALSE,Critical,63130835,730d16h20m35,0
TOMAHAWK-898,FALSE,FALSE,Major,490235,05d16h10m35,0
TOMAHAWK-1266,FALSE,FALSE,Major,2255908,26d02h38m28,1
TOMAHAWK-1108,FALSE,FALSE,Major,55540519,642d19h55m19,0
TOMAHAWK-1260,FALSE,FALSE,Major,143519393,1661d02h29m53,0
TOMAHAWK-322,TRUE,FALSE,Major,38378642,444d04h44m02,1
MYFACES-520,FALSE,FALSE,Major,37278,00d10h21m18,0
TOMAHAWK-66,TRUE,FALSE,Minor,18132395,209d20h46m35,0
TOMAHAWK-64,TRUE,FALSE,Minor,82580555,955d19h02m35,0
MYFACES-528,FALSE,FALSE,Critical,19020,00d05h17m00,0
TOMAHAWK-764,FALSE,FALSE,Major,13179,00d03h39m39,1
TOMAHAWK-765,FALSE,FALSE,Major,13,00d00h00m13,0
TOMAHAWK-647,FALSE,FALSE,Blocker,27154,00d07h32m34,0
TOMAHAWK-644,FALSE,FALSE,Major,7606,00d02h06m46,0
TOMAHAWK-640,FALSE,FALSE,Major,4441,00d01h14m01,0
MYFACES-639,FALSE,FALSE,Minor,529531,06d03h05m31,1
TOMAHAWK-136,FALSE,FALSE,Minor,1888934,21d20h42m14,0
MYFACES-739,FALSE,FALSE,Major,836424,09d16h20m24,0
MYFACES-636,FALSE,FALSE,Major,100912,01d04h01m52,0
TOMAHAWK-1365,FALSE,FALSE,Major,959344,11d02h29m04,0
TOMAHAWK-1400,FALSE,FALSE,Minor,62759,00d17h25m59,0
TOMAHAWK-1403,FALSE,FALSE,Major,23777280,275d04h48m00,0
TOMAHAWK-1402,FALSE,FALSE,Major,6445190,74d14h19m50,0
TOMAHAWK-1405,FALSE,FALSE,Major,253889,02d22h31m29,0
TOMAHAWK-1567,FALSE,FALSE,Major,42,00d00h00m42,0
TOMAHAWK-429,FALSE,FALSE,Trivial,144548,01d16h09m08,0
TOMAHAWK-1565,FALSE,FALSE,Major,417,00d00h06m57,0
TOMAHAWK-1562,FALSE,FALSE,Major,4593531,53d03h58m51,0
TOMAHAWK-1563,FALSE,FALSE,Major,885,00d00h14m45,0
TOMAHAWK-1560,FALSE,FALSE,Critical,2345898,27d03h38m18,0
TOMAHAWK-423,FALSE,FALSE,Major,12186011,141d01h00m11,1
MYFACES-404,FALSE,FALSE,Critical,857489,09d22h11m29,0
TOMAHAWK-390,FALSE,FALSE,Major,561385,06d11h56m25,1
MYFACES-385,FALSE,FALSE,Minor,39453,00d10h57m33,0
MYFACES-118,FALSE,FALSE,Major,14746387,170d16h13m07,1
TOMAHAWK-869,TRUE,FALSE,Major,284040,03d06h54m00,0
TOMAHAWK-161,FALSE,FALSE,Major,9076154,105d01h09m14,0
TOMAHAWK-258,FALSE,FALSE,Major,27294658,315d21h50m58,0
TOMAHAWK-1314,FALSE,FALSE,Major,36250,00d10h04m10,0
MYFACES-592,FALSE,TRUE,Major,529731,06d03h08m51,1
MYFACES-458,FALSE,FALSE,Critical,59470873,688d07h41m13,1
MYFACES-456,FALSE,FALSE,Major,796203,09d05h10m03,0
TOMAHAWK-253,FALSE,FALSE,Major,684278,07d22h04m38,0
TOMAHAWK-1319,TRUE,FALSE,Minor,16540,00d04h35m40,0
TOMAHAWK-554,FALSE,FALSE,Major,1615,00d00h26m55,0
TOMAHAWK-1496,FALSE,FALSE,Major,12877199,149d00h59m59,0
MYFACES-356,FALSE,FALSE,Major,156642,01d19h30m42,0
TOMAHAWK-497,FALSE,FALSE,Major,519073,06d00h11m13,1
TOMAHAWK-494,FALSE,FALSE,Major,8319067,96d06h51m07,0
