BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
TRINIDAD-1820,FALSE,FALSE,Major,495,00d00h08m15,0
TRINIDAD-2482,FALSE,FALSE,Major,177018,02d01h10m18,0
TRINIDAD-2429,FALSE,FALSE,Major,3104,00d00h51m44,0
TRINIDAD-2428,FALSE,FALSE,Major,895378,10d08h42m58,0
TRINIDAD-2421,FALSE,FALSE,Major,264459,03d01h27m39,0
TRINIDAD-2423,FALSE,FALSE,Minor,42352,00d11h45m52,0
TRINIDAD-2480,TRUE,FALSE,Major,432746,05d00h12m26,0
TRINIDAD-2425,FALSE,FALSE,Blocker,10037,00d02h47m17,0
TRINIDAD-721,FALSE,FALSE,Major,12905,00d03h35m05,0
TRINIDAD-1040,FALSE,FALSE,Major,480432,05d13h27m12,0
TRINIDAD-1768,FALSE,FALSE,Critical,10291,00d02h51m31,0
TRINIDAD-831,FALSE,FALSE,Trivial,218,00d00h03m38,0
TRINIDAD-939,FALSE,FALSE,Minor,1146219,13d06h23m39,0
TRINIDAD-1044,FALSE,FALSE,Major,942,00d00h15m42,0
TRINIDAD-1045,FALSE,FALSE,Minor,730,00d00h12m10,0
TRINIDAD-934,FALSE,FALSE,Critical,61883,00d17h11m23,0
TRINIDAD-935,FALSE,FALSE,Major,1141043,13d04h57m23,0
TRINIDAD-839,FALSE,FALSE,Trivial,207,00d00h03m27,0
TRINIDAD-931,FALSE,FALSE,Trivial,21101581,244d05h33m01,0
TRINIDAD-932,FALSE,FALSE,Trivial,7011,00d01h56m51,0
TRINIDAD-1764,TRUE,FALSE,Major,24196817,280d01h20m17,0
TRINIDAD-1298,FALSE,FALSE,Minor,213089,02d11h11m29,0
TRINIDAD-1823,FALSE,FALSE,Trivial,5713746,66d03h09m06,0
TRINIDAD-2068,FALSE,FALSE,Major,379,00d00h06m19,0
TRINIDAD-2380,FALSE,FALSE,Major,1024642,11d20h37m22,0
TRINIDAD-113,FALSE,FALSE,Minor,215,00d00h03m35,0
TRINIDAD-2382,FALSE,FALSE,Minor,457126,05d06h58m46,0
TRINIDAD-2383,FALSE,FALSE,Major,16407725,189d21h42m05,0
TRINIDAD-2385,FALSE,FALSE,Minor,15910624,184d03h37m04,0
TRINIDAD-2386,FALSE,FALSE,Minor,1205633,13d22h53m53,0
TRINIDAD-2387,FALSE,FALSE,Blocker,15651499,181d03h38m19,0
TRINIDAD-2388,FALSE,FALSE,Major,144,00d00h02m24,0
TRINIDAD-2389,FALSE,FALSE,Minor,15332908,177d11h08m28,0
TRINIDAD-2063,FALSE,FALSE,Major,24254,00d06h44m14,0
TRINIDAD-2064,FALSE,FALSE,Minor,582905,06d17h55m05,0
TRINIDAD-2067,FALSE,FALSE,Major,321843,03d17h24m03,0
TRINIDAD-2147,TRUE,FALSE,Major,516390,05d23h26m30,0
TRINIDAD-2144,FALSE,FALSE,Minor,10384828,120d04h40m28,0
TRINIDAD-2142,FALSE,FALSE,Minor,1988251,23d00h17m31,0
TRINIDAD-1101,FALSE,FALSE,Minor,1120,00d00h18m40,0
TRINIDAD-1100,FALSE,FALSE,Minor,75673,00d21h01m13,0
TRINIDAD-1873,FALSE,FALSE,Major,9581,00d02h39m41,0
TRINIDAD-92,FALSE,FALSE,Minor,191,00d00h03m11,0
TRINIDAD-1109,FALSE,FALSE,Major,22491890,260d07h44m50,0
TRINIDAD-809,TRUE,FALSE,Major,1370444,15d20h40m44,0
TRINIDAD-94,FALSE,FALSE,Major,1351703,15d15h28m23,0
TRINIDAD-659,FALSE,FALSE,Major,118,00d00h01m58,0
