BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
MYFACES-3013,FALSE,FALSE,Major,17733,00d04h55m33,0
MYFACES-3405,TRUE,FALSE,Major,40238,00d11h10m38,0
MYFACES-3406,FALSE,FALSE,Minor,2084,00d00h34m44,0
MYFACES-2216,TRUE,FALSE,Major,16020634,185d10h10m34,0
MYFACES-3879,TRUE,FALSE,Major,3216459,37d05h27m39,1
MYFACES-3878,FALSE,FALSE,Blocker,73191,00d20h19m51,0
MYFACES-3875,FALSE,FALSE,Minor,11806,00d03h16m46,0
MYFACES-3874,FALSE,FALSE,Major,87452,01d00h17m32,0
MYFACES-3877,TRUE,FALSE,Major,378,00d00h06m18,0
MYFACES-3876,FALSE,FALSE,Critical,106,00d00h01m46,0
MYFACES-3408,FALSE,FALSE,Major,69205,00d19h13m25,0
MYFACES-3870,TRUE,FALSE,Major,367484,04d06h04m44,0
MYFACES-3154,FALSE,FALSE,Major,167009,01d22h23m29,0
MYFACES-3974,FALSE,FALSE,Minor,71665,00d19h54m25,0
MYFACES-3975,FALSE,FALSE,Minor,10184,00d02h49m44,0
MYFACES-3976,FALSE,FALSE,Major,4557,00d01h15m57,0
MYFACES-3977,FALSE,FALSE,Minor,2600,00d00h43m20,0
MYFACES-3970,FALSE,FALSE,Minor,87850,01d00h24m10,0
MYFACES-1596,FALSE,FALSE,Major,321187,03d17h13m07,0
MYFACES-3973,FALSE,FALSE,Minor,71490,00d19h51m30,0
MYFACES-2872,FALSE,FALSE,Minor,23024,00d06h23m44,0
MYFACES-1770,FALSE,FALSE,Major,1109745,12d20h15m45,0
MYFACES-2870,FALSE,FALSE,Major,89,00d00h01m29,0
MYFACES-2978,FALSE,FALSE,Major,554,00d00h09m14,0
MYFACES-3978,TRUE,FALSE,Minor,8222116,95d03h55m16,0
MYFACES-3401,FALSE,FALSE,Major,2250437,26d01h07m17,1
MYFACES-2217,FALSE,FALSE,Minor,7255,00d02h00m55,0
MYFACES-3209,FALSE,FALSE,Major,382047,04d10h07m27,0
MYFACES-3081,FALSE,FALSE,Major,1438,00d00h23m58,0
MYFACES-2570,FALSE,FALSE,Trivial,506,00d00h08m26,0
TRINIDAD-838,FALSE,FALSE,Major,5601,00d01h33m21,0
MYFACES-2907,TRUE,FALSE,Major,170,00d00h02m50,0
MYFACES-3578,FALSE,FALSE,Minor,40449996,468d04h06m36,0
MYFACES-3579,FALSE,FALSE,Minor,63313,00d17h35m13,0
MYFACES-2628,TRUE,FALSE,Major,31863549,368d18h59m09,0
MYFACES-3472,FALSE,FALSE,Major,463739,05d08h48m59,0
MYFACES-3474,FALSE,FALSE,Major,74774,00d20h46m14,0
MYFACES-2429,FALSE,FALSE,Major,89435,01d00h50m35,0
