BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
MINIFI-348,TRUE,FALSE,Minor,12234042,141d14h20m42,0
MINIFI-26,FALSE,FALSE,Major,10637,00d02h57m17,0
MINIFI-104,TRUE,FALSE,Major,1137012,13d03h50m12,0
MINIFI-54,TRUE,FALSE,Major,73951,00d20h32m31,0
MINIFI-50,FALSE,FALSE,Blocker,19693,00d05h28m13,0
MINIFI-128,FALSE,FALSE,Minor,4855316,56d04h41m56,0
MINIFI-58,FALSE,FALSE,Major,6554048,75d20h34m08,0
MINIFI-412,FALSE,FALSE,Major,68286,00d18h58m06,0
MINIFI-415,FALSE,FALSE,Minor,2998223,34d16h50m23,0
MINIFI-416,FALSE,FALSE,Major,158316,01d19h58m36,0
MINIFI-431,FALSE,FALSE,Blocker,737937,08d12h58m57,0
MINIFI-456,FALSE,FALSE,Blocker,712120,08d05h48m40,0
MINIFI-450,FALSE,FALSE,Major,6129852,70d22h44m12,0
MINIFI-496,FALSE,FALSE,Major,10101231,116d21h53m51,0
MINIFI-353,FALSE,FALSE,Major,11393388,131d20h49m48,0
MINIFI-156,FALSE,FALSE,Minor,789921,09d03h25m21,0
MINIFI-136,FALSE,FALSE,Major,67108,00d18h38m28,0
MINIFI-117,TRUE,FALSE,Major,2243332,25d23h08m52,0
MINIFI-44,FALSE,FALSE,Major,777096,08d23h51m36,0
MINIFI-42,FALSE,FALSE,Major,302418,03d12h00m18,0
MINIFI-43,FALSE,FALSE,Major,26560,00d07h22m40,0
MINIFI-40,TRUE,FALSE,Major,949463,10d23h44m23,0
MINIFI-48,TRUE,FALSE,Major,87033,01d00h10m33,0
MINIFI-49,FALSE,FALSE,Major,17096,00d04h44m56,0
MINIFI-8,FALSE,FALSE,Minor,3325,00d00h55m25,0
MINIFI-403,FALSE,FALSE,Minor,1220848,14d03h07m28,0
MINIFI-428,FALSE,FALSE,Blocker,6988,00d01h56m28,0
MINIFI-18,TRUE,FALSE,Major,2557,00d00h42m37,0
MINIFI-421,FALSE,FALSE,Major,2328198,26d22h43m18,0
MINIFI-408,TRUE,TRUE,Blocker,2858340,33d01h59m00,0
