BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
NIFI-2028,TRUE,FALSE,Major,4170265,48d06h24m25,0
NIFI-5290,FALSE,FALSE,Minor,15888,00d04h24m48,0
NIFI-3517,TRUE,FALSE,Major,1198277,13d20h51m17,0
NIFI-2843,FALSE,FALSE,Minor,1810046,20d22h47m26,0
NIFI-3514,TRUE,FALSE,Major,21715,00d06h01m55,0
NIFI-2021,FALSE,FALSE,Blocker,2410583,27d21h36m23,0
NIFI-2844,FALSE,TRUE,Minor,4055953,46d22h39m13,0
NIFI-5050,FALSE,FALSE,Major,3595,00d00h59m55,0
NIFI-194,FALSE,FALSE,Critical,22114,00d06h08m34,0
NIFI-197,FALSE,FALSE,Major,1703,00d00h28m23,0
NIFI-196,FALSE,FALSE,Minor,1296055,15d00h00m55,0
NIFI-1000,TRUE,FALSE,Major,3868366,44d18h32m46,0
NIFI-753,FALSE,FALSE,Blocker,1882,00d00h31m22,0
NIFI-3636,TRUE,FALSE,Major,666674,07d17h11m14,0
NIFI-758,FALSE,FALSE,Minor,2814324,32d13h45m24,0
NIFI-5909,FALSE,FALSE,Major,1861725,21d13h08m45,0
NIFI-5456,FALSE,FALSE,Major,3618621,41d21h10m21,0
NIFI-5451,FALSE,FALSE,Minor,66742,00d18h32m22,0
NIFI-5904,TRUE,FALSE,Major,51297,00d14h14m57,0
NIFI-5905,FALSE,FALSE,Major,30083,00d08h21m23,0
NIFI-37,TRUE,FALSE,Major,17176704,198d19h18m24,2
NIFI-33,FALSE,FALSE,Major,2140321,24d18h32m01,0
NIFI-3466,TRUE,FALSE,Major,3453062,39d23h11m02,0
NIFI-2449,FALSE,FALSE,Major,1124995,13d00h29m55,0
NIFI-2118,FALSE,FALSE,Major,97906,01d03h11m46,0
NIFI-5355,TRUE,FALSE,Minor,905365,10d11h29m25,0
NIFI-2117,TRUE,FALSE,Major,1544249,17d20h57m29,0
NIFI-2444,TRUE,FALSE,Critical,174792,02d00h33m12,0
NIFI-2445,TRUE,FALSE,Blocker,171507,01d23h38m27,0
NIFI-1645,TRUE,FALSE,Major,518541,06d00h02m21,0
NIFI-1647,TRUE,FALSE,Minor,9635,00d02h40m35,0
NIFI-1649,FALSE,FALSE,Critical,264146,03d01h22m26,0
NIFI-2598,FALSE,FALSE,Major,2271,00d00h37m51,0
NIFI-2599,FALSE,FALSE,Critical,416516,04d19h41m56,0
NIFI-3861,TRUE,FALSE,Major,136384,01d13h53m04,1
NIFI-2591,FALSE,FALSE,Major,633438,07d07h57m18,0
NIFI-3868,TRUE,FALSE,Major,452440,05d05h40m40,0
NIFI-2596,FALSE,FALSE,Minor,23785,00d06h36m25,0
NIFI-2597,FALSE,FALSE,Major,21888,00d06h04m48,0
NIFI-6289,FALSE,FALSE,Major,333492,03d20h38m12,0
NIFI-3881,FALSE,FALSE,Minor,2816,00d00h46m56,0
NIFI-379,FALSE,FALSE,Major,8693308,100d14h48m28,0
NIFI-378,FALSE,FALSE,Minor,10259753,118d17h55m53,1
NIFI-6035,FALSE,FALSE,Blocker,80008,00d22h13m28,0
NIFI-2208,TRUE,FALSE,Blocker,2066491,23d22h01m31,2
NIFI-374,TRUE,FALSE,Minor,5728829,66d07h20m29,0
NIFI-373,FALSE,FALSE,Major,10351559,119d19h25m59,0
NIFI-175,FALSE,FALSE,Trivial,19476,00d05h24m36,0
NIFI-174,FALSE,FALSE,Major,1207882,13d23h31m22,0
NIFI-4437,FALSE,FALSE,Major,689990,07d23h39m50,0
NIFI-698,FALSE,FALSE,Major,15017,00d04h10m17,0
NIFI-3082,FALSE,FALSE,Major,15969,00d04h26m09,0
NIFI-3087,FALSE,FALSE,Major,44517,00d12h21m57,0
NIFI-3089,FALSE,FALSE,Blocker,12053229,139d12h07m09,0
NIFI-3088,FALSE,FALSE,Blocker,44941,00d12h29m01,0
NIFI-3248,TRUE,TRUE,Major,26353788,305d00h29m48,0
NIFI-3247,TRUE,FALSE,Major,759353,08d18h55m53,0
NIFI-3242,FALSE,FALSE,Critical,46638635,539d19h10m35,0
NIFI-6105,FALSE,FALSE,Major,608368,07d00h59m28,0
NIFI-6103,FALSE,FALSE,Minor,2523,00d00h42m03,0
NIFI-6100,FALSE,FALSE,Critical,6785054,78d12h44m14,0
NIFI-6361,TRUE,FALSE,Minor,301009,03d11h36m49,0
NIFI-2841,FALSE,FALSE,Critical,3523356,40d18h42m36,0
NIFI-6215,FALSE,FALSE,Critical,24960,00d06h56m00,0
NIFI-4882,TRUE,TRUE,Major,2997027,34d16h30m27,0
NIFI-4883,TRUE,FALSE,Major,3997456,46d06h24m16,0
NIFI-995,FALSE,FALSE,Major,2001436,23d03h57m16,0
NIFI-997,TRUE,FALSE,Major,2554497,29d13h34m57,0
NIFI-990,TRUE,FALSE,Minor,14851756,171d21h29m16,0
NIFI-1907,FALSE,FALSE,Major,348664,04d00h51m04,0
NIFI-1904,FALSE,FALSE,Minor,12007737,138d23h28m57,0
NIFI-1905,FALSE,FALSE,Critical,243691,02d19h41m31,0
NIFI-1900,FALSE,FALSE,Major,2950459,34d03h34m19,0
NIFI-1349,FALSE,FALSE,Minor,269512,03d02h51m52,0
NIFI-4267,TRUE,FALSE,Major,53178,00d14h46m18,0
NIFI-1343,TRUE,FALSE,Major,77929,00d21h38m49,0
NIFI-1346,FALSE,FALSE,Major,602289,06d23h18m09,0
NIFI-1347,FALSE,FALSE,Trivial,577890,06d16h31m30,0
NIFI-576,FALSE,FALSE,Minor,12158,00d03h22m38,0
NIFI-574,FALSE,FALSE,Trivial,6099,00d01h41m39,0
NIFI-573,FALSE,FALSE,Minor,121207,01d09h40m07,0
NIFI-572,FALSE,FALSE,Trivial,122928,01d10h08m48,0
NIFI-571,FALSE,FALSE,Minor,3326365,38d11h59m25,0
NIFI-578,FALSE,FALSE,Minor,4313742,49d22h15m42,0
NIFI-1830,FALSE,FALSE,Major,233196,02d16h46m36,0
NIFI-4828,FALSE,FALSE,Major,754633,08d17h37m13,0
NIFI-5841,FALSE,FALSE,Major,3759718,43d12h21m58,0
NIFI-4646,FALSE,FALSE,Trivial,149620,01d17h33m40,0
NIFI-4647,FALSE,FALSE,Major,12134695,140d10h44m55,0
NIFI-4644,TRUE,FALSE,Major,1309602,15d03h46m42,0
NIFI-4642,FALSE,FALSE,Major,256765,02d23h19m25,0
NIFI-2291,TRUE,FALSE,Major,1530070,17d17h01m10,0
NIFI-1572,FALSE,FALSE,Major,257187,02d23h26m27,0
NIFI-1124,FALSE,FALSE,Major,330312,03d19h45m12,0
NIFI-1125,TRUE,FALSE,Minor,39525041,457d11h10m41,0
NIFI-4466,FALSE,FALSE,Trivial,63801,00d17h43m21,0
NIFI-613,FALSE,FALSE,Minor,1538594,17d19h23m14,0
NIFI-3586,TRUE,TRUE,Minor,2269251,26d06h20m51,0
NIFI-4468,TRUE,FALSE,Major,1772854,20d12h27m34,0
NIFI-2441,FALSE,FALSE,Major,158580,01d20h03m00,0
NIFI-5596,FALSE,FALSE,Major,349822,04d01h10m22,0
NIFI-5592,FALSE,FALSE,Major,167139,01d22h25m39,0
NIFI-2902,TRUE,FALSE,Minor,178187,02d01h29m47,0
NIFI-2900,FALSE,FALSE,Major,1677299,19d09h54m59,0
NIFI-5609,FALSE,FALSE,Major,12963,00d03h36m03,0
NIFI-4319,TRUE,FALSE,Critical,533856,06d04h17m36,0
NIFI-5600,FALSE,FALSE,Major,2129104,24d15h25m04,0
NIFI-2059,TRUE,FALSE,Blocker,279389,03d05h36m29,0
NIFI-2057,TRUE,FALSE,Major,3531763,40d21h02m43,0
NIFI-1010,FALSE,FALSE,Major,2151808,24d21h43m28,0
NIFI-5024,FALSE,FALSE,Minor,5518161,63d20h49m21,0
NIFI-4518,FALSE,FALSE,Critical,269519,03d02h51m59,0
NIFI-5026,TRUE,FALSE,Major,58394,00d16h13m14,0
NIFI-2691,FALSE,FALSE,Minor,3367400,38d23h23m20,0
NIFI-2697,FALSE,FALSE,Minor,20053353,232d02h22m33,1
NIFI-769,TRUE,FALSE,Minor,344322,03d23h38m42,0
NIFI-5937,FALSE,FALSE,Major,49234,00d13h40m34,0
NIFI-24,FALSE,FALSE,Minor,2137394,24d17h43m14,0
NIFI-3479,FALSE,FALSE,Major,123115,01d10h11m55,0
NIFI-3472,TRUE,FALSE,Major,28183218,326d04h40m18,1
NIFI-28,FALSE,FALSE,Minor,338079,03d21h54m39,0
NIFI-2478,FALSE,FALSE,Blocker,15269,00d04h14m29,0
NIFI-5331,FALSE,FALSE,Major,8986883,104d00h21m23,0
NIFI-5330,FALSE,FALSE,Minor,263222,03d01h07m02,0
NIFI-5332,FALSE,FALSE,Major,231301,02d16h15m01,0
NIFI-2472,TRUE,FALSE,Blocker,102851,01d04h34m11,0
NIFI-2471,FALSE,FALSE,Minor,89016,01d00h43m36,0
NIFI-2470,FALSE,FALSE,Minor,379930,04d09h32m10,0
NIFI-1656,FALSE,FALSE,Major,37175,00d10h19m35,0
NIFI-1650,TRUE,FALSE,Critical,230350,02d15h59m10,0
NIFI-1651,FALSE,FALSE,Blocker,97351,01d03h02m31,0
NIFI-2879,TRUE,FALSE,Major,1561456,18d01h44m16,0
NIFI-3871,FALSE,FALSE,Major,16754,00d04h39m14,0
NIFI-2873,FALSE,FALSE,Major,646833,07d11h40m33,0
NIFI-3879,FALSE,FALSE,Major,11738,00d03h15m38,0
NIFI-3657,FALSE,FALSE,Major,1908643,22d02h10m43,0
NIFI-3897,FALSE,FALSE,Major,3964592,45d21h16m32,0
NIFI-3894,FALSE,FALSE,Major,274100,03d04h08m20,1
NIFI-3895,TRUE,FALSE,Major,33311,00d09h15m11,0
NIFI-2274,TRUE,FALSE,Major,13722,00d03h48m42,0
NIFI-382,TRUE,FALSE,Major,73753,00d20h29m13,0
NIFI-2593,TRUE,FALSE,Major,67202,00d18h40m02,0
NIFI-6022,FALSE,FALSE,Major,9175104,106d04h38m24,0
NIFI-2272,TRUE,FALSE,Major,273010,03d03h50m10,0
NIFI-389,FALSE,FALSE,Major,72433,00d20h07m13,0
NIFI-6028,FALSE,FALSE,Major,17428593,201d17h16m33,1
NIFI-146,FALSE,FALSE,Major,18702,00d05h11m42,0
NIFI-142,FALSE,FALSE,Major,63613,00d17h40m13,0
NIFI-143,FALSE,FALSE,Major,687482,07d22h58m02,1
NIFI-141,TRUE,FALSE,Minor,92648,01d01h44m08,0
NIFI-3092,FALSE,FALSE,Major,10636,00d02h57m16,0
NIFI-3091,FALSE,FALSE,Blocker,3884,00d01h04m44,0
NIFI-2309,FALSE,FALSE,Minor,67160,00d18h39m20,0
NIFI-3255,TRUE,FALSE,Critical,4533074,52d11h11m14,0
NIFI-2305,FALSE,FALSE,Blocker,952076,11d00h27m56,1
NIFI-2304,FALSE,FALSE,Minor,1256337,14d12h58m57,0
NIFI-2307,TRUE,FALSE,Blocker,289564,03d08h26m04,0
NIFI-6117,TRUE,FALSE,Major,1153551,13d08h25m51,0
NIFI-4382,TRUE,FALSE,Major,1209922,14d00h05m22,0
NIFI-4388,FALSE,FALSE,Major,16618904,192d08h21m44,0
NIFI-963,FALSE,FALSE,Minor,14191865,164d06h11m05,0
NIFI-965,TRUE,FALSE,Minor,4770851,55d05h14m11,0
NIFI-1056,FALSE,FALSE,Major,171883,01d23h44m43,0
NIFI-4075,FALSE,FALSE,Blocker,531870,06d03h44m30,0
NIFI-4077,TRUE,FALSE,Major,4962689,57d10h31m29,0
NIFI-4988,FALSE,FALSE,Major,5757949,66d15h25m49,0
NIFI-4980,FALSE,FALSE,Trivial,5329265,61d16h21m05,0
NIFI-1937,TRUE,FALSE,Minor,1300481,15d01h14m41,0
NIFI-4215,TRUE,FALSE,Minor,1107523,12d19h38m43,1
NIFI-4217,FALSE,FALSE,Major,90570,01d01h09m30,0
NIFI-1339,TRUE,FALSE,Major,3150292,36d11h04m52,0
NIFI-1333,FALSE,FALSE,Trivial,3085264,35d17h01m04,0
