BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
NUTCH-1761,FALSE,FALSE,Minor,7315,00d02h01m55,0
NUTCH-190,FALSE,FALSE,Minor,4608,00d01h16m48,0
NUTCH-2413,FALSE,FALSE,Major,74034,00d20h33m54,0
NUTCH-1252,FALSE,FALSE,Major,23109893,267d11h24m53,0
NUTCH-194,TRUE,FALSE,Blocker,55456,00d15h24m16,0
NUTCH-197,FALSE,FALSE,Minor,1135,00d00h18m55,0
NUTCH-1097,FALSE,FALSE,Minor,4162341,48d04h12m21,0
NUTCH-1044,FALSE,FALSE,Critical,2458542,28d10h55m42,0
NUTCH-1764,FALSE,FALSE,Minor,124218,01d10h30m18,0
HADOOP-1080,FALSE,FALSE,Major,21432,00d05h57m12,0
NUTCH-645,FALSE,FALSE,Major,882,00d00h14m42,0
NUTCH-845,FALSE,FALSE,Major,2398,00d00h39m58,0
NUTCH-641,TRUE,FALSE,Critical,1046856,12d02h47m36,0
NUTCH-642,FALSE,FALSE,Major,1042944,12d01h42m24,0
NUTCH-643,FALSE,FALSE,Major,15722638,181d23h23m58,0
NUTCH-525,FALSE,FALSE,Major,177121,02d01h12m01,0
NUTCH-1918,FALSE,FALSE,Major,1289111,14d22h05m11,0
NUTCH-1919,FALSE,FALSE,Major,86808,01d00h06m48,0
NUTCH-1912,FALSE,FALSE,Major,183321,02d02h55m21,0
NUTCH-2466,FALSE,FALSE,Minor,5535391,64d01h36m31,0
NUTCH-2465,TRUE,FALSE,Major,288303,03d08h05m03,0
NUTCH-2464,TRUE,FALSE,Major,866184,10d00h36m24,0
NUTCH-529,TRUE,FALSE,Major,5115591,59d04h59m51,0
NUTCH-487,TRUE,FALSE,Major,11059307,128d00h01m47,0
NUTCH-484,FALSE,FALSE,Trivial,107815,01d05h56m55,0
NUTCH-1671,TRUE,FALSE,Trivial,10019805,115d23h16m45,0
NUTCH-273,TRUE,TRUE,Blocker,19122871,221d07h54m31,0
NUTCH-976,FALSE,TRUE,Major,760042,08d19h07m22,0
NUTCH-977,FALSE,FALSE,Major,760214,08d19h10m14,0
NUTCH-1211,FALSE,FALSE,Trivial,472,00d00h07m52,0
NUTCH-1215,FALSE,FALSE,Major,28398457,328d16h27m37,0
NUTCH-91,FALSE,FALSE,Major,15579722,180d07h42m02,0
NUTCH-161,FALSE,FALSE,Minor,42976550,497d09h55m50,0
NUTCH-730,FALSE,FALSE,Major,17055672,197d09h41m12,0
NUTCH-732,FALSE,FALSE,Critical,33286178,385d06h09m38,0
NUTCH-735,FALSE,FALSE,Minor,2542650,29d10h17m30,0
NUTCH-631,TRUE,FALSE,Blocker,24514409,283d17h33m29,0
NUTCH-739,FALSE,FALSE,Major,15958992,184d17h03m12,0
NUTCH-633,FALSE,FALSE,Minor,10314991,119d09h16m31,0
NUTCH-636,FALSE,FALSE,Major,19678034,227d18h07m14,0
NUTCH-2420,FALSE,FALSE,Major,4858739,56d05h38m59,0
NUTCH-228,FALSE,FALSE,Minor,3523,00d00h58m43,0
NUTCH-220,FALSE,FALSE,Major,64389484,745d05h58m04,0
NUTCH-1828,FALSE,FALSE,Major,338592,03d22h03m12,0
NUTCH-1829,FALSE,FALSE,Major,9094815,105d06h20m15,1
NUTCH-1826,FALSE,FALSE,Minor,3540118,40d23h21m58,0
NUTCH-2007,FALSE,FALSE,Trivial,1295214,14d23h46m54,0
NUTCH-1825,FALSE,FALSE,Minor,7169235,82d23h27m15,0
NUTCH-2001,FALSE,FALSE,Minor,271076,03d03h17m56,0
NUTCH-2000,FALSE,FALSE,Major,5470776,63d07h39m36,0
NUTCH-2225,FALSE,FALSE,Trivial,3657,00d01h00m57,0
NUTCH-2224,FALSE,FALSE,Trivial,4277,00d01h11m17,0
NUTCH-1136,FALSE,FALSE,Major,755541,08d17h52m21,0
NUTCH-1137,FALSE,FALSE,Minor,392920,04d13h08m40,0
NUTCH-2189,FALSE,FALSE,Major,4840742,56d00h39m02,1
NUTCH-2223,FALSE,FALSE,Major,8589,00d02h23m09,0
NUTCH-2635,FALSE,FALSE,Major,4490925,51d23h28m45,0
NUTCH-2639,FALSE,FALSE,Major,596502,06d21h41m42,0
NUTCH-2180,FALSE,FALSE,Major,557542,06d10h52m22,0
NUTCH-2228,FALSE,FALSE,Blocker,62945,00d17h29m05,0
NUTCH-2508,FALSE,FALSE,Major,1274,00d00h21m14,0
NUTCH-596,TRUE,FALSE,Minor,9536307,110d08h58m27,0
NUTCH-597,FALSE,FALSE,Major,1404593,16d06h09m53,0
NUTCH-890,FALSE,FALSE,Major,439406,05d02h03m26,0
NUTCH-350,TRUE,FALSE,Critical,3197695,37d00h14m55,0
NUTCH-298,FALSE,FALSE,Major,180158,02d02h02m38,0
NUTCH-356,TRUE,FALSE,Major,234408228,2713d01h23m48,0
NUTCH-354,FALSE,FALSE,Blocker,2386,00d00h39m46,0
NUTCH-292,FALSE,FALSE,Critical,1995437,23d02h17m17,0
NUTCH-868,TRUE,FALSE,Major,25827,00d07h10m27,0
NUTCH-1621,TRUE,FALSE,Minor,8462903,97d22h48m23,0
NUTCH-2645,FALSE,FALSE,Major,2106198,24d09h03m18,0
NUTCH-2644,FALSE,FALSE,Major,2181998,25d06h06m38,0
NUTCH-2643,FALSE,FALSE,Trivial,2195531,25d09h52m11,0
NUTCH-2642,TRUE,FALSE,Minor,2796300,32d08h45m00,0
NUTCH-860,FALSE,FALSE,Major,246282,02d20h24m42,0
NUTCH-949,FALSE,FALSE,Major,6965,00d01h56m05,0
NUTCH-2523,FALSE,FALSE,Major,1213821,14d01h10m21,0
