BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
ODE-244,FALSE,FALSE,Major,1632,00d00h27m12,0
ODE-498,FALSE,FALSE,Major,75500,00d20h58m20,0
ODE-246,FALSE,FALSE,Trivial,5865462,67d21h17m42,0
ODE-716,TRUE,FALSE,Major,259360465,3001d20h34m25,0
ODE-717,FALSE,FALSE,Minor,59800,00d16h36m40,0
ODE-609,FALSE,FALSE,Major,3074,00d00h51m14,0
ODE-245,FALSE,FALSE,Major,107,00d00h01m47,0
ODE-154,TRUE,FALSE,Major,2351241,27d05h07m21,0
ODE-362,FALSE,FALSE,Major,167672,01d22h34m32,0
ODE-24,FALSE,FALSE,Minor,3802421,44d00h13m41,0
ODE-150,TRUE,FALSE,Critical,3674174,42d12h36m14,0
ODE-494,FALSE,FALSE,Minor,3052,00d00h50m52,0
ODE-153,FALSE,FALSE,Minor,596250,06d21h37m30,0
ODE-558,FALSE,FALSE,Major,143,00d00h02m23,0
ODE-888,TRUE,FALSE,Major,9900527,114d14h08m47,0
ODE-415,TRUE,TRUE,Major,151396331,1752d06h32m11,0
ODE-551,TRUE,FALSE,Major,696942,08d01h35m42,0
ODE-887,FALSE,FALSE,Major,11482400,132d21h33m20,0
ODE-885,FALSE,FALSE,Minor,154116,01d18h48m36,0
ODE-803,FALSE,FALSE,Major,4529308,52d10h08m28,0
ODE-800,FALSE,FALSE,Minor,586280,06d18h51m20,0
ODE-395,TRUE,FALSE,Major,175328,02d00h42m08,0
ODE-806,FALSE,FALSE,Major,26106585,302d03h49m45,0
ODE-807,TRUE,FALSE,Major,1890013,21d21h00m13,0
ODE-804,TRUE,FALSE,Major,16149,00d04h29m09,0
ODE-234,FALSE,FALSE,Major,10193131,117d23h25m31,0
ODE-1066,FALSE,FALSE,Major,16222926,187d18h22m06,0
ODE-1067,FALSE,FALSE,Major,18804150,217d15h22m30,0
ODE-1064,FALSE,FALSE,Minor,6648843,76d22h54m03,0
ODE-1063,FALSE,FALSE,Major,235537,02d17h25m37,0
ODE-960,FALSE,FALSE,Major,44673649,517d01h20m49,1
ODE-964,TRUE,FALSE,Major,22200400,256d22h46m40,1
ODE-482,FALSE,FALSE,Major,63797,00d17h43m17,0
ODE-401,FALSE,FALSE,Major,324381,03d18h06m21,0
ODE-385,FALSE,FALSE,Blocker,2402471,27d19h21m11,0
ODE-128,FALSE,FALSE,Major,22590,00d06h16m30,0
ODE-259,FALSE,FALSE,Major,120359,01d09h25m59,0
ODE-597,FALSE,FALSE,Critical,363310,04d04h55m10,0
ODE-560,FALSE,FALSE,Major,33387992,386d10h26m32,0
ODE-279,FALSE,FALSE,Major,962,00d00h16m02,0
ODE-204,FALSE,FALSE,Trivial,1913,00d00h31m53,0
ODE-163,FALSE,FALSE,Major,941,00d00h15m41,0
ODE-373,FALSE,FALSE,Critical,14616877,169d04h14m37,0
ODE-374,FALSE,FALSE,Major,73208414,847d07h40m14,0
ODE-568,FALSE,FALSE,Major,14079300,162d22h55m00,1
ODE-764,FALSE,FALSE,Major,533975,06d04h19m35,0
ODE-763,FALSE,FALSE,Major,24906155,288d06h22m35,0
ODE-761,TRUE,FALSE,Critical,224876,02d14h27m56,0
ODE-409,FALSE,FALSE,Major,1827593,21d03h39m53,0
ODE-407,FALSE,FALSE,Major,9544298,110d11h11m38,0
ODE-405,FALSE,FALSE,Major,42450381,491d07h46m21,1
ODE-402,FALSE,FALSE,Major,1261964,14d14h32m44,0
ODE-769,FALSE,FALSE,Major,691,00d00h11m31,0
ODE-768,FALSE,FALSE,Major,265336,03d01h42m16,0
ODE-900,TRUE,FALSE,Major,1739359,20d03h09m19,0
ODE-66,TRUE,FALSE,Major,78793,00d21h53m13,0
ODE-65,TRUE,FALSE,Major,573583,06d15h19m43,0
ODE-64,FALSE,FALSE,Minor,26662818,308d14h20m18,0
ODE-135,TRUE,FALSE,Minor,5228763,60d12h26m03,0
ODE-61,FALSE,FALSE,Minor,26744808,309d13h06m48,0
ODE-60,FALSE,FALSE,Major,744296,08d14h44m56,0
ODE-653,FALSE,FALSE,Minor,2854324,33d00h52m04,1
ODE-876,TRUE,FALSE,Blocker,14578357,168d17h32m37,0
ODE-798,FALSE,FALSE,Major,341,00d00h05m41,0
ODE-657,FALSE,FALSE,Trivial,2454347,28d09h45m47,0
ODE-872,FALSE,FALSE,Major,77527,00d21h32m07,0
ODE-654,FALSE,FALSE,Major,15075325,174d11h35m25,0
ODE-974,TRUE,TRUE,Critical,118016382,1365d22h19m42,0
ODE-796,FALSE,FALSE,Minor,3196044,36d23h47m24,0
ODE-973,FALSE,FALSE,Major,28877801,334d05h36m41,1
ODE-971,FALSE,FALSE,Minor,4974987,57d13h56m27,0
ODE-572,FALSE,FALSE,Major,10566951,122d07h15m51,0
ODE-93,FALSE,FALSE,Major,4565509,52d20h11m49,0
ODE-570,FALSE,FALSE,Minor,139058961,1609d11h29m21,0
ODE-571,FALSE,FALSE,Major,32431675,375d08h47m55,0
ODE-576,TRUE,FALSE,Major,1044299,12d02h04m59,1
ODE-574,TRUE,FALSE,Major,614911,07d02h48m31,0
ODE-95,TRUE,FALSE,Major,4420323,51d03h52m03,0
ODE-266,FALSE,FALSE,Major,3118,00d00h51m58,0
ODE-313,FALSE,FALSE,Major,22599,00d06h16m39,0
ODE-231,FALSE,FALSE,Major,32539,00d09h02m19,0
ODE-262,TRUE,FALSE,Major,23590363,273d00h52m43,0
ODE-263,FALSE,FALSE,Major,11614294,134d10h11m34,0
ODE-260,FALSE,FALSE,Major,172401014,1995d09h10m14,1
ODE-774,FALSE,FALSE,Minor,5647003,65d08h36m43,0
ODE-982,FALSE,FALSE,Major,15143394,175d06h29m54,0
ODE-981,FALSE,FALSE,Minor,10930,00d03h02m10,0
ODE-478,TRUE,FALSE,Major,506,00d00h08m26,0
ODE-770,FALSE,FALSE,Major,4220898,48d20h28m18,0
ODE-744,FALSE,FALSE,Major,23567970,272d18h39m30,0
ODE-472,TRUE,FALSE,Major,64026033,741d01h00m33,0
ODE-989,FALSE,FALSE,Major,68987,00d19h09m47,0
ODE-470,FALSE,FALSE,Major,2328613,26d22h50m13,0
ODE-476,FALSE,FALSE,Major,1282666,14d20h17m46,1
ODE-475,FALSE,FALSE,Major,1283249,14d20h27m29,0
ODE-1004,FALSE,FALSE,Major,38048,00d10h34m08,0
ODE-519,FALSE,FALSE,Critical,871593,10d02h06m33,1
ODE-1000,FALSE,FALSE,Major,174944,02d00h35m44,0
ODE-1002,FALSE,FALSE,Minor,89304,01d00h48m24,0
ODE-518,FALSE,FALSE,Minor,110906,01d06h48m26,0
ODE-148,FALSE,FALSE,Major,66735,00d18h32m15,0
ODE-651,FALSE,TRUE,Major,19167,00d05h19m27,0
ODE-179,FALSE,FALSE,Minor,29921,00d08h18m41,0
ODE-865,FALSE,FALSE,Critical,16078912,186d02h21m52,0
ODE-642,FALSE,FALSE,Major,163,00d00h02m43,0
