BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
OFBIZ-1994,FALSE,FALSE,Trivial,70701676,818d07h21m16,0
OFBIZ-1995,FALSE,FALSE,Minor,405,00d00h06m45,0
OFBIZ-6092,FALSE,FALSE,Major,19351760,223d23h29m20,0
OFBIZ-7094,FALSE,FALSE,Major,6561,00d01h49m21,0
OFBIZ-6095,FALSE,FALSE,Major,2266327,26d05h32m07,0
OFBIZ-7093,FALSE,FALSE,Minor,227037,02d15h03m57,0
OFBIZ-1998,FALSE,FALSE,Minor,480,00d00h08m00,0
OFBIZ-4744,FALSE,FALSE,Major,664828,07d16h40m28,0
OFBIZ-2961,FALSE,FALSE,Minor,170787,01d23h26m27,0
OFBIZ-5299,FALSE,FALSE,Major,29137133,337d05h38m53,1
OFBIZ-2965,FALSE,FALSE,Minor,8881,00d02h28m01,0
OFBIZ-6254,FALSE,FALSE,Major,795,00d00h13m15,0
OFBIZ-2968,FALSE,FALSE,Major,2669990,30d21h39m50,0
OFBIZ-6259,FALSE,FALSE,Major,48235,00d13h23m55,0
OFBIZ-5295,FALSE,FALSE,Major,49953470,578d03h57m50,0
OFBIZ-2418,TRUE,FALSE,Major,14606,00d04h03m26,0
OFBIZ-2419,FALSE,FALSE,Major,72735,00d20h12m15,0
OFBIZ-5721,FALSE,FALSE,Minor,2793519,32d07h58m39,0
OFBIZ-5720,FALSE,FALSE,Major,2813307,32d13h28m27,0
OFBIZ-4105,FALSE,FALSE,Minor,12687,00d03h31m27,0
OFBIZ-4107,TRUE,FALSE,Major,4159648,48d03h27m28,0
OFBIZ-4101,FALSE,FALSE,Minor,19578,00d05h26m18,0
OFBIZ-5502,FALSE,FALSE,Minor,1042537,12d01h35m37,0
OFBIZ-5501,FALSE,FALSE,Major,27133796,314d01h09m56,0
OFBIZ-7478,TRUE,FALSE,Major,6029588,69d18h53m08,0
OFBIZ-5504,FALSE,FALSE,Major,67882,00d18h51m22,0
OFBIZ-1860,FALSE,FALSE,Major,8465455,97d23h30m55,0
OFBIZ-4625,FALSE,FALSE,Major,1100644,12d17h44m04,0
OFBIZ-5509,FALSE,FALSE,Minor,150541,01d17h49m01,0
OFBIZ-2564,FALSE,FALSE,Minor,79842863,924d02h34m23,0
OFBIZ-2565,FALSE,FALSE,Minor,79841623,924d02h13m43,0
OFBIZ-2566,FALSE,FALSE,Major,32042,00d08h54m02,0
OFBIZ-2567,FALSE,FALSE,Major,171923447,1989d20h30m47,1
OFBIZ-2560,TRUE,FALSE,Major,466587,05d09h36m27,0
OFBIZ-5619,FALSE,FALSE,Major,7270315,84d03h31m55,0
OFBIZ-2563,FALSE,FALSE,Major,67576,00d18h46m16,0
OFBIZ-5617,FALSE,FALSE,Major,520129,06d00h28m49,0
OFBIZ-5616,FALSE,FALSE,Minor,17518,00d04h51m58,0
OFBIZ-5344,FALSE,FALSE,Minor,445239,05d03h40m39,0
OFBIZ-5347,FALSE,FALSE,Major,53390864,617d22h47m44,0
OFBIZ-4814,FALSE,FALSE,Minor,88741,01d00h39m01,0
OFBIZ-4813,FALSE,FALSE,Major,1212991,14d00h56m31,1
OFBIZ-4810,FALSE,FALSE,Major,5535019,64d01h30m19,0
OFBIZ-6678,FALSE,FALSE,Major,4802,00d01h20m02,0
OFBIZ-6674,FALSE,FALSE,Major,416,00d00h06m56,0
OFBIZ-2749,FALSE,FALSE,Major,51514,00d14h18m34,0
OFBIZ-6070,FALSE,FALSE,Major,5081268,58d19h27m48,0
OFBIZ-6071,FALSE,FALSE,Blocker,430714,04d23h38m34,0
OFBIZ-6077,FALSE,FALSE,Major,4682236,54d04h37m16,1
OFBIZ-2746,FALSE,FALSE,Minor,47181461,546d01h57m41,0
OFBIZ-6075,FALSE,FALSE,Major,496982,05d18h03m02,0
OFBIZ-627,TRUE,FALSE,Major,435455,05d00h57m35,0
OFBIZ-621,FALSE,FALSE,Major,36283,00d10h04m43,0
OFBIZ-622,FALSE,FALSE,Major,1381947,15d23h52m27,0
OFBIZ-2982,FALSE,FALSE,Minor,2282,00d00h38m02,0
OFBIZ-158,FALSE,FALSE,Major,7350852,85d01h54m12,0
OFBIZ-156,TRUE,FALSE,Minor,76062108,880d08h21m48,0
OFBIZ-407,FALSE,FALSE,Major,90880,01d01h14m40,0
OFBIZ-152,FALSE,FALSE,Minor,34705502,401d16h25m02,0
OFBIZ-401,FALSE,FALSE,Trivial,4352574,50d09h02m54,1
OFBIZ-6715,TRUE,FALSE,Major,13893784,160d19h23m04,1
OFBIZ-4921,FALSE,FALSE,Trivial,59526185,688d23h03m05,0
OFBIZ-4927,FALSE,FALSE,Major,74823483,866d00h18m03,0
OFBIZ-3255,FALSE,FALSE,Major,145816195,1687d16h29m55,0
OFBIZ-394,FALSE,FALSE,Major,1704473,19d17h27m53,0
OFBIZ-396,FALSE,FALSE,Minor,1279381,14d19h23m01,0
OFBIZ-4929,FALSE,FALSE,Major,1890295,21d21h04m55,0
OFBIZ-390,FALSE,FALSE,Minor,4896,00d01h21m36,0
OFBIZ-391,FALSE,FALSE,Major,2059826,23d20h10m26,0
OFBIZ-7612,FALSE,FALSE,Major,1648110,19d01h48m30,0
OFBIZ-2183,FALSE,FALSE,Major,171637,01d23h40m37,0
OFBIZ-2186,TRUE,FALSE,Critical,24092244,278d20h17m24,0
OFBIZ-2184,FALSE,FALSE,Minor,5115,00d01h25m15,0
OFBIZ-975,FALSE,FALSE,Major,1037,00d00h17m17,0
OFBIZ-2189,FALSE,FALSE,Major,12970,00d03h36m10,0
OFBIZ-714,FALSE,FALSE,Major,22514771,260d14h06m11,0
OFBIZ-3163,FALSE,FALSE,Minor,604756,06d23h59m16,0
OFBIZ-579,FALSE,FALSE,Minor,30985099,358d14h58m19,1
OFBIZ-6400,FALSE,FALSE,Minor,20697820,239d13h23m40,0
OFBIZ-3166,FALSE,FALSE,Major,4638,00d01h17m18,0
OFBIZ-7109,FALSE,FALSE,Major,146880,01d16h48m00,0
OFBIZ-1344,FALSE,FALSE,Trivial,308675,03d13h44m35,0
OFBIZ-7101,FALSE,FALSE,Major,9940,00d02h45m40,0
OFBIZ-7100,FALSE,FALSE,Major,431521,04d23h52m01,0
OFBIZ-7103,FALSE,FALSE,Major,2882,00d00h48m02,0
OFBIZ-7105,FALSE,FALSE,Minor,1214111,14d01h15m11,0
OFBIZ-7104,FALSE,FALSE,Minor,1532591,17d17h43m11,0
OFBIZ-7106,FALSE,FALSE,Minor,2463729,28d12h22m09,0
OFBIZ-872,FALSE,FALSE,Minor,12096,00d03h21m36,0
OFBIZ-3299,FALSE,FALSE,Major,911706,10d13h15m06,0
OFBIZ-3291,FALSE,FALSE,Minor,11272,00d03h07m52,0
OFBIZ-7045,FALSE,FALSE,Major,179085,02d01h44m45,0
OFBIZ-7046,FALSE,FALSE,Major,235176,02d17h19m36,0
OFBIZ-7042,FALSE,FALSE,Major,1214242,14d01h17m22,0
OFBIZ-3761,FALSE,FALSE,Trivial,1096355,12d16h32m35,0
OFBIZ-7049,FALSE,FALSE,Minor,1283067,14d20h24m27,0
OFBIZ-3763,FALSE,FALSE,Major,35592,00d09h53m12,0
OFBIZ-3762,FALSE,FALSE,Trivial,1017832,11d18h43m52,0
OFBIZ-102,FALSE,FALSE,Minor,36500024,422d10h53m44,0
OFBIZ-6888,FALSE,TRUE,Major,2476781,28d15h59m41,0
OFBIZ-3904,TRUE,FALSE,Major,4638,00d01h17m18,0
OFBIZ-3906,FALSE,FALSE,Major,79118,00d21h58m38,0
OFBIZ-1869,TRUE,FALSE,Minor,83641,00d23h14m01,0
OFBIZ-3909,TRUE,FALSE,Major,9915,00d02h45m15,0
OFBIZ-109,FALSE,FALSE,Major,3349,00d00h55m49,0
OFBIZ-1720,FALSE,FALSE,Major,136707,01d13h58m27,0
