BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
OLINGO-1132,TRUE,FALSE,Minor,894926,10d08h35m26,0
OLINGO-779,FALSE,FALSE,Major,1175,00d00h19m35,0
OLINGO-778,FALSE,FALSE,Major,7450135,86d05h28m55,0
OLINGO-775,FALSE,FALSE,Minor,168598,01d22h49m58,0
OLINGO-777,TRUE,FALSE,Minor,14413049,166d19h37m29,0
OLINGO-353,TRUE,FALSE,Major,664941,07d16h42m21,0
OLINGO-633,TRUE,FALSE,Major,100280,01d03h51m20,0
OLINGO-272,TRUE,FALSE,Major,147003,01d16h50m03,0
OLINGO-274,TRUE,FALSE,Major,10126360,117d04h52m40,0
OLINGO-1351,FALSE,FALSE,Minor,25378,00d07h02m58,0
OLINGO-577,TRUE,FALSE,Minor,270726,03d03h12m06,0
OLINGO-863,TRUE,FALSE,Major,686546,07d22h42m26,0
OLINGO-471,FALSE,FALSE,Major,7482530,86d14h28m50,0
OLINGO-897,TRUE,FALSE,Critical,1123239,13d00h00m39,0
OLINGO-1143,TRUE,FALSE,Blocker,24777836,286d18h43m56,0
OLINGO-1357,TRUE,FALSE,Major,111538,01d06h58m58,0
OLINGO-741,TRUE,FALSE,Major,297907,03d10h45m07,0
OLINGO-1355,FALSE,FALSE,Critical,10236500,118d11h28m20,0
OLINGO-743,TRUE,FALSE,Major,264868,03d01h34m28,0
OLINGO-818,FALSE,FALSE,Major,197,00d00h03m17,0
OLINGO-1126,TRUE,FALSE,Major,3454528,39d23h35m28,0
OLINGO-1280,TRUE,FALSE,Minor,101,00d00h01m41,0
OLINGO-584,TRUE,FALSE,Minor,1170523,13d13h08m43,0
OLINGO-811,TRUE,FALSE,Major,12335231,142d18h27m11,0
OLINGO-664,FALSE,FALSE,Minor,246,00d00h04m06,0
OLINGO-315,FALSE,FALSE,Major,928936,10d18h02m16,0
OLINGO-314,FALSE,FALSE,Major,932504,10d19h01m44,0
OLINGO-319,FALSE,FALSE,Major,902378,10d10h39m38,0
OLINGO-318,FALSE,FALSE,Major,903761,10d11h02m41,0
OLINGO-399,TRUE,FALSE,Major,4521,00d01h15m21,0
OLINGO-501,TRUE,FALSE,Critical,699542,08d02h19m02,0
OLINGO-396,TRUE,FALSE,Major,339832,03d22h23m52,0
OLINGO-395,TRUE,FALSE,Major,174582,02d00h29m42,0
OLINGO-398,TRUE,FALSE,Major,13070,00d03h37m50,0
OLINGO-391,FALSE,FALSE,Major,274,00d00h04m34,0
OLINGO-390,TRUE,FALSE,Major,16301,00d04h31m41,0
OLINGO-1238,TRUE,FALSE,Major,1300793,15d01h19m53,0
OLINGO-1033,TRUE,FALSE,Major,364022,04d05h07m02,0
OLINGO-1237,FALSE,FALSE,Minor,76953,00d21h22m33,0
OLINGO-1230,FALSE,FALSE,Major,15794266,182d19h17m46,0
OLINGO-1231,TRUE,FALSE,Major,1615631,18d16h47m11,0
OLINGO-1232,TRUE,FALSE,Major,178317,02d01h31m57,0
OLINGO-1344,FALSE,FALSE,Blocker,4596933,53d04h55m33,0
OLINGO-756,TRUE,FALSE,Major,147038,01d16h50m38,0
OLINGO-1117,FALSE,FALSE,Minor,4222071,48d20h47m51,0
OLINGO-754,TRUE,FALSE,Major,6214307,71d22h11m47,0
OLINGO-753,TRUE,FALSE,Major,54020295,625d05h38m15,0
OLINGO-1343,TRUE,FALSE,Blocker,4599379,53d05h36m19,0
OLINGO-1296,FALSE,FALSE,Minor,223,00d00h03m43,0
OLINGO-1294,TRUE,FALSE,Major,275108,03d04h25m08,0
OLINGO-596,FALSE,FALSE,Minor,522373,06d01h06m13,0
OLINGO-1292,TRUE,FALSE,Major,275644,03d04h34m04,0
OLINGO-1293,FALSE,FALSE,Major,275634,03d04h33m54,0
OLINGO-428,TRUE,FALSE,Minor,3021129,34d23h12m09,0
OLINGO-1194,FALSE,FALSE,Minor,24862718,287d18h18m38,0
OLINGO-1076,FALSE,FALSE,Minor,6219085,71d23h31m25,0
OLINGO-511,TRUE,FALSE,Major,3217350,37d05h42m30,0
OLINGO-457,FALSE,FALSE,Major,8551,00d02h22m31,0
OLINGO-214,TRUE,FALSE,Major,160433,01d20h33m53,0
OLINGO-1201,TRUE,FALSE,Major,3111397,36d00h16m37,0
OLINGO-1202,TRUE,FALSE,Minor,83312,00d23h08m32,0
OLINGO-890,TRUE,FALSE,Major,676581,07d19h56m21,0
OLINGO-1207,TRUE,FALSE,Minor,151014,01d17h56m54,0
OLINGO-1046,TRUE,FALSE,Major,14091010,163d02h10m10,0
OLINGO-898,TRUE,FALSE,Critical,1152951,13d08h15m51,0
OLINGO-1073,TRUE,FALSE,Major,9149076,105d21h24m36,0
OLINGO-609,FALSE,FALSE,Minor,963,00d00h16m03,0
OLINGO-1179,FALSE,FALSE,Major,714671,08d06h31m11,0
OLINGO-604,TRUE,FALSE,Minor,69,00d00h01m09,0
OLINGO-600,TRUE,FALSE,Minor,511691,05d22h08m11,0
OLINGO-878,TRUE,FALSE,Major,425143,04d22h05m43,0
OLINGO-1180,TRUE,FALSE,Major,2575441,29d19h24m01,0
OLINGO-1186,FALSE,FALSE,Major,27325397,316d06h23m17,0
OLINGO-284,FALSE,FALSE,Major,1051632,12d04h07m12,1
OLINGO-907,TRUE,FALSE,Major,524816,06d01h46m56,0
OLINGO-522,FALSE,FALSE,Minor,8252,00d02h17m32,0
OLINGO-523,TRUE,FALSE,Minor,169804,01d23h10m04,0
OLINGO-685,TRUE,FALSE,Major,203,00d00h03m23,0
OLINGO-669,TRUE,FALSE,Major,247109,02d20h38m29,0
OLINGO-887,FALSE,FALSE,Minor,31092,00d08h38m12,0
OLINGO-207,TRUE,FALSE,Major,1285863,14d21h11m03,0
OLINGO-884,TRUE,FALSE,Major,1010852,11d16h47m32,0
OLINGO-1211,FALSE,FALSE,Major,44247021,512d02h50m21,0
OLINGO-960,FALSE,FALSE,Major,10035,00d02h47m15,0
OLINGO-964,TRUE,FALSE,Critical,5114506,59d04h41m46,0
OLINGO-966,FALSE,FALSE,Major,2218556,25d16h15m56,0
OLINGO-967,FALSE,FALSE,Major,100144,01d03h49m04,0
OLINGO-630,TRUE,FALSE,Trivial,482728,05d14h05m28,0
OLINGO-864,TRUE,FALSE,Critical,1088928,12d14h28m48,0
OLINGO-908,TRUE,FALSE,Major,66439,00d18h27m19,0
OLINGO-866,TRUE,FALSE,Major,2552790,29d13h06m30,0
OLINGO-861,TRUE,FALSE,Major,37776703,437d05h31m43,1
OLINGO-1276,TRUE,FALSE,Blocker,26404160,305d14h29m20,0
OLINGO-862,FALSE,FALSE,Minor,514651,05d22h57m31,0
OLINGO-903,TRUE,FALSE,Minor,298134,03d10h48m54,0
OLINGO-906,FALSE,FALSE,Major,85028,00d23h37m08,0
OLINGO-868,TRUE,FALSE,Major,444181,05d03h23m01,0
OLINGO-904,TRUE,FALSE,Major,570930,06d14h35m30,0
OLINGO-730,TRUE,FALSE,Minor,3137456,36d07h30m56,0
OLINGO-718,FALSE,FALSE,Major,7879,00d02h11m19,0
OLINGO-735,TRUE,FALSE,Major,2807238,32d11h47m18,0
OLINGO-538,TRUE,FALSE,Minor,334360,03d20h52m40,0
OLINGO-578,TRUE,FALSE,Major,1810,00d00h30m10,0
OLINGO-738,FALSE,FALSE,Major,2419,00d00h40m19,0
OLINGO-404,FALSE,FALSE,Minor,64035,00d17h47m15,0
OLINGO-434,TRUE,FALSE,Critical,1765494,20d10h24m54,0
OLINGO-435,TRUE,FALSE,Critical,1751135,20d06h25m35,0
OLINGO-340,FALSE,FALSE,Major,915,00d00h15m15,0
OLINGO-341,TRUE,FALSE,Major,691,00d00h11m31,0
OLINGO-431,TRUE,FALSE,Minor,29331821,339d11h43m41,0
