BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
OLTU-187,FALSE,FALSE,Major,896573,10d09h02m53,0
OLTU-185,TRUE,TRUE,Major,3396240,39d07h24m00,0
OLTU-182,FALSE,FALSE,Critical,11761591,136d03h06m31,0
OLTU-214,FALSE,FALSE,Major,3852,00d01h04m12,0
OLTU-181,TRUE,FALSE,Major,167473,01d22h31m13,0
OLTU-161,FALSE,FALSE,Major,1813445,20d23h44m05,0
OLTU-120,FALSE,FALSE,Trivial,3059,00d00h50m59,0
OLTU-107,FALSE,FALSE,Trivial,2708,00d00h45m08,0
OLTU-122,FALSE,FALSE,Minor,448,00d00h07m28,0
OLTU-105,FALSE,FALSE,Major,34993587,405d00h26m27,0
OLTU-29,TRUE,FALSE,Major,95023292,1099d19h21m32,0
OLTU-192,FALSE,FALSE,Major,199,00d00h03m19,0
OLTU-68,FALSE,FALSE,Major,98709015,1142d11h10m15,0
OLTU-197,FALSE,FALSE,Major,46640344,539d19h39m04,0
OLTU-196,FALSE,FALSE,Major,4495992,52d00h53m12,0
OLTU-205,FALSE,FALSE,Major,24964944,288d22h42m24,0
OLTU-3,FALSE,FALSE,Major,44877760,519d10h02m40,0
OLTU-206,FALSE,FALSE,Minor,255343,02d22h55m43,0
OLTU-201,TRUE,FALSE,Major,443522,05d03h12m02,0
OLTU-200,TRUE,FALSE,Major,517519,05d23h45m19,0
OLTU-154,TRUE,FALSE,Minor,52479011,607d09h30m11,0
OLTU-156,FALSE,FALSE,Blocker,48782776,564d14h46m16,0
OLTU-153,FALSE,FALSE,Trivial,129677,01d12h01m17,0
OLTU-152,FALSE,FALSE,Major,256,00d00h04m16,0
OLTU-177,FALSE,FALSE,Minor,20159120,233d07h45m20,0
OLTU-138,TRUE,FALSE,Trivial,63355,00d17h35m55,0
OLTU-173,FALSE,FALSE,Major,25908976,299d20h56m16,0
OLTU-114,TRUE,FALSE,Major,2887,00d00h48m07,0
OLTU-116,TRUE,FALSE,Major,2788,00d00h46m28,0
OLTU-132,TRUE,FALSE,Major,15607,00d04h20m07,0
OLTU-131,FALSE,FALSE,Critical,88603,01d00h36m43,1
OLTU-112,FALSE,FALSE,Major,369,00d00h06m09,0
OLTU-178,TRUE,FALSE,Major,18129894,209d20h04m54,0
OLTU-16,TRUE,FALSE,Major,13349473,154d12h11m13,0
OLTU-5,TRUE,FALSE,Major,37954324,439d06h52m04,0
OLTU-195,FALSE,FALSE,Minor,625629,07d05h47m09,0
OLTU-50,TRUE,FALSE,Minor,123938752,1434d11h25m52,0
OLTU-174,TRUE,FALSE,Major,23665963,273d21h52m43,0
OLTU-59,FALSE,FALSE,Trivial,138613376,1604d07h42m56,0
OLTU-115,TRUE,FALSE,Major,2835,00d00h47m15,0
OLTU-31,TRUE,FALSE,Major,22217937,257d03h38m57,1
