BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
OODT-817,FALSE,FALSE,Major,91,00d00h01m31,0
OODT-812,FALSE,FALSE,Major,349,00d00h05m49,0
OODT-813,FALSE,FALSE,Major,85,00d00h01m25,0
OODT-429,TRUE,FALSE,Major,318042,03d16h20m42,0
OODT-811,FALSE,FALSE,Major,152,00d00h02m32,0
OODT-427,TRUE,FALSE,Major,332178,03d20h16m18,0
OODT-93,FALSE,FALSE,Minor,7911,00d02h11m51,0
OODT-425,FALSE,FALSE,Minor,17467,00d04h51m07,0
OODT-424,FALSE,FALSE,Minor,168124806,1945d21h20m06,0
OODT-818,FALSE,FALSE,Major,2560,00d00h42m40,0
OODT-659,FALSE,FALSE,Major,172,00d00h02m52,0
OODT-308,TRUE,FALSE,Minor,54734,00d15h12m14,0
OODT-543,FALSE,FALSE,Blocker,105,00d00h01m45,0
OODT-715,FALSE,FALSE,Critical,25364135,293d13h35m35,0
OODT-717,FALSE,FALSE,Minor,205,00d00h03m25,0
OODT-719,FALSE,FALSE,Major,77262,00d21h27m42,0
OODT-718,FALSE,FALSE,Critical,3458360,40d00h39m20,0
OODT-653,FALSE,FALSE,Minor,59224890,685d11h21m30,0
OODT-655,FALSE,FALSE,Critical,1054838,12d05h00m38,0
OODT-890,TRUE,FALSE,Major,17079,00d04h44m39,0
OODT-657,TRUE,FALSE,Critical,10604,00d02h56m44,0
OODT-145,FALSE,FALSE,Minor,499889,05d18h51m29,0
OODT-146,FALSE,FALSE,Major,120196690,1391d03h58m10,0
OODT-316,FALSE,FALSE,Minor,143,00d00h02m23,0
OODT-140,FALSE,FALSE,Major,18991,00d05h16m31,0
OODT-141,FALSE,FALSE,Critical,263,00d00h04m23,0
OODT-142,FALSE,FALSE,Blocker,91,00d00h01m31,0
OODT-628,FALSE,FALSE,Critical,190454,02d04h54m14,0
OODT-428,TRUE,FALSE,Minor,351216,04d01h33m36,0
OODT-948,FALSE,FALSE,Minor,142079,01d15h27m59,0
OODT-39,FALSE,FALSE,Major,42196,00d11h43m16,0
OODT-395,FALSE,FALSE,Major,126868,01d11h14m28,0
OODT-413,FALSE,FALSE,Major,271914,03d03h31m54,0
OODT-397,FALSE,FALSE,Minor,53,00d00h00m53,0
OODT-389,TRUE,FALSE,Major,50558,00d14h02m38,0
OODT-350,FALSE,FALSE,Minor,1688,00d00h28m08,0
OODT-399,FALSE,FALSE,Minor,172,00d00h02m52,0
OODT-551,TRUE,FALSE,Major,694,00d00h11m34,0
OODT-118,FALSE,FALSE,Blocker,9572,00d02h39m32,0
OODT-761,FALSE,FALSE,Minor,9205065,106d12h57m45,1
OODT-887,TRUE,FALSE,Major,76586,00d21h16m26,0
OODT-763,FALSE,FALSE,Minor,112754,01d07h19m14,0
OODT-559,FALSE,FALSE,Minor,139702396,1616d22h13m16,1
OODT-640,FALSE,FALSE,Trivial,217991,02d12h33m11,0
OODT-311,FALSE,TRUE,Major,420,00d00h07m00,0
OODT-51,FALSE,FALSE,Blocker,173,00d00h02m53,0
OODT-313,FALSE,FALSE,Major,200,00d00h03m20,0
OODT-644,TRUE,TRUE,Critical,36649992,424d04h33m12,0
OODT-153,FALSE,FALSE,Minor,46708,00d12h58m28,0
OODT-152,FALSE,FALSE,Minor,84454,00d23h27m34,0
OODT-541,TRUE,FALSE,Major,342950,03d23h15m50,0
OODT-57,TRUE,FALSE,Minor,711731,08d05h42m11,0
OODT-886,TRUE,FALSE,Minor,138894,01d14h34m54,0
OODT-159,FALSE,FALSE,Minor,167993,01d22h39m53,0
OODT-56,FALSE,FALSE,Blocker,14715,00d04h05m15,0
OODT-440,TRUE,FALSE,Minor,506161,05d20h36m01,0
OODT-24,TRUE,FALSE,Minor,98,00d00h01m38,0
OODT-954,TRUE,FALSE,Blocker,368,00d00h06m08,0
OODT-951,FALSE,FALSE,Minor,21553195,249d10h59m55,0
OODT-7,FALSE,FALSE,Major,12518116,144d21h15m16,0
OODT-404,TRUE,FALSE,Minor,336565,03d21h29m25,0
OODT-546,FALSE,FALSE,Major,78873,00d21h54m33,0
OODT-338,FALSE,FALSE,Trivial,3500286,40d12h18m06,0
OODT-116,FALSE,FALSE,Blocker,201099,02d07h51m39,0
OODT-777,FALSE,FALSE,Major,841,00d00h14m01,0
OODT-776,FALSE,FALSE,Major,155,00d00h02m35,0
OODT-564,TRUE,FALSE,Major,47760,00d13h16m00,0
OODT-169,FALSE,FALSE,Minor,41562,00d11h32m42,0
OODT-488,TRUE,FALSE,Minor,39188,00d10h53m08,0
OODT-771,FALSE,FALSE,Minor,7715946,89d07h19m06,1
OODT-770,FALSE,FALSE,Major,7718932,89d08h08m52,1
OODT-485,TRUE,FALSE,Minor,76580,00d21h16m20,0
OODT-675,FALSE,FALSE,Minor,589430,06d19h43m50,0
OODT-481,FALSE,FALSE,Minor,925,00d00h15m25,0
OODT-480,FALSE,FALSE,Minor,96973620,1122d09h07m00,0
OODT-568,TRUE,FALSE,Major,1846,00d00h30m46,0
OODT-783,FALSE,FALSE,Major,2761,00d00h46m01,0
OODT-369,FALSE,FALSE,Major,33884783,392d04h26m23,0
OODT-361,FALSE,FALSE,Minor,7680734,88d21h32m14,0
OODT-781,FALSE,FALSE,Minor,36070143,417d11h29m03,1
OODT-963,FALSE,FALSE,Major,54825,00d15h13m45,0
OODT-929,FALSE,FALSE,Major,4341,00d01h12m21,0
OODT-967,FALSE,FALSE,Major,779,00d00h12m59,0
OODT-964,FALSE,TRUE,Major,54326,00d15h05m26,0
OODT-53,FALSE,FALSE,Major,132,00d00h02m12,0
OODT-968,FALSE,FALSE,Major,4618637,53d10h57m17,1
OODT-805,FALSE,FALSE,Major,138944,01d14h35m44,1
OODT-804,FALSE,FALSE,Major,19103294,221d02h28m14,0
OODT-55,FALSE,FALSE,Blocker,701,00d00h11m41,0
OODT-54,FALSE,FALSE,Blocker,15686447,181d13h20m47,0
OODT-578,FALSE,FALSE,Major,104684,01d05h04m44,0
OODT-748,FALSE,FALSE,Major,7712258,89d06h17m38,0
OODT-749,FALSE,FALSE,Major,11536936,133d12h42m16,1
OODT-571,FALSE,FALSE,Minor,7952755,92d01h05m55,1
OODT-572,FALSE,FALSE,Major,7794732,90d05h12m12,0
OODT-574,TRUE,FALSE,Minor,129094,01d11h51m34,0
