BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
OOZIE-3112,TRUE,FALSE,Major,1895531,21d22h32m11,0
OOZIE-3113,FALSE,FALSE,Major,4682713,54d04h45m13,0
OOZIE-2978,TRUE,FALSE,Major,8567187,99d03h46m27,0
OOZIE-2974,FALSE,FALSE,Major,2949803,34d03h23m23,0
OOZIE-729,FALSE,FALSE,Major,3359,00d00h55m59,0
OOZIE-2872,TRUE,FALSE,Major,1468005,16d23h46m45,0
OOZIE-1029,FALSE,TRUE,Major,271147,03d03h19m07,0
OOZIE-2870,FALSE,FALSE,Major,624807,07d05h33m27,0
OOZIE-2113,FALSE,FALSE,Major,2393906,27d16h58m26,0
OOZIE-1024,FALSE,FALSE,Major,351819,04d01h43m39,0
OOZIE-737,FALSE,FALSE,Critical,14566,00d04h02m46,0
OOZIE-1027,FALSE,FALSE,Major,411323,04d18h15m23,0
OOZIE-1020,TRUE,FALSE,Critical,1002022,11d14h20m22,0
OOZIE-724,TRUE,FALSE,Major,54129,00d15h02m09,0
OOZIE-52,FALSE,FALSE,Major,15271543,176d18h05m43,1
OOZIE-1023,FALSE,FALSE,Trivial,354301,04d02h25m01,0
OOZIE-21,FALSE,FALSE,Major,1198452,13d20h54m12,0
OOZIE-1685,TRUE,FALSE,Major,11535332,133d12h15m32,0
OOZIE-3324,FALSE,FALSE,Critical,537856,06d05h24m16,0
OOZIE-931,FALSE,FALSE,Minor,558077,06d11h01m17,0
OOZIE-991,FALSE,FALSE,Critical,35541,00d09h52m21,0
OOZIE-2441,FALSE,FALSE,Blocker,17928,00d04h58m48,0
OOZIE-3278,FALSE,FALSE,Major,522410,06d01h06m50,0
OOZIE-2112,FALSE,FALSE,Major,1275594,14d18h19m54,0
OOZIE-987,FALSE,FALSE,Trivial,19465,00d05h24m25,0
OOZIE-2883,FALSE,FALSE,Major,32913885,380d22h44m45,0
OOZIE-2949,TRUE,FALSE,Major,51409683,595d00h28m03,0
OOZIE-2886,FALSE,FALSE,Major,1917254,22d04h34m14,0
OOZIE-2885,FALSE,FALSE,Critical,11986112,138d17h28m32,0
OOZIE-2884,FALSE,FALSE,Major,4238224,49d01h17m04,0
OOZIE-3028,FALSE,FALSE,Major,230436,02d16h00m36,0
OOZIE-3021,TRUE,FALSE,Major,150371,01d17h46m11,0
OOZIE-3026,FALSE,FALSE,Minor,2403409,27d19h36m49,0
OOZIE-3024,FALSE,FALSE,Major,61672454,713d19h14m14,0
OOZIE-1727,FALSE,FALSE,Major,7941,00d02h12m21,0
OOZIE-2755,TRUE,FALSE,Major,82179996,951d03h46m36,0
OOZIE-79,FALSE,FALSE,Major,15271273,176d18h01m13,2
OOZIE-3455,FALSE,FALSE,Major,4924428,56d23h53m48,0
OOZIE-2750,FALSE,FALSE,Trivial,8568550,99d04h09m10,0
OOZIE-2615,FALSE,FALSE,Minor,3233491,37d10h11m31,0
OOZIE-2613,TRUE,TRUE,Blocker,7075803,81d21h30m03,0
OOZIE-934,TRUE,FALSE,Major,1975013,22d20h36m53,0
OOZIE-121,TRUE,FALSE,Major,15270926,176d17h55m26,1
OOZIE-809,FALSE,FALSE,Major,12840399,148d14h46m39,0
OOZIE-72,TRUE,FALSE,Major,15271308,176d18h01m48,1
OOZIE-3058,FALSE,FALSE,Major,324488,03d18h08m08,0
OOZIE-1600,FALSE,FALSE,Major,515502,05d23h11m42,0
OOZIE-1691,FALSE,FALSE,Major,591236,06d20h13m56,0
OOZIE-823,FALSE,FALSE,Major,1656,00d00h27m36,0
