BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
OPENEJB-1053,FALSE,FALSE,Major,17130295,198d06h24m55,0
OPENEJB-1059,TRUE,FALSE,Major,2430029,28d03h00m29,1
OPENEJB-557,TRUE,FALSE,Major,230006,02d15h53m26,1
OPENEJB-555,FALSE,FALSE,Blocker,9175797,106d04h49m57,0
OPENEJB-683,FALSE,FALSE,Major,74978,00d20h49m38,0
GERONIMO-649,FALSE,FALSE,Major,95266,01d02h27m46,0
GERONIMO-767,FALSE,FALSE,Major,3549571,41d01h59m31,0
OPENEJB-553,TRUE,FALSE,Major,163,00d00h02m43,0
OPENEJB-765,TRUE,FALSE,Critical,38463,00d10h41m03,0
OPENEJB-766,FALSE,FALSE,Critical,10486,00d02h54m46,0
OPENEJB-767,TRUE,FALSE,Blocker,97331,01d03h02m11,0
OPENEJB-761,FALSE,FALSE,Major,545106,06d07h25m06,0
OPENEJB-445,TRUE,FALSE,Major,983,00d00h16m23,0
OPENEJB-444,FALSE,FALSE,Major,92607,01d01h43m27,0
OPENEJB-443,TRUE,FALSE,Major,78,00d00h01m18,0
OPENEJB-399,FALSE,FALSE,Major,1091,00d00h18m11,0
OPENEJB-1604,TRUE,FALSE,Major,4329252,50d02h34m12,0
OPENEJB-1602,TRUE,FALSE,Major,34251286,396d10h14m46,0
TOMEE-646,FALSE,FALSE,Blocker,184234,02d03h10m34,1
TOMEE-647,TRUE,FALSE,Major,144692,01d16h11m32,1
TOMEE-645,TRUE,FALSE,Major,6590091,76d06h34m51,1
TOMEE-643,FALSE,FALSE,Major,364598,04d05h16m38,1
TOMEE-166,TRUE,FALSE,Major,423790,04d21h43m10,0
OPENEJB-1322,TRUE,FALSE,Major,32045385,370d21h29m45,0
OPENEJB-1323,FALSE,FALSE,Major,322589,03d17h36m29,0
OPENEJB-1930,FALSE,FALSE,Major,448,00d00h07m28,0
OPENEJB-1934,TRUE,FALSE,Major,681,00d00h11m21,0
OPENEJB-1830,FALSE,FALSE,Major,422005,04d21h13m25,0
OPENEJB-1118,TRUE,FALSE,Major,2006754,23d05h25m54,0
OPENEJB-1834,FALSE,FALSE,Major,31,00d00h00m31,0
OPENEJB-1837,TRUE,FALSE,Major,3409574,39d11h06m14,1
OPENEJB-562,TRUE,FALSE,Major,264289,03d01h24m49,0
OPENEJB-1129,FALSE,FALSE,Major,1187,00d00h19m47,0
OPENEJB-1116,FALSE,FALSE,Major,2493542,28d20h39m02,0
OPENEJB-975,FALSE,FALSE,Major,1857203,21d11h53m23,0
TOMEE-349,TRUE,FALSE,Major,99,00d00h01m39,0
OPENEJB-1309,FALSE,FALSE,Major,5870762,67d22h46m02,0
OPENEJB-974,TRUE,FALSE,Major,4147390,48d00h03m10,0
OPENEJB-1300,FALSE,FALSE,Major,10804743,125d01h19m03,0
TOMEE-345,TRUE,FALSE,Major,6015912,69d15h05m12,1
OPENEJB-1305,TRUE,FALSE,Major,1809641,20d22h40m41,0
OPENEJB-1733,FALSE,FALSE,Major,20,00d00h00m20,0
OPENEJB-1730,TRUE,FALSE,Major,2809491,32d12h24m51,0
TOMEE-267,FALSE,FALSE,Trivial,518656,06d00h04m16,0
OPENEJB-1311,TRUE,FALSE,Major,88,00d00h01m28,0
OPENEJB-341,FALSE,FALSE,Blocker,8922,00d02h28m42,0
TOMEE-29,FALSE,FALSE,Major,653,00d00h10m53,0
OPENEJB-1708,FALSE,FALSE,Major,5792196,67d00h56m36,0
GERONIMO-581,FALSE,FALSE,Major,2339680,27d01h54m40,0
TOMEE-27,FALSE,FALSE,Major,27752,00d07h42m32,0
OPENEJB-972,FALSE,FALSE,Major,7265891,84d02h18m11,0
OPENEJB-1709,TRUE,FALSE,Blocker,198984,02d07h16m24,0
OPENEJB-1239,FALSE,FALSE,Major,2586,00d00h43m06,0
OPENEJB-719,FALSE,FALSE,Major,779421,09d00h30m21,0
OPENEJB-702,TRUE,FALSE,Major,14167393,163d23h23m13,0
OPENEJB-59,FALSE,FALSE,Minor,32263022,373d09h57m02,0
OPENEJB-1540,TRUE,FALSE,Major,341444,03d22h50m44,0
OPENEJB-1541,TRUE,FALSE,Major,341549,03d22h52m29,0
OPENEJB-1543,FALSE,FALSE,Major,84160,00d23h22m40,0
OPENEJB-1544,FALSE,FALSE,Major,175890,02d00h51m30,0
OPENEJB-1545,FALSE,FALSE,Major,82715,00d22h58m35,0
OPENEJB-1546,FALSE,FALSE,Major,82707,00d22h58m27,0
OPENEJB-1547,FALSE,FALSE,Major,83434,00d23h10m34,0
OPENEJB-1548,FALSE,FALSE,Major,107766,01d05h56m06,0
