BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
OPENJPA-1893,TRUE,FALSE,Major,18995,00d05h16m35,0
OPENJPA-2444,FALSE,FALSE,Major,59208,00d16h26m48,0
OPENJPA-2442,FALSE,TRUE,Major,14841252,171d18h34m12,0
OPENJPA-2443,TRUE,FALSE,Major,144875,01d16h14m35,0
OPENJPA-2440,FALSE,FALSE,Major,200135,02d07h35m35,0
OPENJPA-2441,TRUE,TRUE,Major,10542328,122d00h25m28,0
OPENJPA-2567,TRUE,FALSE,Major,113084761,1308d20h26m01,0
OPENJPA-512,FALSE,FALSE,Trivial,1013006,11d17h23m26,0
OPENJPA-719,FALSE,FALSE,Minor,1290998,14d22h36m38,0
OPENJPA-2253,TRUE,FALSE,Blocker,37576478,434d21h54m38,0
OPENJPA-712,FALSE,FALSE,Major,213467,02d11h17m47,0
OPENJPA-711,FALSE,FALSE,Minor,1163954,13d11h19m14,0
OPENJPA-710,FALSE,FALSE,Major,11683,00d03h14m43,1
OPENJPA-2257,FALSE,FALSE,Major,207762,02d09h42m42,0
OPENJPA-2255,FALSE,FALSE,Minor,1000843,11d14h00m43,0
OPENJPA-714,TRUE,FALSE,Major,42793023,495d06h57m03,0
OPENJPA-489,TRUE,FALSE,Major,6994,00d01h56m34,0
OPENJPA-481,TRUE,FALSE,Minor,17686690,204d16h58m10,0
OPENJPA-2095,TRUE,FALSE,Major,14492689,167d17h44m49,0
OPENJPA-2094,TRUE,FALSE,Major,62205227,719d23h13m47,0
OPENJPA-485,TRUE,FALSE,Major,17285065,200d01h24m25,0
OPENJPA-484,TRUE,FALSE,Major,3482255,40d07h17m35,0
OPENJPA-46,TRUE,FALSE,Minor,14740367,170d14h32m47,0
OPENJPA-1809,TRUE,FALSE,Major,15249,00d04h14m09,0
OPENJPA-2698,FALSE,FALSE,Minor,115528,01d08h05m28,0
OPENJPA-1801,TRUE,FALSE,Major,1641728,19d00h02m08,0
OPENJPA-2690,FALSE,FALSE,Major,39219332,453d22h15m32,0
OPENJPA-1804,FALSE,FALSE,Major,10033741,116d03h09m01,0
OPENJPA-1201,TRUE,FALSE,Major,4134900,47d20h35m00,0
OPENJPA-1200,TRUE,FALSE,Major,2083924,24d02h52m04,0
OPENJPA-1203,FALSE,FALSE,Minor,5945014,68d19h23m34,0
OPENJPA-1205,FALSE,FALSE,Major,20419347,236d08h02m27,0
OPENJPA-1204,TRUE,FALSE,Major,51501,00d14h18m21,0
OPENJPA-2596,TRUE,FALSE,Major,58187,00d16h09m47,0
OPENJPA-2597,FALSE,FALSE,Major,934,00d00h15m34,0
OPENJPA-1039,TRUE,FALSE,Major,1956957,22d15h35m57,0
OPENJPA-395,FALSE,FALSE,Major,2959,00d00h49m19,0
OPENJPA-2381,FALSE,FALSE,Minor,48227360,558d04h29m20,0
OPENJPA-1897,FALSE,FALSE,Major,9536,00d02h38m56,0
OPENJPA-1380,TRUE,FALSE,Major,161756,01d20h55m56,1
OPENJPA-1381,TRUE,FALSE,Major,5889407,68d03h56m47,1
OPENJPA-1383,FALSE,FALSE,Major,200083,02d07h34m43,0
OPENJPA-1384,FALSE,FALSE,Major,4857825,56d05h23m45,0
OPENJPA-1385,FALSE,FALSE,Major,2147,00d00h35m47,0
OPENJPA-1386,FALSE,FALSE,Major,273045,03d03h50m45,0
OPENJPA-1387,TRUE,FALSE,Major,100860665,1167d08h51m05,1
OPENJPA-1388,FALSE,FALSE,Major,105721,01d05h22m01,0
OPENJPA-625,TRUE,FALSE,Major,1219720,14d02h48m40,0
OPENJPA-207,TRUE,FALSE,Major,65246761,755d04h06m01,0
OPENJPA-2187,FALSE,FALSE,Minor,193481,02d05h44m41,0
OPENJPA-713,FALSE,FALSE,Major,1112654,12d21h04m14,0
OPENJPA-1935,TRUE,FALSE,Major,1185197,13d17h13m17,0
OPENJPA-1819,FALSE,FALSE,Critical,96268251,1114d05h10m51,1
OPENJPA-1932,FALSE,FALSE,Minor,29376942,340d00h15m42,0
OPENJPA-2626,TRUE,FALSE,Major,86,00d00h01m26,0
OPENJPA-873,TRUE,FALSE,Major,771886,08d22h24m46,1
OPENJPA-1031,FALSE,FALSE,Trivial,2399085,27d18h24m45,0
FOP-1,FALSE,FALSE,None,352269976,4077d04h46m16,0
OPENJPA-1939,FALSE,FALSE,Minor,594990,06d21h16m30,1
OPENJPA-1938,FALSE,FALSE,Minor,64137,00d17h48m57,0
OPENJPA-973,FALSE,FALSE,Major,13806107,159d19h01m47,1
OPENJPA-1477,TRUE,FALSE,Major,4585965,53d01h52m45,0
OPENJPA-2746,FALSE,FALSE,Major,4318,00d01h11m58,0
OPENJPA-1379,TRUE,FALSE,Major,5016,00d01h23m36,0
OPENJPA-2743,TRUE,FALSE,Major,33006067,382d00h21m07,0
OPENJPA-1375,FALSE,FALSE,Major,150745,01d17h52m25,0
