BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
OPENMEETINGS-1513,TRUE,FALSE,Major,4645,00d01h17m25,0
OPENMEETINGS-1758,TRUE,FALSE,Major,11250,00d03h07m30,0
OPENMEETINGS-1511,FALSE,FALSE,Trivial,853937,09d21h12m17,0
OPENMEETINGS-1514,TRUE,FALSE,Major,62862,00d17h27m42,0
OPENMEETINGS-1751,FALSE,FALSE,Critical,133,00d00h02m13,0
OPENMEETINGS-1878,FALSE,FALSE,Critical,5897,00d01h38m17,0
OPENMEETINGS-1753,FALSE,FALSE,Major,79,00d00h01m19,0
OPENMEETINGS-1752,FALSE,FALSE,Major,81,00d00h01m21,0
OPENMEETINGS-1757,FALSE,FALSE,Major,3439,00d00h57m19,0
OPENMEETINGS-1756,TRUE,FALSE,Major,466744,05d09h39m04,1
OPENMEETINGS-1610,FALSE,FALSE,Major,832823,09d15h20m23,0
OPENMEETINGS-1611,TRUE,FALSE,Major,94,00d00h01m34,0
OPENMEETINGS-1599,TRUE,FALSE,Major,37897,00d10h31m37,0
OPENMEETINGS-1598,FALSE,FALSE,Major,30367,00d08h26m07,0
OPENMEETINGS-1616,FALSE,FALSE,Major,68904,00d19h08m24,0
OPENMEETINGS-1820,FALSE,FALSE,Minor,839843,09d17h17m23,1
OPENMEETINGS-1592,FALSE,FALSE,Major,5145,00d01h25m45,0
OPENMEETINGS-1591,FALSE,TRUE,Major,4053,00d01h07m33,0
OPENMEETINGS-1590,FALSE,FALSE,Major,12622,00d03h30m22,0
OPENMEETINGS-1597,FALSE,FALSE,Major,9920,00d02h45m20,0
OPENMEETINGS-1829,TRUE,FALSE,Blocker,62957,00d17h29m17,0
OPENMEETINGS-1594,FALSE,FALSE,Blocker,1869,00d00h31m09,0
OPENMEETINGS-1952,TRUE,FALSE,Critical,3388,00d00h56m28,0
OPENMEETINGS-1898,FALSE,FALSE,Major,4874656,56d10h04m16,0
OPENMEETINGS-1957,TRUE,TRUE,Blocker,344453,03d23h40m53,0
OPENMEETINGS-1479,FALSE,FALSE,Minor,688793,07d23h19m53,0
OPENMEETINGS-1890,TRUE,FALSE,Major,5547677,64d05h01m17,0
OPENMEETINGS-1895,FALSE,FALSE,Minor,48989,00d13h36m29,0
