BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
OPENNLP-1022,FALSE,FALSE,Trivial,120328,01d09h25m28,0
OPENNLP-1020,FALSE,FALSE,Minor,228819,02d15h33m39,0
OPENNLP-917,FALSE,FALSE,Major,283550,03d06h45m50,0
OPENNLP-704,FALSE,FALSE,Trivial,2742487,31d17h48m07,0
OPENNLP-358,FALSE,FALSE,Trivial,21919,00d06h05m19,0
OPENNLP-359,FALSE,FALSE,Trivial,21325,00d05h55m25,0
OPENNLP-357,FALSE,FALSE,Major,17859,00d04h57m39,0
OPENNLP-818,TRUE,FALSE,Minor,544523,06d07h15m23,0
OPENNLP-427,FALSE,FALSE,Minor,838,00d00h13m58,0
OPENNLP-115,FALSE,FALSE,Minor,13827666,160d01h01m06,0
OPENNLP-785,FALSE,FALSE,Major,61995,00d17h13m15,0
OPENNLP-784,FALSE,FALSE,Minor,1973,00d00h32m53,0
OPENNLP-541,FALSE,FALSE,Minor,6180071,71d12h41m11,0
OPENNLP-783,FALSE,FALSE,Minor,598,00d00h09m58,0
OPENNLP-1151,TRUE,FALSE,Minor,75255,00d20h54m15,0
OPENNLP-194,FALSE,FALSE,Minor,5574,00d01h32m54,0
OPENNLP-196,FALSE,FALSE,Trivial,5068,00d01h24m28,0
OPENNLP-491,FALSE,FALSE,Minor,337,00d00h05m37,0
OPENNLP-718,FALSE,FALSE,Major,97075,01d02h57m55,0
OPENNLP-719,FALSE,FALSE,Major,71843742,831d12h35m42,1
OPENNLP-1131,TRUE,FALSE,Major,2249843,26d00h57m23,0
OPENNLP-1132,FALSE,FALSE,Major,8934020,103d09h40m20,0
OPENNLP-1133,TRUE,FALSE,Major,1537106,17d18h58m26,1
OPENNLP-499,FALSE,FALSE,Major,27719,00d07h41m59,0
OPENNLP-711,FALSE,FALSE,Minor,6431551,74d10h32m31,0
OPENNLP-920,FALSE,FALSE,Minor,49591,00d13h46m31,0
OPENNLP-418,FALSE,FALSE,Major,508168,05d21h09m28,0
OPENNLP-329,FALSE,FALSE,Major,8204,00d02h16m44,0
OPENNLP-367,FALSE,FALSE,Major,6135672,71d00h21m12,0
OPENNLP-415,FALSE,FALSE,Major,3363,00d00h56m03,1
OPENNLP-417,FALSE,FALSE,Major,4614,00d01h16m54,0
OPENNLP-127,FALSE,FALSE,Minor,10171166,117d17h19m26,0
OPENNLP-126,FALSE,FALSE,Minor,56,00d00h00m56,0
OPENNLP-799,TRUE,FALSE,Major,636037,07d08h40m37,0
OPENNLP-554,FALSE,FALSE,Minor,144199,01d16h03m19,0
OPENNLP-1145,FALSE,FALSE,Trivial,598596,06d22h16m36,0
OPENNLP-1147,FALSE,FALSE,Trivial,283184,03d06h39m44,0
OPENNLP-1127,FALSE,FALSE,Trivial,2934021,33d23h00m21,0
OPENNLP-1122,TRUE,FALSE,Major,1017584,11d18h39m44,0
OPENNLP-1121,FALSE,FALSE,Major,159395,01d20h16m35,0
OPENNLP-1120,FALSE,FALSE,Major,16836,00d04h40m36,0
OPENNLP-832,TRUE,FALSE,Major,19871894,229d23h58m14,0
OPENNLP-837,TRUE,FALSE,Major,422944,04d21h29m04,0
OPENNLP-762,FALSE,FALSE,Major,1090,00d00h18m10,0
OPENNLP-835,FALSE,FALSE,Major,4702287,54d10h11m27,0
OPENNLP-1128,FALSE,FALSE,Major,417,00d00h06m57,0
OPENNLP-640,FALSE,FALSE,Minor,511327,05d22h02m07,0
OPENNLP-138,FALSE,FALSE,Blocker,2578,00d00h42m58,0
OPENNLP-644,FALSE,FALSE,Major,82,00d00h01m22,0
OPENNLP-645,FALSE,FALSE,Major,31163,00d08h39m23,0
OPENNLP-335,FALSE,FALSE,Major,9236,00d02h33m56,0
OPENNLP-130,FALSE,FALSE,Major,28255,00d07h50m55,0
OPENNLP-403,FALSE,FALSE,Major,585,00d00h09m45,0
OPENNLP-332,FALSE,FALSE,Major,656671,07d14h24m31,0
OPENNLP-1117,FALSE,FALSE,Trivial,31855,00d08h50m55,0
OPENNLP-246,FALSE,FALSE,Minor,61380,00d17h03m00,0
OPENNLP-568,FALSE,FALSE,Major,365,00d00h06m05,0
OPENNLP-242,FALSE,FALSE,Minor,1746465,20d05h07m45,0
OPENNLP-248,FALSE,FALSE,Major,18298,00d05h04m58,1
OPENNLP-488,FALSE,FALSE,Major,124295539,1438d14h32m19,0
OPENNLP-562,FALSE,FALSE,Major,37418,00d10h23m38,0
OPENNLP-1039,FALSE,FALSE,Trivial,231792,02d16h23m12,0
OPENNLP-59,TRUE,FALSE,Major,1191265,13d18h54m25,0
OPENNLP-847,FALSE,FALSE,Minor,2077845,24d01h10m45,1
OPENNLP-1037,FALSE,FALSE,Minor,1345253,15d13h40m53,0
OPENNLP-845,FALSE,FALSE,Major,21501758,248d20h42m38,0
OPENNLP-1110,TRUE,FALSE,Major,5240,00d01h27m20,0
OPENNLP-778,FALSE,FALSE,Major,150,00d00h02m30,0
OPENNLP-779,FALSE,FALSE,Trivial,170,00d00h02m50,0
OPENNLP-301,FALSE,FALSE,Minor,551,00d00h09m11,0
OPENNLP-278,FALSE,FALSE,Minor,35925,00d09h58m45,0
OPENNLP-677,FALSE,FALSE,Major,6114,00d01h41m54,0
OPENNLP-676,TRUE,FALSE,Major,16090366,186d05h32m46,0
OPENNLP-305,FALSE,FALSE,Major,2724014,31d12h40m14,0
OPENNLP-670,FALSE,FALSE,Major,190744,02d04h59m04,0
OPENNLP-673,FALSE,FALSE,Major,2762958,31d23h29m18,0
OPENNLP-148,FALSE,FALSE,Major,71,00d00h01m11,0
OPENNLP-270,FALSE,FALSE,Major,38153,00d10h35m53,0
OPENNLP-143,FALSE,FALSE,Major,1037409,12d00h10m09,1
OPENNLP-1197,FALSE,FALSE,Major,3690305,42d17h05m05,1
OPENNLP-279,FALSE,FALSE,Minor,35283,00d09h48m03,0
OPENNLP-479,FALSE,FALSE,Major,4422602,51d04h30m02,0
OPENNLP-478,FALSE,FALSE,Major,850903,09d20h21m43,0
OPENNLP-576,FALSE,FALSE,Trivial,1370541,15d20h42m21,1
OPENNLP-471,FALSE,FALSE,Major,3535610,40d22h06m50,1
OPENNLP-470,FALSE,FALSE,Major,11509162,133d04h59m22,1
OPENNLP-477,TRUE,FALSE,Major,4607,00d01h16m47,0
OPENNLP-474,FALSE,FALSE,Minor,254,00d00h04m14,0
OPENNLP-41,FALSE,FALSE,Major,3409682,39d11h08m02,0
OPENNLP-40,TRUE,FALSE,Major,19670,00d05h27m50,0
OPENNLP-669,FALSE,FALSE,Major,21134331,244d14h38m51,0
OPENNLP-744,TRUE,FALSE,Minor,223246,02d14h00m46,1
OPENNLP-1262,FALSE,FALSE,Major,152391,01d18h19m51,0
OPENNLP-749,FALSE,FALSE,Major,31288,00d08h41m28,0
OPENNLP-584,FALSE,FALSE,Major,452510,05d05h41m50,0
OPENNLP-810,FALSE,FALSE,Minor,87660,01d00h21m00,0
OPENNLP-665,TRUE,FALSE,Major,2172286,25d03h24m46,0
OPENNLP-316,FALSE,FALSE,Major,411155,04d18h12m35,1
OPENNLP-317,FALSE,FALSE,Minor,5843,00d01h37m23,0
OPENNLP-154,TRUE,FALSE,Minor,5986897,69d07h01m37,1
OPENNLP-150,FALSE,FALSE,Major,943171,10d21h59m31,0
OPENNLP-151,FALSE,FALSE,Major,125,00d00h02m05,0
OPENNLP-502,FALSE,FALSE,Major,1743,00d00h29m03,0
OPENNLP-396,FALSE,FALSE,Major,21088,00d05h51m28,1
OPENNLP-9,TRUE,FALSE,Major,497795,05d18h16m35,0
OPENNLP-394,FALSE,FALSE,Major,90055,01d01h00m55,0
OPENNLP-395,FALSE,FALSE,Major,930,00d00h15m30,0
OPENNLP-1059,FALSE,FALSE,Major,170495,01d23h21m35,1
OPENNLP-1210,FALSE,FALSE,Major,110031,01d06h33m51,0
OPENNLP-72,FALSE,FALSE,Major,93199297,1078d16h41m37,0
OPENNLP-75,FALSE,FALSE,Major,67584,00d18h46m24,0
OPENNLP-1056,TRUE,FALSE,Major,7719,00d02h08m39,0
OPENNLP-598,FALSE,FALSE,Minor,9139306,105d18h41m46,0
OPENNLP-619,FALSE,FALSE,Minor,41399399,479d03h49m59,0
OPENNLP-751,FALSE,FALSE,Minor,5698963,65d23h02m43,0
OPENNLP-594,FALSE,FALSE,Minor,1926012,22d07h00m12,0
OPENNLP-763,TRUE,FALSE,Minor,1833,00d00h30m33,0
OPENNLP-591,FALSE,FALSE,Trivial,1693460,19d14h24m20,0
OPENNLP-593,FALSE,FALSE,Major,257254,02d23h27m34,0
OPENNLP-161,FALSE,FALSE,Minor,249639,02d21h20m39,1
OPENNLP-98,FALSE,FALSE,Major,70670,00d19h37m50,0
OPENNLP-761,FALSE,FALSE,Minor,94,00d00h01m34,0
OPENNLP-295,FALSE,FALSE,Minor,396,00d00h06m36,0
OPENNLP-294,FALSE,FALSE,Major,2439545,28d05h39m05,1
OPENNLP-168,FALSE,FALSE,Major,775,00d00h12m55,0
OPENNLP-90,FALSE,FALSE,Major,4182,00d01h09m42,0
OPENNLP-298,FALSE,FALSE,Minor,3165,00d00h52m45,0
OPENNLP-95,FALSE,FALSE,Trivial,71,00d00h01m11,0
OPENNLP-280,FALSE,FALSE,Minor,35170,00d09h46m10,0
OPENNLP-361,FALSE,FALSE,Major,286509,03d07h35m09,2
OPENNLP-510,FALSE,FALSE,Blocker,24404884,282d11h08m04,0
OPENNLP-343,FALSE,FALSE,Minor,573137,06d15h12m17,0
