BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
OWB-192,TRUE,FALSE,Major,88,00d00h01m28,0
OWB-1042,TRUE,FALSE,Major,93640,01d02h00m40,0
OWB-211,TRUE,FALSE,Major,1200,00d00h20m00,0
OWB-210,TRUE,FALSE,Major,1117,00d00h18m37,0
OWB-199,FALSE,FALSE,Major,66,00d00h01m06,0
OWB-215,FALSE,FALSE,Major,1245570,14d09h59m30,0
OWB-217,FALSE,FALSE,Major,54,00d00h00m54,0
OWB-216,FALSE,FALSE,Major,255,00d00h04m15,0
OWB-1204,TRUE,FALSE,Major,318,00d00h05m18,0
OWB-1205,FALSE,TRUE,Major,2431163,28d03h19m23,0
OWB-514,TRUE,FALSE,Major,4311929,49d21h45m29,1
OWB-1207,TRUE,FALSE,Major,1946028,22d12h33m48,0
OWB-698,FALSE,FALSE,Major,282828,03d06h33m48,0
OWB-510,FALSE,FALSE,Major,9906,00d02h45m06,0
OWB-1203,TRUE,FALSE,Major,459,00d00h07m39,0
OWB-694,FALSE,FALSE,Trivial,3400820,39d08h40m20,0
OWB-697,FALSE,FALSE,Major,284390,03d06h59m50,0
OWB-696,TRUE,FALSE,Major,62967,00d17h29m27,0
OWB-1209,TRUE,FALSE,Major,1500075,17d08h41m15,1
OWB-693,FALSE,FALSE,Major,244620,02d19h57m00,0
OWB-519,TRUE,FALSE,Critical,5446557,63d00h55m57,0
OWB-457,TRUE,FALSE,Major,116105,01d08h15m05,0
OWB-456,TRUE,FALSE,Major,586349,06d18h52m29,0
OWB-455,FALSE,FALSE,Minor,1325,00d00h22m05,0
OWB-454,FALSE,FALSE,Major,67,00d00h01m07,0
OWB-450,FALSE,FALSE,Major,507283,05d20h54m43,0
OWB-677,FALSE,FALSE,Major,4434,00d01h13m54,0
OWB-998,FALSE,FALSE,Major,20088,00d05h34m48,0
OWB-850,TRUE,FALSE,Major,20,00d00h00m20,0
OWB-857,TRUE,FALSE,Major,1196,00d00h19m56,0
OWB-672,TRUE,FALSE,Critical,5479685,63d10h08m05,0
OWB-855,TRUE,FALSE,Major,179,00d00h02m59,0
OWB-992,TRUE,FALSE,Major,3539937,40d23h18m57,1
OWB-993,TRUE,FALSE,Major,130435,01d12h13m55,0
OWB-774,TRUE,FALSE,Major,23576679,272d21h04m39,0
OWB-991,TRUE,FALSE,Major,7700860,89d03h07m40,0
OWB-997,TRUE,FALSE,Major,39274,00d10h54m34,0
OWB-994,FALSE,FALSE,Major,1978,00d00h32m58,0
OWB-771,FALSE,FALSE,Trivial,72691941,841d08h12m21,0
OWB-289,TRUE,FALSE,Minor,7646596,88d12h03m16,1
OWB-284,TRUE,FALSE,Major,165173,01d21h52m53,0
OWB-285,TRUE,FALSE,Major,813153,09d09h52m33,0
OWB-283,FALSE,FALSE,Major,39339,00d10h55m39,0
OWB-958,TRUE,FALSE,Major,28370142,328d08h35m42,0
OWB-351,TRUE,FALSE,Blocker,1378178,15d22h49m38,1
OWB-600,FALSE,FALSE,Major,2461076,28d11h37m56,0
TOMEE-1531,TRUE,FALSE,Major,50071,00d13h54m31,0
OWB-354,FALSE,FALSE,Major,4291093,49d15h58m13,0
OWB-208,FALSE,FALSE,Major,4369,00d01h12m49,0
OWB-359,TRUE,FALSE,Blocker,71336,00d19h48m56,0
OWB-608,FALSE,FALSE,Major,539,00d00h08m59,0
OWB-84,FALSE,FALSE,Blocker,635,00d00h10m35,0
OWB-83,FALSE,FALSE,Major,42280,00d11h44m40,0
OWB-82,FALSE,FALSE,Major,1494456,17d07h07m36,0
OWB-81,FALSE,FALSE,Major,103,00d00h01m43,0
OWB-80,FALSE,FALSE,Major,1801,00d00h30m01,0
OWB-1264,FALSE,FALSE,Critical,289,00d00h04m49,0
OWB-1103,TRUE,FALSE,Blocker,4670102,54d01h15m02,0
OWB-1102,TRUE,FALSE,Major,5936809,68d17h06m49,1
OWB-1100,FALSE,FALSE,Major,50,00d00h00m50,0
OWB-143,FALSE,FALSE,Major,456230,05d06h43m50,0
OWB-153,FALSE,FALSE,Major,359,00d00h05m59,0
OWB-142,TRUE,FALSE,Major,83003,00d23h03m23,0
OWB-150,TRUE,FALSE,Major,1991921,23d01h18m41,0
OWB-1033,TRUE,FALSE,Major,7501049,86d19h37m29,1
OWB-515,TRUE,FALSE,Minor,28475640,329d13h54m00,0
OWB-1036,TRUE,FALSE,Major,453,00d00h07m33,0
OWB-1035,FALSE,FALSE,Critical,9151823,105d22h10m23,0
OWB-1039,TRUE,FALSE,Major,3410326,39d11h18m46,0
OWB-974,TRUE,FALSE,Major,439,00d00h07m19,0
OWB-975,FALSE,FALSE,Major,76,00d00h01m16,0
OWB-976,TRUE,FALSE,Major,24962300,288d21h58m20,0
OWB-970,FALSE,FALSE,Major,390,00d00h06m30,0
OWB-971,TRUE,FALSE,Major,4098,00d01h08m18,0
OWB-511,TRUE,FALSE,Major,416695,04d19h44m55,0
OWB-679,TRUE,FALSE,Major,86230579,998d00h56m19,0
OWB-979,TRUE,FALSE,Major,98,00d00h01m38,0
OWB-158,TRUE,FALSE,Major,3265695,37d19h08m15,0
OWB-317,FALSE,FALSE,Major,2938313,34d00h11m53,0
OWB-489,TRUE,FALSE,Minor,159639,01d20h20m39,0
OWB-480,FALSE,FALSE,Major,561868,06d12h04m28,0
OWB-482,FALSE,FALSE,Major,691313,08d00h01m53,0
OWB-486,TRUE,FALSE,Major,39697,00d11h01m37,0
OWB-690,TRUE,FALSE,Major,535065,06d04h37m45,0
OWB-54,FALSE,FALSE,Major,700967,08d02h42m47,0
OWB-558,TRUE,FALSE,Major,169676,01d23h07m56,0
OWB-417,FALSE,FALSE,Major,21249446,245d22h37m26,0
OWB-416,FALSE,FALSE,Major,95345,01d02h29m05,1
OWB-415,FALSE,FALSE,Major,95485,01d02h31m25,1
OWB-1084,FALSE,FALSE,Major,2642070,30d13h54m30,1
OWB-418,TRUE,FALSE,Major,34248,00d09h30m48,1
OWB-1082,TRUE,FALSE,Major,117240,01d08h34m00,0
OWB-1083,FALSE,FALSE,Major,48196,00d13h23m16,0
OWB-554,FALSE,FALSE,Major,1131384,13d02h16m24,0
OWB-329,TRUE,FALSE,Critical,750058,08d16h20m58,1
OWB-633,FALSE,FALSE,Major,1211887,14d00h38m07,0
OWB-631,FALSE,FALSE,Major,36372,00d10h06m12,0
OWB-630,TRUE,FALSE,Major,11884,00d03h18m04,0
OWB-636,FALSE,FALSE,Minor,9373971,108d11h52m51,0
OWB-634,TRUE,FALSE,Major,1192644,13d19h17m24,0
OWB-1251,FALSE,FALSE,Major,54,00d00h00m54,0
OWB-1257,FALSE,FALSE,Major,6029,00d01h40m29,0
OWB-156,FALSE,FALSE,Major,20692,00d05h44m52,0
OWB-157,TRUE,FALSE,Major,66685,00d18h31m25,0
OWB-154,TRUE,FALSE,Major,2004368,23d04h46m08,0
OWB-155,FALSE,FALSE,Major,1358,00d00h22m38,0
OWB-152,TRUE,FALSE,Major,7994949,92d12h49m09,0
OWB-258,TRUE,FALSE,Major,536,00d00h08m56,0
OWB-529,FALSE,FALSE,Major,66,00d00h01m06,0
OWB-151,TRUE,FALSE,Major,101824944,1178d12h42m24,1
OWB-524,FALSE,FALSE,Major,2336159,27d00h55m59,0
OWB-523,FALSE,FALSE,Minor,2456687,28d10h24m47,0
OWB-522,FALSE,FALSE,Minor,5296,00d01h28m16,0
OWB-521,FALSE,FALSE,Major,957,00d00h15m57,0
OWB-252,TRUE,FALSE,Major,264,00d00h04m24,0
OWB-747,TRUE,FALSE,Major,71741250,830d08h07m30,0
OWB-745,TRUE,FALSE,Major,71742158,830d08h22m38,0
OWB-743,TRUE,FALSE,Major,34932,00d09h42m12,0
OWB-742,TRUE,FALSE,Major,81685,00d22h41m25,0
OWB-675,FALSE,FALSE,Major,39415091,456d04h38m11,0
OWB-749,TRUE,FALSE,Major,3116,00d00h51m56,0
OWB-748,TRUE,FALSE,Major,1598,00d00h26m38,0
OWB-673,TRUE,FALSE,Major,3480496,40d06h48m16,1
OWB-807,TRUE,FALSE,Major,129,00d00h02m09,0
OWB-801,FALSE,FALSE,Major,202,00d00h03m22,0
OWB-802,FALSE,FALSE,Major,3869779,44d18h56m19,1
OWB-856,FALSE,FALSE,Major,1334,00d00h22m14,0
OWB-778,FALSE,FALSE,Major,307,00d00h05m07,0
OWB-733,TRUE,FALSE,Major,3959716,45d19h55m16,0
OWB-730,TRUE,FALSE,Major,8787,00d02h26m27,0
OWB-736,FALSE,FALSE,Major,351471,04d01h37m51,0
OWB-777,TRUE,FALSE,Major,36794,00d10h13m14,0
OWB-858,TRUE,FALSE,Major,119188,01d09h06m28,0
OWB-643,TRUE,FALSE,Major,3025861,35d00h31m01,0
OWB-1077,FALSE,FALSE,Major,218567,02d12h42m47,0
OWB-1076,FALSE,FALSE,Major,66283,00d18h24m43,0
OWB-764,TRUE,FALSE,Major,1138,00d00h18m58,0
OWB-1071,TRUE,FALSE,Blocker,501643,05d19h20m43,0
OWB-1177,TRUE,FALSE,Major,463,00d00h07m43,0
OWB-1175,TRUE,FALSE,Major,1283168,14d20h26m08,0
OWB-1172,FALSE,FALSE,Major,127,00d00h02m07,0
OWB-1173,TRUE,FALSE,Major,1197,00d00h19m57,0
OWB-1170,TRUE,FALSE,Major,265,00d00h04m25,0
OWB-1171,TRUE,FALSE,Major,23607858,273d05h44m18,0
OWB-995,FALSE,FALSE,Major,2809764,32d12h29m24,0
OWB-1179,TRUE,FALSE,Major,6524660,75d12h24m20,0
OWB-938,FALSE,FALSE,Major,22085809,255d14h56m49,1
OWB-939,TRUE,FALSE,Major,1192,00d00h19m52,0
OWB-930,TRUE,FALSE,Major,24796325,286d23h52m05,1
OWB-933,TRUE,FALSE,Major,40700972,471d01h49m32,0
OWB-934,TRUE,FALSE,Major,16973795,196d10h56m35,0
OWB-861,TRUE,FALSE,Major,168936,01d22h55m36,0
OWB-169,FALSE,FALSE,Major,299,00d00h04m59,0
OWB-166,TRUE,FALSE,Major,61198,00d16h59m58,0
OWB-165,FALSE,FALSE,Major,114223,01d07h43m43,1
OWB-161,TRUE,FALSE,Minor,10119,00d02h48m39,0
OWB-311,FALSE,FALSE,Major,133,00d00h02m13,0
OWB-1215,TRUE,FALSE,Major,9325527,107d22h25m27,0
OWB-689,TRUE,FALSE,Major,368317,04d06h18m37,0
OWB-1213,FALSE,FALSE,Major,861400,09d23h16m40,0
OWB-566,TRUE,FALSE,Major,54200,00d15h03m20,0
OWB-1211,TRUE,FALSE,Major,904371,10d11h12m51,0
OWB-1210,TRUE,FALSE,Major,206218,02d09h16m58,0
OWB-682,TRUE,FALSE,Major,1066,00d00h17m46,0
OWB-683,TRUE,FALSE,Major,1215009,14d01h30m09,0
OWB-680,TRUE,FALSE,Major,1353,00d00h22m33,0
OWB-681,TRUE,FALSE,Major,5074,00d01h24m34,0
OWB-686,TRUE,FALSE,Major,91,00d00h01m31,0
OWB-687,FALSE,FALSE,Major,1848,00d00h30m48,0
OWB-1219,TRUE,FALSE,Major,1827103,21d03h31m43,0
OWB-449,TRUE,FALSE,Minor,337,00d00h05m37,0
OWB-444,TRUE,FALSE,Major,18424529,213d05h55m29,0
OWB-445,TRUE,FALSE,Major,2072604,23d23h43m24,0
OWB-446,TRUE,FALSE,Major,338,00d00h05m38,0
OWB-447,TRUE,FALSE,Major,46807,00d13h00m07,0
OWB-440,FALSE,FALSE,Major,7808,00d02h10m08,0
OWB-442,FALSE,FALSE,Major,77766,00d21h36m06,0
OWB-443,TRUE,FALSE,Major,14260,00d03h57m40,0
OWB-664,TRUE,FALSE,Critical,7861765,90d23h49m25,0
