BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
PDFBOX-3404,TRUE,FALSE,Major,864718,10d00h11m58,0
PDFBOX-4366,TRUE,FALSE,Major,11984,00d03h19m44,0
PDFBOX-4367,FALSE,FALSE,Minor,524261,06d01h37m41,0
PDFBOX-4360,FALSE,FALSE,Minor,84382,00d23h26m22,0
PDFBOX-4361,FALSE,FALSE,Minor,2431,00d00h40m31,0
PDFBOX-3403,TRUE,FALSE,Major,3480556,40d06h49m16,1
PDFBOX-3408,TRUE,FALSE,Minor,280444,03d05h54m04,0
PDFBOX-3409,TRUE,FALSE,Major,241320,02d19h02m00,0
PDFBOX-3794,FALSE,FALSE,Major,196560,02d06h36m00,0
PDFBOX-3795,FALSE,FALSE,Major,218567,02d12h42m47,0
PDFBOX-506,FALSE,FALSE,Major,32216717,372d21h05m17,0
PDFBOX-3791,FALSE,FALSE,Major,54991,00d15h16m31,0
PDFBOX-503,FALSE,FALSE,Major,1704589,19d17h29m49,0
PDFBOX-3798,FALSE,FALSE,Major,90101,01d01h01m41,0
PDFBOX-3799,FALSE,FALSE,Major,38337,00d10h38m57,0
PDFBOX-3401,TRUE,FALSE,Major,43315833,501d08h10m33,0
PDFBOX-695,TRUE,FALSE,Major,1448751,16d18h25m51,0
PDFBOX-3881,FALSE,FALSE,Minor,110863,01d06h47m43,0
PDFBOX-3884,TRUE,FALSE,Minor,154554,01d18h55m54,0
PDFBOX-3887,FALSE,FALSE,Major,70224,00d19h30m24,0
PDFBOX-981,TRUE,FALSE,Major,422743,04d21h25m43,0
PDFBOX-3067,FALSE,FALSE,Major,52847,00d14h40m47,0
PDFBOX-935,TRUE,FALSE,Major,198253,02d07h04m13,0
PDFBOX-988,TRUE,TRUE,Major,75046890,868d14h21m30,0
PDFBOX-4218,FALSE,FALSE,Minor,575,00d00h09m35,0
PDFBOX-4219,FALSE,FALSE,Major,9245463,107d00h11m03,0
PDFBOX-2330,FALSE,FALSE,Trivial,9037,00d02h30m37,0
PDFBOX-3249,FALSE,FALSE,Major,732,00d00h12m12,0
PDFBOX-3530,TRUE,FALSE,Major,83108,00d23h05m08,0
PDFBOX-3531,FALSE,FALSE,Major,92677,01d01h44m37,0
PDFBOX-3532,FALSE,FALSE,Major,1415078,16d09h04m38,1
PDFBOX-3534,TRUE,TRUE,Trivial,65926,00d18h18m46,0
PDFBOX-3535,TRUE,TRUE,Trivial,62986,00d17h29m46,0
PDFBOX-3536,FALSE,FALSE,Major,20810027,240d20h33m47,0
PDFBOX-438,FALSE,FALSE,Major,605278,07d00h07m58,1
PDFBOX-349,FALSE,FALSE,Major,20724131,239d20h42m11,0
PDFBOX-347,FALSE,FALSE,Minor,20724499,239d20h48m19,0
PDFBOX-3081,TRUE,FALSE,Major,384,00d00h06m24,0
PDFBOX-3082,TRUE,FALSE,Blocker,1351961,15d15h32m41,0
PDFBOX-3083,FALSE,FALSE,Critical,39759,00d11h02m39,0
PDFBOX-3087,TRUE,FALSE,Minor,3243,00d00h54m03,0
PDFBOX-504,FALSE,FALSE,Critical,1305326,15d02h35m26,0
PDFBOX-183,TRUE,FALSE,Minor,89020478,1030d07h54m38,0
PDFBOX-2421,FALSE,FALSE,Major,5868217,67d22h03m37,0
PDFBOX-2420,FALSE,FALSE,Major,58078280,672d04h51m20,0
PDFBOX-2930,TRUE,FALSE,Major,7410001,85d18h20m01,0
PDFBOX-2937,TRUE,FALSE,Major,14012,00d03h53m32,0
PDFBOX-2936,FALSE,FALSE,Major,312304,03d14h45m04,0
PDFBOX-2935,FALSE,FALSE,Major,274673,03d04h17m53,1
PDFBOX-2426,FALSE,FALSE,Major,71077,00d19h44m37,0
PDFBOX-2429,FALSE,FALSE,Major,7965,00d02h12m45,1
PDFBOX-2939,FALSE,FALSE,Major,36348,00d10h05m48,0
PDFBOX-2759,TRUE,FALSE,Major,2437,00d00h40m37,0
PDFBOX-2201,FALSE,FALSE,Minor,169136,01d22h58m56,0
PDFBOX-2203,FALSE,FALSE,Major,291,00d00h04m51,0
PDFBOX-2750,FALSE,FALSE,Major,102890,01d04h34m50,0
PDFBOX-2204,FALSE,FALSE,Major,34093500,394d14h25m00,0
PDFBOX-2207,FALSE,FALSE,Major,14778,00d04h06m18,0
PDFBOX-2206,FALSE,FALSE,Major,7854123,90d21h42m03,0
PDFBOX-3332,TRUE,FALSE,Critical,11816740,136d18h25m40,1
PDFBOX-3333,TRUE,FALSE,Critical,206725,02d09h25m25,1
PDFBOX-3336,FALSE,FALSE,Blocker,81936,00d22h45m36,0
PDFBOX-3337,TRUE,FALSE,Major,4022767,46d13h26m07,0
PDFBOX-3335,FALSE,FALSE,Major,4315726,49d22h48m46,0
PDFBOX-3338,TRUE,FALSE,Major,2273801,26d07h36m41,0
PDFBOX-239,FALSE,FALSE,Minor,239299104,2769d15h58m24,1
