BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
PHOENIX-2333,FALSE,FALSE,Major,2785,00d00h46m25,0
PHOENIX-2181,FALSE,FALSE,Major,57529,00d15h58m49,0
PHOENIX-2711,FALSE,FALSE,Minor,4678,00d01h17m58,0
PHOENIX-3907,FALSE,FALSE,Major,441379,05d02h36m19,0
PHOENIX-3904,TRUE,FALSE,Major,96533,01d02h48m53,0
PHOENIX-3900,FALSE,FALSE,Major,85668,00d23h47m48,0
PHOENIX-3901,FALSE,FALSE,Major,2013,00d00h33m33,0
PHOENIX-5444,FALSE,FALSE,Trivial,134749,01d13h25m49,0
PHOENIX-3895,FALSE,FALSE,Major,254543,02d22h42m23,0
PHOENIX-2470,FALSE,FALSE,Major,1690149,19d13h29m09,0
PHOENIX-4143,FALSE,FALSE,Major,110845,01d06h47m25,0
PHOENIX-4141,TRUE,FALSE,Major,1277856,14d18h57m36,1
PHOENIX-4669,FALSE,FALSE,Major,1605855,18d14h04m15,0
PHOENIX-4662,TRUE,FALSE,Major,233821,02d16h57m01,0
PHOENIX-4660,TRUE,FALSE,Major,520325,06d00h32m05,0
PHOENIX-4661,FALSE,FALSE,Major,209278,02d10h07m58,1
PHOENIX-2057,FALSE,FALSE,Major,690921,07d23h55m21,0
PHOENIX-2056,TRUE,FALSE,Major,693038,08d00h30m38,0
PHOENIX-2055,FALSE,FALSE,Major,694198,08d00h49m58,0
PHOENIX-2506,FALSE,FALSE,Major,1033,00d00h17m13,0
PHOENIX-3050,TRUE,FALSE,Minor,44765665,518d02h54m25,0
PHOENIX-2111,TRUE,FALSE,Major,156132,01d19h22m12,0
PHOENIX-3054,TRUE,FALSE,Minor,5298266,61d07h44m26,0
PHOENIX-2824,TRUE,FALSE,Major,2428848,28d02h40m48,0
PHOENIX-3759,FALSE,FALSE,Major,1416235,16d09h23m55,0
PHOENIX-3057,FALSE,FALSE,Trivial,171670,01d23h41m10,0
PHOENIX-3757,TRUE,FALSE,Critical,18147887,210d01h04m47,0
PHOENIX-3756,TRUE,FALSE,Major,531610,06d03h40m10,0
PHOENIX-2118,TRUE,FALSE,Major,7445,00d02h04m05,0
PHOENIX-3751,FALSE,FALSE,Major,2466309,28d13h05m09,0
PHOENIX-861,TRUE,FALSE,Minor,9929,00d02h45m29,0
PHOENIX-3112,TRUE,FALSE,Blocker,37580168,434d22h56m08,0
PHOENIX-5084,FALSE,FALSE,Blocker,475316,05d12h01m56,0
PHOENIX-1930,FALSE,FALSE,Critical,173398,02d00h09m58,2
PHOENIX-966,TRUE,FALSE,Major,995985,11d12h39m45,0
PHOENIX-4007,TRUE,FALSE,Major,6740197,78d00h16m37,0
PHOENIX-965,FALSE,FALSE,Major,9010358,104d06h52m38,0
PHOENIX-1976,FALSE,FALSE,Minor,1476896,17d02h14m56,1
PHOENIX-1979,TRUE,FALSE,Major,427647,04d22h47m27,0
PHOENIX-1978,TRUE,FALSE,Major,1786336,20d16h12m16,0
PHOENIX-1872,TRUE,FALSE,Minor,177936,02d01h25m36,0
PHOENIX-1873,TRUE,FALSE,Major,511987,05d22h13m07,0
PHOENIX-991,FALSE,FALSE,Critical,167419,01d22h30m19,0
PHOENIX-4008,TRUE,FALSE,Major,38103646,441d00h20m46,0
PHOENIX-4009,TRUE,FALSE,Major,49202934,569d11h28m54,0
PHOENIX-1401,TRUE,FALSE,Major,90476,01d01h07m56,0
PHOENIX-1400,FALSE,FALSE,Major,20753,00d05h45m53,0
PHOENIX-1403,FALSE,FALSE,Major,30358,00d08h25m58,0
PHOENIX-1402,TRUE,FALSE,Major,254551,02d22h42m31,0
PHOENIX-1405,FALSE,FALSE,Major,237498,02d17h58m18,0
PHOENIX-3522,TRUE,FALSE,Major,250465,02d21h34m25,0
PHOENIX-1407,TRUE,FALSE,Major,229606,02d15h46m46,0
PHOENIX-1406,FALSE,FALSE,Major,27182,00d07h33m02,0
PHOENIX-1408,FALSE,FALSE,Major,2423965,28d01h19m25,0
PHOENIX-2374,TRUE,FALSE,Major,2259772,26d03h42m52,0
PHOENIX-2372,FALSE,FALSE,Major,860260,09d22h57m40,0
PHOENIX-2918,TRUE,FALSE,Major,662,00d00h11m02,0
PHOENIX-2600,FALSE,FALSE,Major,24839,00d06h53m59,0
PHOENIX-2474,FALSE,FALSE,Major,23740017,274d18h26m57,0
PHOENIX-2477,FALSE,FALSE,Critical,184716,02d03h18m36,0
PHOENIX-2919,FALSE,FALSE,Major,1115249,12d21h47m29,0
PHOENIX-2578,FALSE,FALSE,Major,475,00d00h07m55,0
PHOENIX-2579,FALSE,FALSE,Major,403046,04d15h57m26,1
PHOENIX-2575,FALSE,FALSE,Major,4900026,56d17h07m06,1
PHOENIX-2576,FALSE,FALSE,Major,1875,00d00h31m15,0
PHOENIX-2577,FALSE,FALSE,Major,156996,01d19h36m36,0
PHOENIX-2570,TRUE,FALSE,Major,485955,05d14h59m15,0
PHOENIX-2573,FALSE,FALSE,Major,432242,05d00h04m02,0
PHOENIX-2879,FALSE,FALSE,Major,86916,01d00h08m36,0
PHOENIX-1581,TRUE,FALSE,Major,241695,02d19h08m15,0
PHOENIX-2884,TRUE,FALSE,Trivial,609951,07d01h25m51,0
PHOENIX-1586,FALSE,FALSE,Major,50930,00d14h08m50,0
PHOENIX-4441,FALSE,FALSE,Major,53103,00d14h45m03,0
PHOENIX-2871,FALSE,FALSE,Major,614,00d00h10m14,0
PHOENIX-2872,TRUE,FALSE,Major,1026,00d00h17m06,0
PHOENIX-4560,TRUE,FALSE,Major,241919,02d19h11m59,0
PHOENIX-4449,FALSE,FALSE,Critical,173169,02d00h06m09,0
PHOENIX-2887,FALSE,FALSE,Critical,493225,05d17h00m25,0
PHOENIX-2975,FALSE,FALSE,Major,23421416,271d01h56m56,0
PHOENIX-3556,FALSE,FALSE,Critical,24265061,280d20h17m41,0
PHOENIX-4255,FALSE,FALSE,Major,312,00d00h05m12,0
PHOENIX-2602,FALSE,FALSE,Major,2668911,30d21h21m51,1
PHOENIX-1904,FALSE,TRUE,Major,166011,01d22h06m51,0
PHOENIX-4098,TRUE,FALSE,Major,2325,00d00h38m45,0
PHOENIX-911,FALSE,FALSE,Major,1719018,19d21h30m18,0
PHOENIX-2911,TRUE,FALSE,Major,93660,01d02h01m00,0
PHOENIX-44,FALSE,FALSE,Minor,201036,02d07h50m36,0
PHOENIX-1273,TRUE,FALSE,Minor,191577,02d05h12m57,0
PHOENIX-915,FALSE,FALSE,Major,1313547,15d04h52m27,0
