BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
PIG-4690,TRUE,TRUE,Major,11046117,127d20h21m57,0
PIG-4691,TRUE,FALSE,Major,81811,00d22h43m31,0
PIG-4696,FALSE,FALSE,Minor,77953,00d21h39m13,0
PIG-5055,FALSE,FALSE,Major,155351,01d19h09m11,0
PIG-2430,TRUE,FALSE,Major,1949098,22d13h24m58,0
PIG-5056,FALSE,FALSE,Major,123422,01d10h17m02,0
PIG-4502,FALSE,FALSE,Major,225,00d00h03m45,0
PIG-4503,FALSE,FALSE,Major,706143,08d04h09m03,0
PIG-1024,FALSE,FALSE,Major,70708,00d19h38m28,0
PIG-4505,FALSE,FALSE,Major,228712,02d15h31m52,0
PIG-4506,FALSE,FALSE,Major,3073977,35d13h52m57,0
PIG-1027,TRUE,FALSE,Minor,348887,04d00h54m47,0
PIG-4508,FALSE,FALSE,Major,82309,00d22h51m49,0
PIG-4509,FALSE,FALSE,Major,60656,00d16h50m56,0
PIG-4055,FALSE,FALSE,Trivial,15854,00d04h24m14,0
PIG-4052,TRUE,FALSE,Critical,1469385,17d00h09m45,0
PIG-4053,TRUE,FALSE,Critical,1468818,17d00h00m18,0
PIG-4050,FALSE,FALSE,Major,7105650,82d05h47m30,0
PIG-3882,TRUE,FALSE,Major,53131,00d14h45m31,0
PIG-3887,TRUE,FALSE,Major,72255,00d20h04m15,0
PIG-4184,TRUE,FALSE,Major,2515287,29d02h41m27,0
PIG-3889,FALSE,FALSE,Major,103656,01d04h47m36,0
PIG-4186,FALSE,FALSE,Major,8936,00d02h28m56,0
PIG-4187,TRUE,FALSE,Major,38109,00d10h35m09,0
PIG-4180,FALSE,FALSE,Major,965776,11d04h16m16,0
PIG-4181,FALSE,FALSE,Major,2365473,27d09h04m33,0
PIG-4182,FALSE,FALSE,Major,3960979,45d20h16m19,1
PIG-1335,TRUE,FALSE,Major,345517,03d23h58m37,0
PIG-1022,TRUE,FALSE,Major,4154925,48d02h08m45,0
PIG-4058,TRUE,FALSE,Major,11073,00d03h04m33,0
PIG-3664,FALSE,FALSE,Blocker,171421,01d23h37m01,0
PIG-3661,TRUE,TRUE,Major,1311675,15d04h21m15,0
PIG-3662,FALSE,FALSE,Major,6461,00d01h47m41,0
PIG-4056,FALSE,FALSE,Major,422746,04d21h25m46,0
PIG-5127,FALSE,FALSE,Major,138508,01d14h28m28,0
PIG-4057,TRUE,FALSE,Major,1155756,13d09h02m36,0
PIG-2590,FALSE,FALSE,Major,167409,01d22h30m09,0
PIG-2593,FALSE,FALSE,Major,7338559,84d22h29m19,0
