BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
PIVOT-975,TRUE,FALSE,Minor,4844066,56d01h34m26,0
PIVOT-399,FALSE,FALSE,Minor,17069491,197d13h31m31,1
PIVOT-392,TRUE,FALSE,Major,17581042,203d11h37m22,1
PIVOT-393,TRUE,FALSE,Major,6833774,79d02h16m14,1
PIVOT-390,FALSE,FALSE,Major,20403918,236d03h45m18,0
PIVOT-554,FALSE,FALSE,Minor,609259,07d01h14m19,0
PIVOT-949,TRUE,FALSE,Major,36748922,425d08h02m02,0
PIVOT-948,FALSE,FALSE,Minor,71611625,828d20h07m05,0
PIVOT-417,FALSE,FALSE,Minor,2906559,33d15h22m39,0
PIVOT-976,TRUE,FALSE,Minor,26628573,308d04h49m33,0
PIVOT-413,FALSE,FALSE,Major,840,00d00h14m00,0
PIVOT-268,FALSE,FALSE,Minor,535761,06d04h49m21,0
PIVOT-269,TRUE,FALSE,Minor,1537,00d00h25m37,0
PIVOT-266,TRUE,FALSE,Minor,12763,00d03h32m43,0
PIVOT-267,TRUE,FALSE,Major,12670,00d03h31m10,0
PIVOT-264,FALSE,FALSE,Major,1045,00d00h17m25,0
PIVOT-265,TRUE,FALSE,Major,12801,00d03h33m21,0
PIVOT-996,TRUE,FALSE,Major,4163625,48d04h33m45,0
PIVOT-716,TRUE,FALSE,Critical,23762,00d06h36m02,0
PIVOT-872,FALSE,FALSE,Major,70996,00d19h43m16,0
PIVOT-714,FALSE,FALSE,Minor,442261,05d02h51m01,0
PIVOT-715,FALSE,FALSE,Minor,302623,03d12h03m43,0
PIVOT-876,FALSE,FALSE,Major,629894,07d06h58m14,0
PIVOT-659,FALSE,FALSE,Major,23504730,272d01h05m30,0
PIVOT-874,TRUE,FALSE,Minor,183294,02d02h54m54,0
PIVOT-657,TRUE,FALSE,Major,4001,00d01h06m41,0
PIVOT-990,FALSE,FALSE,Minor,35602399,412d01h33m19,1
PIVOT-499,FALSE,FALSE,Minor,28788882,333d04h54m42,0
PIVOT-652,FALSE,FALSE,Major,2669,00d00h44m29,0
PIVOT-651,FALSE,FALSE,Major,171224,01d23h33m44,0
PIVOT-719,FALSE,FALSE,Minor,524329,06d01h38m49,0
PIVOT-811,TRUE,FALSE,Minor,16981516,196d13h05m16,0
PIVOT-815,FALSE,FALSE,Major,1248052,14d10h40m52,1
PIVOT-814,FALSE,FALSE,Minor,34302,00d09h31m42,0
PIVOT-76,FALSE,FALSE,Major,64,00d00h01m04,0
PIVOT-166,TRUE,FALSE,Major,81978,00d22h46m18,1
PIVOT-71,FALSE,FALSE,Minor,3485,00d00h58m05,0
PIVOT-951,TRUE,FALSE,Major,584373,06d18h19m33,0
PIVOT-953,FALSE,FALSE,Minor,253650,02d22h27m30,0
PIVOT-954,FALSE,FALSE,Minor,769,00d00h12m49,0
PIVOT-291,FALSE,FALSE,Minor,8389,00d02h19m49,0
PIVOT-406,FALSE,FALSE,Minor,56246344,650d23h59m04,0
PIVOT-959,FALSE,FALSE,Minor,345814,04d00h03m34,0
PIVOT-892,TRUE,FALSE,Minor,774379,08d23h06m19,0
PIVOT-253,TRUE,FALSE,Trivial,101422,01d04h10m22,0
PIVOT-252,TRUE,FALSE,Major,5029,00d01h23m49,0
PIVOT-255,FALSE,FALSE,Trivial,52495,00d14h34m55,0
PIVOT-254,TRUE,FALSE,Major,5891396,68d04h29m56,0
PIVOT-258,TRUE,FALSE,Minor,7680,00d02h08m00,0
PIVOT-726,TRUE,FALSE,Minor,55309,00d15h21m49,0
PIVOT-725,FALSE,FALSE,Major,349225,04d01h00m25,0
PIVOT-724,FALSE,FALSE,Minor,418118,04d20h08m38,0
PIVOT-486,FALSE,FALSE,Major,1944,00d00h32m24,0
PIVOT-487,TRUE,FALSE,Major,10978655,127d01h37m35,0
PIVOT-484,FALSE,FALSE,Major,27262,00d07h34m22,0
PIVOT-1018,FALSE,FALSE,Minor,68078,00d18h54m38,0
PIVOT-860,FALSE,FALSE,Major,3042398,35d05h06m38,0
PIVOT-861,FALSE,FALSE,Major,20769322,240d09h15m22,1
PIVOT-646,TRUE,FALSE,Major,24096,00d06h41m36,0
PIVOT-647,FALSE,FALSE,Minor,21463770,248d10h09m30,0
PIVOT-319,FALSE,FALSE,Major,2690538,31d03h22m18,1
PIVOT-1016,FALSE,FALSE,Minor,60222,00d16h43m42,0
PIVOT-489,FALSE,FALSE,Minor,1261,00d00h21m01,0
PIVOT-803,FALSE,FALSE,Minor,553077,06d09h37m57,0
PIVOT-800,TRUE,FALSE,Major,13328743,154d06h25m43,0
PIVOT-552,TRUE,FALSE,Major,5090,00d01h24m50,0
PIVOT-804,FALSE,FALSE,Minor,134,00d00h02m14,0
PIVOT-65,TRUE,FALSE,Minor,2825588,32d16h53m08,0
PIVOT-809,TRUE,FALSE,Minor,210861,02d10h34m21,0
PIVOT-925,FALSE,FALSE,Minor,12622991,146d02h23m11,0
PIVOT-927,FALSE,FALSE,Major,15684552,181d12h49m12,1
PIVOT-437,FALSE,FALSE,Minor,5659740,65d12h09m00,2
PIVOT-923,FALSE,FALSE,Minor,25322579,293d02h02m59,1
PIVOT-922,FALSE,FALSE,Minor,1483634,17d04h07m14,0
PIVOT-880,FALSE,FALSE,Minor,69668,00d19h21m08,0
PIVOT-438,FALSE,FALSE,Minor,201499,02d07h58m19,0
PIVOT-887,TRUE,FALSE,Minor,91834,01d01h30m34,0
PIVOT-533,TRUE,FALSE,Minor,501701,05d19h21m41,0
PIVOT-738,TRUE,FALSE,Minor,32217106,372d21h11m46,0
PIVOT-241,TRUE,FALSE,Minor,140784,01d15h06m24,0
PIVOT-829,FALSE,FALSE,Minor,70701,00d19h38m21,0
PIVOT-734,TRUE,FALSE,Minor,214757221,2485d14h47m01,1
PIVOT-735,TRUE,FALSE,Major,416938,04d19h48m58,0
PIVOT-737,TRUE,FALSE,Major,1824671,21d02h51m11,1
PIVOT-730,TRUE,FALSE,Minor,237006,02d17h50m06,0
PIVOT-249,FALSE,FALSE,Trivial,7035957,81d10h25m57,0
PIVOT-485,FALSE,FALSE,Major,712766,08d05h59m26,0
PIVOT-323,FALSE,FALSE,Critical,10028,00d02h47m08,0
PIVOT-630,FALSE,FALSE,Major,305727,03d12h55m27,0
PIVOT-167,FALSE,FALSE,Minor,132,00d00h02m12,0
PIVOT-213,TRUE,FALSE,Major,379909,04d09h31m49,0
PIVOT-329,FALSE,FALSE,Major,9041,00d02h30m41,0
PIVOT-837,TRUE,FALSE,Minor,2222222,25d17h17m02,1
PIVOT-835,TRUE,FALSE,Major,698721,08d02h05m21,0
PIVOT-832,TRUE,FALSE,Minor,11081620,128d06h13m40,0
PIVOT-932,FALSE,FALSE,Minor,35833,00d09h57m13,0
PIVOT-52,FALSE,FALSE,Major,159571,01d20h19m31,0
PIVOT-938,FALSE,FALSE,Major,1586059,18d08h34m19,0
PIVOT-507,TRUE,FALSE,Minor,2226948,25d18h35m48,0
PIVOT-339,FALSE,FALSE,Minor,1156980,13d09h23m00,0
PIVOT-503,FALSE,FALSE,Major,24015,00d06h40m15,1
PIVOT-501,FALSE,FALSE,Minor,24021,00d06h40m21,0
PIVOT-335,FALSE,FALSE,Major,7695,00d02h08m15,0
