BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
POLYGENE-235,FALSE,FALSE,Major,37733,00d10h28m53,0
POLYGENE-142,TRUE,FALSE,Critical,3797,00d01h03m17,0
POLYGENE-237,FALSE,FALSE,Major,54827,00d15h13m47,0
POLYGENE-260,TRUE,FALSE,Major,10777,00d02h59m37,0
POLYGENE-261,TRUE,FALSE,Major,21420,00d05h57m00,0
POLYGENE-253,TRUE,FALSE,Major,30751577,355d22h06m17,0
POLYGENE-234,TRUE,FALSE,Major,38237,00d10h37m17,0
POLYGENE-251,TRUE,FALSE,Blocker,163988,01d21h33m08,0
POLYGENE-236,FALSE,FALSE,Minor,55356,00d15h22m36,0
POLYGENE-257,TRUE,FALSE,Major,404766,04d16h26m06,0
POLYGENE-256,FALSE,FALSE,Major,116176,01d08h16m16,0
POLYGENE-223,FALSE,FALSE,Major,2344552,27d03h15m52,0
POLYGENE-172,TRUE,FALSE,Major,23628023,273d11h20m23,0
POLYGENE-54,TRUE,FALSE,Major,55363108,640d18h38m28,0
POLYGENE-120,TRUE,FALSE,Major,53235460,616d03h37m40,0
POLYGENE-224,FALSE,FALSE,Major,387550,04d11h39m10,0
