BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
RAMPART-334,FALSE,FALSE,Major,6203854,71d19h17m34,0
RAMPART-336,FALSE,FALSE,Major,847921,09d19h32m01,0
RAMPART-331,FALSE,FALSE,Minor,182557496,2112d22h24m56,0
RAMPART-338,FALSE,FALSE,Major,7055447,81d15h50m47,0
RAMPART-139,TRUE,FALSE,Major,269857,03d02h57m37,0
RAMPART-138,TRUE,FALSE,Major,21265,00d05h54m25,0
RAMPART-230,FALSE,FALSE,Major,6481712,75d00h28m32,0
RAMPART-232,FALSE,FALSE,Major,519048,06d00h10m48,0
RAMPART-78,FALSE,FALSE,Major,11310195,130d21h43m15,0
RAMPART-132,FALSE,FALSE,Critical,59290,00d16h28m10,0
RAMPART-131,TRUE,FALSE,Major,254976,02d22h49m36,0
RAMPART-136,FALSE,FALSE,Major,91470012,1058d16h20m12,1
RAMPART-71,FALSE,FALSE,Critical,5567,00d01h32m47,0
RAMPART-204,FALSE,FALSE,Major,19676799,227d17h46m39,0
RAMPART-280,TRUE,FALSE,Major,28237196,326d19h39m56,0
RAMPART-283,FALSE,FALSE,Major,26613946,308d00h45m46,0
RAMPART-285,FALSE,FALSE,Major,26444890,306d01h48m10,0
RAMPART-288,FALSE,FALSE,Major,25238239,292d02h37m19,0
RAMPART-326,FALSE,FALSE,Major,7962829,92d03h53m49,0
RAMPART-327,FALSE,FALSE,Major,7764572,89d20h49m32,0
RAMPART-324,FALSE,FALSE,Major,20269384,234d14h23m04,0
RAMPART-160,FALSE,FALSE,Major,24492,00d06h48m12,0
RAMPART-202,TRUE,FALSE,Major,68319937,790d17h45m37,0
AXIS2-5761,FALSE,FALSE,Major,525244,06d01h54m04,0
RAMPART-82,FALSE,FALSE,Trivial,596282,06d21h38m02,0
RAMPART-86,FALSE,FALSE,Major,512615,05d22h23m35,0
RAMPART-123,FALSE,FALSE,Major,2940604,34d00h50m04,0
RAMPART-125,TRUE,FALSE,Major,2000924,23d03h48m44,0
RAMPART-127,TRUE,FALSE,Critical,17880,00d04h58m00,0
WSS-52,FALSE,FALSE,Major,54004250,625d01h10m50,0
RAMPART-293,FALSE,FALSE,Major,21108480,244d07h28m00,0
RAMPART-290,FALSE,FALSE,Major,23456509,271d11h41m49,0
RAMPART-358,TRUE,FALSE,Major,16073186,186d00h46m26,0
RAMPART-357,FALSE,FALSE,Major,783246,09d01h34m06,0
