BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
RANGER-472,FALSE,FALSE,Major,576525,06d16h08m45,0
RANGER-1424,FALSE,FALSE,Minor,86196,00d23h56m36,0
RANGER-1713,TRUE,TRUE,Major,330719,03d19h51m59,0
RANGER-1422,FALSE,FALSE,Major,385821,04d11h10m21,0
RANGER-476,FALSE,FALSE,Major,439400,05d02h03m20,0
RANGER-1420,FALSE,FALSE,Major,262780,03d00h59m40,0
RANGER-474,FALSE,FALSE,Major,534025,06d04h20m25,0
RANGER-570,TRUE,FALSE,Critical,5589,00d01h33m09,0
RANGER-571,TRUE,FALSE,Major,1992,00d00h33m12,0
RANGER-576,FALSE,FALSE,Major,15948,00d04h25m48,0
RANGER-471,FALSE,FALSE,Major,3431,00d00h57m11,0
RANGER-1428,TRUE,FALSE,Major,267948,03d02h25m48,0
RANGER-575,FALSE,FALSE,Blocker,4374,00d01h12m54,0
RANGER-1251,TRUE,FALSE,Critical,506759,05d20h45m59,0
RANGER-2031,FALSE,FALSE,Major,42953,00d11h55m53,0
RANGER-1253,FALSE,FALSE,Major,567990,06d13h46m30,0
RANGER-2033,FALSE,FALSE,Major,584533,06d18h22m13,0
RANGER-1255,FALSE,FALSE,Major,374422,04d08h00m22,0
RANGER-2035,FALSE,FALSE,Major,428362,04d22h59m22,0
RANGER-2036,FALSE,FALSE,Major,1040603,12d01h03m23,0
RANGER-2037,FALSE,FALSE,Major,3646,00d01h00m46,0
RANGER-2038,TRUE,FALSE,Major,70343,00d19h32m23,0
RANGER-2039,TRUE,FALSE,Major,778239,09d00h10m39,0
RANGER-1150,FALSE,FALSE,Minor,5118683,59d05h51m23,0
RANGER-188,FALSE,FALSE,Major,1119648,12d23h00m48,0
RANGER-1156,FALSE,FALSE,Major,6080,00d01h41m20,0
RANGER-1155,FALSE,FALSE,Minor,413610,04d18h53m30,0
RANGER-475,TRUE,FALSE,Major,58610,00d16h16m50,0
RANGER-1561,FALSE,FALSE,Major,17738,00d04h55m38,0
RANGER-1499,FALSE,FALSE,Major,1864814,21d14h00m14,0
RANGER-508,FALSE,FALSE,Major,153819,01d18h43m39,0
RANGER-507,TRUE,FALSE,Major,13124,00d03h38m44,0
RANGER-506,FALSE,FALSE,Major,487399,05d15h23m19,0
RANGER-505,FALSE,FALSE,Major,233562,02d16h52m42,0
RANGER-504,FALSE,FALSE,Major,25028,00d06h57m08,0
RANGER-503,FALSE,FALSE,Major,313688,03d15h08m08,0
RANGER-502,TRUE,FALSE,Major,68936,00d19h08m56,0
RANGER-501,FALSE,FALSE,Major,6370678,73d17h37m58,0
RANGER-863,FALSE,FALSE,Major,331641,03d20h07m21,0
RANGER-1690,FALSE,FALSE,Major,1335604,15d11h00m04,1
RANGER-1693,FALSE,FALSE,Major,164128,01d21h35m28,0
RANGER-1519,FALSE,FALSE,Major,152453,01d18h20m53,0
RANGER-1695,TRUE,FALSE,Major,762250,08d19h44m10,0
RANGER-1696,TRUE,FALSE,Major,615142,07d02h52m22,0
RANGER-1512,FALSE,FALSE,Minor,28324830,327d20h00m30,0
RANGER-1698,FALSE,FALSE,Critical,434005,05d00h33m25,0
RANGER-981,FALSE,FALSE,Minor,274618,03d04h16m58,0
RANGER-1511,FALSE,FALSE,Major,103025,01d04h37m05,0
RANGER-1517,FALSE,FALSE,Minor,156421,01d19h27m01,0
RANGER-1515,FALSE,FALSE,Major,318858,03d16h34m18,0
RANGER-1453,FALSE,FALSE,Major,29244,00d08h07m24,0
RANGER-1452,FALSE,FALSE,Minor,544147,06d07h09m07,0
RANGER-1451,FALSE,FALSE,Major,96380,01d02h46m20,0
RANGER-2270,FALSE,FALSE,Major,213131,02d11h12m11,0
RANGER-1456,FALSE,FALSE,Major,154440,01d18h54m00,0
RANGER-1455,FALSE,FALSE,Major,2061613,23d20h40m13,0
RANGER-1459,FALSE,FALSE,Major,92162,01d01h36m02,0
RANGER-1458,FALSE,FALSE,Major,77204,00d21h26m44,0
RANGER-1325,TRUE,FALSE,Minor,997738,11d13h08m58,0
RANGER-1324,TRUE,FALSE,Major,218115,02d12h35m15,0
RANGER-2327,FALSE,FALSE,Major,64028,00d17h47m08,0
RANGER-2089,FALSE,FALSE,Major,9146,00d02h32m26,0
RANGER-2321,FALSE,FALSE,Major,544321,06d07h12m01,0
RANGER-1250,FALSE,FALSE,Major,838601,09d16h56m41,0
RANGER-2085,FALSE,FALSE,Major,1762659,20d09h37m39,0
RANGER-2084,TRUE,FALSE,Major,26058,00d07h14m18,0
RANGER-2087,FALSE,FALSE,Major,5118,00d01h25m18,0
RANGER-2086,FALSE,FALSE,Major,10677,00d02h57m57,0
RANGER-2328,FALSE,FALSE,Major,11354,00d03h09m14,0
RANGER-2080,FALSE,FALSE,Major,252063,02d22h01m03,0
RANGER-2083,FALSE,FALSE,Major,1210930,14d00h22m10,0
RANGER-378,FALSE,FALSE,Major,186794,02d03h53m14,0
RANGER-379,FALSE,FALSE,Major,49344,00d13h42m24,0
RANGER-240,TRUE,FALSE,Major,395349,04d13h49m09,0
RANGER-370,FALSE,FALSE,Major,19016,00d05h16m56,0
RANGER-371,TRUE,FALSE,Major,31275,00d08h41m15,0
RANGER-373,TRUE,FALSE,Major,37816,00d10h30m16,0
RANGER-375,FALSE,FALSE,Major,21917,00d06h05m17,0
RANGER-1254,FALSE,FALSE,Major,215815,02d11h56m55,0
RANGER-1934,FALSE,FALSE,Minor,236683,02d17h44m43,0
RANGER-1931,TRUE,FALSE,Major,21805,00d06h03m25,0
RANGER-1932,TRUE,FALSE,Major,1726759,19d23h39m19,0
RANGER-1256,FALSE,FALSE,Major,79479,00d22h04m39,0
RANGER-294,FALSE,FALSE,Major,114340,01d07h45m40,0
RANGER-724,FALSE,FALSE,Minor,31901,00d08h51m41,0
RANGER-280,FALSE,FALSE,Minor,1793096,20d18h04m56,0
RANGER-1259,FALSE,FALSE,Major,510763,05d21h52m43,0
RANGER-1608,TRUE,FALSE,Major,250891,02d21h41m31,0
RANGER-1153,FALSE,FALSE,Major,606282,07d00h24m42,0
RANGER-1607,FALSE,FALSE,Major,12431,00d03h27m11,0
RANGER-1604,FALSE,FALSE,Minor,1730336,20d00h38m56,0
RANGER-1605,FALSE,FALSE,Minor,61026,00d16h57m06,0
RANGER-1602,FALSE,FALSE,Major,72070,00d20h01m10,0
RANGER-1603,FALSE,FALSE,Major,8634,00d02h23m54,0
RANGER-1600,FALSE,FALSE,Major,1557436,18d00h37m16,0
RANGER-1601,FALSE,FALSE,Trivial,48472,00d13h27m52,0
RANGER-976,FALSE,FALSE,Major,3170167,36d16h36m07,0
RANGER-2259,FALSE,FALSE,Major,26587,00d07h23m07,0
RANGER-974,FALSE,FALSE,Major,351200,04d01h33m20,0
RANGER-2554,FALSE,FALSE,Major,1236681,14d07h31m21,0
