BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
RAVE-117,FALSE,FALSE,Major,2919827,33d19h03m47,0
RAVE-445,FALSE,FALSE,Trivial,673,00d00h11m13,0
RAVE-600,FALSE,FALSE,Minor,160,00d00h02m40,0
RAVE-351,FALSE,FALSE,Major,286126,03d07h28m46,0
RAVE-197,TRUE,FALSE,Critical,154,00d00h02m34,0
RAVE-762,TRUE,FALSE,Major,9170,00d02h32m50,0
RAVE-763,FALSE,FALSE,Major,9101,00d02h31m41,0
RAVE-801,FALSE,FALSE,Trivial,1854,00d00h30m54,0
RAVE-805,TRUE,FALSE,Minor,611763,07d01h56m03,1
RAVE-804,FALSE,FALSE,Minor,285,00d00h04m45,0
RAVE-292,FALSE,FALSE,Major,88039,01d00h27m19,1
RAVE-291,TRUE,FALSE,Major,865877,10d00h31m17,0
RAVE-1090,FALSE,FALSE,Major,17189665,198d22h54m25,0
RAVE-722,FALSE,FALSE,Major,17164,00d04h46m04,0
RAVE-889,FALSE,FALSE,Major,60666,00d16h51m06,0
RAVE-1093,FALSE,FALSE,Major,14878145,172d04h49m05,0
RAVE-920,FALSE,FALSE,Major,51207,00d14h13m27,0
RAVE-921,FALSE,FALSE,Major,17285,00d04h48m05,0
RAVE-1097,FALSE,FALSE,Trivial,2164301,25d01h11m41,0
RAVE-512,FALSE,FALSE,Minor,6521,00d01h48m41,0
RAVE-884,FALSE,FALSE,Major,248996,02d21h09m56,0
RAVE-208,TRUE,FALSE,Minor,506,00d00h08m26,0
RAVE-364,FALSE,FALSE,Minor,5139,00d01h25m39,0
RAVE-478,TRUE,FALSE,Critical,75182,00d20h53m02,0
RAVE-118,FALSE,FALSE,Major,1900201,21d23h50m01,0
RAVE-771,FALSE,FALSE,Major,163962,01d21h32m42,1
RAVE-162,FALSE,FALSE,Blocker,528065,06d02h41m05,0
RAVE-775,TRUE,FALSE,Minor,3459445,40d00h57m25,0
RAVE-168,FALSE,FALSE,Major,432176,05d00h02m56,0
RAVE-837,FALSE,FALSE,Major,8240,00d02h17m20,0
RAVE-58,TRUE,FALSE,Major,5640727,65d06h52m07,1
SHINDIG-1689,FALSE,FALSE,Major,4753478,55d00h24m38,0
RAVE-57,FALSE,FALSE,Major,5716286,66d03h51m26,1
RAVE-839,FALSE,FALSE,Major,4971,00d01h22m51,0
RAVE-680,TRUE,FALSE,Major,271066,03d03h17m46,0
RAVE-1269,FALSE,FALSE,Major,453299,05d05h54m59,0
RAVE-939,FALSE,FALSE,Major,44680,00d12h24m40,0
RAVE-938,FALSE,FALSE,Major,48572,00d13h29m32,0
RAVE-375,TRUE,FALSE,Minor,7596584,87d22h09m44,0
RAVE-374,FALSE,FALSE,Major,3985072,46d02h57m52,0
RAVE-373,FALSE,FALSE,Major,96174,01d02h42m54,0
RAVE-275,FALSE,FALSE,Major,230,00d00h03m50,0
RAVE-379,FALSE,FALSE,Major,3123047,36d03h30m47,0
RAVE-378,FALSE,FALSE,Minor,5563483,64d09h24m43,0
RAVE-705,FALSE,FALSE,Major,3005268,34d18h47m48,0
RAVE-987,FALSE,FALSE,Minor,11691,00d03h14m51,0
RAVE-1078,FALSE,FALSE,Major,3187285,36d21h21m25,1
RAVE-703,TRUE,FALSE,Major,723574,08d08h59m34,0
RAVE-908,TRUE,FALSE,Major,9740034,112d17h33m54,0
RAVE-903,FALSE,FALSE,Major,98567,01d03h22m47,0
RAVE-900,FALSE,FALSE,Major,71929,00d19h58m49,0
RAVE-906,FALSE,FALSE,Major,1613669,18d16h14m29,1
RAVE-905,FALSE,FALSE,Major,654318,07d13h45m18,0
RAVE-1271,FALSE,FALSE,Major,452586,05d05h43m06,0
RAVE-1272,FALSE,FALSE,Major,452558,05d05h42m38,0
RAVE-1273,FALSE,FALSE,Major,452412,05d05h40m12,0
RAVE-1274,TRUE,FALSE,Major,451936,05d05h32m16,0
RAVE-489,FALSE,FALSE,Trivial,77,00d00h01m17,0
RAVE-263,FALSE,FALSE,Major,11500797,133d02h39m57,0
RAVE-260,TRUE,FALSE,Major,257651,02d23h34m11,0
RAVE-494,FALSE,FALSE,Trivial,698,00d00h11m38,0
RAVE-716,FALSE,FALSE,Major,362912,04d04h48m32,0
RAVE-1041,FALSE,FALSE,Major,239482,02d18h31m22,0
RAVE-714,FALSE,FALSE,Major,2433659,28d04h00m59,0
RAVE-713,FALSE,FALSE,Major,43660,00d12h07m40,0
RAVE-712,FALSE,FALSE,Major,2400067,27d18h41m07,0
RAVE-658,FALSE,FALSE,Trivial,4147636,48d00h07m16,1
RAVE-498,FALSE,FALSE,Major,5249,00d01h27m29,0
RAVE-66,FALSE,FALSE,Major,315277,03d15h34m37,1
RAVE-1042,FALSE,FALSE,Major,239290,02d18h28m10,0
RAVE-383,FALSE,FALSE,Minor,2959006,34d05h56m46,0
RAVE-912,TRUE,FALSE,Major,6816,00d01h53m36,0
RAVE-859,FALSE,FALSE,Major,3664219,42d09h50m19,0
RAVE-497,FALSE,FALSE,Major,388,00d00h06m28,0
RAVE-788,FALSE,FALSE,Major,640,00d00h10m40,0
RAVE-490,FALSE,FALSE,Critical,198,00d00h03m18,0
RAVE-781,FALSE,FALSE,Major,2036261,23d13h37m41,0
RAVE-990,FALSE,FALSE,Major,3179,00d00h52m59,0
RAVE-252,FALSE,FALSE,Major,2435657,28d04h34m17,0
RAVE-253,FALSE,FALSE,Major,654792,07d13h53m12,0
RAVE-526,FALSE,FALSE,Minor,356149,04d02h55m49,0
RAVE-528,FALSE,FALSE,Major,11158880,129d03h41m20,0
RAVE-723,FALSE,FALSE,Minor,533031,06d04h03m51,0
RAVE-313,FALSE,FALSE,Minor,204,00d00h03m24,0
RAVE-486,FALSE,FALSE,Major,2494588,28d20h56m28,0
RAVE-485,FALSE,FALSE,Minor,1584896,18d08h14m56,0
RAVE-316,FALSE,FALSE,Major,617928,07d03h38m48,0
RAVE-1052,FALSE,FALSE,Major,2724820,31d12h53m40,0
RAVE-848,TRUE,FALSE,Major,1084683,12d13h18m03,0
RAVE-319,FALSE,FALSE,Critical,81478,00d22h37m58,0
RAVE-841,FALSE,FALSE,Blocker,3091,00d00h51m31,0
RAVE-840,TRUE,FALSE,Major,4843,00d01h20m43,0
RAVE-398,FALSE,FALSE,Major,65953,00d18h19m13,0
RAVE-393,FALSE,FALSE,Major,6911295,79d23h48m15,0
RAVE-888,FALSE,FALSE,Major,449422,05d04h50m22,0
RAVE-796,FALSE,FALSE,Minor,95197,01d02h26m37,0
RAVE-795,FALSE,FALSE,Major,89707,01d00h55m07,0
RAVE-559,TRUE,FALSE,Major,737,00d00h12m17,0
RAVE-790,FALSE,FALSE,Major,12436824,143d22h40m24,0
RAVE-88,FALSE,FALSE,Major,3646411,42d04h53m31,1
RAVE-86,FALSE,FALSE,Major,4265720,49d08h55m20,1
RAVE-733,FALSE,FALSE,Minor,189994,02d04h46m34,0
RAVE-732,FALSE,FALSE,Major,5482,00d01h31m22,0
RAVE-872,FALSE,FALSE,Major,1147692,13d06h48m12,0
RAVE-870,FALSE,FALSE,Major,459886,05d07h44m46,0
RAVE-874,FALSE,FALSE,Major,2793888,32d08h04m48,0
RAVE-875,TRUE,FALSE,Major,361215,04d04h20m15,0
RAVE-879,FALSE,FALSE,Major,442520,05d02h55m20,0
RAVE-529,FALSE,FALSE,Major,25360,00d07h02m40,0
RAVE-1026,FALSE,FALSE,Major,27554,00d07h39m14,0
RAVE-624,TRUE,FALSE,Major,4503442,52d02h57m22,0
RAVE-973,FALSE,FALSE,Major,2704,00d00h45m04,0
RAVE-972,FALSE,FALSE,Major,1642598,19d00h16m38,0
RAVE-400,FALSE,FALSE,Major,1228308,14d05h11m48,0
RAVE-339,FALSE,FALSE,Major,958830,11d02h20m30,0
RAVE-338,FALSE,FALSE,Major,434,00d00h07m14,0
RAVE-504,FALSE,FALSE,Minor,128,00d00h02m08,0
RAVE-502,FALSE,FALSE,Minor,515,00d00h08m35,0
RAVE-501,FALSE,FALSE,Minor,4606060,53d07h27m40,0
RAVE-331,FALSE,TRUE,Minor,246129,02d20h22m09,0
RAVE-749,FALSE,FALSE,Minor,10114465,117d01h34m25,0
RAVE-298,TRUE,FALSE,Critical,694981,08d01h03m01,0
RAVE-866,FALSE,FALSE,Critical,421,00d00h07m01,0
RAVE-623,FALSE,FALSE,Critical,1613,00d00h26m53,0
RAVE-863,FALSE,FALSE,Major,2134977,24d17h02m57,0
RAVE-620,FALSE,FALSE,Major,841139,09d17h38m59,0
RAVE-746,FALSE,FALSE,Critical,1401,00d00h23m21,0
RAVE-747,FALSE,FALSE,Major,46,00d00h00m46,0
RAVE-424,FALSE,FALSE,Major,110019,01d06h33m39,0
RAVE-1038,FALSE,FALSE,Major,437988,05d01h39m48,0
RAVE-1039,FALSE,FALSE,Major,1148,00d00h19m08,0
RAVE-948,FALSE,FALSE,Critical,101601,01d04h13m21,0
RAVE-949,FALSE,FALSE,Major,11047018,127d20h36m58,0
RAVE-946,FALSE,FALSE,Minor,168805,01d22h53m25,0
RAVE-947,FALSE,FALSE,Major,102985,01d04h36m25,0
RAVE-439,FALSE,FALSE,Major,80164,00d22h16m04,0
RAVE-943,FALSE,FALSE,Major,2659,00d00h44m19,0
RAVE-453,FALSE,FALSE,Major,358,00d00h05m58,0
RAVE-1089,FALSE,FALSE,Blocker,97153,01d02h59m13,0
RAVE-590,FALSE,FALSE,Major,91,00d00h01m31,0
RAVE-227,FALSE,FALSE,Trivial,14471,00d04h01m11,0
RAVE-225,TRUE,FALSE,Major,153960,01d18h46m00,0
RAVE-1007,FALSE,FALSE,Trivial,86192,00d23h56m32,0
RAVE-813,FALSE,FALSE,Minor,58,00d00h00m58,0
RAVE-816,FALSE,FALSE,Minor,617,00d00h10m17,0
RAVE-78,FALSE,FALSE,Major,4543392,52d14h03m12,1
RAVE-190,FALSE,FALSE,Minor,710568,08d05h22m48,0
