BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
REEF-88,FALSE,FALSE,Major,10654097,123d07h28m17,1
REEF-2056,FALSE,FALSE,Major,5336188,61d18h16m28,0
REEF-1228,FALSE,TRUE,Blocker,210819,02d10h33m39,0
REEF-651,FALSE,FALSE,Major,3616,00d01h00m16,0
REEF-87,FALSE,FALSE,Major,2110,00d00h35m10,0
REEF-80,FALSE,TRUE,Major,4039259,46d18h00m59,0
REEF-939,TRUE,FALSE,Minor,42440,00d11h47m20,0
REEF-938,FALSE,FALSE,Major,3213,00d00h53m33,0
REEF-1685,FALSE,FALSE,Major,538331,06d05h32m11,0
REEF-1683,FALSE,FALSE,Minor,336445,03d21h27m25,0
REEF-1729,FALSE,TRUE,Major,4799812,55d13h16m52,0
REEF-1680,FALSE,FALSE,Major,252084,02d22h01m24,0
REEF-43,TRUE,FALSE,Major,203369,02d08h29m29,0
REEF-1725,FALSE,FALSE,Critical,695828,08d01h17m08,0
REEF-1726,TRUE,FALSE,Minor,7236733,83d18h12m13,0
REEF-1415,FALSE,FALSE,Major,666668,07d17h11m08,0
REEF-780,FALSE,FALSE,Minor,592879,06d20h41m19,0
REEF-937,FALSE,FALSE,Major,164553,01d21h42m33,0
REEF-830,FALSE,FALSE,Major,166352,01d22h12m32,0
REEF-1310,FALSE,FALSE,Major,880385,10d04h33m05,0
REEF-1553,FALSE,FALSE,Major,87455,01d00h17m35,0
REEF-1551,FALSE,FALSE,Minor,87898,01d00h24m58,0
REEF-1153,TRUE,FALSE,Minor,256416,02d23h13m36,0
REEF-1152,FALSE,FALSE,Trivial,2810,00d00h46m50,0
REEF-1151,FALSE,FALSE,Trivial,246665,02d20h31m05,0
REEF-1150,FALSE,FALSE,Minor,12517,00d03h28m37,0
REEF-1156,FALSE,FALSE,Major,2404141,27d19h49m01,0
REEF-1509,FALSE,FALSE,Trivial,14520318,168d01h25m18,0
REEF-1250,TRUE,FALSE,Minor,5256309,60d20h05m09,0
REEF-202,FALSE,FALSE,Minor,674129,07d19h15m29,0
REEF-1495,TRUE,FALSE,Minor,484523,05d14h35m23,0
REEF-1492,FALSE,FALSE,Major,13837532,160d03h45m32,0
REEF-861,FALSE,FALSE,Major,17717,00d04h55m17,0
REEF-1490,FALSE,FALSE,Minor,426816,04d22h33m36,0
REEF-204,TRUE,FALSE,Major,3561,00d00h59m21,0
REEF-1013,TRUE,FALSE,Critical,607039,07d00h37m19,0
REEF-1393,TRUE,TRUE,Major,170945,01d23h29m05,0
REEF-208,FALSE,FALSE,Major,12704,00d03h31m44,0
REEF-1395,FALSE,FALSE,Major,9502,00d02h38m22,0
REEF-1017,FALSE,FALSE,Major,487627,05d15h27m07,0
REEF-735,FALSE,FALSE,Major,93108,01d01h51m48,0
REEF-1396,TRUE,FALSE,Major,1104788,12d18h53m08,0
REEF-1699,FALSE,FALSE,Major,499846,05d18h50m46,0
REEF-1010,FALSE,FALSE,Trivial,93434,01d01h57m14,0
REEF-2041,TRUE,FALSE,Minor,2516160,29d02h56m00,0
REEF-822,FALSE,FALSE,Major,1617043,18d17h10m43,0
REEF-1463,FALSE,FALSE,Major,80483,00d22h21m23,0
REEF-1691,FALSE,FALSE,Major,1102785,12d18h19m45,0
REEF-1692,FALSE,FALSE,Minor,1362807,15d18h33m27,0
REEF-899,TRUE,FALSE,Minor,698085,08d01h54m45,0
REEF-149,FALSE,FALSE,Major,222879,02d13h54m39,0
REEF-1423,FALSE,TRUE,Critical,957516,11d01h58m36,0
REEF-1421,FALSE,TRUE,Major,163160,01d21h19m20,0
REEF-1420,FALSE,FALSE,Major,180758,02d02h12m38,0
REEF-948,FALSE,FALSE,Trivial,45991,00d12h46m31,0
REEF-34,TRUE,FALSE,Minor,187889,02d04h11m29,0
REEF-1910,FALSE,FALSE,Major,241370,02d19h02m50,0
REEF-944,FALSE,FALSE,Trivial,252985,02d22h16m25,0
REEF-438,TRUE,FALSE,Major,19231,00d05h20m31,0
REEF-894,FALSE,FALSE,Major,50288,00d13h58m08,0
REEF-1229,TRUE,FALSE,Major,22242,00d06h10m42,0
REEF-1307,FALSE,FALSE,Major,354291,04d02h24m51,0
REEF-823,FALSE,FALSE,Trivial,56144,00d15h35m44,0
REEF-1687,FALSE,FALSE,Major,95311,01d02h28m31,0
REEF-1148,FALSE,FALSE,Minor,9200,00d02h33m20,0
REEF-1149,FALSE,FALSE,Trivial,4584,00d01h16m24,0
REEF-825,FALSE,FALSE,Major,259843,03d00h10m43,0
REEF-781,FALSE,FALSE,Minor,1215581,14d01h39m41,0
REEF-1144,FALSE,FALSE,Major,1292423,14d23h00m23,0
REEF-654,TRUE,FALSE,Major,412365,04d18h32m45,0
REEF-1753,TRUE,FALSE,Major,514402,05d22h53m22,0
REEF-828,FALSE,FALSE,Trivial,110545,01d06h42m25,0
REEF-539,FALSE,FALSE,Minor,81169,00d22h32m49,0
REEF-1142,FALSE,FALSE,Major,6481379,75d00h22m59,0
REEF-1756,FALSE,FALSE,Trivial,87737,01d00h22m17,0
REEF-236,FALSE,FALSE,Major,55334,00d15h22m14,0
REEF-1388,FALSE,TRUE,Major,2429248,28d02h47m28,0
REEF-235,FALSE,TRUE,Major,1998770,23d03h12m50,0
REEF-232,FALSE,FALSE,Major,2836,00d00h47m16,0
REEF-233,FALSE,FALSE,Major,9556,00d02h39m16,0
REEF-231,FALSE,FALSE,Minor,3333,00d00h55m33,0
REEF-706,FALSE,FALSE,Trivial,52376,00d14h32m56,0
REEF-1517,FALSE,FALSE,Trivial,166123,01d22h08m43,0
REEF-1380,FALSE,FALSE,Major,68377,00d18h59m37,0
REEF-702,FALSE,FALSE,Trivial,31270,00d08h41m10,0
REEF-1022,FALSE,FALSE,Major,167913,01d22h38m33,0
REEF-239,FALSE,FALSE,Major,351192,04d01h33m12,0
REEF-1909,FALSE,FALSE,Critical,309061,03d13h51m01,0
REEF-437,TRUE,FALSE,Major,23927,00d06h38m47,0
REEF-151,FALSE,TRUE,Major,973106,11d06h18m26,0
REEF-737,FALSE,FALSE,Major,73756,00d20h29m16,0
REEF-1539,FALSE,FALSE,Major,85680,00d23h48m00,0
REEF-1538,FALSE,FALSE,Minor,8799112,101d20h11m52,0
REEF-453,FALSE,FALSE,Major,259268,03d00h01m08,0
REEF-2016,FALSE,FALSE,Major,2849697,32d23h34m57,0
REEF-1534,FALSE,FALSE,Major,24934,00d06h55m34,0
REEF-25,TRUE,FALSE,Major,999274,11d13h34m34,0
REEF-1414,FALSE,FALSE,Major,4725,00d01h18m45,0
REEF-1264,FALSE,FALSE,Major,902692,10d10h44m52,1
REEF-1665,TRUE,FALSE,Minor,247244,02d20h40m44,0
REEF-817,TRUE,FALSE,Major,255431,02d22h57m11,0
REEF-1727,FALSE,FALSE,Major,179307,02d01h48m27,0
REEF-1333,TRUE,FALSE,Major,3109516,35d23h45m16,0
REEF-1332,FALSE,FALSE,Minor,15578,00d04h19m38,0
REEF-194,FALSE,TRUE,Major,2915656,33d17h54m16,0
REEF-921,FALSE,FALSE,Minor,172390,01d23h53m10,0
REEF-221,FALSE,FALSE,Major,8367,00d02h19m27,0
REEF-44,FALSE,FALSE,Major,78179,00d21h42m59,0
REEF-1669,FALSE,FALSE,Major,4735481,54d19h24m41,0
REEF-234,FALSE,FALSE,Major,912,00d00h15m12,0
REEF-421,TRUE,FALSE,Major,30113,00d08h21m53,0
REEF-1338,FALSE,FALSE,Major,19596,00d05h26m36,0
REEF-605,FALSE,FALSE,Trivial,63245,00d17h34m05,0
REEF-713,FALSE,FALSE,Major,476319,05d12h18m39,0
REEF-1232,FALSE,FALSE,Major,71609,00d19h53m29,0
REEF-36,FALSE,FALSE,Minor,1125622,13d00h40m22,0
REEF-1231,TRUE,TRUE,Blocker,1233122,14d06h32m02,0
REEF-719,FALSE,TRUE,Major,3117428,36d01h57m08,0
REEF-718,FALSE,FALSE,Major,1810534,20d22h55m34,0
REEF-1133,FALSE,FALSE,Major,581477,06d17h31m17,0
REEF-895,FALSE,FALSE,Major,119977,01d09h19m37,0
REEF-1135,FALSE,FALSE,Minor,323546,03d17h52m26,0
REEF-655,FALSE,FALSE,Minor,40705,00d11h18m25,0
REEF-657,FALSE,FALSE,Major,75986,00d21h06m26,0
REEF-449,FALSE,FALSE,Major,2523,00d00h42m03,0
REEF-1930,FALSE,FALSE,Minor,63431,00d17h37m11,0
REEF-94,FALSE,FALSE,Minor,8086916,93d14h21m56,0
REEF-448,FALSE,FALSE,Major,85473,00d23h44m33,0
REEF-426,TRUE,FALSE,Major,2427547,28d02h19m07,0
REEF-1977,FALSE,FALSE,Minor,1144723,13d05h58m43,0
REEF-1195,FALSE,TRUE,Blocker,20386,00d05h39m46,0
REEF-1879,FALSE,FALSE,Critical,8791,00d02h26m31,0
REEF-1708,FALSE,FALSE,Minor,497721,05d18h15m21,0
REEF-808,TRUE,FALSE,Trivial,47929,00d13h18m49,0
REEF-1280,FALSE,FALSE,Minor,143483,01d15h51m23,0
REEF-1284,FALSE,FALSE,Major,9378,00d02h36m18,0
REEF-1315,FALSE,FALSE,Major,529047,06d02h57m27,0
REEF-1401,TRUE,FALSE,Major,91653,01d01h27m33,0
