BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
SAMZA-731,TRUE,FALSE,Major,6624286,76d16h04m46,0
SAMZA-1817,FALSE,FALSE,Major,1807698,20d22h08m18,0
SAMZA-1428,TRUE,FALSE,Major,1034,00d00h17m14,0
SAMZA-1813,TRUE,FALSE,Major,939982,10d21h06m22,0
SAMZA-1954,TRUE,FALSE,Major,13383837,154d21h43m57,0
SAMZA-795,FALSE,FALSE,Major,53393,00d14h49m53,0
SAMZA-1956,TRUE,FALSE,Major,84676,00d23h31m16,0
SAMZA-797,FALSE,FALSE,Major,678742,07d20h32m22,0
SAMZA-791,FALSE,FALSE,Trivial,1051048,12d03h57m28,0
SAMZA-792,TRUE,FALSE,Blocker,83508,00d23h11m48,0
SAMZA-1953,TRUE,FALSE,Major,13386908,154d22h35m08,0
SAMZA-798,TRUE,FALSE,Major,934347,10d19h32m27,0
SAMZA-151,FALSE,FALSE,Major,6043394,69d22h43m14,0
SAMZA-156,FALSE,FALSE,Major,61545,00d17h05m45,0
SAMZA-157,TRUE,FALSE,Major,1463670,16d22h34m30,1
SAMZA-154,FALSE,FALSE,Major,965467,11d04h11m07,0
SAMZA-155,FALSE,FALSE,Major,240120,02d18h42m00,0
SAMZA-158,FALSE,FALSE,Major,250872,02d21h41m12,0
SAMZA-1550,FALSE,FALSE,Major,6311335,73d01h08m55,0
SAMZA-1220,TRUE,FALSE,Major,533493,06d04h11m33,0
SAMZA-1553,FALSE,FALSE,Major,5715582,66d03h39m42,0
SAMZA-1556,TRUE,FALSE,Major,492234,05d16h43m54,0
SAMZA-1557,TRUE,FALSE,Major,3265910,37d19h11m50,0
SAMZA-1653,TRUE,FALSE,Major,2180550,25d05h42m30,0
SAMZA-1651,TRUE,FALSE,Major,698092,08d01h54m52,0
SAMZA-1229,FALSE,FALSE,Major,359533,04d03h52m13,0
SAMZA-1656,FALSE,FALSE,Major,868249,10d01h10m49,0
SAMZA-1723,FALSE,FALSE,Major,1692,00d00h28m12,0
SAMZA-59,FALSE,FALSE,Major,22977651,265d22h40m51,0
SAMZA-1720,FALSE,FALSE,Major,26417593,305d18h13m13,0
SAMZA-299,FALSE,FALSE,Major,75684,00d21h01m24,0
SAMZA-1725,FALSE,FALSE,Major,175495,02d00h44m55,0
SAMZA-1042,TRUE,FALSE,Major,1816690,21d00h38m10,0
SAMZA-294,FALSE,FALSE,Major,70165,00d19h29m25,0
SAMZA-1040,FALSE,FALSE,Major,860,00d00h14m20,0
SAMZA-1728,FALSE,FALSE,Major,5573526,64d12h12m06,0
SAMZA-1046,FALSE,FALSE,Major,4516811,52d06h40m11,0
SAMZA-1047,FALSE,FALSE,Major,1397649,16d04h14m09,0
SAMZA-56,FALSE,FALSE,Major,4249,00d01h10m49,0
SAMZA-57,FALSE,FALSE,Major,85703,00d23h48m23,0
SAMZA-842,FALSE,FALSE,Major,23415382,271d00h16m22,0
SAMZA-1138,TRUE,FALSE,Major,2979916,34d11h45m16,0
SAMZA-846,FALSE,FALSE,Minor,101841,01d04h17m21,0
SAMZA-481,FALSE,FALSE,Major,5266571,60d22h56m11,0
SAMZA-486,FALSE,FALSE,Major,169925,01d23h12m05,0
SAMZA-487,FALSE,FALSE,Major,161999,01d20h59m59,0
SAMZA-796,FALSE,FALSE,Major,101845,01d04h17m25,0
SAMZA-28,TRUE,FALSE,Major,4159175,48d03h19m35,0
SAMZA-1039,TRUE,FALSE,Major,76976,00d21h22m56,0
SAMZA-999,FALSE,FALSE,Major,413222,04d18h47m02,0
SAMZA-25,TRUE,TRUE,Major,2698782,31d05h39m42,0
SAMZA-994,FALSE,FALSE,Major,322612,03d17h36m52,0
SAMZA-995,FALSE,FALSE,Major,4721504,54d15h31m44,0
SAMZA-992,FALSE,FALSE,Major,1447025,16d17h57m05,0
SAMZA-20,FALSE,FALSE,Major,25817902,298d19h38m22,0
SAMZA-658,FALSE,FALSE,Major,2396842,27d17h47m22,1
SAMZA-793,FALSE,FALSE,Major,3113260,36d00h47m40,0
SAMZA-206,FALSE,FALSE,Major,4190,00d01h09m50,0
SAMZA-893,FALSE,FALSE,Major,846311,09d19h05m11,0
SAMZA-202,FALSE,FALSE,Minor,11056842,127d23h20m42,0
SAMZA-579,FALSE,FALSE,Major,103905,01d04h51m45,0
SAMZA-201,FALSE,FALSE,Major,1293,00d00h21m33,0
SAMZA-574,FALSE,FALSE,Major,62670,00d17h24m30,0
SAMZA-576,FALSE,FALSE,Major,1381517,15d23h45m17,0
SAMZA-577,FALSE,FALSE,Major,18324,00d05h05m24,0
SAMZA-572,FALSE,FALSE,Major,10099261,116d21h21m01,0
SAMZA-209,FALSE,FALSE,Major,44582,00d12h23m02,0
SAMZA-778,FALSE,FALSE,Major,241807,02d19h10m07,0
SAMZA-1508,TRUE,FALSE,Major,15281897,176d20h58m17,0
SAMZA-470,FALSE,FALSE,Major,7199,00d01h59m59,0
SAMZA-473,FALSE,FALSE,Major,24373,00d06h46m13,0
SAMZA-472,FALSE,FALSE,Major,64432,00d17h53m52,0
SAMZA-897,FALSE,FALSE,Major,185243,02d03h27m23,0
SAMZA-770,FALSE,FALSE,Blocker,350903,04d01h28m23,0
SAMZA-2111,TRUE,FALSE,Major,1186412,13d17h33m32,0
SAMZA-2309,FALSE,FALSE,Major,14054,00d03h54m14,0
SAMZA-1921,TRUE,FALSE,Major,14942059,172d22h34m19,0
SAMZA-337,FALSE,FALSE,Critical,177989,02d01h26m29,0
SAMZA-2231,FALSE,FALSE,Major,4050964,46d21h16m04,0
SAMZA-503,FALSE,FALSE,Major,2119286,24d12h41m26,0
SAMZA-505,FALSE,FALSE,Major,5006131,57d22h35m31,0
SAMZA-507,FALSE,FALSE,Major,2606361,30d03h59m21,0
SAMZA-1914,TRUE,FALSE,Major,12795,00d03h33m15,0
SAMZA-1667,TRUE,FALSE,Major,504903,05d20h15m03,0
SAMZA-1664,FALSE,FALSE,Major,1119421,12d22h57m01,0
SAMZA-1397,FALSE,FALSE,Minor,3622,00d01h00m22,0
SAMZA-1121,FALSE,FALSE,Major,115771,01d08h09m31,0
SAMZA-1033,FALSE,FALSE,Major,2238936,25d21h55m36,0
SAMZA-922,FALSE,TRUE,Major,1803283,20d20h54m43,0
SAMZA-1392,TRUE,FALSE,Major,3118102,36d02h08m22,0
SAMZA-114,FALSE,FALSE,Major,72727,00d20h12m07,0
SAMZA-115,FALSE,FALSE,Major,333749,03d20h42m29,0
SAMZA-110,FALSE,FALSE,Major,6414086,74d05h41m26,0
SAMZA-111,TRUE,FALSE,Major,1226651,14d04h44m11,0
SAMZA-1187,TRUE,TRUE,Major,347251,04d00h27m31,0
SAMZA-1222,TRUE,TRUE,Major,1369657,15d20h27m37,0
SAMZA-1183,TRUE,TRUE,Major,32930363,381d03h19m23,1
SAMZA-1182,FALSE,TRUE,Major,1566651,18d03h10m51,1
SAMZA-1181,FALSE,FALSE,Blocker,282901,03d06h35m01,0
SAMZA-1269,FALSE,TRUE,Major,13062213,151d04h23m33,0
SAMZA-1266,FALSE,FALSE,Major,22116,00d06h08m36,0
SAMZA-1267,TRUE,TRUE,Major,255241,02d22h54m01,0
SAMZA-1264,TRUE,FALSE,Major,2359373,27d07h22m53,0
SAMZA-1263,FALSE,FALSE,Major,1334,00d00h22m14,0
