BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
WSS-462,FALSE,FALSE,Major,256969,02d23h22m49,0
SANTUARIO-379,TRUE,FALSE,Major,4764413,55d03h26m53,0
SANTUARIO-415,TRUE,FALSE,Major,417733,04d20h02m13,0
WSS-508,FALSE,FALSE,Major,697062,08d01h37m42,0
SANTUARIO-373,FALSE,FALSE,Major,42599,00d11h49m59,0
SANTUARIO-371,FALSE,FALSE,Major,117640,01d08h40m40,0
SANTUARIO-441,TRUE,FALSE,Major,831596,09d14h59m56,0
SANTUARIO-443,FALSE,FALSE,Major,77408,00d21h30m08,0
SANTUARIO-408,FALSE,FALSE,Minor,8598,00d02h23m18,0
SANTUARIO-445,TRUE,FALSE,Major,206642,02d09h24m02,0
SANTUARIO-446,FALSE,FALSE,Major,3434,00d00h57m14,0
SANTUARIO-462,FALSE,FALSE,Trivial,1793,00d00h29m53,0
SANTUARIO-463,TRUE,FALSE,Major,1716796,19d20h53m16,0
SANTUARIO-406,FALSE,FALSE,Major,9447,00d02h37m27,0
SANTUARIO-401,FALSE,FALSE,Major,274,00d00h04m34,0
SANTUARIO-464,TRUE,FALSE,Minor,844973,09d18h42m53,1
SANTUARIO-465,TRUE,FALSE,Major,46070,00d12h47m50,0
SANTUARIO-394,TRUE,FALSE,Minor,17546808,203d02h06m48,0
SANTUARIO-504,TRUE,FALSE,Major,3969528,45d22h38m48,0
SANTUARIO-424,TRUE,FALSE,Major,10020267,115d23h24m27,0
SANTUARIO-397,FALSE,FALSE,Blocker,102015,01d04h20m15,0
SANTUARIO-393,FALSE,FALSE,Major,72836,00d20h13m56,0
SANTUARIO-398,TRUE,FALSE,Minor,309987,03d14h06m27,0
SANTUARIO-399,FALSE,FALSE,Major,199481,02d07h24m41,0
SANTUARIO-372,FALSE,FALSE,Major,119930,01d09h18m50,0
SANTUARIO-481,FALSE,FALSE,Major,1231642,14d06h07m22,0
SANTUARIO-483,FALSE,FALSE,Major,55512,00d15h25m12,0
SANTUARIO-489,TRUE,FALSE,Major,249890,02d21h24m50,0
SANTUARIO-369,TRUE,FALSE,Major,2836,00d00h47m16,0
SANTUARIO-368,FALSE,FALSE,Major,221196,02d13h26m36,0
WSS-472,TRUE,FALSE,Major,601895,06d23h11m35,0
WSS-452,FALSE,FALSE,Major,1555328,18d00h02m08,0
SANTUARIO-365,FALSE,FALSE,Major,36782,00d10h13m02,0
SANTUARIO-457,FALSE,FALSE,Major,2147556,24d20h32m36,0
SANTUARIO-450,FALSE,FALSE,Major,16674,00d04h37m54,0
WSS-436,TRUE,FALSE,Major,271918,03d03h31m58,1
WSS-437,TRUE,FALSE,Major,246996,02d20h36m36,0
SANTUARIO-459,FALSE,FALSE,Minor,9774,00d02h42m54,0
SANTUARIO-436,FALSE,FALSE,Minor,66970,00d18h36m10,0
SANTUARIO-431,FALSE,FALSE,Minor,10533,00d02h55m33,0
SANTUARIO-430,TRUE,FALSE,Blocker,12551,00d03h29m11,0
SANTUARIO-433,FALSE,FALSE,Minor,788502,09d03h01m42,0
SANTUARIO-414,FALSE,FALSE,Major,936,00d00h15m36,0
SANTUARIO-383,FALSE,FALSE,Major,688459,07d23h14m19,0
SANTUARIO-387,FALSE,FALSE,Major,485993,05d14h59m53,0
SANTUARIO-499,TRUE,FALSE,Minor,246881,02d20h34m41,0
