BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
SENTRY-466,FALSE,FALSE,Major,13873,00d03h51m13,0
SENTRY-468,FALSE,FALSE,Major,2826,00d00h47m06,0
SENTRY-469,TRUE,FALSE,Major,8027,00d02h13m47,0
SENTRY-1609,TRUE,FALSE,Major,1358199,15d17h16m39,0
SENTRY-1320,FALSE,FALSE,Minor,79164,00d21h59m24,0
SENTRY-1602,TRUE,FALSE,Major,1531580,17d17h26m20,0
SENTRY-1605,FALSE,FALSE,Major,1553209,17d23h26m49,0
SENTRY-2209,FALSE,FALSE,Minor,5363307,62d01h48m27,0
SENTRY-381,FALSE,FALSE,Major,11711,00d03h15m11,0
SENTRY-380,FALSE,FALSE,Major,4015283,46d11h21m23,0
SENTRY-2205,FALSE,FALSE,Major,25400509,293d23h41m49,0
SENTRY-2200,FALSE,FALSE,Major,743556,08d14h32m36,0
SENTRY-388,FALSE,FALSE,Major,1876,00d00h31m16,0
SENTRY-140,FALSE,FALSE,Major,22659298,262d06h14m58,0
SENTRY-412,TRUE,FALSE,Major,1233270,14d06h34m30,0
SENTRY-411,FALSE,FALSE,Major,159949,01d20h25m49,0
SENTRY-2417,FALSE,FALSE,Major,173622,02d00h13m42,0
SENTRY-368,FALSE,FALSE,Major,919956,10d15h32m36,0
SENTRY-204,FALSE,FALSE,Major,61101,00d16h58m21,0
SENTRY-205,FALSE,FALSE,Major,93201,01d01h53m21,0
SENTRY-202,TRUE,FALSE,Major,1221160,14d03h12m40,0
SENTRY-203,FALSE,FALSE,Major,72716,00d20h11m56,0
SENTRY-200,FALSE,FALSE,Blocker,165041,01d21h50m41,0
SENTRY-201,FALSE,FALSE,Major,19838,00d05h30m38,0
SENTRY-363,FALSE,FALSE,Major,140392,01d14h59m52,0
SENTRY-362,TRUE,FALSE,Major,400251,04d15h10m51,0
SENTRY-208,FALSE,FALSE,Major,9671897,111d22h38m17,0
SENTRY-209,FALSE,TRUE,Major,267763,03d02h22m43,0
SENTRY-2021,FALSE,FALSE,Major,2294727,26d13h25m27,0
SENTRY-2020,FALSE,FALSE,Major,194895,02d06h08m15,0
SENTRY-2024,FALSE,FALSE,Critical,1998317,23d03h05m17,0
SENTRY-2143,FALSE,FALSE,Major,9270681,107d07h11m21,0
SENTRY-2141,FALSE,FALSE,Major,598035,06d22h07m15,0
SENTRY-2146,FALSE,FALSE,Major,29989223,347d02h20m23,0
SENTRY-2144,FALSE,FALSE,Major,7316083,84d16h14m43,0
SENTRY-660,TRUE,FALSE,Major,125063,01d10h44m23,0
