BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
SMX4-1671,FALSE,FALSE,Major,12505,00d03h28m25,0
SMX4-875,FALSE,FALSE,Major,845062,09d18h44m22,0
SMX4-1381,FALSE,FALSE,Major,7727159,89d10h25m59,0
SMX4-177,FALSE,FALSE,Major,515942,05d23h19m02,0
SMX4-1815,TRUE,FALSE,Major,702,00d00h11m42,0
SMX4-1816,FALSE,TRUE,Major,16412449,189d23h00m49,1
SMX4-1813,FALSE,FALSE,Major,546,00d00h09m06,0
SMX4-767,FALSE,FALSE,Major,45641,00d12h40m41,0
SMX4-476,FALSE,FALSE,Major,10331453,119d13h50m53,0
SMX4-477,FALSE,FALSE,Major,10585,00d02h56m25,1
SMX4-561,FALSE,FALSE,Major,60996,00d16h56m36,0
SMX4-1404,FALSE,FALSE,Major,1411046,16d07h57m26,0
SMX4-1709,FALSE,TRUE,Major,10418,00d02h53m38,0
SMX4-1252,FALSE,FALSE,Major,967,00d00h16m07,0
SMX4-94,FALSE,FALSE,Major,276777,03d04h52m57,0
SMX4-388,FALSE,FALSE,Major,1898408,21d23h20m08,1
SMX4-254,FALSE,FALSE,Major,3349,00d00h55m49,0
SMX4-1860,FALSE,FALSE,Major,763813,08d20h10m13,0
SMX4-1470,FALSE,FALSE,Major,18654,00d05h10m54,0
SMX4-1261,FALSE,FALSE,Major,2105,00d00h35m05,0
SMX4-1303,FALSE,FALSE,Major,4020,00d01h07m00,0
SMX4-1119,FALSE,FALSE,Minor,4191363,48d12h16m03,0
SMX4-797,FALSE,FALSE,Minor,1313,00d00h21m53,0
SMX4-796,FALSE,FALSE,Minor,1357673,15d17h07m53,0
SMX4-1117,FALSE,FALSE,Major,5825,00d01h37m05,0
SMX4-1048,FALSE,FALSE,Major,51736,00d14h22m16,0
SMX4-1749,FALSE,FALSE,Major,362,00d00h06m02,0
SMX4-736,FALSE,FALSE,Major,580,00d00h09m40,0
SMX4-393,FALSE,FALSE,Major,1162,00d00h19m22,0
SMX4-491,FALSE,FALSE,Major,83658,00d23h14m18,0
SMX4-1688,FALSE,FALSE,Major,744,00d00h12m24,0
SMX4-1449,FALSE,FALSE,Major,497207,05d18h06m47,0
SMX4-1686,FALSE,FALSE,Major,408,00d00h06m48,0
SMX4-1876,FALSE,FALSE,Major,2311192,26d17h59m52,0
SMX4-1875,FALSE,FALSE,Major,1547,00d00h25m47,0
SMX4-1379,FALSE,FALSE,Major,4087,00d01h08m07,0
SMX4-541,FALSE,FALSE,Major,715,00d00h11m55,0
SMX4-256,FALSE,FALSE,Minor,117068,01d08h31m08,0
SMX4-412,FALSE,FALSE,Major,11486464,132d22h41m04,0
