BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
SMXCOMP-826,FALSE,FALSE,Major,352218,04d01h50m18,0
SMXCOMP-980,FALSE,FALSE,Major,4540,00d01h15m40,0
SM-1831,FALSE,FALSE,Major,72084339,834d07h25m39,0
SMXCOMP-843,FALSE,FALSE,Major,6469,00d01h47m49,0
SM-1995,FALSE,FALSE,Minor,31572024,365d10h00m24,1
SMXCOMP-896,FALSE,FALSE,Major,201,00d00h03m21,0
SMXCOMP-897,FALSE,FALSE,Major,199,00d00h03m19,0
SMXCOMP-973,FALSE,FALSE,Minor,214796,02d11h39m56,0
SMXCOMP-977,FALSE,FALSE,Major,65840,00d18h17m20,0
SMXCOMP-675,FALSE,FALSE,Major,34023560,393d18h59m20,1
SMXCOMP-956,FALSE,FALSE,Major,367413,04d06h03m33,0
SMXCOMP-955,FALSE,FALSE,Major,852,00d00h14m12,0
SMXCOMP-953,FALSE,FALSE,Minor,156455,01d19h27m35,0
SMXCOMP-952,FALSE,FALSE,Major,383,00d00h06m23,0
SM-2141,FALSE,FALSE,Major,230,00d00h03m50,0
SMXCOMP-934,FALSE,FALSE,Major,262748,03d00h59m08,0
SMXCOMP-937,FALSE,FALSE,Major,88582,01d00h36m22,0
SMXCOMP-910,FALSE,FALSE,Major,11868,00d03h17m48,0
SMXCOMP-916,FALSE,FALSE,Major,335,00d00h05m35,0
SMXCOMP-939,TRUE,FALSE,Major,571,00d00h09m31,0
SMXCOMP-912,FALSE,FALSE,Major,171,00d00h02m51,0
SMXCOMP-878,FALSE,FALSE,Major,1593,00d00h26m33,0
SMXCOMP-836,FALSE,FALSE,Major,50832,00d14h07m12,0
SMXCOMP-837,FALSE,FALSE,Major,50192,00d13h56m32,0
SMXCOMP-855,FALSE,FALSE,Critical,1054840,12d05h00m40,0
SMXCOMP-858,FALSE,FALSE,Major,6721381,77d19h03m01,0
SMXCOMP-839,FALSE,FALSE,Major,109,00d00h01m49,0
SMXCOMP-876,FALSE,FALSE,Major,25029,00d06h57m09,0
SM-1206,FALSE,FALSE,Major,102084312,1181d12h45m12,0
SMXCOMP-891,FALSE,FALSE,Major,1585,00d00h26m25,0
SMXCOMP-949,FALSE,FALSE,Major,106,00d00h01m46,0
SMXCOMP-964,TRUE,FALSE,Major,1652,00d00h27m32,0
SMXCOMP-965,FALSE,FALSE,Major,854,00d00h14m14,0
SMXCOMP-963,FALSE,FALSE,Major,810,00d00h13m30,0
SMXCOMP-887,FALSE,FALSE,Major,1667,00d00h27m47,0
SMXCOMP-886,TRUE,FALSE,Critical,4417,00d01h13m37,0
SMXCOMP-923,FALSE,FALSE,Major,60738,00d16h52m18,0
SMXCOMP-946,FALSE,FALSE,Major,5973,00d01h39m33,0
SMXCOMP-921,FALSE,FALSE,Major,161699,01d20h54m59,0
SMXCOMP-940,TRUE,FALSE,Major,15080,00d04h11m20,0
SMXCOMP-845,FALSE,FALSE,Major,417492,04d19h58m12,0
SMXCOMP-924,TRUE,FALSE,Major,1516,00d00h25m16,0
SMXCOMP-903,TRUE,FALSE,Major,3855,00d01h04m15,0
SMXCOMP-905,FALSE,FALSE,Major,2225,00d00h37m05,0
SMXCOMP-945,TRUE,FALSE,Major,250,00d00h04m10,0
SMX4-1024,FALSE,FALSE,Minor,5499,00d01h31m39,0
SMXCOMP-976,FALSE,FALSE,Major,156,00d00h02m36,0
