BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
SMX4NMR-54,FALSE,FALSE,Blocker,242353,02d19h19m13,0
SMX4NMR-57,FALSE,FALSE,Major,1752,00d00h29m12,0
SMX4NMR-53,FALSE,FALSE,Major,10179667,117d19h41m07,0
SMX4NMR-52,FALSE,FALSE,Major,52367,00d14h32m47,0
SMX4NMR-59,FALSE,FALSE,Major,52503,00d14h35m03,0
SM-1831,FALSE,FALSE,Major,72084339,834d07h25m39,0
SMX4NMR-177,FALSE,FALSE,Major,863,00d00h14m23,0
SMX4NMR-279,FALSE,FALSE,Major,2133,00d00h35m33,0
SMX4NMR-175,FALSE,FALSE,Major,242,00d00h04m02,0
SMX4NMR-174,TRUE,FALSE,Critical,208,00d00h03m28,0
SMX4NMR-173,FALSE,FALSE,Major,300,00d00h05m00,0
SMX4NMR-172,FALSE,FALSE,Major,471,00d00h07m51,0
SMX4NMR-171,FALSE,FALSE,Major,88482,01d00h34m42,0
SMX4NMR-170,FALSE,FALSE,Major,1113,00d00h18m33,0
SMX4NMR-58,FALSE,FALSE,Major,145,00d00h02m25,0
SMX4NMR-9,TRUE,FALSE,Major,4637682,53d16h14m42,0
SMX4NMR-8,TRUE,FALSE,Major,186342,02d03h45m42,0
SMX4-389,FALSE,FALSE,Major,144,00d00h02m24,0
SMX4NMR-7,TRUE,FALSE,Major,186436,02d03h47m16,0
SMX4-383,FALSE,FALSE,Major,11325432,131d01h57m12,0
SM-1455,TRUE,FALSE,Critical,4465053,51d16h17m33,0
SMX4NMR-164,FALSE,FALSE,Major,1568,00d00h26m08,0
SMX4NMR-166,FALSE,FALSE,Major,163072,01d21h17m52,1
SMX4NMR-167,FALSE,FALSE,Major,5681,00d01h34m41,0
SMX4NMR-160,FALSE,FALSE,Major,72013,00d20h00m13,0
SMX4NMR-248,FALSE,FALSE,Major,471,00d00h07m51,0
SMX4NMR-162,FALSE,FALSE,Critical,479,00d00h07m59,0
SMX4NMR-246,FALSE,FALSE,Major,538,00d00h08m58,0
SMX4NMR-169,FALSE,FALSE,Major,13541002,156d17h23m22,0
SMX4NMR-243,TRUE,FALSE,Major,354780,04d02h33m00,1
SMX4-399,FALSE,FALSE,Major,10452901,120d23h35m01,0
SMXCOMP-636,FALSE,FALSE,Major,2031,00d00h33m51,0
SMX4-392,FALSE,FALSE,Major,955,00d00h15m55,0
SMX4NMR-312,FALSE,FALSE,Major,948,00d00h15m48,0
SMX4NMR-314,FALSE,FALSE,Major,556,00d00h09m16,0
