BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
SM-2863,FALSE,FALSE,Major,57707,00d16h01m47,0
SM-2867,FALSE,FALSE,Major,10228389,118d09h13m09,0
SM-2864,FALSE,FALSE,Major,3155063,36d12h24m23,0
SM-2492,FALSE,FALSE,Major,803,00d00h13m23,0
SM-2237,FALSE,FALSE,Blocker,5881,00d01h38m01,0
SM-2258,FALSE,FALSE,Major,171417,01d23h36m57,0
SM-2848,FALSE,FALSE,Major,6480,00d01h48m00,0
SM-2337,FALSE,FALSE,Major,1853224,21d10h47m04,0
SM-2824,FALSE,FALSE,Critical,550246,06d08h50m46,0
SM-2991,FALSE,FALSE,Major,514097,05d22h48m17,0
SM-2282,FALSE,FALSE,Major,5259,00d01h27m39,0
SM-2179,FALSE,FALSE,Major,7782,00d02h09m42,0
SM-2280,FALSE,FALSE,Major,6285,00d01h44m45,0
SM-2187,FALSE,FALSE,Major,28790082,333d05h14m42,0
SM-2825,FALSE,FALSE,Major,10171,00d02h49m31,0
SM-2845,FALSE,FALSE,Major,2804,00d00h46m44,0
SM-2535,FALSE,FALSE,Major,1484948,17d04h29m08,0
SM-2232,FALSE,FALSE,Major,26279,00d07h17m59,0
SM-2361,FALSE,FALSE,Major,2792032,32d07h33m52,0
SM-2175,FALSE,FALSE,Major,30797,00d08h33m17,0
SM-2309,FALSE,FALSE,Minor,313487,03d15h04m47,0
SMX4-1448,FALSE,FALSE,Major,5636167,65d05h36m07,0
SM-2279,FALSE,FALSE,Major,2078244,24d01h17m24,0
SM-2823,FALSE,FALSE,Major,82974,00d23h02m54,0
SM-2268,FALSE,FALSE,Major,2321,00d00h38m41,0
SM-2269,TRUE,FALSE,Minor,3436867,39d18h41m07,0
SM-2305,FALSE,FALSE,Major,1867,00d00h31m07,0
SM-2227,FALSE,FALSE,Trivial,122705,01d10h05m05,0
SM-2220,FALSE,FALSE,Minor,109806,01d06h30m06,0
SM-2324,FALSE,FALSE,Minor,3653767,42d06h56m07,0
SMX4-1401,FALSE,FALSE,Minor,3711,00d01h01m51,0
SM-2330,FALSE,FALSE,Major,22833300,264d06h35m00,0
SM-2261,FALSE,FALSE,Minor,4948,00d01h22m28,0
SM-2204,FALSE,FALSE,Major,154121,01d18h48m41,0
SM-3170,FALSE,FALSE,Minor,443535,05d03h12m15,0
SM-2202,FALSE,FALSE,Minor,3126,00d00h52m06,0
SM-2265,FALSE,FALSE,Major,215251,02d11h47m31,0
SM-2266,FALSE,FALSE,Major,97,00d00h01m37,0
SM-2267,FALSE,FALSE,Major,5101229,59d01h00m29,0
SM-2481,FALSE,FALSE,Major,371192,04d07h06m32,0
SM-2301,FALSE,FALSE,Major,2657773,30d18h16m13,1
SM-2243,FALSE,FALSE,Minor,1383,00d00h23m03,0
SM-2203,FALSE,FALSE,Minor,862225,09d23h30m25,0
SM-2422,FALSE,FALSE,Major,13564,00d03h46m04,0
SM-3106,FALSE,FALSE,Trivial,563865,06d12h37m45,0
SM-2814,FALSE,FALSE,Major,595556,06d21h25m56,0
SMX4-1399,FALSE,FALSE,Minor,48406,00d13h26m46,0
SM-2425,FALSE,FALSE,Major,3361537,38d21h45m37,0
SM-2193,FALSE,FALSE,Minor,38609,00d10h43m29,0
SM-2851,FALSE,FALSE,Major,1996,00d00h33m16,0
SM-2850,FALSE,FALSE,Major,977513,11d07h31m53,1
SM-2197,FALSE,FALSE,Major,374387,04d07h59m47,0
SM-2854,FALSE,FALSE,Major,1117141,12d22h19m01,1
SM-2286,FALSE,FALSE,Major,597429,06d21h57m09,0
SM-2256,FALSE,FALSE,Major,2976208,34d10h43m28,0
SM-2376,FALSE,FALSE,Major,84057,00d23h20m57,0
SM-2377,FALSE,FALSE,Minor,81725,00d22h42m05,0
SM-2984,FALSE,FALSE,Major,217620,02d12h27m00,0
SM-2464,FALSE,FALSE,Major,2016462,23d08h07m42,0
SM-2560,FALSE,FALSE,Minor,31285,00d08h41m25,0
SM-2239,FALSE,FALSE,Major,410329,04d17h58m49,0
SM-2786,FALSE,FALSE,Major,2248033,26d00h27m13,0
SM-2396,FALSE,FALSE,Major,1092756,12d15h32m36,0
SM-2210,FALSE,FALSE,Major,12796617,148d02h36m57,0
SM-2709,FALSE,FALSE,Major,322597,03d17h36m37,0
SM-3264,FALSE,FALSE,Major,7701522,89d03h18m42,0
SM-2233,FALSE,FALSE,Major,1171818,13d13h30m18,0
SM-3225,FALSE,FALSE,Major,1855,00d00h30m55,0
SM-2231,FALSE,FALSE,Major,1014550,11d17h49m10,0
SM-2216,FALSE,FALSE,Major,609276,07d01h14m36,0
SM-2219,FALSE,FALSE,Blocker,104532,01d05h02m12,0
SM-2976,FALSE,FALSE,Minor,1041466,12d01h17m46,0
SM-2234,FALSE,FALSE,Major,578322,06d16h38m42,0
SM-2277,FALSE,FALSE,Major,373133,04d07h38m53,0
SM-2319,FALSE,TRUE,Major,8725609,100d23h46m49,0
SM-3045,FALSE,FALSE,Major,3143,00d00h52m23,0
SM-2310,FALSE,FALSE,Major,40501,00d11h15m01,0
