BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
SHINDIG-1255,FALSE,FALSE,Major,786768,09d02h32m48,0
SHINDIG-1038,FALSE,FALSE,Major,980362,11d08h19m22,0
SHINDIG-1404,FALSE,FALSE,Major,61731,00d17h08m51,0
SHINDIG-1405,FALSE,FALSE,Major,61106,00d16h58m26,0
SHINDIG-367,FALSE,FALSE,Major,10038,00d02h47m18,0
SHINDIG-1037,FALSE,FALSE,Minor,980350,11d08h19m10,0
SHINDIG-1035,FALSE,FALSE,Major,151040,01d17h57m20,0
SHINDIG-939,FALSE,FALSE,Minor,89700,01d00h55m00,0
SHINDIG-930,FALSE,FALSE,Minor,340588,03d22h36m28,0
SHINDIG-931,FALSE,FALSE,Major,1991858,23d01h17m38,0
SHINDIG-933,TRUE,FALSE,Major,2063786,23d21h16m26,0
SHINDIG-937,FALSE,FALSE,Major,327801,03d19h03m21,0
SHINDIG-55,FALSE,FALSE,Major,239488,02d18h31m28,0
SHINDIG-1392,FALSE,FALSE,Major,209477,02d10h11m17,0
SHINDIG-1393,FALSE,FALSE,Major,206581,02d09h23m01,0
SHINDIG-1396,FALSE,FALSE,Major,152030,01d18h13m50,0
SHINDIG-1397,FALSE,FALSE,Major,12315,00d03h25m15,0
SHINDIG-1394,FALSE,FALSE,Major,393674,04d13h21m14,1
SHINDIG-509,FALSE,FALSE,Major,5084102,58d20h15m02,0
SHINDIG-1719,FALSE,FALSE,Minor,328203,03d19h10m03,0
SHINDIG-1241,FALSE,FALSE,Major,127731,01d11h28m51,0
SHINDIG-1712,FALSE,FALSE,Major,449404,05d04h50m04,0
SHINDIG-1713,TRUE,FALSE,Trivial,11876,00d03h17m56,0
SHINDIG-1711,FALSE,FALSE,Major,782562,09d01h22m42,0
SHINDIG-1494,FALSE,FALSE,Major,4459,00d01h14m19,0
SHINDIG-1322,FALSE,FALSE,Minor,177715,02d01h21m55,0
SHINDIG-1084,FALSE,FALSE,Minor,23699,00d06h34m59,0
SHINDIG-1085,FALSE,FALSE,Minor,31800404,368d01h26m44,0
SHINDIG-1082,TRUE,FALSE,Minor,48,00d00h00m48,0
SHINDIG-1083,FALSE,FALSE,Minor,9337128,108d01h38m48,0
SHINDIG-1328,TRUE,FALSE,Major,328499,03d19h14m59,0
SHINDIG-142,FALSE,FALSE,Major,1002,00d00h16m42,0
SHINDIG-144,TRUE,FALSE,Major,2447399,28d07h49m59,0
SHINDIG-149,FALSE,FALSE,Major,11244,00d03h07m24,1
SHINDIG-1810,FALSE,FALSE,Minor,687548,07d22h59m08,0
SHINDIG-1813,FALSE,FALSE,Major,253120,02d22h18m40,0
SHINDIG-1812,FALSE,FALSE,Major,71280,00d19h48m00,0
SHINDIG-1816,FALSE,FALSE,Minor,10331,00d02h52m11,0
SHINDIG-758,FALSE,FALSE,Minor,302,00d00h05m02,0
SHINDIG-614,FALSE,FALSE,Major,69,00d00h01m09,0
SHINDIG-599,FALSE,FALSE,Minor,2058002,23d19h40m02,0
SHINDIG-597,FALSE,FALSE,Blocker,4807216,55d15h20m16,0
SHINDIG-593,FALSE,FALSE,Major,10182438,117d20h27m18,0
SHINDIG-1887,FALSE,FALSE,Minor,3155908,36d12h38m28,0
