BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
SHIRO-164,TRUE,FALSE,Major,135153,01d13h32m33,0
SHIRO-240,TRUE,FALSE,Major,4340512,50d05h41m52,0
SHIRO-603,FALSE,FALSE,Major,67359302,779d14h55m02,0
SHIRO-363,FALSE,FALSE,Major,131231063,1518d21h04m23,1
SHIRO-177,FALSE,FALSE,Major,845611,09d18h53m31,0
SHIRO-368,TRUE,FALSE,Minor,130372046,1508d22h27m26,1
SHIRO-473,FALSE,FALSE,Major,81912139,948d01h22m19,0
SHIRO-577,FALSE,FALSE,Major,951801,11d00h23m21,0
SHIRO-576,FALSE,FALSE,Major,5458994,63d04h23m14,0
SHIRO-570,FALSE,FALSE,Major,284822,03d07h07m02,0
SHIRO-87,FALSE,FALSE,Trivial,332,00d00h05m32,0
SHIRO-480,FALSE,FALSE,Minor,77903863,901d15h57m43,0
SHIRO-483,FALSE,FALSE,Major,77162771,893d02h06m11,0
SHIRO-316,TRUE,FALSE,Major,56114376,649d11h19m36,0
SHIRO-167,TRUE,FALSE,Major,14350,00d03h59m10,0
SHIRO-313,TRUE,FALSE,Major,14514361,167d23h46m01,0
SHIRO-312,TRUE,FALSE,Major,5052379,58d11h26m19,0
SHIRO-85,FALSE,FALSE,Minor,486,00d00h08m06,0
SHIRO-323,FALSE,FALSE,Major,9703032,112d07h17m12,0
SHIRO-318,TRUE,FALSE,Major,32969,00d09h09m29,0
SHIRO-403,FALSE,FALSE,Major,112528371,1302d09h52m51,1
SHIRO-568,FALSE,FALSE,Minor,107182,01d05h46m22,0
SHIRO-172,FALSE,FALSE,Minor,8507,00d02h21m47,0
SHIRO-270,FALSE,FALSE,Minor,1327361,15d08h42m41,0
SHIRO-462,FALSE,FALSE,Minor,81795519,946d16h58m39,0
SHIRO-306,TRUE,FALSE,Major,16859073,195d03h04m33,0
SHIRO-493,TRUE,TRUE,Major,80608290,932d23h11m30,1
SHIRO-559,FALSE,FALSE,Major,38932763,450d14h39m23,0
SHIRO-154,TRUE,FALSE,Major,1125523,13d00h38m43,0
SHIRO-302,TRUE,FALSE,Major,16554,00d04h35m54,0
SHIRO-223,TRUE,FALSE,Minor,33712655,390d04h37m35,0
SHIRO-222,FALSE,FALSE,Major,7442647,86d03h24m07,0
SHIRO-225,TRUE,FALSE,Major,32413933,375d03h52m13,0
SHIRO-227,TRUE,FALSE,Major,34559530,399d23h52m10,1
SHIRO-158,FALSE,FALSE,Major,9716,00d02h41m56,0
SHIRO-418,TRUE,FALSE,Trivial,4247885,49d03h58m05,0
SHIRO-413,TRUE,FALSE,Critical,110231313,1275d19h48m33,1
SHIRO-415,FALSE,FALSE,Minor,6361380,73d15h03m00,0
SHIRO-399,TRUE,FALSE,Major,12250376,141d18h52m56,0
SHIRO-394,FALSE,FALSE,Major,15820567,183d02h36m07,0
SHIRO-397,FALSE,FALSE,Major,115106,01d07h58m26,0
SHIRO-390,FALSE,FALSE,Minor,15190351,175d19h32m31,0
SHIRO-338,TRUE,FALSE,Major,298586,03d10h56m26,1
SHIRO-333,FALSE,FALSE,Major,96900,01d02h55m00,0
SHIRO-141,TRUE,FALSE,Major,6654812,77d00h33m32,0
SHIRO-142,TRUE,FALSE,Major,65763,00d18h16m03,0
SHIRO-335,FALSE,FALSE,Minor,254218,02d22h36m58,0
SHIRO-334,TRUE,FALSE,Major,23389,00d06h29m49,0
SHIRO-238,FALSE,FALSE,Major,32168380,372d07h39m40,1
SHIRO-545,FALSE,FALSE,Minor,23063140,266d22h25m40,0
SHIRO-547,FALSE,FALSE,Major,21804215,252d08h43m35,0
SHIRO-237,FALSE,FALSE,Critical,2285333,26d10h48m53,0
SHIRO-234,FALSE,FALSE,Major,4483881,51d21h31m21,0
SHIRO-235,FALSE,FALSE,Major,4485888,51d22h04m48,0
SHIRO-429,FALSE,FALSE,Major,4520739,52d07h45m39,0
SHIRO-423,FALSE,FALSE,Major,4782827,55d08h33m47,0
SHIRO-421,TRUE,FALSE,Major,105130474,1216d18h54m34,0
SHIRO-388,TRUE,FALSE,Major,17332874,200d14h41m14,0
SHIRO-389,FALSE,FALSE,Major,15496993,179d08h43m13,0
SHIRO-387,FALSE,FALSE,Major,17416627,201d13h57m07,0
SHIRO-380,TRUE,FALSE,Major,124243637,1438d00h07m17,1
SHIRO-138,TRUE,FALSE,Major,8485,00d02h21m25,0
SHIRO-135,FALSE,FALSE,Major,10033,00d02h47m13,0
SHIRO-325,FALSE,FALSE,Major,18830,00d05h13m50,0
SHIRO-130,TRUE,FALSE,Major,1637893,18d22h58m13,0
SHIRO-322,TRUE,FALSE,Major,12796075,148d02h27m55,0
SHIRO-288,FALSE,FALSE,Major,22980812,265d23h33m32,1
SHIRO-185,TRUE,FALSE,Critical,89894,01d00h58m14,0
SHIRO-205,TRUE,FALSE,Major,38325512,443d13h58m32,0
SHIRO-198,FALSE,FALSE,Minor,40588937,469d18h42m17,1
SHIRO-201,FALSE,FALSE,Major,476,00d00h07m56,0
SHIRO-431,FALSE,FALSE,Major,1178796,13d15h26m36,0
SHIRO-231,TRUE,FALSE,Major,572,00d00h09m32,0
SHIRO-435,FALSE,FALSE,Major,99539771,1152d01h56m11,0
SHIRO-373,TRUE,FALSE,Major,25026610,289d15h50m10,0
SHIRO-124,FALSE,FALSE,Major,3922380,45d09h33m00,0
SHIRO-120,TRUE,FALSE,Major,2623981,30d08h53m01,0
SHIRO-358,FALSE,FALSE,Major,133238242,1542d02h37m22,1
SHIRO-608,TRUE,FALSE,Major,8549312,98d22h48m32,0
SHIRO-351,TRUE,FALSE,Major,135808677,1571d20h37m57,1
SHIRO-350,TRUE,FALSE,Major,136841729,1583d19h35m29,1
SHIRO-607,FALSE,FALSE,Major,13228585,153d02h36m25,0
SHIRO-354,FALSE,FALSE,Major,135215189,1564d23h46m29,1
SHIRO-605,FALSE,FALSE,Major,243191,02d19h33m11,0
SHIRO-157,TRUE,FALSE,Major,124077,01d10h27m57,0
SHIRO-443,FALSE,FALSE,Major,93718037,1084d16h47m17,0
SHIRO-156,TRUE,FALSE,Major,523398,06d01h23m18,0
SHIRO-199,TRUE,FALSE,Critical,2375,00d00h39m35,0
SHIRO-305,TRUE,FALSE,Major,17784933,205d20h15m33,0
SHIRO-115,FALSE,FALSE,Minor,887602,10d06h33m22,0
SHIRO-595,TRUE,FALSE,Major,2390,00d00h39m50,0
SHIRO-594,FALSE,FALSE,Major,257124,02d23h25m24,0
SHIRO-593,TRUE,FALSE,Major,606859,07d00h34m19,0
SHIRO-592,FALSE,FALSE,Major,77395543,895d18h45m43,0
SHIRO-591,FALSE,FALSE,Major,935090,10d19h44m50,0
