BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
SQOOP-385,FALSE,FALSE,Trivial,192109,02d05h21m49,0
SQOOP-959,TRUE,FALSE,Trivial,75978,00d21h06m18,0
SQOOP-382,TRUE,FALSE,Major,34301481,397d00h11m21,0
SQOOP-950,FALSE,FALSE,Trivial,1305,00d00h21m45,0
SQOOP-1190,FALSE,FALSE,Major,31431,00d08h43m51,0
SQOOP-636,FALSE,FALSE,Trivial,1092695,12d15h31m35,0
SQOOP-1192,FALSE,FALSE,Major,3432024,39d17h20m24,0
SQOOP-3159,TRUE,FALSE,Major,431652,04d23h54m12,0
SQOOP-3157,FALSE,FALSE,Major,5086,00d01h24m46,0
SQOOP-2863,FALSE,FALSE,Major,161438,01d20h50m38,0
SQOOP-1359,FALSE,TRUE,Major,1725469,19d23h17m49,0
SQOOP-3152,FALSE,FALSE,Minor,624955,07d05h35m55,0
SQOOP-2864,FALSE,FALSE,Major,162090,01d21h01m30,0
SQOOP-2909,TRUE,FALSE,Major,19200,00d05h20m00,0
SQOOP-2257,FALSE,FALSE,Critical,333132,03d20h32m12,0
SQOOP-2254,FALSE,FALSE,Major,77766,00d21h36m06,0
SQOOP-2707,FALSE,FALSE,Major,1864573,21d13h56m13,0
MAPREDUCE-1310,TRUE,FALSE,Major,1633764,18d21h49m24,0
MAPREDUCE-1313,FALSE,FALSE,Major,3263906,37d18h38m26,0
SQOOP-3071,FALSE,FALSE,Major,3558,00d00h59m18,0
SQOOP-3072,TRUE,FALSE,Major,880,00d00h14m40,0
SQOOP-3074,FALSE,FALSE,Major,13567,00d03h46m07,0
SQOOP-3378,TRUE,FALSE,Major,3273130,37d21h12m10,0
SQOOP-314,TRUE,FALSE,Major,679376,07d20h42m56,0
SQOOP-317,TRUE,FALSE,Major,101415,01d04h10m15,0
SQOOP-319,TRUE,FALSE,Minor,459990,05d07h46m30,0
SQOOP-706,FALSE,FALSE,Minor,956536,11d01h42m16,0
SQOOP-1107,FALSE,FALSE,Trivial,5524163,63d22h29m23,0
SQOOP-3380,TRUE,FALSE,Major,666377,07d17h06m17,0
SQOOP-1519,FALSE,FALSE,Major,276744,03d04h52m24,0
SQOOP-1779,FALSE,FALSE,Major,4054,00d01h07m34,0
SQOOP-418,FALSE,FALSE,Major,8768,00d02h26m08,0
SQOOP-414,FALSE,FALSE,Major,1717515,19d21h05m15,0
SQOOP-410,FALSE,FALSE,Major,20229584,234d03h19m44,0
MAPREDUCE-877,FALSE,FALSE,Blocker,187892,02d04h11m32,0
SQOOP-1071,FALSE,FALSE,Major,204376,02d08h46m16,0
SQOOP-1179,FALSE,FALSE,Major,73875,00d20h31m15,0
SQOOP-1170,FALSE,FALSE,Major,1241203,14d08h46m43,0
SQOOP-1078,FALSE,FALSE,Minor,534336,06d04h25m36,0
SQOOP-2746,FALSE,FALSE,Major,42781,00d11h53m01,0
SQOOP-2454,FALSE,FALSE,Major,385410,04d11h03m30,0
SQOOP-2170,FALSE,FALSE,Major,34097,00d09h28m17,0
SQOOP-539,FALSE,FALSE,Minor,101998,01d04h19m58,0
SQOOP-1358,TRUE,TRUE,Major,1394125,16d03h15m25,0
SQOOP-2753,FALSE,FALSE,Major,2359277,27d07h21m17,0
SQOOP-859,FALSE,FALSE,Minor,2519565,29d03h52m45,0
SQOOP-856,FALSE,FALSE,Minor,2335515,27d00h45m15,0
SQOOP-855,FALSE,FALSE,Major,4523,00d01h15m23,0
SQOOP-854,FALSE,FALSE,Major,1091,00d00h18m11,0
SQOOP-853,FALSE,FALSE,Minor,618463,07d03h47m43,0
SQOOP-1250,FALSE,FALSE,Major,83389,00d23h09m49,0
SQOOP-1316,FALSE,FALSE,Minor,771546,08d22h19m06,0
SQOOP-1259,FALSE,FALSE,Major,226123,02d14h48m43,0
SQOOP-988,TRUE,FALSE,Minor,8774,00d02h26m14,0
SQOOP-981,FALSE,FALSE,Blocker,504127,05d20h02m07,0
SQOOP-358,FALSE,FALSE,Major,540240,06d06h04m00,0
SQOOP-359,FALSE,FALSE,Major,107659,01d05h54m19,0
SQOOP-3033,FALSE,FALSE,Major,1819988,21d01h33m08,0
SQOOP-3038,FALSE,FALSE,Major,1172063,13d13h34m23,0
SQOOP-352,FALSE,TRUE,Major,14273856,165d04h57m36,0
SQOOP-1226,FALSE,FALSE,Major,6242475,72d06h01m15,0
SQOOP-1227,FALSE,FALSE,Major,1382,00d00h23m02,0
SQOOP-1224,FALSE,FALSE,Major,332337,03d20h18m57,0
