BugID, #isArch, #isInduce, #Priority, #TimeSec, #Time, #Reopen
STORM-977,FALSE,FALSE,Trivial,251315,02d21h48m35,1
STORM-1208,FALSE,FALSE,Major,172931,02d00h02m11,0
STORM-2511,TRUE,FALSE,Critical,222000,02d13h40m00,0
STORM-3466,FALSE,FALSE,Major,2730466,31d14h27m46,1
STORM-3297,TRUE,FALSE,Major,526272,06d02h11m12,0
STORM-3295,TRUE,FALSE,Major,1191708,13d19h01m48,0
STORM-480,FALSE,FALSE,Minor,2237747,25d21h35m47,0
STORM-1934,TRUE,FALSE,Critical,1012756,11d17h19m16,0
STORM-1005,FALSE,FALSE,Major,2127589,24d14h59m49,0
STORM-351,FALSE,FALSE,Blocker,2358329,27d07h05m29,0
STORM-330,FALSE,FALSE,Minor,8665333,100d07h02m13,0
STORM-1001,FALSE,FALSE,Minor,1001211,11d14h06m51,0
STORM-335,FALSE,FALSE,Trivial,867022,10d00h50m22,0
STORM-485,FALSE,FALSE,Major,1750697,20d06h18m17,0
STORM-338,FALSE,FALSE,Minor,681017,07d21h10m17,0
STORM-1773,FALSE,FALSE,Major,616058,07d03h07m38,0
STORM-1772,TRUE,FALSE,Major,26183520,303d01h12m00,0
STORM-1771,FALSE,FALSE,Critical,2695028,31d04h37m08,0
STORM-1426,FALSE,FALSE,Trivial,650152,07d12h35m52,0
STORM-1676,FALSE,FALSE,Major,3871212,44d19h20m12,0
STORM-1578,FALSE,FALSE,Major,3283,00d00h54m43,0
STORM-3269,FALSE,FALSE,Major,97821,01d03h10m21,0
STORM-3343,FALSE,FALSE,Major,467183,05d09h46m23,0
STORM-1672,FALSE,FALSE,Critical,3928096,45d11h08m16,0
STORM-1673,FALSE,FALSE,Major,49868,00d13h51m08,0
STORM-1670,FALSE,FALSE,Critical,357968,04d03h26m08,0
STORM-729,FALSE,FALSE,Minor,5437506,62d22h25m06,0
STORM-3348,FALSE,FALSE,Trivial,437410,05d01h30m10,1
STORM-3262,FALSE,FALSE,Major,346606,04d00h16m46,0
STORM-1572,FALSE,FALSE,Blocker,91684,01d01h28m04,0
STORM-1575,FALSE,FALSE,Minor,9124675,105d14h37m55,0
STORM-3265,FALSE,FALSE,Minor,1186547,13d17h35m47,0
STORM-3264,FALSE,FALSE,Minor,1537143,17d18h59m03,0
STORM-2431,FALSE,FALSE,Major,1183733,13d16h48m53,0
STORM-3129,FALSE,FALSE,Trivial,92964,01d01h49m24,0
STORM-2345,FALSE,FALSE,Trivial,2723176,31d12h26m16,0
STORM-2432,FALSE,FALSE,Critical,266395,03d01h59m55,0
STORM-2435,FALSE,FALSE,Minor,1405891,16d06h31m31,0
STORM-527,FALSE,FALSE,Major,9912212,114d17h23m32,1
STORM-2028,FALSE,FALSE,Minor,31490126,364d11h15m26,0
STORM-525,FALSE,FALSE,Minor,9508253,110d01h10m53,0
STORM-3120,FALSE,FALSE,Major,284212,03d06h56m52,0
STORM-3121,FALSE,FALSE,Major,162960,01d21h16m00,0
STORM-3123,FALSE,FALSE,Major,12343215,142d20h40m15,0
STORM-3124,FALSE,FALSE,Critical,111830,01d07h03m50,0
STORM-2023,FALSE,FALSE,Major,596704,06d21h45m04,0
STORM-3126,FALSE,FALSE,Minor,1049425,12d03h30m25,0
STORM-3127,FALSE,FALSE,Minor,1048747,12d03h19m07,0
STORM-3043,TRUE,FALSE,Major,95364,01d02h29m24,0
STORM-3042,TRUE,FALSE,Major,2228017,25d18h53m37,0
STORM-3046,TRUE,FALSE,Blocker,6312513,73d01h28m33,0
STORM-2976,TRUE,FALSE,Major,210923,02d10h35m23,0
STORM-2978,FALSE,FALSE,Blocker,194980,02d06h09m40,0
STORM-2979,TRUE,FALSE,Major,3716580,43d00h23m00,0
STORM-3048,FALSE,FALSE,Major,2919971,33d19h06m11,0
STORM-2210,TRUE,FALSE,Critical,179799,02d01h56m39,0
STORM-417,FALSE,FALSE,Minor,1374275,15d21h44m35,0
STORM-1134,FALSE,FALSE,Major,883065,10d05h17m45,0
STORM-203,FALSE,FALSE,Trivial,87291622,1010d07h40m22,0
STORM-2067,FALSE,FALSE,Major,1227264,14d04h54m24,0
STORM-2505,TRUE,FALSE,Major,2070333,23d23h05m33,0
STORM-3194,FALSE,FALSE,Minor,168737,01d22h52m17,0
STORM-635,FALSE,FALSE,Major,1092442,12d15h27m22,0
STORM-633,FALSE,FALSE,Major,2940645,34d00h50m45,0
STORM-2503,TRUE,FALSE,Major,2490980,28d19h56m20,0
